Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Bitwa o Bydgoszcz - lokalny turniej MESBG,7fe6de5d-b5aa-4700-b004-5dbf654d425a,Lead grom the front,ef44e09f-80b5-4867-bab1-569b934104d9,FINISHED,7f03edd4-81f1-404a-9105-c024d9f27a9b,0,2026-01-31T12:36:01.013Z,8e4332e6-7a7e-4972-9631-7a23d50a6adf,3d714876-1192-47cf-a91e-7158e7e6c608,7,5,,,1eb1ab0d-95b4-43e8-85f2-631fe955193a,06e08db4-eeb0-41a3-9e0c-7a8d0203bc0e,7,5,,,False,False,774afb8c-8f87-46dc-823e-a82621336e4f
Bitwa o Bydgoszcz - lokalny turniej MESBG,7fe6de5d-b5aa-4700-b004-5dbf654d425a,Lead grom the front,ef44e09f-80b5-4867-bab1-569b934104d9,FINISHED,be8f17ba-70a1-4cac-a916-863e7718fbb9,1,2026-01-31T12:36:01.013Z,794d6e7a-f571-435d-a1ee-1f4e9fd103ac,774afb8c-8f87-46dc-823e-a82621336e4f,15,7,0.0,True,277de51b-06bd-4a4c-949a-2348b84231dd,d9604cb1-9be4-4870-a49e-01dc101470ca,0,3,0.0,,True,False,774afb8c-8f87-46dc-823e-a82621336e4f
Bitwa o Bydgoszcz - lokalny turniej MESBG,7fe6de5d-b5aa-4700-b004-5dbf654d425a,Lead grom the front,ef44e09f-80b5-4867-bab1-569b934104d9,FINISHED,496565d7-5464-4668-b87c-b0e31292189f,2,2026-01-31T12:36:01.013Z,a4016bf8-4906-4944-8771-d928dbce2566,845884f6-55a1-45c5-99a4-83842b39aa8d,15,18,0.0,,e0bc798f-39cd-4d05-b78c-8404ae6f85dd,c0e5c936-b855-43d8-aa70-0fd1a8ab470e,0,1,0.0,False,True,False,845884f6-55a1-45c5-99a4-83842b39aa8d
Bitwa o Bydgoszcz - lokalny turniej MESBG,7fe6de5d-b5aa-4700-b004-5dbf654d425a,Lead grom the front,ef44e09f-80b5-4867-bab1-569b934104d9,FINISHED,b20d03bd-df03-42f9-8c47-133441523f17,3,2026-01-31T12:36:01.013Z,4f427220-7090-434f-83b1-5e3a65ad08e9,28c871c7-58c7-4a4c-95fb-609b8359d6c9,11,12,0.0,,13c288d3-a1e3-45c8-aeb9-0fa19de70e83,c41897f3-773e-463a-b718-819207dfd7e5,5,8,0.0,,False,True,c41897f3-773e-463a-b718-819207dfd7e5
Bitwa o Bydgoszcz - lokalny turniej MESBG,7fe6de5d-b5aa-4700-b004-5dbf654d425a,Lead grom the front,ef44e09f-80b5-4867-bab1-569b934104d9,FINISHED,3df8fd8e-445f-4085-a19a-c1a16d16cb28,4,2026-01-31T12:36:01.013Z,b9762ac6-cca9-47e2-a4dc-f1828103db11,0652fd22-7c47-4455-b080-7964135b2686,5,2,0.0,True,55fb4588-2aa4-4b6c-ba50-5ebbf9b8aef3,f05d7ac4-d23a-42f6-9776-b213e9bc38e2,11,4,0.0,,True,False,0652fd22-7c47-4455-b080-7964135b2686
Bitwa o Bydgoszcz - lokalny turniej MESBG,7fe6de5d-b5aa-4700-b004-5dbf654d425a,Tresurę horad,03726f80-95c2-4343-883f-ad9f0e74839f,FINISHED,79ffe762-b33a-43dc-878b-658e593a7a6e,0,2026-01-31T10:12:48.836Z,309414b3-33cd-4659-8987-9738f877f570,3d714876-1192-47cf-a91e-7158e7e6c608,11,11,0.0,,29453a29-b70f-4c71-918e-e48b1236ee1f,d9604cb1-9be4-4870-a49e-01dc101470ca,5,8,0.0,,True,False,3d714876-1192-47cf-a91e-7158e7e6c608
Bitwa o Bydgoszcz - lokalny turniej MESBG,7fe6de5d-b5aa-4700-b004-5dbf654d425a,Tresurę horad,03726f80-95c2-4343-883f-ad9f0e74839f,FINISHED,d2281a17-1a58-4a63-b2cf-5bb98e7b6752,1,2026-01-31T10:12:48.836Z,f7343ab8-2672-4a4f-8683-ea361850ebf3,845884f6-55a1-45c5-99a4-83842b39aa8d,5,6,0.0,,419835e7-8ac9-4cec-95a1-6b05adc70b55,06e08db4-eeb0-41a3-9e0c-7a8d0203bc0e,11,11,0.0,,False,True,06e08db4-eeb0-41a3-9e0c-7a8d0203bc0e
Bitwa o Bydgoszcz - lokalny turniej MESBG,7fe6de5d-b5aa-4700-b004-5dbf654d425a,Tresurę horad,03726f80-95c2-4343-883f-ad9f0e74839f,FINISHED,2a722dfd-12e7-4076-9d2f-7eacc0c665c7,2,2026-01-31T10:12:48.836Z,2f419c34-30fe-47e9-9b4a-e3e013e035f9,774afb8c-8f87-46dc-823e-a82621336e4f,15,15,0.0,True,608787f8-5307-4ef0-9cf9-28fcffd675c9,c41897f3-773e-463a-b718-819207dfd7e5,0,3,0.0,,True,False,774afb8c-8f87-46dc-823e-a82621336e4f
Bitwa o Bydgoszcz - lokalny turniej MESBG,7fe6de5d-b5aa-4700-b004-5dbf654d425a,Tresurę horad,03726f80-95c2-4343-883f-ad9f0e74839f,FINISHED,d0238810-3f72-47f4-92b5-05e7c2fe00e9,3,2026-01-31T10:12:48.836Z,3c52fafe-0845-4652-902f-561045745ec3,28c871c7-58c7-4a4c-95fb-609b8359d6c9,5,7,0.0,,91cf3a59-0e0a-400f-be6d-ee88472c16ab,0652fd22-7c47-4455-b080-7964135b2686,11,8,0.0,False,False,True,0652fd22-7c47-4455-b080-7964135b2686
Bitwa o Bydgoszcz - lokalny turniej MESBG,7fe6de5d-b5aa-4700-b004-5dbf654d425a,Tresurę horad,03726f80-95c2-4343-883f-ad9f0e74839f,FINISHED,0aed9771-b1da-44b7-bae9-bce12a46b1c3,4,2026-01-31T10:12:48.836Z,03f1b3e7-564d-40f0-83b3-dcafa6382dc2,c0e5c936-b855-43d8-aa70-0fd1a8ab470e,15,13,0.0,,b1901de0-f6ed-4d6a-ab93-9f605e595d40,f05d7ac4-d23a-42f6-9776-b213e9bc38e2,0,6,0.0,,False,True,f05d7ac4-d23a-42f6-9776-b213e9bc38e2
