Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Bydgoskie Starcia,9d52fc65-0334-40a7-b920-5b76492568f0,Runda 3,0aedf1de-82ea-4d59-94f5-e11a9549f6db,FINISHED,5b0c349c-495c-46bd-a77a-fdf54decee29,0,2026-02-28T12:58:23.783Z,a74b3f46-a11b-44e6-a988-5a485fd09412,6bbae723-3f56-4f46-b886-e4f179c50e93,7,7,0.0,True,4536d800-d045-4003-be33-2d2937d1c8fe,de165489-779b-4fe0-889e-cfa506ac6caf,13.0,8.0,0.0,,False,True,de165489-779b-4fe0-889e-cfa506ac6caf
Bydgoskie Starcia,9d52fc65-0334-40a7-b920-5b76492568f0,Runda 3,0aedf1de-82ea-4d59-94f5-e11a9549f6db,FINISHED,ef4fc34f-4d73-4722-9ee9-f803294c87ee,1,2026-02-28T12:58:23.783Z,256b3ed2-cda2-46b9-8c8d-ccf4f05945ad,845884f6-55a1-45c5-99a4-83842b39aa8d,13,10,0.0,,8b9da037-a13c-4037-8cf9-e8660f5bcdae,dedfc2b9-4e69-452e-a9ae-35e131680cd5,7.0,6.0,0.0,,True,False,845884f6-55a1-45c5-99a4-83842b39aa8d
Bydgoskie Starcia,9d52fc65-0334-40a7-b920-5b76492568f0,Runda 3,0aedf1de-82ea-4d59-94f5-e11a9549f6db,FINISHED,4ef6d112-edc4-4246-bfa7-e3bc22c0fd88,2,2026-02-28T12:58:23.783Z,f5d036cd-6c35-4ad5-adf8-201de3e3f6d0,8c340f26-1543-4335-8b37-d814614b81f9,10,6,0.0,False,d0019046-ead2-4890-bbe9-62887e5a4f41,774afb8c-8f87-46dc-823e-a82621336e4f,10.0,6.0,0.0,True,False,True,774afb8c-8f87-46dc-823e-a82621336e4f
Bydgoskie Starcia,9d52fc65-0334-40a7-b920-5b76492568f0,Runda 3,0aedf1de-82ea-4d59-94f5-e11a9549f6db,FINISHED,642cd1b6-7eb9-4af2-a170-72add29cf79f,3,2026-02-28T12:58:23.783Z,5d4dee06-58d9-44cf-88d9-a635efce1c9b,d9604cb1-9be4-4870-a49e-01dc101470ca,20,13,0.0,,a9405df5-e7d4-47d3-84ae-378e9f11556b,06e08db4-eeb0-41a3-9e0c-7a8d0203bc0e,0.0,6.0,0.0,,False,True,06e08db4-eeb0-41a3-9e0c-7a8d0203bc0e
Bydgoskie Starcia,9d52fc65-0334-40a7-b920-5b76492568f0,Runda 3,0aedf1de-82ea-4d59-94f5-e11a9549f6db,FINISHED,8cf38204-bf4e-4bb9-9ef8-3fb049008a33,4,2026-02-28T12:58:23.783Z,439fe8ee-c94b-46f7-afd1-e2690e58b4d9,b9d4f4ba-0474-4f42-98c9-59207ab8dcb9,20,16,0.0,True,56777a33-6ece-464d-ad2f-e978778748f3,c41897f3-773e-463a-b718-819207dfd7e5,0.0,2.0,0.0,,True,False,b9d4f4ba-0474-4f42-98c9-59207ab8dcb9
Bydgoskie Starcia,9d52fc65-0334-40a7-b920-5b76492568f0,Runda 3,0aedf1de-82ea-4d59-94f5-e11a9549f6db,FINISHED,982dc856-6990-4f06-80dc-dfd728fdd20e,5,2026-02-28T12:58:23.783Z,4092518d-aa4f-4a81-bccc-30d8f90988b5,0652fd22-7c47-4455-b080-7964135b2686,20,11,0.0,,84cf6482-6016-45c5-b14d-1443277cb5cd,fd9bb84b-6388-405b-a344-401356dab653,0.0,5.0,0.0,,True,False,0652fd22-7c47-4455-b080-7964135b2686
Bydgoskie Starcia,9d52fc65-0334-40a7-b920-5b76492568f0,Runda 3,0aedf1de-82ea-4d59-94f5-e11a9549f6db,FINISHED,f4da81e8-661a-4dfe-8e24-36ce5914ccd0,6,2026-02-28T12:58:23.783Z,6147c9bc-3932-4b04-9495-e8d6f10fc91c,14635bc2-1c4c-4902-b3cb-d4ddf5fde3f4,7,5,0.0,,5e4076f7-7eaf-41f3-b660-35ef62f1c5c1,233d9d20-eb17-4b08-ab45-0a4a650a5b2a,13.0,6.0,0.0,,True,False,14635bc2-1c4c-4902-b3cb-d4ddf5fde3f4
Bydgoskie Starcia,9d52fc65-0334-40a7-b920-5b76492568f0,Runda 3,0aedf1de-82ea-4d59-94f5-e11a9549f6db,FINISHED,4cc404a2-47e3-4290-bec7-7d4fea6abab3,7,2026-02-28T12:58:23.783Z,45f9dc9d-d3f2-4661-8041-c10a7a1bd7ba,b00da356-e275-4986-a6a2-2faa1c1a9574,13,13,,,,,,,,,False,False,774afb8c-8f87-46dc-823e-a82621336e4f
Bydgoskie Starcia,9d52fc65-0334-40a7-b920-5b76492568f0,Converenge,d039b643-17de-4d2c-9975-593f5a46b9e0,FINISHED,1247cf8f-ee6b-44e8-bfb4-7a3e8c59629b,0,2026-02-28T10:36:29.051Z,3c579d57-388c-436d-b072-d8390baa7525,845884f6-55a1-45c5-99a4-83842b39aa8d,13,7,0.0,,24b266c1-8dc9-468e-b7e3-dabda41a2120,8c340f26-1543-4335-8b37-d814614b81f9,7.0,6.0,0.0,True,True,False,845884f6-55a1-45c5-99a4-83842b39aa8d
Bydgoskie Starcia,9d52fc65-0334-40a7-b920-5b76492568f0,Converenge,d039b643-17de-4d2c-9975-593f5a46b9e0,FINISHED,242b12dd-0513-47bf-8a41-da8f64f46bae,1,2026-02-28T10:36:29.051Z,c60c1014-229b-435e-ae69-23640cd227aa,b9d4f4ba-0474-4f42-98c9-59207ab8dcb9,0,7,0.0,False,1cd5c5b5-5121-4f14-8139-002d02b642a3,6bbae723-3f56-4f46-b886-e4f179c50e93,20.0,14.0,0.0,False,False,True,6bbae723-3f56-4f46-b886-e4f179c50e93
