Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
CZERWCOWY Turniej Middle-Earth SBG w Rzeszowie,42de1e62-7e9b-46cf-8cca-5b3025105066,Runda 3,8b1e7272-682a-441a-9daa-585e7d791ba8,FINISHED,949e2bbb-5ad1-4647-b5ce-11388161702f,0,2026-06-07T12:47:08.311Z,c9b9423e-4ace-4777-855b-435d4ca77a6f,1e4b9bdf-6062-4736-aef3-52bc568f8803,0.0,4.0,0.0,,1f5036cd-37db-417a-b3c9-3a96e30d4ca6,d46af0a2-c60d-45ef-9286-540bdc4ee510,6.0,12,0.0,,False,True,d46af0a2-c60d-45ef-9286-540bdc4ee510
CZERWCOWY Turniej Middle-Earth SBG w Rzeszowie,42de1e62-7e9b-46cf-8cca-5b3025105066,Runda 3,8b1e7272-682a-441a-9daa-585e7d791ba8,FINISHED,227fda20-1529-452e-b839-5e695c05cf6e,1,2026-06-07T12:47:08.311Z,3b84c6cb-43cd-4092-8a99-d99a7829a056,0117f017-2d2b-4322-910f-c7c1b3aae435,0.0,6.0,0.0,,40520306-ffb7-4955-9aef-e5cbe7d578e7,9f838a1a-8b9b-4c57-9faa-251f6768a5e9,6.0,12,0.0,,False,True,9f838a1a-8b9b-4c57-9faa-251f6768a5e9
CZERWCOWY Turniej Middle-Earth SBG w Rzeszowie,42de1e62-7e9b-46cf-8cca-5b3025105066,Runda 3,8b1e7272-682a-441a-9daa-585e7d791ba8,FINISHED,99ebc0ab-dab7-4266-802f-c33abea240f9,2,2026-06-07T12:47:08.311Z,9b688ac3-a7ed-4355-a67a-d4a026dccfa9,5d119206-7a70-4117-a643-30ffbc04744d,0.0,3.0,0.0,,2d276564-44b2-4d6d-b14a-1f1434476ef9,b6f0e023-257d-472b-af43-78e56d559cae,6.0,6,0.0,,False,True,b6f0e023-257d-472b-af43-78e56d559cae
CZERWCOWY Turniej Middle-Earth SBG w Rzeszowie,42de1e62-7e9b-46cf-8cca-5b3025105066,Runda 3,8b1e7272-682a-441a-9daa-585e7d791ba8,FINISHED,07b69f8f-2765-46ea-a8b8-e18aa60bdb6d,3,2026-06-07T12:47:08.311Z,1654ae26-0661-479f-b367-dfbf95884806,c835422a-30a3-4c32-b3c7-e4adf534f128,5.0,9.0,,,a0eba3c7-a926-4c59-ab08-364f026abb05,ff683689-6a31-40d7-8068-f1801f077caf,1.0,5,,True,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
CZERWCOWY Turniej Middle-Earth SBG w Rzeszowie,42de1e62-7e9b-46cf-8cca-5b3025105066,Runda 3,8b1e7272-682a-441a-9daa-585e7d791ba8,FINISHED,b9d3929d-2d95-4d7d-933b-b07b24786f88,4,2026-06-07T12:47:08.311Z,35cd1292-4360-4224-aa97-f66c520e4ecc,b746219c-415e-46e0-8143-e8cbc9ae71d0,,4.0,,,833f4589-fdf9-4619-91c8-29d97b18367a,1857125d-c4f2-4a84-a26c-18ff4acbbcaf,6.0,10,,False,False,True,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
CZERWCOWY Turniej Middle-Earth SBG w Rzeszowie,42de1e62-7e9b-46cf-8cca-5b3025105066,Runda 3,8b1e7272-682a-441a-9daa-585e7d791ba8,FINISHED,c96fe33f-a815-446c-9673-b2c2522b5aa3,5,2026-06-07T12:47:08.311Z,8d855f9c-dabc-4118-a088-f62b5485c66c,8c7cf537-dec4-4d84-8367-ea26b5af12f4,1.0,5.0,,,a63d3ab5-2ca4-4117-ad1c-c515e32bbf76,9c29cb2b-a332-4f36-bdf5-25547137af04,5.0,8,,True,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
CZERWCOWY Turniej Middle-Earth SBG w Rzeszowie,42de1e62-7e9b-46cf-8cca-5b3025105066,Runda 2,82709466-8a5f-4fef-baba-184ff186bd44,FINISHED,4e4f7f2f-ca0c-4b90-a28e-6099f9299fb0,0,2026-06-07T10:18:41.150Z,c952e8e8-269b-4cdb-a739-a1726c264c2a,9f838a1a-8b9b-4c57-9faa-251f6768a5e9,0.0,5.0,0.0,,881ea816-4967-46ba-b191-2b7893cced66,1e4b9bdf-6062-4736-aef3-52bc568f8803,6.0,11,0.0,,True,False,9f838a1a-8b9b-4c57-9faa-251f6768a5e9
CZERWCOWY Turniej Middle-Earth SBG w Rzeszowie,42de1e62-7e9b-46cf-8cca-5b3025105066,Runda 2,82709466-8a5f-4fef-baba-184ff186bd44,FINISHED,633e0a3d-4efd-4b28-8e4c-f53d4da64710,1,2026-06-07T10:18:41.150Z,226b95a2-e2fa-48e2-885c-c1ac5f72e3b4,d46af0a2-c60d-45ef-9286-540bdc4ee510,6.0,10.0,0.0,,5cc91561-143d-40ff-a896-7306da4538f4,c835422a-30a3-4c32-b3c7-e4adf534f128,0.0,5,0.0,,True,False,d46af0a2-c60d-45ef-9286-540bdc4ee510
CZERWCOWY Turniej Middle-Earth SBG w Rzeszowie,42de1e62-7e9b-46cf-8cca-5b3025105066,Runda 2,82709466-8a5f-4fef-baba-184ff186bd44,FINISHED,44f692f3-2554-4eca-8ca3-d7e17aa5456f,2,2026-06-07T10:18:41.150Z,99110cdf-ff48-4d9d-a66b-6586550b0a08,5d119206-7a70-4117-a643-30ffbc04744d,1.0,4.0,0.0,,7d098506-4858-4cf7-a95f-f90ee6ca231c,0117f017-2d2b-4322-910f-c7c1b3aae435,5.0,7,0.0,,False,True,0117f017-2d2b-4322-910f-c7c1b3aae435
CZERWCOWY Turniej Middle-Earth SBG w Rzeszowie,42de1e62-7e9b-46cf-8cca-5b3025105066,Runda 2,82709466-8a5f-4fef-baba-184ff186bd44,FINISHED,b8a7340c-5735-4934-a6b8-50d6e478a009,3,2026-06-07T10:18:41.150Z,52c392ba-44bb-4e19-bb06-9979a8c3c459,b6f0e023-257d-472b-af43-78e56d559cae,6.0,13.0,,,b3ce65d7-453d-4d6f-baa7-a30cf40c0700,1857125d-c4f2-4a84-a26c-18ff4acbbcaf,,4,,True,False,True,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
