Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Czwarty turniej u Pań Mysza Toruń ,36ef6b14-3552-44b6-9ecb-2dd7fe6774dc,Runda 3,f3500d33-cfb8-447d-af18-37223d9ec761,FINISHED,98d7f9b4-8caf-47fe-8a3d-f718e8919216,0,2026-03-28T14:35:24.653Z,6c63daf3-fe92-4259-892a-1bab78399872,dedfc2b9-4e69-452e-a9ae-35e131680cd5,0,0,0.0,,f44a040f-e90d-4e4a-b162-4192d0156af1,1081ab22-cae7-4cc1-8b47-c69bffcfa8d2,6,17,0.0,,True,False,dedfc2b9-4e69-452e-a9ae-35e131680cd5
Czwarty turniej u Pań Mysza Toruń ,36ef6b14-3552-44b6-9ecb-2dd7fe6774dc,Runda 3,f3500d33-cfb8-447d-af18-37223d9ec761,FINISHED,e56ab51d-e61e-4916-a935-be794e23c498,1,2026-03-28T14:35:24.653Z,94d1c790-6f8d-4300-9302-8703f0a1b008,845884f6-55a1-45c5-99a4-83842b39aa8d,6,17,0.0,,ab36d0db-452d-4945-9112-f18b6129ab70,0652fd22-7c47-4455-b080-7964135b2686,0,1,0.0,,True,False,845884f6-55a1-45c5-99a4-83842b39aa8d
Czwarty turniej u Pań Mysza Toruń ,36ef6b14-3552-44b6-9ecb-2dd7fe6774dc,Runda 3,f3500d33-cfb8-447d-af18-37223d9ec761,FINISHED,1b25d93f-db1e-4afa-ad8b-d50fd826fb06,2,2026-03-28T14:35:24.653Z,7f1b5453-ce23-4772-9447-56d8c28cbfb3,06e08db4-eeb0-41a3-9e0c-7a8d0203bc0e,5,6,0.0,,93f14827-92ca-4338-8395-b21dd48c7fcb,29ce8b19-a17a-4ba7-8e17-ddffe260e052,1,4,0.0,,True,False,06e08db4-eeb0-41a3-9e0c-7a8d0203bc0e
Czwarty turniej u Pań Mysza Toruń ,36ef6b14-3552-44b6-9ecb-2dd7fe6774dc,Runda 3,f3500d33-cfb8-447d-af18-37223d9ec761,FINISHED,5213c7fb-643e-4676-8062-f51390845656,3,2026-03-28T14:35:24.653Z,20ce9b4b-9089-4392-8e0c-a2b5f6e76823,5887dd57-2908-496a-a41c-5a99ff709676,6,18,,,b46eadff-183e-4fcf-8b0b-e4dcd7640e27,c41897f3-773e-463a-b718-819207dfd7e5,0,3,,,False,False,1081ab22-cae7-4cc1-8b47-c69bffcfa8d2
Czwarty turniej u Pań Mysza Toruń ,36ef6b14-3552-44b6-9ecb-2dd7fe6774dc,Command the battlefield,8fbf49b6-05bb-44fb-9c61-a91cb07c678b,FINISHED,474ff203-e55b-4b7d-9d0b-55183cab7f72,0,2026-03-27T23:39:13.979Z,53eddef8-6277-4d71-a3ac-73bacd1e298a,5887dd57-2908-496a-a41c-5a99ff709676,0,1,0.0,,49215393-46e9-4522-8566-8dd40f5291de,1081ab22-cae7-4cc1-8b47-c69bffcfa8d2,6,9,0.0,,False,True,1081ab22-cae7-4cc1-8b47-c69bffcfa8d2
Czwarty turniej u Pań Mysza Toruń ,36ef6b14-3552-44b6-9ecb-2dd7fe6774dc,Command the battlefield,8fbf49b6-05bb-44fb-9c61-a91cb07c678b,FINISHED,feaba7b9-bb3e-4bdd-a5eb-d6b64ccd5cad,1,2026-03-27T23:39:13.979Z,6d0dab3e-f7b2-4e63-9675-087ea555c713,06e08db4-eeb0-41a3-9e0c-7a8d0203bc0e,5,7,0.0,,9b326edf-371c-41ee-afcd-b3e3c0c9f16c,0652fd22-7c47-4455-b080-7964135b2686,1,3,0.0,,True,False,06e08db4-eeb0-41a3-9e0c-7a8d0203bc0e
Czwarty turniej u Pań Mysza Toruń ,36ef6b14-3552-44b6-9ecb-2dd7fe6774dc,Command the battlefield,8fbf49b6-05bb-44fb-9c61-a91cb07c678b,FINISHED,b9c3c6a9-99a7-432d-b2cc-11ac7ffa6f8c,2,2026-03-27T23:39:13.979Z,b4a3ceb2-d169-4943-b25a-182fdcbc9e8d,845884f6-55a1-45c5-99a4-83842b39aa8d,6,16,0.0,,d9df175a-357a-4e4f-8c6a-5d084abd2d9d,c41897f3-773e-463a-b718-819207dfd7e5,0,0,0.0,,True,False,845884f6-55a1-45c5-99a4-83842b39aa8d
Czwarty turniej u Pań Mysza Toruń ,36ef6b14-3552-44b6-9ecb-2dd7fe6774dc,Command the battlefield,8fbf49b6-05bb-44fb-9c61-a91cb07c678b,FINISHED,303e5d7f-f475-40cf-9308-ca00bdb67fbe,3,2026-03-27T23:39:13.979Z,88acbc87-aec3-4076-a388-c04f0b189052,dedfc2b9-4e69-452e-a9ae-35e131680cd5,6,13,0.0,,c07a43d0-8abc-4ea4-a761-07b1c7e81293,29ce8b19-a17a-4ba7-8e17-ddffe260e052,0,0,0.0,,True,False,dedfc2b9-4e69-452e-a9ae-35e131680cd5
Czwarty turniej u Pań Mysza Toruń ,36ef6b14-3552-44b6-9ecb-2dd7fe6774dc,Runda 2,86291003-73dc-4adf-9f19-83ce8e06cff6,FINISHED,d5b5d0c9-4d1b-4ecc-8746-29bffedc4a09,0,2026-03-28T12:52:41.317Z,db595745-4ccf-4517-9d20-c8856b90a9e0,845884f6-55a1-45c5-99a4-83842b39aa8d,1,9,0.0,,6b124c10-524d-4e98-94c9-9835b8d41911,dedfc2b9-4e69-452e-a9ae-35e131680cd5,5,10,0.0,,True,False,845884f6-55a1-45c5-99a4-83842b39aa8d
Czwarty turniej u Pań Mysza Toruń ,36ef6b14-3552-44b6-9ecb-2dd7fe6774dc,Runda 2,86291003-73dc-4adf-9f19-83ce8e06cff6,FINISHED,5d04a573-5f21-422c-92c3-3d537064944b,1,2026-03-28T12:52:41.317Z,ee8bdfd5-8757-46e1-a5ef-7912543551a5,1081ab22-cae7-4cc1-8b47-c69bffcfa8d2,5,6,0.0,,4046271a-1d7c-4f70-b1fa-d4d4321c9a83,06e08db4-eeb0-41a3-9e0c-7a8d0203bc0e,1,2,0.0,,True,False,1081ab22-cae7-4cc1-8b47-c69bffcfa8d2
Czwarty turniej u Pań Mysza Toruń ,36ef6b14-3552-44b6-9ecb-2dd7fe6774dc,Runda 2,86291003-73dc-4adf-9f19-83ce8e06cff6,FINISHED,b2d8d6fd-98aa-4294-bfe1-139b90789aa5,2,2026-03-28T12:52:41.317Z,6cc25931-0290-488a-bc06-98942b79fd4d,0652fd22-7c47-4455-b080-7964135b2686,6,16,0.0,,e8264f3d-dce9-4cda-bc4b-0d3c0128e6ba,c41897f3-773e-463a-b718-819207dfd7e5,0,2,0.0,,True,False,0652fd22-7c47-4455-b080-7964135b2686
Czwarty turniej u Pań Mysza Toruń ,36ef6b14-3552-44b6-9ecb-2dd7fe6774dc,Runda 2,86291003-73dc-4adf-9f19-83ce8e06cff6,FINISHED,40de3baa-64ed-400a-acc4-5f6868eca0c4,3,2026-03-28T12:52:41.317Z,4cac4068-2e46-499f-a0f6-8bae08204ba9,5887dd57-2908-496a-a41c-5a99ff709676,0,2,0.0,,06e73413-c292-4706-859a-f553322c1b7b,29ce8b19-a17a-4ba7-8e17-ddffe260e052,6,8,0.0,,False,True,29ce8b19-a17a-4ba7-8e17-ddffe260e052
