Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Dzień Taty/Mamy(z opóźnieniem) w Śródziemiu,1b5dd207-4e21-47e3-8aa0-ca4c58245dd5,Runda 3,e289deb7-7101-45b2-9cc6-185035e968bf,FINISHED,851665eb-294f-4367-9f61-d1307596cd12,0,2026-06-27T12:13:13.662Z,3d08a475-078f-4e6f-b496-078c486421a8,1e4b9bdf-6062-4736-aef3-52bc568f8803,6012,12,12,,29712b44-b463-40b0-a3dc-f5f04db62049,1857125d-c4f2-4a84-a26c-18ff4acbbcaf,6,6,6,,False,False,396741ce-3694-4877-9603-fe19efd6284f
Dzień Taty/Mamy(z opóźnieniem) w Śródziemiu,1b5dd207-4e21-47e3-8aa0-ca4c58245dd5,Runda 3,e289deb7-7101-45b2-9cc6-185035e968bf,FINISHED,663b3e32-7ff6-41ce-8431-ae14c96744ab,1,2026-06-27T12:15:33.664Z,e496e70e-b6a8-40ff-b94e-88014b86be15,e2970df6-81f0-48df-89ac-2c66a06f30e7,2,2,2,,94cdef66-cb75-4489-8180-37919ddc1627,5b7aba91-5a95-44f6-82d9-79b13881b721,6020,20,20,,False,False,396741ce-3694-4877-9603-fe19efd6284f
Dzień Taty/Mamy(z opóźnieniem) w Śródziemiu,1b5dd207-4e21-47e3-8aa0-ca4c58245dd5,Runda 3,e289deb7-7101-45b2-9cc6-185035e968bf,FINISHED,a75b1943-53a7-4b99-a9a0-0c6ba7f8f077,2,2026-06-27T12:15:33.664Z,a5a726a7-37bb-4f55-9efc-270a20102ffa,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,6018,18,18,,948fa459-5823-4ddc-a936-c02677d23394,bce44e8c-999c-483d-acec-1b865d4ee3a4,3,3,3,,False,False,396741ce-3694-4877-9603-fe19efd6284f
Dzień Taty/Mamy(z opóźnieniem) w Śródziemiu,1b5dd207-4e21-47e3-8aa0-ca4c58245dd5,Runda 3,e289deb7-7101-45b2-9cc6-185035e968bf,FINISHED,1842f40f-c26e-4f7f-a5c5-ab9e67872a44,3,2026-06-27T12:15:33.664Z,df35a37e-d041-435b-a37f-8fdf781d4c1b,4ae36325-46a6-45f4-a1b2-52666e4e7a4f,1,1,1,,d68479b4-8998-4076-90cd-25916a50df52,c835422a-30a3-4c32-b3c7-e4adf534f128,6020,20,20,,False,False,396741ce-3694-4877-9603-fe19efd6284f
Dzień Taty/Mamy(z opóźnieniem) w Śródziemiu,1b5dd207-4e21-47e3-8aa0-ca4c58245dd5,Runda 3,e289deb7-7101-45b2-9cc6-185035e968bf,FINISHED,889a1957-7d79-4e24-a437-e2bb4b8bb9db,4,2026-06-27T12:13:13.662Z,d975c99f-ce31-4005-b0fa-f34e62d10a43,ff683689-6a31-40d7-8068-f1801f077caf,3,3,3,,9a29f809-0c5d-4d9e-9ed0-bf4e233a6285,396741ce-3694-4877-9603-fe19efd6284f,6016,16,0,,False,True,396741ce-3694-4877-9603-fe19efd6284f
Dzień Taty/Mamy(z opóźnieniem) w Śródziemiu,1b5dd207-4e21-47e3-8aa0-ca4c58245dd5,Runda 2,40e01bc5-c365-466b-bd8b-a373bcb01d6b,FINISHED,f0819d5b-1752-4e49-a795-408ba332c503,0,2026-06-27T09:49:54.232Z,2fff5868-d3f4-4be1-a94d-23e3c5957e07,ff683689-6a31-40d7-8068-f1801f077caf,6016,16,16,,7313eac1-16c6-4c24-8570-dbd5d80c1769,c835422a-30a3-4c32-b3c7-e4adf534f128,0,0,0,,True,False,ff683689-6a31-40d7-8068-f1801f077caf
Dzień Taty/Mamy(z opóźnieniem) w Śródziemiu,1b5dd207-4e21-47e3-8aa0-ca4c58245dd5,Runda 2,40e01bc5-c365-466b-bd8b-a373bcb01d6b,FINISHED,43415632-36d0-4d89-b443-80949ef93fc3,1,2026-06-27T09:49:54.232Z,8445c461-6045-4642-85f1-75b42228aa06,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,0,0,0,,8b9c683d-de6e-4429-90ff-fd43866124df,396741ce-3694-4877-9603-fe19efd6284f,6011,11,11,,False,True,396741ce-3694-4877-9603-fe19efd6284f
Dzień Taty/Mamy(z opóźnieniem) w Śródziemiu,1b5dd207-4e21-47e3-8aa0-ca4c58245dd5,Runda 2,40e01bc5-c365-466b-bd8b-a373bcb01d6b,FINISHED,35ae94b7-98df-4657-9589-aeec607f570d,2,2026-06-27T09:49:54.232Z,f9761e74-797d-4ae0-8338-27f1d3262dd9,bce44e8c-999c-483d-acec-1b865d4ee3a4,2004,4,4,,57652697-0cce-46ee-89d4-f4f788216b83,4ae36325-46a6-45f4-a1b2-52666e4e7a4f,4005,5,5,,False,False,396741ce-3694-4877-9603-fe19efd6284f
Dzień Taty/Mamy(z opóźnieniem) w Śródziemiu,1b5dd207-4e21-47e3-8aa0-ca4c58245dd5,Runda 2,40e01bc5-c365-466b-bd8b-a373bcb01d6b,FINISHED,46cde358-752f-44ba-971b-22af226d96da,3,2026-06-27T09:49:54.232Z,42e63205-ae88-4308-b97a-3635fd7f4878,1e4b9bdf-6062-4736-aef3-52bc568f8803,6012,12,12,,aa62a637-d02a-46b6-8c59-78d680718ad9,e2970df6-81f0-48df-89ac-2c66a06f30e7,0,0,0,,False,False,396741ce-3694-4877-9603-fe19efd6284f
Dzień Taty/Mamy(z opóźnieniem) w Śródziemiu,1b5dd207-4e21-47e3-8aa0-ca4c58245dd5,Runda 2,40e01bc5-c365-466b-bd8b-a373bcb01d6b,FINISHED,f87d3b4b-f398-4531-9ff0-df122c88cab3,4,2026-06-27T09:49:54.232Z,b0b3cf09-f07c-459f-ab55-68eef0acd0fc,1857125d-c4f2-4a84-a26c-18ff4acbbcaf,6020,20,20,,6c3483f4-22c1-426b-b718-84ae4635ac69,5b7aba91-5a95-44f6-82d9-79b13881b721,0,0,0,,True,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
