Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 2 - Brejkfru,1f1d6d3e-f2cc-4f20-8a71-8432c0edc519,FINISHED,4222bbcf-4bf9-4e70-bbf3-442b96efffd0,0,2026-05-30T10:21:40.242Z,8cfe7ba0-9567-4b11-9d90-cab8d0bbc01f,7129c934-aacc-4988-9527-976c04e381ac,1,5,0,,a208ae69-5ee2-42b9-8c08-9e98f27f6e69,6df80142-0804-43f3-910e-3d51131586cf,7,14,0,,True,False,7129c934-aacc-4988-9527-976c04e381ac
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 2 - Brejkfru,1f1d6d3e-f2cc-4f20-8a71-8432c0edc519,FINISHED,bf45d7df-48e3-4c31-b6bf-623f4f8549ad,1,2026-05-30T10:21:40.242Z,54fac030-2440-4a35-a76e-2047d9945cb2,dfae3b97-3154-43b8-a7cf-26ece499fa82,4,5,0,,32d07946-61c0-4f28-90a8-71ab277b2163,e11c9221-5fee-4a26-b4a8-23f3ee654de2,4,5,0,,True,False,dfae3b97-3154-43b8-a7cf-26ece499fa82
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 2 - Brejkfru,1f1d6d3e-f2cc-4f20-8a71-8432c0edc519,FINISHED,af7d7eb3-8ad7-4809-a74c-1d82d6ee02d8,2,2026-05-30T10:21:40.242Z,f391bb8a-1edd-4959-b7c6-3fd36db4c9ef,6f641816-8973-4f1f-b906-3b33d5710be9,8,19,0,,5f540119-e279-484d-8c40-5e3b6dc08c63,eacb0c29-8302-462e-9e47-c61d95ce5ff3,0,1,0,,True,False,6f641816-8973-4f1f-b906-3b33d5710be9
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 2 - Brejkfru,1f1d6d3e-f2cc-4f20-8a71-8432c0edc519,FINISHED,1b45171d-bd29-4d3b-a677-01a73b037296,3,2026-05-30T10:21:40.242Z,7fa1f814-123f-42b1-8d66-38035cbd4dd5,7d79e669-7010-4328-bbf5-3f7203dddd9a,7,8,0,,6da39b43-0aa5-49ce-972b-957d15851b78,bbe7d7b9-232d-4b4d-a17a-5f4c72ea758b,1,6,0,,True,False,7d79e669-7010-4328-bbf5-3f7203dddd9a
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 2 - Brejkfru,1f1d6d3e-f2cc-4f20-8a71-8432c0edc519,FINISHED,5f98b57f-0cc1-439b-afac-70bdc97bb489,4,2026-05-30T10:21:40.242Z,f827069d-3ae7-4510-bced-67faaeff33cc,fc9de094-4eb1-4373-af38-1b5d3db6ca82,0,0,0,,5d923e7c-ce3b-4ff8-9840-abf49d6e7f03,869300c0-1611-4a41-84e8-bb7e3afa22f9,8,17,0,,False,True,869300c0-1611-4a41-84e8-bb7e3afa22f9
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 2 - Brejkfru,1f1d6d3e-f2cc-4f20-8a71-8432c0edc519,FINISHED,5bc890f7-ab2f-4c4e-af4b-306299bc4db0,5,2026-05-30T10:21:40.242Z,b9841734-ba9a-4663-8a87-cc9750bec65d,20a238b0-37e6-400b-a2a1-20935ab4cc00,0,1,0,,3a40e519-90e6-4f4b-b398-f07f9d3f2d7a,5d01b02f-444d-4547-958a-e2dcac24e017,8,10,0,,True,False,20a238b0-37e6-400b-a2a1-20935ab4cc00
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 1 - Fog of War,c746b5c1-b97f-49fe-ae04-339bada9a379,FINISHED,420aad4f-10a7-433b-9210-35a50a9f1098,0,2026-05-30T07:56:59.427Z,539bb4af-8a2a-4ee6-9680-07e4a740f298,eacb0c29-8302-462e-9e47-c61d95ce5ff3,4,16,0,,bdaa917f-1be6-473f-a388-f9d7f5c15b55,7d79e669-7010-4328-bbf5-3f7203dddd9a,4,16,0,,True,False,eacb0c29-8302-462e-9e47-c61d95ce5ff3
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 1 - Fog of War,c746b5c1-b97f-49fe-ae04-339bada9a379,FINISHED,0097a23c-c701-46e3-8499-48a2280fb3d6,1,2026-05-30T07:56:59.427Z,b513fe17-21ff-4e39-b15b-3469a858ba45,5d01b02f-444d-4547-958a-e2dcac24e017,0,0,0,,f1dbc7f5-ed7b-4a85-acbc-e1f051796a52,dfae3b97-3154-43b8-a7cf-26ece499fa82,7,8,0,,False,True,dfae3b97-3154-43b8-a7cf-26ece499fa82
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 1 - Fog of War,c746b5c1-b97f-49fe-ae04-339bada9a379,FINISHED,02a31c49-70f5-45e6-8671-6c83e50f021c,2,2026-05-30T07:56:59.427Z,1c732fb1-f911-4025-a862-417820984ec6,e11c9221-5fee-4a26-b4a8-23f3ee654de2,6,8,0,,469cb9d5-b798-4e7b-9224-04453f18f137,bbe7d7b9-232d-4b4d-a17a-5f4c72ea758b,1,5,0,,False,True,bbe7d7b9-232d-4b4d-a17a-5f4c72ea758b
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 1 - Fog of War,c746b5c1-b97f-49fe-ae04-339bada9a379,FINISHED,049c6812-bd56-4bdb-a43b-8b739607dd64,3,2026-05-30T07:56:59.427Z,9aea5b84-32b6-4529-bcda-efbf5f3f33c5,fc9de094-4eb1-4373-af38-1b5d3db6ca82,0,7,0,,b4c91aa8-a369-4d45-96e2-1eec58c18a3f,7129c934-aacc-4988-9527-976c04e381ac,8,18,0,,False,True,7129c934-aacc-4988-9527-976c04e381ac
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 1 - Fog of War,c746b5c1-b97f-49fe-ae04-339bada9a379,FINISHED,57dbc5c4-f24f-443f-b0be-332ce2e7e935,4,2026-05-30T07:56:59.427Z,e3a7de84-37b3-4a7c-bb88-1029802c7cfc,6df80142-0804-43f3-910e-3d51131586cf,8,10,0,,189e815a-3590-4a69-a592-6641cc9fa6a5,20a238b0-37e6-400b-a2a1-20935ab4cc00,0,0,0,,True,False,6df80142-0804-43f3-910e-3d51131586cf
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 1 - Fog of War,c746b5c1-b97f-49fe-ae04-339bada9a379,FINISHED,dd8a09a2-6f3b-46b1-b253-3645eacd57ec,5,2026-05-30T07:56:59.427Z,1d0d2964-4ec4-4b19-9e14-cebb6de3ef26,6f641816-8973-4f1f-b906-3b33d5710be9,7,11,0,,c3f48303-b0b4-4484-8211-6d3e624ba430,869300c0-1611-4a41-84e8-bb7e3afa22f9,1,6,0,,False,False,dfae3b97-3154-43b8-a7cf-26ece499fa82
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 3 - Lordsy,7fcd32c0-241a-4408-99e7-26cf1b61f376,FINISHED,9a41be09-e605-46a2-ae4f-a11820271ca3,0,2026-05-30T12:47:24.227Z,49561ffa-e2f6-4cd7-912e-2c1fdb1bac39,6f641816-8973-4f1f-b906-3b33d5710be9,0,0,0,,9f97d9ac-2c85-440f-a115-cbd9b85f8595,6df80142-0804-43f3-910e-3d51131586cf,8,14,0,,False,True,6df80142-0804-43f3-910e-3d51131586cf
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 3 - Lordsy,7fcd32c0-241a-4408-99e7-26cf1b61f376,FINISHED,75249f59-39ab-47fe-a77e-3235aab8a477,1,2026-05-30T12:47:24.227Z,1ba01567-5289-4d7d-9cd5-25d5aaf03602,7d79e669-7010-4328-bbf5-3f7203dddd9a,0,0,0,,1f9d4283-74db-46a1-8d64-1a97f6dbea91,dfae3b97-3154-43b8-a7cf-26ece499fa82,8,16,0,,False,True,dfae3b97-3154-43b8-a7cf-26ece499fa82
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 3 - Lordsy,7fcd32c0-241a-4408-99e7-26cf1b61f376,FINISHED,616d5144-0e32-459c-bcf3-23d024532c20,2,2026-05-30T12:47:24.227Z,bc277f61-3617-4808-b886-ed9f612cd19f,e11c9221-5fee-4a26-b4a8-23f3ee654de2,8,19,0,,2a254e4f-5b2b-4b41-bd57-36d2c21f08cd,7129c934-aacc-4988-9527-976c04e381ac,0,0,0,,True,False,e11c9221-5fee-4a26-b4a8-23f3ee654de2
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 3 - Lordsy,7fcd32c0-241a-4408-99e7-26cf1b61f376,FINISHED,b1924268-2491-4cc5-895e-4eb8ebf5e47c,3,2026-05-30T12:47:24.227Z,e7b98dd2-5775-4880-90bc-b8ecdd441899,eacb0c29-8302-462e-9e47-c61d95ce5ff3,8,17,0,,56766ebd-1714-4601-9214-5a0815f939aa,fc9de094-4eb1-4373-af38-1b5d3db6ca82,0,0,0,,True,False,eacb0c29-8302-462e-9e47-c61d95ce5ff3
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 3 - Lordsy,7fcd32c0-241a-4408-99e7-26cf1b61f376,FINISHED,c52ebdad-a82f-4d9b-bf75-fc567c644a7e,4,2026-05-30T12:47:24.227Z,cfb35607-137f-4c74-8adc-0297c5aaa6fc,869300c0-1611-4a41-84e8-bb7e3afa22f9,8,7,0,,3609bad6-3b62-4e9f-abbe-242677663106,bbe7d7b9-232d-4b4d-a17a-5f4c72ea758b,0,1,0,,True,False,869300c0-1611-4a41-84e8-bb7e3afa22f9
III Turniej Lokalny w Gralni u Tolkiena,9150b0ea-db10-4368-a644-795d114ddd94,Runda 3 - Lordsy,7fcd32c0-241a-4408-99e7-26cf1b61f376,FINISHED,72f94470-5ea2-40c8-bec7-744a83262952,5,2026-05-30T12:47:24.227Z,3aa109bd-4826-4365-91ed-dd89649def81,5d01b02f-444d-4547-958a-e2dcac24e017,4,0,0,,ed8f3deb-aa8d-4c24-b39f-c75f1f1bedb5,20a238b0-37e6-400b-a2a1-20935ab4cc00,4,0,0,,False,True,20a238b0-37e6-400b-a2a1-20935ab4cc00
