Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
II Oxfordzki Szkolny Turniej w Middle-Earth SBG! 500pts.,6f61504a-47b7-4e97-9962-637a5de0859c,Lead from the front ,5213da18-d070-4cba-9f16-98750354a972,FINISHED,f1699a8a-2811-4186-9fb3-66d53978f031,0,2026-03-18T11:23:28.819Z,fbe35c6b-346e-45be-975a-be9c4e24f681,0d4776d9-63a3-4ffe-989f-ca6e8925fa18,0,2.0,0.0,,345c6af3-8675-450d-a55b-48cbbc8ee627,bb2a8efe-f745-4f44-94ee-831d41404935,10.0,14.0,0.0,True,False,True,bb2a8efe-f745-4f44-94ee-831d41404935
II Oxfordzki Szkolny Turniej w Middle-Earth SBG! 500pts.,6f61504a-47b7-4e97-9962-637a5de0859c,Lead from the front ,5213da18-d070-4cba-9f16-98750354a972,FINISHED,765135f7-a9ca-469e-9688-fc2932f9d485,1,2026-03-18T11:23:28.819Z,d8c57a21-0adb-4bfb-9195-0a20b25313e1,869300c0-1611-4a41-84e8-bb7e3afa22f9,2,5.0,0.0,,03900c1a-2700-448e-a76b-e9bbcc42fe27,9aa518b2-55c0-4256-81fb-8a37c9451c39,8.0,8.0,0.0,,True,False,869300c0-1611-4a41-84e8-bb7e3afa22f9
II Oxfordzki Szkolny Turniej w Middle-Earth SBG! 500pts.,6f61504a-47b7-4e97-9962-637a5de0859c,Lead from the front ,5213da18-d070-4cba-9f16-98750354a972,FINISHED,e0111ce9-b2ea-4a87-b4fd-544f5fea885f,2,2026-03-18T11:23:28.819Z,abf12393-d662-4521-b781-ba14551ec831,83253c68-f02c-46cf-86c7-4e574c79154b,8,8.0,0.0,,ad148fcf-5b39-4878-94d4-8cd6684468ca,ca10e539-f3fe-4036-a182-d9ceb74cb2be,2.0,6.0,0.0,,True,False,83253c68-f02c-46cf-86c7-4e574c79154b
II Oxfordzki Szkolny Turniej w Middle-Earth SBG! 500pts.,6f61504a-47b7-4e97-9962-637a5de0859c,Lead from the front ,5213da18-d070-4cba-9f16-98750354a972,FINISHED,b7260e36-4c0a-4722-a5ec-7b2901497a48,3,2026-03-18T11:23:28.819Z,a93868e3-01d7-4a0c-ba97-7c71124e32e5,b443bdaf-6c91-40ca-a80f-57f61aefd0ac,2,7.0,0.0,,78a05bb1-986e-4d97-b72b-dd8d8c983065,5587f9c3-e27b-41f9-99ce-eaccfd5412b7,8.0,8.0,0.0,,False,False,495a97ab-7ee3-402b-8400-8d33d98cf809
II Oxfordzki Szkolny Turniej w Middle-Earth SBG! 500pts.,6f61504a-47b7-4e97-9962-637a5de0859c,Lead from the front ,5213da18-d070-4cba-9f16-98750354a972,FINISHED,0b4789fa-a000-4600-8646-106c7a32d149,4,2026-03-18T11:23:28.819Z,b8398ed9-547f-44d9-a846-b58d0ce168bc,8ff29fce-8c75-4248-858e-93b2df913982,10,10.0,0.0,,7c0debb9-79f3-46f3-b411-ee985578ff6a,f389357a-f3f0-4aca-b121-e0e809448b29,0.0,4.0,0.0,,False,True,f389357a-f3f0-4aca-b121-e0e809448b29
II Oxfordzki Szkolny Turniej w Middle-Earth SBG! 500pts.,6f61504a-47b7-4e97-9962-637a5de0859c,Lead from the front ,5213da18-d070-4cba-9f16-98750354a972,FINISHED,adb1c24e-8d50-4a22-9128-281e0659a78f,5,2026-03-18T11:23:28.819Z,e39fb05f-1afb-4e13-92ad-8233ab503c85,26e6a6e5-8ef2-4c08-8e4f-b89566241f24,10,15.0,0.0,,98348dda-7f4f-4dab-9f48-e22b2ce22c9f,3c519898-5707-4f3f-ba9e-cce370e76134,0.0,1.0,0.0,,True,False,26e6a6e5-8ef2-4c08-8e4f-b89566241f24
II Oxfordzki Szkolny Turniej w Middle-Earth SBG! 500pts.,6f61504a-47b7-4e97-9962-637a5de0859c,Lead from the front ,5213da18-d070-4cba-9f16-98750354a972,FINISHED,df038715-a21c-42dd-b0ac-dc5f47da17fe,6,2026-03-18T11:23:28.819Z,f99c586a-0b9a-4474-baa5-23d8455024b3,7918000f-f66c-4750-b2c6-3277bc3bfcd3,10,22.0,0.0,,6e88131e-386d-4fad-b3b4-2ba786104150,09f61cd6-8884-4179-9383-92340a6f0139,0.0,3.0,0.0,,True,False,7918000f-f66c-4750-b2c6-3277bc3bfcd3
II Oxfordzki Szkolny Turniej w Middle-Earth SBG! 500pts.,6f61504a-47b7-4e97-9962-637a5de0859c,Lead from the front ,5213da18-d070-4cba-9f16-98750354a972,FINISHED,635418b8-94b1-48c2-99c3-2092af6b5b08,7,2026-03-18T11:23:28.819Z,55c41065-07a6-42e2-a527-02ee9b39bcc2,cdd350b4-460e-4cc2-abcf-11d0373f846f,10,5.0,0.0,,3fc33d27-9cc9-45e3-80f7-4d403633e0bc,afd30454-c10b-46ef-a6f0-ec1f300a8a6f,0.0,0.0,0.0,,True,False,cdd350b4-460e-4cc2-abcf-11d0373f846f
II Oxfordzki Szkolny Turniej w Middle-Earth SBG! 500pts.,6f61504a-47b7-4e97-9962-637a5de0859c,Lead from the front ,5213da18-d070-4cba-9f16-98750354a972,FINISHED,99a9aa0f-00b8-45d8-951a-fbb9d1f95628,8,2026-03-18T11:23:28.819Z,3b9ed0c4-42bb-437e-885c-1150c8b2b0a5,414fda48-9033-4287-8354-97a00a0f05f7,5,,,,,,,,,,False,False,495a97ab-7ee3-402b-8400-8d33d98cf809
II Oxfordzki Szkolny Turniej w Middle-Earth SBG! 500pts.,6f61504a-47b7-4e97-9962-637a5de0859c,Command the battlefield,0557be47-09b9-4901-ad09-f30e2d98a9c2,FINISHED,1d40ca77-9d1a-4e61-9eac-763389238a06,0,2026-03-18T09:34:19.576Z,188f2ef0-7b80-4527-bb4c-cd5ce001e586,0d4776d9-63a3-4ffe-989f-ca6e8925fa18,10,17.0,0.0,False,b47b04c5-5484-40de-8103-2dc1a7d3f393,8ff29fce-8c75-4248-858e-93b2df913982,0.0,4.0,0.0,,True,False,0d4776d9-63a3-4ffe-989f-ca6e8925fa18
II Oxfordzki Szkolny Turniej w Middle-Earth SBG! 500pts.,6f61504a-47b7-4e97-9962-637a5de0859c,Command the battlefield,0557be47-09b9-4901-ad09-f30e2d98a9c2,FINISHED,8092b64d-8124-48e4-ae9d-22c370b0ea27,1,2026-03-18T09:34:19.576Z,301a8401-cb30-49ce-bc4a-bf7cdb9245a2,5587f9c3-e27b-41f9-99ce-eaccfd5412b7,0,1.0,0.0,,e768fe4f-467f-4a0c-a92e-f2fe2a674038,bb2a8efe-f745-4f44-94ee-831d41404935,10.0,15.0,0.0,False,False,True,bb2a8efe-f745-4f44-94ee-831d41404935
II Oxfordzki Szkolny Turniej w Middle-Earth SBG! 500pts.,6f61504a-47b7-4e97-9962-637a5de0859c,Command the battlefield,0557be47-09b9-4901-ad09-f30e2d98a9c2,FINISHED,7ec4ec7d-d199-487f-9c1e-95e06039da43,2,2026-03-18T09:34:19.576Z,59510809-c31f-4ea2-9ffb-0e5e4aad6602,869300c0-1611-4a41-84e8-bb7e3afa22f9,10,10.0,0.0,,c60806e8-d634-4757-bfe1-8ede87c6d0ee,ca10e539-f3fe-4036-a182-d9ceb74cb2be,0.0,0.0,0.0,,True,False,869300c0-1611-4a41-84e8-bb7e3afa22f9
II Oxfordzki Szkolny Turniej w Middle-Earth SBG! 500pts.,6f61504a-47b7-4e97-9962-637a5de0859c,Command the battlefield,0557be47-09b9-4901-ad09-f30e2d98a9c2,FINISHED,a332c0db-464a-49a6-abc7-5f225abe1d4c,3,2026-03-18T09:34:19.576Z,05e4d82e-beca-4184-a891-e362f3c5c693,7918000f-f66c-4750-b2c6-3277bc3bfcd3,0,4.0,0.0,,9a29cc2f-43f4-4512-b816-86567197dc90,9aa518b2-55c0-4256-81fb-8a37c9451c39,10.0,9.0,0.0,,False,True,9aa518b2-55c0-4256-81fb-8a37c9451c39
