Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
II Turniej Lokalny w Gralni u Tolkiena,a707d694-a48a-4919-926a-b15854d90ae4,Runda 3 - Contest,b235708e-a982-45e9-867d-d7c176d73f92,FINISHED,90632f66-1ab2-4f96-8c60-bfdc11fd4c54,,2026-04-25T13:52:32.576Z,e0555c83-4078-498f-a50c-86ba12f60ea7,7d79e669-7010-4328-bbf5-3f7203dddd9a,0,0,,True,34e93cbd-dc5b-47ef-abdb-4e0cfec871d4,4312b892-eb2e-491a-b14a-6f7cff1ab128,6.0,18.0,,,False,False,4312b892-eb2e-491a-b14a-6f7cff1ab128
II Turniej Lokalny w Gralni u Tolkiena,a707d694-a48a-4919-926a-b15854d90ae4,Runda 3 - Contest,b235708e-a982-45e9-867d-d7c176d73f92,FINISHED,6c9fb439-1788-4326-a42b-025f6540a1dc,,2026-04-25T14:32:41.079Z,fcd0f4bb-32d0-436f-8641-b26e0381bff1,e2298cc6-bfb8-4887-8d53-87101ac98cfa,3,4,,False,1633c826-6541-4822-b36a-b1581db51d5a,7ca2b5ee-c648-4e98-bcba-50d159612ecc,3.0,4.0,,False,False,False,7ca2b5ee-c648-4e98-bcba-50d159612ecc
II Turniej Lokalny w Gralni u Tolkiena,a707d694-a48a-4919-926a-b15854d90ae4,Runda 3 - Contest,b235708e-a982-45e9-867d-d7c176d73f92,FINISHED,072e2b67-f67a-4e4d-b952-87890c703db4,,2026-04-25T14:38:07.866Z,8f99e618-531f-45f2-a041-3fe70ed49cf2,5f55d7f6-e77c-45a0-b083-60691560a665,0,1,,True,2c4a7277-945b-4225-bbe3-5bcbe3e34322,1e2ff82c-8d15-489c-bbfd-dca8a2156d20,6.0,16.0,,True,False,False,1e2ff82c-8d15-489c-bbfd-dca8a2156d20
II Turniej Lokalny w Gralni u Tolkiena,a707d694-a48a-4919-926a-b15854d90ae4,Runda 3 - Contest,b235708e-a982-45e9-867d-d7c176d73f92,FINISHED,b121dab6-aa9a-474b-b094-e8747a1466c6,,2026-04-25T14:58:22.279Z,0c0c0d4c-6baa-491f-8244-69e0b9d9aecf,bbe7d7b9-232d-4b4d-a17a-5f4c72ea758b,0,0,,,9a897ea5-6ccd-443d-9db6-1a70d4558024,a8c5dace-3769-45a7-9812-c134eda0fcae,6.0,18.0,,True,False,False,a8c5dace-3769-45a7-9812-c134eda0fcae
II Turniej Lokalny w Gralni u Tolkiena,a707d694-a48a-4919-926a-b15854d90ae4,Runda 3 - Contest,b235708e-a982-45e9-867d-d7c176d73f92,FINISHED,b592fd65-c82f-4092-b96b-fcebad39432e,,2026-04-25T14:58:52.478Z,82f7222a-86ba-4416-9c77-52ff45590717,9fa82917-385d-469e-84c0-8db3e5214cd5,6,16,,,b15bb740-024b-42ef-8f38-e0dc89e6e484,71f6c901-9166-432e-a2fc-72482a414ffa,0.0,3.0,,,False,False,71f6c901-9166-432e-a2fc-72482a414ffa
II Turniej Lokalny w Gralni u Tolkiena,a707d694-a48a-4919-926a-b15854d90ae4,Runda 3 - Contest,b235708e-a982-45e9-867d-d7c176d73f92,FINISHED,412bfde2-d3fb-4516-8866-dc79ad616691,,2026-04-25T15:00:06.532Z,59c41be0-633a-46b1-87a9-eadf0f75606f,62553300-be05-4e64-a57e-a9d7ea1b9e88,6,15,,,6ebe7531-af5f-4c2a-bf31-75624e6b0af9,567ef85f-784a-4f4e-90b3-852f005c8308,0.0,3.0,,,False,False,567ef85f-784a-4f4e-90b3-852f005c8308
II Turniej Lokalny w Gralni u Tolkiena,a707d694-a48a-4919-926a-b15854d90ae4,Runda 3 - Contest,b235708e-a982-45e9-867d-d7c176d73f92,FINISHED,056e8612-7d1c-4241-96b3-66c76b3a4fa7,,2026-04-25T15:10:28.278Z,d77c6f60-bae9-4c08-a19a-f1001200751b,e193927e-381f-4695-ac85-685e297bb182,0,1,,False,67b45705-0c81-4dfb-85f0-f7da3a7d36d0,3d3c9443-6720-45cd-9b05-449182fcbbde,6.0,16.0,,,False,False,3d3c9443-6720-45cd-9b05-449182fcbbde
II Turniej Lokalny w Gralni u Tolkiena,a707d694-a48a-4919-926a-b15854d90ae4,Runda 3 - Contest,b235708e-a982-45e9-867d-d7c176d73f92,FINISHED,992d3eed-5c62-4f9a-a57a-07af07ee22e5,,2026-04-25T14:55:34.361Z,59cd4d50-9904-4232-b5d1-94c68a42922b,71f045ad-ce24-4e8b-865a-1dc0f634a42d,0,3,,False,50557f13-bcc8-4d4b-999d-4536b6058248,4e8fbce8-9600-4b61-af86-6731e366fce3,6.0,10.0,,False,False,False,4e8fbce8-9600-4b61-af86-6731e366fce3
II Turniej Lokalny w Gralni u Tolkiena,a707d694-a48a-4919-926a-b15854d90ae4,Runda 3 - Contest,b235708e-a982-45e9-867d-d7c176d73f92,FINISHED,beac9814-d4f1-4e59-94cc-6ecb15e6294e,,2026-04-25T15:10:36.281Z,9704da0b-aa68-4d81-87b8-54225d41a0c1,6df80142-0804-43f3-910e-3d51131586cf,3,0,,,8e8a54ed-5bdc-431a-a959-e5476debfe1d,72214086-3cc8-4fa1-8520-7a6de92529de,3.0,0.0,,False,False,False,72214086-3cc8-4fa1-8520-7a6de92529de
II Turniej Lokalny w Gralni u Tolkiena,a707d694-a48a-4919-926a-b15854d90ae4,Runda 3 - Contest,b235708e-a982-45e9-867d-d7c176d73f92,FINISHED,e1311fe6-34be-45de-a222-178b26f2453f,,2026-04-25T15:10:42.323Z,195532d8-313b-435a-8daa-eed035042993,bddcaa23-409a-484d-958f-51237c9c91fc,0,6,,,1eea9e8e-e7ec-48e6-8c7f-f98619ec0968,6f641816-8973-4f1f-b906-3b33d5710be9,6.0,12.0,,True,False,False,6f641816-8973-4f1f-b906-3b33d5710be9
II Turniej Lokalny w Gralni u Tolkiena,a707d694-a48a-4919-926a-b15854d90ae4,Runda 3 - Contest,b235708e-a982-45e9-867d-d7c176d73f92,FINISHED,ddf2f65b-8420-499f-9ef4-db1b89ea1be5,,2026-04-25T15:11:16.207Z,1361d3d4-27b5-4420-8334-9708a5859967,2a69f764-5cb1-4177-9200-d58b7117a089,6,18,,True,15a4868a-e4eb-467f-a62c-cac4d6df0336,85957767-d604-4460-ae07-03ab98459800,0.0,0.0,,,False,False,2a69f764-5cb1-4177-9200-d58b7117a089
II Turniej Lokalny w Gralni u Tolkiena,a707d694-a48a-4919-926a-b15854d90ae4,Runda 3 - Contest,b235708e-a982-45e9-867d-d7c176d73f92,FINISHED,24020826-cb97-4667-a760-d8e20f71723f,,2026-04-25T15:02:48.964Z,e8811d45-bdb5-496d-9a69-6efc97b163a0,cbfbcd40-cbf7-4546-885f-4d061496fe8c,0,0,,False,1faa77ab-013e-47e1-9b51-583f173964ac,f99891d1-d482-4c43-b373-ff9a7faf530e,6.0,18.0,,,False,False,2a69f764-5cb1-4177-9200-d58b7117a089
II Turniej Lokalny w Gralni u Tolkiena,a707d694-a48a-4919-926a-b15854d90ae4,Runda 2 size de prize,18fb9ba5-59ab-42cd-8c1d-a627042dc881,FINISHED,cd46e0ca-7782-4330-8a50-8a7f77a10123,,2026-04-25T11:52:58.260Z,2d82a63b-278d-46a2-8a6f-ffcde67d96ff,2a69f764-5cb1-4177-9200-d58b7117a089,0,1,,True,23c33579-ea9c-4bde-a6dd-0161cf670513,1e2ff82c-8d15-489c-bbfd-dca8a2156d20,6.0,14.0,,True,False,False,1e2ff82c-8d15-489c-bbfd-dca8a2156d20
II Turniej Lokalny w Gralni u Tolkiena,a707d694-a48a-4919-926a-b15854d90ae4,Runda 2 size de prize,18fb9ba5-59ab-42cd-8c1d-a627042dc881,FINISHED,74e1c93f-9f2c-422a-9530-6b079977be2d,,2026-04-25T12:12:27.540Z,5dcdabc3-ea9e-469a-a394-877895269be0,e193927e-381f-4695-ac85-685e297bb182,0,1,,,f1e852df-7093-47bb-9143-6a4d644773f8,5d01b02f-444d-4547-958a-e2dcac24e017,3.0,18.0,,,False,False,5d01b02f-444d-4547-958a-e2dcac24e017
II Turniej Lokalny w Gralni u Tolkiena,a707d694-a48a-4919-926a-b15854d90ae4,Runda 2 size de prize,18fb9ba5-59ab-42cd-8c1d-a627042dc881,FINISHED,905fcbc5-34ba-440c-9a35-50e1c3940d0b,,2026-04-25T12:14:56.117Z,5aebce03-440c-4efa-af33-3690e52700be,62553300-be05-4e64-a57e-a9d7ea1b9e88,0,0,,,75675fa2-e932-4c0a-806d-f8a4f152466b,72214086-3cc8-4fa1-8520-7a6de92529de,6.0,8.0,,False,False,False,72214086-3cc8-4fa1-8520-7a6de92529de
