Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
II Turniej MiniMESBG w Mr. Puggy - 314p,7da15c99-a5c0-498b-930d-38614fd5ea77,Runda 4 Treasure Hoard,4b86f5fa-f81e-40d6-9e00-b7baef7c83df,FINISHED,dbe36014-941b-4c1c-a70b-0ebaca0928e3,0,2026-03-14T14:16:04.989Z,fc425b88-aca8-4ea1-8d6b-f2025155b9d7,34c9fb25-33ab-4603-b448-3bd7a99b46e0,4.0,4,0.0,,1085ebef-b0ad-40c3-b857-74f82fe1f10b,1e4b9bdf-6062-4736-aef3-52bc568f8803,608,8,0.0,,False,False,18bc28b3-714d-4a11-972d-514a54145413
II Turniej MiniMESBG w Mr. Puggy - 314p,7da15c99-a5c0-498b-930d-38614fd5ea77,Runda 4 Treasure Hoard,4b86f5fa-f81e-40d6-9e00-b7baef7c83df,FINISHED,6e8f6583-30b0-488a-b17c-2eba4bcf13e2,1,2026-03-14T14:16:04.989Z,4ca6fe33-a6c2-4f55-9a9e-8c16565b0769,7562fb11-cb65-4132-ada1-93cd2fc58f9f,613.0,13,,,43751518-6d59-4a2d-9524-76ba9cc5737d,cb518781-9079-4152-8521-cccd862ff1d3,6,6,,,False,False,18bc28b3-714d-4a11-972d-514a54145413
II Turniej MiniMESBG w Mr. Puggy - 314p,7da15c99-a5c0-498b-930d-38614fd5ea77,Runda 4 Treasure Hoard,4b86f5fa-f81e-40d6-9e00-b7baef7c83df,FINISHED,dc888ab8-bd3b-4c7a-b662-62550b7f25cd,2,2026-03-14T14:16:04.989Z,e78ca241-8961-4c32-8c76-d75cb8c32550,83f6f224-a83f-4b8a-8284-e19085482720,510.0,10,0.0,,1119a7b0-45c9-4818-905d-ecb31f0104c8,2a392470-f47d-4fff-a8b9-37d9cbbe2361,107,7,0.0,,True,False,83f6f224-a83f-4b8a-8284-e19085482720
II Turniej MiniMESBG w Mr. Puggy - 314p,7da15c99-a5c0-498b-930d-38614fd5ea77,Runda 4 Treasure Hoard,4b86f5fa-f81e-40d6-9e00-b7baef7c83df,FINISHED,dc00766a-15f5-492d-b3be-9f8c209c403a,3,2026-03-14T14:16:04.989Z,488c5c66-6bba-4029-bf9c-6e0cfd73e28e,6e8fd6ad-52e1-4877-84dc-2fce2d7ab7da,2.0,2,0.0,,52f75661-f5bf-41e6-935e-512b87bda26c,22a23162-8fd8-4dcc-833c-430aafa67491,609,9,0.0,,False,False,18bc28b3-714d-4a11-972d-514a54145413
II Turniej MiniMESBG w Mr. Puggy - 314p,7da15c99-a5c0-498b-930d-38614fd5ea77,Runda 4 Treasure Hoard,4b86f5fa-f81e-40d6-9e00-b7baef7c83df,FINISHED,c11ebc68-fb94-406d-9d8c-c192940fb577,4,2026-03-14T14:16:04.989Z,93597245-47f0-43d1-b6b6-b3cd846d31ba,feae9d4e-3e5c-465a-ad1e-b165f644f16f,5.0,5,,False,01c2e822-02a1-4b82-a343-f89f9bdb3dfb,18bc28b3-714d-4a11-972d-514a54145413,612,12,,True,False,True,18bc28b3-714d-4a11-972d-514a54145413
II Turniej MiniMESBG w Mr. Puggy - 314p,7da15c99-a5c0-498b-930d-38614fd5ea77,Runda 4 Treasure Hoard,4b86f5fa-f81e-40d6-9e00-b7baef7c83df,FINISHED,2e7c75af-4457-4284-b213-dc2e7a870b1b,5,2026-03-14T14:16:04.989Z,38b476a3-c319-4fea-991f-288fe63d14ad,b1da1ba2-7866-4e07-905e-53c474b5cd72,612.0,12,0.0,,38c17435-b91a-490e-8514-92643ec445ef,59614550-aefe-45cd-b768-5f8310065c35,6,6,0.0,,False,False,18bc28b3-714d-4a11-972d-514a54145413
II Turniej MiniMESBG w Mr. Puggy - 314p,7da15c99-a5c0-498b-930d-38614fd5ea77,Runda 3 Stake a Claim,627547d5-d282-4795-9766-c44742ab0d79,FINISHED,e2955120-afe2-42ab-9e01-7c0a893a6e1d,0,2026-03-14T12:32:50.129Z,f835004c-afda-4b35-bf00-ee2d581892a4,cb518781-9079-4152-8521-cccd862ff1d3,,0,,,c2b57383-dee4-4c43-867e-90da3558b51e,34c9fb25-33ab-4603-b448-3bd7a99b46e0,606,6,,,False,False,18bc28b3-714d-4a11-972d-514a54145413
II Turniej MiniMESBG w Mr. Puggy - 314p,7da15c99-a5c0-498b-930d-38614fd5ea77,Runda 3 Stake a Claim,627547d5-d282-4795-9766-c44742ab0d79,FINISHED,43082c9d-a158-49a4-ab4e-fba15ab1ed92,1,2026-03-14T12:32:50.129Z,39d8f07f-773b-4bb7-b1cc-ee4ec3b642c7,1e4b9bdf-6062-4736-aef3-52bc568f8803,610.0,10,0.0,,395b4fc2-1d4d-431f-a4e4-d4c73c720ab4,2a392470-f47d-4fff-a8b9-37d9cbbe2361,2,2,0.0,,False,False,18bc28b3-714d-4a11-972d-514a54145413
II Turniej MiniMESBG w Mr. Puggy - 314p,7da15c99-a5c0-498b-930d-38614fd5ea77,Runda 3 Stake a Claim,627547d5-d282-4795-9766-c44742ab0d79,FINISHED,63e418b6-f996-40c3-84e0-2e70271d92e3,2,2026-03-14T12:32:50.129Z,9917a61b-607f-4ecd-a6e8-95a1eb09c30a,83f6f224-a83f-4b8a-8284-e19085482720,507.0,7,0.0,,8e3da7e8-aa3e-45a5-a299-ec9ef2567ff4,feae9d4e-3e5c-465a-ad1e-b165f644f16f,104,4,0.0,True,False,False,18bc28b3-714d-4a11-972d-514a54145413
II Turniej MiniMESBG w Mr. Puggy - 314p,7da15c99-a5c0-498b-930d-38614fd5ea77,Runda 3 Stake a Claim,627547d5-d282-4795-9766-c44742ab0d79,FINISHED,71fef8ea-95cc-4153-8494-b1b25ed49e00,3,2026-03-14T12:32:50.129Z,2f6115a8-2995-4be3-862d-5278f64aaee5,b1da1ba2-7866-4e07-905e-53c474b5cd72,0.0,0,,,c7fc587c-564a-4aa0-b3bc-b4c9024370a4,7562fb11-cb65-4132-ada1-93cd2fc58f9f,617,17,,,False,False,18bc28b3-714d-4a11-972d-514a54145413
