Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
II turniej lokalny Westfold - Szczecin 2026,0aee7201-5ca0-4f5f-ae77-5c35238697ff,Round 1 - Convergence,d5048df1-5dc3-4fb5-aeb0-7e090b0ad287,FINISHED,e8b454b4-5b42-49b4-b980-08f916aa1516,0,2026-07-19T08:25:13.049Z,f4d8f49c-b228-4f2a-a167-69cb84b477bf,47915dd8-d524-4e97-b139-1bf588d5cd06,15,11,0,True,32996158-35f8-4516-b817-46c7bba65216,b198fdf3-c0a5-49b2-926c-6738e320857b,0,1,0,,False,True,b198fdf3-c0a5-49b2-926c-6738e320857b
II turniej lokalny Westfold - Szczecin 2026,0aee7201-5ca0-4f5f-ae77-5c35238697ff,Round 1 - Convergence,d5048df1-5dc3-4fb5-aeb0-7e090b0ad287,FINISHED,e5d32329-3415-42a4-9032-9b64b61684a0,1,2026-07-19T08:25:13.049Z,bd2292c4-dcf9-4fde-a4b0-780b945500d7,edded3b8-0f4e-4a09-a41f-fe3e813f1c28,0,1,0,True,995397c2-24e2-47da-a974-d1a85eaf595b,4a511f44-0b5e-4f86-b9ea-6db298859c11,15,18,0,True,False,True,4a511f44-0b5e-4f86-b9ea-6db298859c11
II turniej lokalny Westfold - Szczecin 2026,0aee7201-5ca0-4f5f-ae77-5c35238697ff,Round 1 - Convergence,d5048df1-5dc3-4fb5-aeb0-7e090b0ad287,FINISHED,e204079c-7401-4f01-b37a-af259dc8e5bb,2,2026-07-19T08:25:13.049Z,0f424ff1-47a2-4bff-9ae8-ab91ed0c09d1,8584b195-954a-48ed-85bb-22d759304615,11,11,0,,e5f2e59f-c820-41dd-9713-dfbc44f32568,8c83c062-2338-4fcc-9aa7-9d698819864b,5,9,0,True,False,True,8c83c062-2338-4fcc-9aa7-9d698819864b
II turniej lokalny Westfold - Szczecin 2026,0aee7201-5ca0-4f5f-ae77-5c35238697ff,Round 1 - Convergence,d5048df1-5dc3-4fb5-aeb0-7e090b0ad287,FINISHED,6bd6f7bb-2cce-4e7e-8662-030c5c56f124,3,2026-07-19T08:25:13.049Z,52b3a93b-97a0-48ba-a7b8-afea86c5ee96,5087c148-6894-4870-8b45-ab9c2b463163,11,9,0,False,c73ce9fb-bceb-4e40-8abf-9f64ebe0ccc0,5008d89c-9a84-455c-befd-5ef519cf27d1,5,7,0,False,False,True,5008d89c-9a84-455c-befd-5ef519cf27d1
II turniej lokalny Westfold - Szczecin 2026,0aee7201-5ca0-4f5f-ae77-5c35238697ff,Round 1 - Convergence,d5048df1-5dc3-4fb5-aeb0-7e090b0ad287,FINISHED,bae9f22f-194c-44c6-8301-615657a992f6,4,2026-07-19T08:25:13.049Z,edf86493-edd8-4d37-87d1-7037be4f79df,54d3ff31-5449-403a-b135-a2859e38fe7f,0,0,0,,5c0a10c3-d65b-4534-b44e-42c4441a3dba,d46af0a2-c60d-45ef-9286-540bdc4ee510,15,20,0,True,True,True,d46af0a2-c60d-45ef-9286-540bdc4ee510
II turniej lokalny Westfold - Szczecin 2026,0aee7201-5ca0-4f5f-ae77-5c35238697ff,Runda 2 - Domination,66e24d54-e413-4abb-813c-d5392ceb2547,FINISHED,8642357d-0927-49f2-809e-8420f3a77f6e,0,2026-07-19T11:39:03.457Z,d01811fc-8b92-4f83-b4b2-af82d3103318,4a511f44-0b5e-4f86-b9ea-6db298859c11,11,10,0,True,db9f4828-32f3-4435-88b9-158bee55fb3e,d46af0a2-c60d-45ef-9286-540bdc4ee510,5,8,0,False,True,False,4a511f44-0b5e-4f86-b9ea-6db298859c11
II turniej lokalny Westfold - Szczecin 2026,0aee7201-5ca0-4f5f-ae77-5c35238697ff,Runda 2 - Domination,66e24d54-e413-4abb-813c-d5392ceb2547,FINISHED,f569a0ad-b53a-47e7-98c1-67e9b5ce50a7,1,2026-07-19T11:39:03.457Z,8261ae43-37ef-4788-a14a-6406f1c22bb9,47915dd8-d524-4e97-b139-1bf588d5cd06,11,11,0,,037f986f-0b37-44aa-85b1-febe4425ceff,8584b195-954a-48ed-85bb-22d759304615,5,5,0,,True,False,47915dd8-d524-4e97-b139-1bf588d5cd06
II turniej lokalny Westfold - Szczecin 2026,0aee7201-5ca0-4f5f-ae77-5c35238697ff,Runda 2 - Domination,66e24d54-e413-4abb-813c-d5392ceb2547,FINISHED,a9c8946e-b30d-4970-8efc-7df9859142e9,2,2026-07-19T11:39:03.457Z,d759f3d6-75c6-4821-b455-54a46d3b2661,5087c148-6894-4870-8b45-ab9c2b463163,0,2,0,False,ddd336d2-512a-4949-8af4-b25fca417eb4,8c83c062-2338-4fcc-9aa7-9d698819864b,15,17,0,False,False,True,8c83c062-2338-4fcc-9aa7-9d698819864b
II turniej lokalny Westfold - Szczecin 2026,0aee7201-5ca0-4f5f-ae77-5c35238697ff,Runda 2 - Domination,66e24d54-e413-4abb-813c-d5392ceb2547,FINISHED,5cc77d91-59ee-48c9-87f1-1140801b8fc3,3,2026-07-19T11:39:03.457Z,7599ff54-d535-424c-b198-ef8f9606ccdf,5008d89c-9a84-455c-befd-5ef519cf27d1,5,6,0,False,fc2787fa-00e3-4dc1-bc73-3f0439cdc7c7,54d3ff31-5449-403a-b135-a2859e38fe7f,11,8,0,,False,True,54d3ff31-5449-403a-b135-a2859e38fe7f
II turniej lokalny Westfold - Szczecin 2026,0aee7201-5ca0-4f5f-ae77-5c35238697ff,Runda 2 - Domination,66e24d54-e413-4abb-813c-d5392ceb2547,FINISHED,a6552aeb-7e26-4c97-8c32-7188d58f0278,4,2026-07-19T11:39:03.457Z,fcea632b-2cde-4c66-9257-c433c9f5b228,b198fdf3-c0a5-49b2-926c-6738e320857b,5,5,0,,c3d09987-d0a5-47a2-98c9-5a7d55fc8b32,edded3b8-0f4e-4a09-a41f-fe3e813f1c28,11,8,0,True,False,False,8c83c062-2338-4fcc-9aa7-9d698819864b
