Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
I Oxfordzki Szkolny Turniej w Middle-earth SBG! ,ea0efc38-66ab-4dc0-95a4-a3ffbf35bf31,Seizes the prizes ,82eb565e-8bfb-4f04-b335-1dd989955c7c,FINISHED,2be07d1c-d208-4a42-8f06-cd4c1f2d4491,0,2025-12-20T11:56:04.469Z,297f368f-afaa-4b88-abc4-5433cbab5ab9,869300c0-1611-4a41-84e8-bb7e3afa22f9,10,15,0.0,,9afa86bf-9a1f-48a0-ba02-8fa442db50af,7129c934-aacc-4988-9527-976c04e381ac,0.0,5,0.0,,True,False,869300c0-1611-4a41-84e8-bb7e3afa22f9
I Oxfordzki Szkolny Turniej w Middle-earth SBG! ,ea0efc38-66ab-4dc0-95a4-a3ffbf35bf31,Seizes the prizes ,82eb565e-8bfb-4f04-b335-1dd989955c7c,FINISHED,0bd45b82-32cf-428c-a775-3aaeb59629a6,1,2025-12-20T11:56:04.469Z,77780c60-d129-4df8-a967-9572b1ca30dd,bb2a8efe-f745-4f44-94ee-831d41404935,10,14,0.0,,9c0df614-b1a7-4af4-8e16-9100da731350,0d4776d9-63a3-4ffe-989f-ca6e8925fa18,0.0,0,0.0,,True,False,bb2a8efe-f745-4f44-94ee-831d41404935
I Oxfordzki Szkolny Turniej w Middle-earth SBG! ,ea0efc38-66ab-4dc0-95a4-a3ffbf35bf31,Seizes the prizes ,82eb565e-8bfb-4f04-b335-1dd989955c7c,FINISHED,6e366f3b-ee95-419a-9867-4ad5d559230e,2,2025-12-20T11:56:04.469Z,1ae281c4-4b31-436c-a089-e40ae88cedc5,83253c68-f02c-46cf-86c7-4e574c79154b,10,12,,,22cf82e3-e2e7-4d7e-a66f-c7e64077562d,3c04607e-c9ba-4842-a2d4-11817bdc5927,,3,,,False,False,8cf73c83-a3a1-4dd6-8882-e8dd30912ab1
I Oxfordzki Szkolny Turniej w Middle-earth SBG! ,ea0efc38-66ab-4dc0-95a4-a3ffbf35bf31,Seizes the prizes ,82eb565e-8bfb-4f04-b335-1dd989955c7c,FINISHED,d1ab180c-d44a-4b84-b986-2207e4bcb8ce,3,2025-12-20T11:56:04.469Z,50e28e25-5548-4d11-988a-a9da89860596,e3be0c1a-33fa-4825-993f-8d84b55c47c0,10,13,0.0,False,cd276a73-0cac-4f8b-9099-efb9c177f806,7918000f-f66c-4750-b2c6-3277bc3bfcd3,0.0,1,0.0,,True,False,e3be0c1a-33fa-4825-993f-8d84b55c47c0
I Oxfordzki Szkolny Turniej w Middle-earth SBG! ,ea0efc38-66ab-4dc0-95a4-a3ffbf35bf31,Seizes the prizes ,82eb565e-8bfb-4f04-b335-1dd989955c7c,FINISHED,95708972-3869-4352-9dd7-8852f47a1425,4,2025-12-20T11:56:04.469Z,63b0f7f6-b786-4090-9c71-af1e254930bb,b443bdaf-6c91-40ca-a80f-57f61aefd0ac,5,4,0.0,,8bfb111e-0137-445b-a724-3c88b00d2d6a,f389357a-f3f0-4aca-b121-e0e809448b29,5.0,4,0.0,,False,False,8cf73c83-a3a1-4dd6-8882-e8dd30912ab1
I Oxfordzki Szkolny Turniej w Middle-earth SBG! ,ea0efc38-66ab-4dc0-95a4-a3ffbf35bf31,Seizes the prizes ,82eb565e-8bfb-4f04-b335-1dd989955c7c,FINISHED,d3816305-ac47-4c5b-b7f5-aac44f8cc4f0,5,2025-12-20T11:56:04.469Z,8d030eb2-e71c-40ca-a6d5-5f53a64667f2,26e6a6e5-8ef2-4c08-8e4f-b89566241f24,10,15,0.0,,484211c4-5c72-4f6a-94cf-5eff5237de03,414fda48-9033-4287-8354-97a00a0f05f7,0.0,0,0.0,,True,False,26e6a6e5-8ef2-4c08-8e4f-b89566241f24
I Oxfordzki Szkolny Turniej w Middle-earth SBG! ,ea0efc38-66ab-4dc0-95a4-a3ffbf35bf31,Seizes the prizes ,82eb565e-8bfb-4f04-b335-1dd989955c7c,FINISHED,4aa0f689-3055-4da9-99d1-3bd576f185d3,6,2025-12-20T11:56:04.469Z,57d736da-3e82-4d3e-bcb6-be6b70dc3935,cdd350b4-460e-4cc2-abcf-11d0373f846f,8,9,0.0,,d4f6b871-e9b9-4fd0-9ce1-1b0a20a89f81,cac86e2c-37c8-48e2-a085-c23de0f1bee2,2.0,7,0.0,,False,True,cac86e2c-37c8-48e2-a085-c23de0f1bee2
I Oxfordzki Szkolny Turniej w Middle-earth SBG! ,ea0efc38-66ab-4dc0-95a4-a3ffbf35bf31,Hold Ground ,c0431310-a52d-4576-b0be-97606dda3d53,FINISHED,55e3ced8-eb2d-4d3e-bb0a-63195992e6e1,0,2025-12-20T09:58:35.785Z,b78b42da-d70b-4546-a4ba-1aa81c94e544,3c04607e-c9ba-4842-a2d4-11817bdc5927,0,0,0.0,,94467f19-f25c-4cdd-8eb3-ad2b6817feaf,7129c934-aacc-4988-9527-976c04e381ac,10.0,20,0.0,,False,True,7129c934-aacc-4988-9527-976c04e381ac
I Oxfordzki Szkolny Turniej w Middle-earth SBG! ,ea0efc38-66ab-4dc0-95a4-a3ffbf35bf31,Hold Ground ,c0431310-a52d-4576-b0be-97606dda3d53,FINISHED,9844d156-52c2-46fc-9f14-f48d267d4604,1,2025-12-20T09:58:35.785Z,7009c102-d5f4-482f-8064-903f9b0657c7,869300c0-1611-4a41-84e8-bb7e3afa22f9,10,20,0.0,,4c7dd481-2055-4033-91f5-05f94a7c5835,0d4776d9-63a3-4ffe-989f-ca6e8925fa18,0.0,0,0.0,,True,False,869300c0-1611-4a41-84e8-bb7e3afa22f9
I Oxfordzki Szkolny Turniej w Middle-earth SBG! ,ea0efc38-66ab-4dc0-95a4-a3ffbf35bf31,Hold Ground ,c0431310-a52d-4576-b0be-97606dda3d53,FINISHED,9b533eb9-3c45-4ed1-ab62-a9b11f0e510e,2,2025-12-20T09:58:35.785Z,acd4d18d-51e9-4b89-8ed2-d87169282524,e3be0c1a-33fa-4825-993f-8d84b55c47c0,0,1,0.0,True,fcf213f4-582c-4d89-b8ba-1b295c60fc5c,bb2a8efe-f745-4f44-94ee-831d41404935,10.0,12,0.0,,False,True,bb2a8efe-f745-4f44-94ee-831d41404935
