Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
I Turniej Lokalny w Gralni u Tolkiena ,301dafd1-8726-4a1c-817f-e8f2c37893dc,Runda 2 Clash by Moonlight,b6df9524-a9b0-4148-a0ea-1541b25570a1,FINISHED,dfb4e28f-37f7-475d-9ad6-c014235fd9aa,0,2026-03-28T10:53:05.900Z,c14a5cc0-08a5-4ec9-a0e5-8762d9db220e,dfae3b97-3154-43b8-a7cf-26ece499fa82,0,2,0,,6adb35e2-61ec-4f15-9f45-4b9943dfe0aa,71f045ad-ce24-4e8b-865a-1dc0f634a42d,6,9,0,,False,True,71f045ad-ce24-4e8b-865a-1dc0f634a42d
I Turniej Lokalny w Gralni u Tolkiena ,301dafd1-8726-4a1c-817f-e8f2c37893dc,Runda 2 Clash by Moonlight,b6df9524-a9b0-4148-a0ea-1541b25570a1,FINISHED,adff03f1-48d0-4237-9998-d7bf01089753,1,2026-03-28T10:53:05.900Z,dc045d95-c2d9-4bec-9166-9513d2b10f32,85957767-d604-4460-ae07-03ab98459800,0,0,0,,fda6fef4-9019-4743-bbd1-241f8cf0ef86,6df80142-0804-43f3-910e-3d51131586cf,6,18,0,,False,True,6df80142-0804-43f3-910e-3d51131586cf
I Turniej Lokalny w Gralni u Tolkiena ,301dafd1-8726-4a1c-817f-e8f2c37893dc,Runda 2 Clash by Moonlight,b6df9524-a9b0-4148-a0ea-1541b25570a1,FINISHED,ec479417-c360-4338-a2ac-fd46da4d4349,2,2026-03-28T10:53:05.900Z,9e8bcadc-6cff-4924-a7f2-892c1046f40f,08415651-02b1-4f99-92db-758e55efce47,0,0,0,True,df5b93a4-196d-40a6-aef9-18bca3321c10,e11c9221-5fee-4a26-b4a8-23f3ee654de2,6,7,0,True,True,False,08415651-02b1-4f99-92db-758e55efce47
I Turniej Lokalny w Gralni u Tolkiena ,301dafd1-8726-4a1c-817f-e8f2c37893dc,Runda 2 Clash by Moonlight,b6df9524-a9b0-4148-a0ea-1541b25570a1,FINISHED,2e9e31ad-1c01-45cc-9f30-c16a526e8630,3,2026-03-28T10:53:05.900Z,68340d68-d165-4b4b-b010-cd67da8b72a5,72214086-3cc8-4fa1-8520-7a6de92529de,6,12,0,True,54415a4d-cad4-46de-b4e8-39ec794da0ce,9641c0c9-16e9-4bb7-a7f4-e73245f48db2,0,1,0,False,True,False,72214086-3cc8-4fa1-8520-7a6de92529de
I Turniej Lokalny w Gralni u Tolkiena ,301dafd1-8726-4a1c-817f-e8f2c37893dc,Runda 2 Clash by Moonlight,b6df9524-a9b0-4148-a0ea-1541b25570a1,FINISHED,34f93fce-98d9-416a-874e-6b909f6e0b4a,4,2026-03-28T10:53:05.900Z,bb261c82-643b-4166-acd0-ba5c12ae7edc,a8c5dace-3769-45a7-9812-c134eda0fcae,0,0,0,,dfdeb88b-94cd-47c2-a11c-565ca3462c5f,62553300-be05-4e64-a57e-a9d7ea1b9e88,6,13,0,,True,False,a8c5dace-3769-45a7-9812-c134eda0fcae
I Turniej Lokalny w Gralni u Tolkiena ,301dafd1-8726-4a1c-817f-e8f2c37893dc,Runda 2 Clash by Moonlight,b6df9524-a9b0-4148-a0ea-1541b25570a1,FINISHED,a31537be-b4e8-4bd6-abb6-c8c3b8eecd9e,5,2026-03-28T10:53:05.900Z,1e945ea7-078f-468c-8660-eb26bf2e6ef4,7d79e669-7010-4328-bbf5-3f7203dddd9a,0,0,0,False,2b1367df-3a54-4d50-b915-c5ceec2add89,9fa82917-385d-469e-84c0-8db3e5214cd5,6,20,0,,True,False,7d79e669-7010-4328-bbf5-3f7203dddd9a
I Turniej Lokalny w Gralni u Tolkiena ,301dafd1-8726-4a1c-817f-e8f2c37893dc,Runda 2 Clash by Moonlight,b6df9524-a9b0-4148-a0ea-1541b25570a1,FINISHED,e9f30434-2a44-412d-a28f-5ed705949f50,6,2026-03-28T10:53:05.900Z,a183ee2c-b2a3-4c1f-bbe8-11c6fadd534d,a46fa07b-c714-4a45-88f8-742a13295b30,3,5,0,False,8b3806bc-dacf-43b3-abb4-e87ce330664f,f99891d1-d482-4c43-b373-ff9a7faf530e,3,5,0,,True,False,a46fa07b-c714-4a45-88f8-742a13295b30
I Turniej Lokalny w Gralni u Tolkiena ,301dafd1-8726-4a1c-817f-e8f2c37893dc,Runda 2 Clash by Moonlight,b6df9524-a9b0-4148-a0ea-1541b25570a1,FINISHED,a1b8483a-29d8-4e5c-92f2-e72088318cfc,7,2026-03-28T10:53:05.900Z,0f025a5d-a8d3-482c-90c1-87bb9f0f2fbf,f405618d-668f-41b6-ad0a-41f72fa43cc9,0,5,0,True,cc44e804-ce42-4656-8c84-55e09a736ca8,1e2ff82c-8d15-489c-bbfd-dca8a2156d20,6,13,0,False,False,True,1e2ff82c-8d15-489c-bbfd-dca8a2156d20
I Turniej Lokalny w Gralni u Tolkiena ,301dafd1-8726-4a1c-817f-e8f2c37893dc,Runda 2 Clash by Moonlight,b6df9524-a9b0-4148-a0ea-1541b25570a1,FINISHED,946822c0-e700-423d-b0b5-4d3fa087d155,8,2026-03-28T10:53:05.900Z,0d72fa86-ced3-4109-b3a9-5e269a54f45e,bbe7d7b9-232d-4b4d-a17a-5f4c72ea758b,1,4,0,,212c9881-3174-43f4-8fed-f95b175a0c2d,eacb0c29-8302-462e-9e47-c61d95ce5ff3,5,8,0,True,False,True,eacb0c29-8302-462e-9e47-c61d95ce5ff3
I Turniej Lokalny w Gralni u Tolkiena ,301dafd1-8726-4a1c-817f-e8f2c37893dc,Runda 2 Clash by Moonlight,b6df9524-a9b0-4148-a0ea-1541b25570a1,FINISHED,aa99c385-ad54-4668-9505-1abeb88ab49d,9,2026-03-28T10:53:05.900Z,a2eb5419-d0c5-4a52-8498-91b7790ab5bf,fc60a35f-b85a-4f89-a673-8bd5a653504b,5,5,0,,22c18a22-d761-4b5e-852f-b3aa2cf927ba,3d3c9443-6720-45cd-9b05-449182fcbbde,1,4,0,,False,True,3d3c9443-6720-45cd-9b05-449182fcbbde
