Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
IV Turniej Lokalny w Gralni u Tolkiena,c4e5e6da-a3c7-4c88-8e67-f035db259da9,Pool 1,abf55031-8783-42a9-a3e5-d2266a4d67ef,FINISHED,b99e1067-67ca-4176-8b96-61226c911192,0,2026-06-27T12:38:00.250Z,44f54921-44a7-4f16-a28b-d2f4fdc0b04a,4e8fbce8-9600-4b61-af86-6731e366fce3,6,17,0,False,c5c1fb0b-4cb9-43f6-acb9-d5941b7e1320,6f641816-8973-4f1f-b906-3b33d5710be9,0,3,0,,True,False,4e8fbce8-9600-4b61-af86-6731e366fce3
IV Turniej Lokalny w Gralni u Tolkiena,c4e5e6da-a3c7-4c88-8e67-f035db259da9,Pool 1,abf55031-8783-42a9-a3e5-d2266a4d67ef,FINISHED,4192b9b1-eec9-40e2-af37-db0006e7cc8a,1,2026-06-27T12:38:00.250Z,a5a732d4-de6e-4e56-ab3b-c0c17d44c115,567ef85f-784a-4f4e-90b3-852f005c8308,6,8,0,False,bf769611-6b34-4472-8c2e-4a466d9f7d6e,dfae3b97-3154-43b8-a7cf-26ece499fa82,0,4,0,,True,False,567ef85f-784a-4f4e-90b3-852f005c8308
IV Turniej Lokalny w Gralni u Tolkiena,c4e5e6da-a3c7-4c88-8e67-f035db259da9,Pool 1,abf55031-8783-42a9-a3e5-d2266a4d67ef,FINISHED,a8f68ed9-092f-401d-ae63-2f922b7b56ac,2,2026-06-27T12:38:00.250Z,23e155c9-a2d7-491f-b416-66d23a8b67f1,6df80142-0804-43f3-910e-3d51131586cf,6,10,0,False,dac41a01-e6b9-4ba4-ac2d-5cce0f245f33,7d79e669-7010-4328-bbf5-3f7203dddd9a,0,3,0,False,True,False,6df80142-0804-43f3-910e-3d51131586cf
IV Turniej Lokalny w Gralni u Tolkiena,c4e5e6da-a3c7-4c88-8e67-f035db259da9,Pool 1,abf55031-8783-42a9-a3e5-d2266a4d67ef,FINISHED,2bbfe4c1-c541-4856-844c-69666615e8b3,3,2026-06-27T12:38:00.250Z,ac787785-b842-48ab-ba20-67fdefec1571,eacb0c29-8302-462e-9e47-c61d95ce5ff3,1,8,0,False,e2a6b24e-b446-44f1-bc55-b416096e5493,bbe7d7b9-232d-4b4d-a17a-5f4c72ea758b,5,11,0,True,False,True,bbe7d7b9-232d-4b4d-a17a-5f4c72ea758b
IV Turniej Lokalny w Gralni u Tolkiena,c4e5e6da-a3c7-4c88-8e67-f035db259da9,Pool 1,abf55031-8783-42a9-a3e5-d2266a4d67ef,FINISHED,71a76748-3bfb-40d7-bd2c-05e18583b310,4,2026-06-27T12:38:00.250Z,8fa1c77d-735f-40d0-ba8a-bf08a96e00f4,4312b892-eb2e-491a-b14a-6f7cff1ab128,1,5,0,False,b6df1e7b-2f0c-43b6-a507-625bd642e5ac,62553300-be05-4e64-a57e-a9d7ea1b9e88,5,7,0,False,True,False,4312b892-eb2e-491a-b14a-6f7cff1ab128
IV Turniej Lokalny w Gralni u Tolkiena,c4e5e6da-a3c7-4c88-8e67-f035db259da9,Pool 1,abf55031-8783-42a9-a3e5-d2266a4d67ef,FINISHED,8c2db515-fbc9-4dd5-9d44-61bfb1115d86,5,2026-06-27T12:38:00.250Z,8e02a7ab-65b3-47d8-adb6-1152ab2ec2a4,9fa82917-385d-469e-84c0-8db3e5214cd5,6,16,0,,08a29682-3c9f-4c7d-a98c-fee4fb598a5f,20a238b0-37e6-400b-a2a1-20935ab4cc00,0,0,0,,True,False,9fa82917-385d-469e-84c0-8db3e5214cd5
IV Turniej Lokalny w Gralni u Tolkiena,c4e5e6da-a3c7-4c88-8e67-f035db259da9,Pool 1,abf55031-8783-42a9-a3e5-d2266a4d67ef,FINISHED,9967d882-b0eb-4330-b326-21c4c25ae137,6,2026-06-27T12:38:00.250Z,d799e6fc-de0b-4dbc-af34-0d8cbe11732d,70681c2a-582d-4fda-8a1d-1a7d4b5e4d1d,0,3,0,False,3030c77e-1df9-43e3-a70d-645c77f386b2,3d3c9443-6720-45cd-9b05-449182fcbbde,6,11,0,True,False,True,3d3c9443-6720-45cd-9b05-449182fcbbde
IV Turniej Lokalny w Gralni u Tolkiena,c4e5e6da-a3c7-4c88-8e67-f035db259da9,Pool 5 - Manoeuvering,9886ae0e-31fa-4da0-8d9b-5e1e9830c65f,FINISHED,c9d2a956-45d5-493e-af03-ddb322a24c58,0,2026-06-27T10:15:12.278Z,95b76f73-bf38-499c-81d4-dfd61971cc1f,6df80142-0804-43f3-910e-3d51131586cf,1,0,0,False,a2ef6a87-7c4e-482a-96d6-f253ae52d667,6f641816-8973-4f1f-b906-3b33d5710be9,5,1,0,,False,False,4312b892-eb2e-491a-b14a-6f7cff1ab128
IV Turniej Lokalny w Gralni u Tolkiena,c4e5e6da-a3c7-4c88-8e67-f035db259da9,Pool 5 - Manoeuvering,9886ae0e-31fa-4da0-8d9b-5e1e9830c65f,FINISHED,b50a0fe8-fc7f-4e2d-b97e-cddfd9eba60b,1,2026-06-27T10:15:12.278Z,877b3283-0882-483c-8d09-f3f10794781a,4312b892-eb2e-491a-b14a-6f7cff1ab128,0,3,0,False,1e1d52e9-1fc9-4bb1-a173-e1ad563d7526,567ef85f-784a-4f4e-90b3-852f005c8308,6,9,0,False,True,True,567ef85f-784a-4f4e-90b3-852f005c8308
IV Turniej Lokalny w Gralni u Tolkiena,c4e5e6da-a3c7-4c88-8e67-f035db259da9,Pool 5 - Manoeuvering,9886ae0e-31fa-4da0-8d9b-5e1e9830c65f,FINISHED,562f59dc-b58c-455c-8231-3ce1219b7dc9,2,2026-06-27T10:15:12.278Z,f4ba8ebc-3282-4c6b-8831-e5022dbd7072,4e8fbce8-9600-4b61-af86-6731e366fce3,6,8,0,False,87ae376b-2ce5-4a94-a873-be14fa643cff,7d79e669-7010-4328-bbf5-3f7203dddd9a,0,4,0,False,True,False,4e8fbce8-9600-4b61-af86-6731e366fce3
