Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Indywidualne Mistrzostwa Polski Middle-Earth SBG 2026 (IMP 2026),4acc2947-7325-4fd3-b6c5-26d158dcfc50,BITWA VII - TREASURE HOARD,cd1bd479-e18b-4f6f-9702-0e47107d304e,FINISHED,8f6aee87-c890-44ba-baf6-3e3b30ffd95e,0,2026-03-08T12:59:50.323Z,ad659d58-22bc-40a2-bfb8-9cb4ac6a6e7c,c451779b-6172-4e1a-acbd-1b387949849d,15.0,12.0,0.0,False,e797e868-698e-4d39-a409-02df96ea25a1,804c4802-b3bc-41ec-9f1b-de92ffe4897e,0.0,3.0,0.0,False,True,False,c451779b-6172-4e1a-acbd-1b387949849d
Indywidualne Mistrzostwa Polski Middle-Earth SBG 2026 (IMP 2026),4acc2947-7325-4fd3-b6c5-26d158dcfc50,BITWA VII - TREASURE HOARD,cd1bd479-e18b-4f6f-9702-0e47107d304e,FINISHED,dd26b2a3-76bf-40cd-8341-a1c9dfca377d,1,2026-03-08T12:59:50.323Z,9fc3a99e-e296-47a2-b08b-a19dcca6351b,21c12fb0-4289-4df3-8bad-f18c2a49fd0d,0.0,5.0,0.0,False,fda9877d-ca64-4893-999d-09f76113bd66,5f6a7ffa-1a94-4176-a2f0-42f18d04a39e,15.0,15.0,0.0,True,False,True,5f6a7ffa-1a94-4176-a2f0-42f18d04a39e
Indywidualne Mistrzostwa Polski Middle-Earth SBG 2026 (IMP 2026),4acc2947-7325-4fd3-b6c5-26d158dcfc50,BITWA VII - TREASURE HOARD,cd1bd479-e18b-4f6f-9702-0e47107d304e,FINISHED,110a0cd7-34b1-4c3e-8245-a976248bd058,2,2026-03-08T12:59:50.323Z,5eeef023-c0ea-4f2a-ba51-586d66b31ebd,7825ed24-d5e7-4e12-b627-23c81c278c00,0.0,5.0,0.0,,620177af-8654-470f-bc02-70337680b447,4c85220b-667f-4d0b-b719-9c9ae145792d,15.0,13.0,0.0,False,False,True,4c85220b-667f-4d0b-b719-9c9ae145792d
Indywidualne Mistrzostwa Polski Middle-Earth SBG 2026 (IMP 2026),4acc2947-7325-4fd3-b6c5-26d158dcfc50,BITWA VII - TREASURE HOARD,cd1bd479-e18b-4f6f-9702-0e47107d304e,FINISHED,d66614c0-e971-4225-bbe3-79b0736fdd33,3,2026-03-08T12:59:50.323Z,97f59dd8-45d3-4191-b259-f7da6c1fc24f,93cda88b-c976-4e61-8f65-9a5a5f1ecf7b,15.0,16.0,0.0,True,37b40820-16b1-49a2-a77a-d19490b27adf,081b732c-68ef-4404-bf2c-b56519b96acd,0.0,2.0,0.0,True,False,True,081b732c-68ef-4404-bf2c-b56519b96acd
Indywidualne Mistrzostwa Polski Middle-Earth SBG 2026 (IMP 2026),4acc2947-7325-4fd3-b6c5-26d158dcfc50,BITWA VII - TREASURE HOARD,cd1bd479-e18b-4f6f-9702-0e47107d304e,FINISHED,da729a38-8335-44b1-9235-4f9d69e93e8f,4,2026-03-08T12:59:50.323Z,fcc73d2f-2628-43ec-875f-bf20c2fbfb41,a8c5dace-3769-45a7-9812-c134eda0fcae,0.0,6.0,0.0,False,2efd5ab3-e8eb-41eb-8d2f-e71bb8bc96b4,9d5bc521-d1ac-416e-952c-926b6aef9e60,15.0,14.0,0.0,False,False,True,9d5bc521-d1ac-416e-952c-926b6aef9e60
Indywidualne Mistrzostwa Polski Middle-Earth SBG 2026 (IMP 2026),4acc2947-7325-4fd3-b6c5-26d158dcfc50,BITWA VII - TREASURE HOARD,cd1bd479-e18b-4f6f-9702-0e47107d304e,FINISHED,8e08c15c-48ad-4ab7-bdf0-891f191b9636,5,2026-03-08T12:59:50.323Z,c3ce3332-974c-4e79-91c0-9bdf21288295,9357ea2e-af38-453d-9c2f-b828d5ccdfb6,15.0,13.0,0.0,False,13a64f5f-78c4-44a8-a1f8-35193d8d8b6e,b0eedad6-3e96-47d3-a85d-4d3f56d1acb3,0.0,4.0,0.0,,True,False,9357ea2e-af38-453d-9c2f-b828d5ccdfb6
Indywidualne Mistrzostwa Polski Middle-Earth SBG 2026 (IMP 2026),4acc2947-7325-4fd3-b6c5-26d158dcfc50,BITWA VII - TREASURE HOARD,cd1bd479-e18b-4f6f-9702-0e47107d304e,FINISHED,3e13a056-4b08-47cc-adc9-a3316d2b52e0,6,2026-03-08T12:59:50.323Z,59b39711-1bdb-416d-bef8-f320bedd4b87,8076af08-a8fe-455c-8c1a-2e5d7f2ad3eb,5.0,7.0,0.0,True,062d7b62-5623-4117-b74c-96290d80d141,475ff286-fcbc-4c49-bac5-e3002c4bdf14,11.0,9.0,0.0,True,False,True,475ff286-fcbc-4c49-bac5-e3002c4bdf14
Indywidualne Mistrzostwa Polski Middle-Earth SBG 2026 (IMP 2026),4acc2947-7325-4fd3-b6c5-26d158dcfc50,BITWA VII - TREASURE HOARD,cd1bd479-e18b-4f6f-9702-0e47107d304e,FINISHED,55f941c9-5f24-459e-bb41-556a64caa4a8,7,2026-03-08T12:59:50.323Z,a5f6cde1-e0d6-400c-9b90-49fcdd6935ec,bd51334f-700f-46ea-9801-7fa43e9c53d0,15.0,18.0,0.0,True,1dca9a60-7951-465b-b9fa-16ff3a0484ff,9e5a191c-e93a-436d-b7b0-95d223dd6e2e,0.0,5.0,0.0,True,True,False,bd51334f-700f-46ea-9801-7fa43e9c53d0
Indywidualne Mistrzostwa Polski Middle-Earth SBG 2026 (IMP 2026),4acc2947-7325-4fd3-b6c5-26d158dcfc50,BITWA VII - TREASURE HOARD,cd1bd479-e18b-4f6f-9702-0e47107d304e,FINISHED,84b6ca51-13d3-4f06-b100-829abff47b7c,8,2026-03-08T12:59:50.323Z,8fcdb464-791b-4d2f-9fbd-90a3987ad5d4,813e33d8-2b98-45ed-8c3c-00af33dd4697,7.0,6.0,0.0,True,62297c70-5d18-4168-87e8-0b3348205aeb,1403a8fb-39a4-4e2f-b6cd-5d7e334df789,7.0,6.0,0.0,True,False,False,08219a4e-e2d0-4904-b18d-f0320cd8d48b
Indywidualne Mistrzostwa Polski Middle-Earth SBG 2026 (IMP 2026),4acc2947-7325-4fd3-b6c5-26d158dcfc50,BITWA VII - TREASURE HOARD,cd1bd479-e18b-4f6f-9702-0e47107d304e,FINISHED,6ca15291-03da-41dc-9f1b-9f9a21f26c30,9,2026-03-08T12:59:50.323Z,9f91814f-243f-4260-97b3-6e17b3b13b80,8e40b208-0e62-4a37-8228-f003566dc4a7,5.0,5.0,0.0,True,52e26fd7-a40e-4aa9-b3b3-9b30f27eefae,3d714876-1192-47cf-a91e-7158e7e6c608,11.0,9.0,0.0,False,False,True,3d714876-1192-47cf-a91e-7158e7e6c608
Indywidualne Mistrzostwa Polski Middle-Earth SBG 2026 (IMP 2026),4acc2947-7325-4fd3-b6c5-26d158dcfc50,BITWA VII - TREASURE HOARD,cd1bd479-e18b-4f6f-9702-0e47107d304e,FINISHED,368c7e90-f07f-467f-a10f-dfb3c2695431,10,2026-03-08T12:59:50.323Z,e897e145-faac-4417-8403-a23abbf9c62b,5dd629bc-7618-4bd4-9b02-0c13fc7b7a34,0.0,0.0,0.0,True,642e8171-bf05-4448-813d-97c322ef334f,9fa82917-385d-469e-84c0-8db3e5214cd5,15.0,18.0,0.0,True,False,True,9fa82917-385d-469e-84c0-8db3e5214cd5
Indywidualne Mistrzostwa Polski Middle-Earth SBG 2026 (IMP 2026),4acc2947-7325-4fd3-b6c5-26d158dcfc50,BITWA VII - TREASURE HOARD,cd1bd479-e18b-4f6f-9702-0e47107d304e,FINISHED,3114b369-ead3-4b56-b96c-41dcbfe563ab,11,2026-03-08T12:59:50.323Z,be56e81b-d660-47a4-a720-a91d60a1f9c6,15e5a444-91c2-43fe-8b7b-c927354ca51a,11.0,8.0,0.0,False,34020684-15a1-4775-b0f3-3944ee4494f3,88eff5e1-e5fa-40df-ac60-dd5cb0c71bad,5.0,7.0,0.0,True,False,True,88eff5e1-e5fa-40df-ac60-dd5cb0c71bad
Indywidualne Mistrzostwa Polski Middle-Earth SBG 2026 (IMP 2026),4acc2947-7325-4fd3-b6c5-26d158dcfc50,BITWA VII - TREASURE HOARD,cd1bd479-e18b-4f6f-9702-0e47107d304e,FINISHED,484815af-73d2-496c-b52c-f075760a4d18,12,2026-03-08T12:59:50.323Z,dbe9df9c-489a-4205-a368-a13963cfe42c,bff31d63-a3e1-44f4-a02b-c9649b590cc2,5.0,6.0,0.0,False,5f8b872b-be27-4ab0-ab50-93528bf40ac5,5f55d7f6-e77c-45a0-b083-60691560a665,11.0,8.0,0.0,False,False,True,5f55d7f6-e77c-45a0-b083-60691560a665
Indywidualne Mistrzostwa Polski Middle-Earth SBG 2026 (IMP 2026),4acc2947-7325-4fd3-b6c5-26d158dcfc50,BITWA VII - TREASURE HOARD,cd1bd479-e18b-4f6f-9702-0e47107d304e,FINISHED,de105690-b6ea-451c-aaba-e06b8b3f9941,13,2026-03-08T12:59:50.323Z,604fad7c-920a-4c1b-bc1e-e5e1d6e4652b,76870d30-055b-4a89-a141-78ef032269f2,15.0,14.0,0.0,True,65c2fd73-7d0c-4e21-877a-d9c058bb5321,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b,0.0,7.0,0.0,False,True,False,76870d30-055b-4a89-a141-78ef032269f2
