Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
I turniej lokalny pod skrzydłem Gwaihira - Szczecin 2026,70d063e2-4cc9-4a47-b14c-ae2c313ae027,Runda 3,2b0da53d-0c8b-4566-b315-92baf274008b,FINISHED,12e32b4a-ce5d-4800-83ef-d1c4c3c4edaf,0,2026-04-12T13:52:47.225Z,5d61ad57-8310-481b-88ba-8276d9333eed,1081ab22-cae7-4cc1-8b47-c69bffcfa8d2,15,17.0,0.0,False,7a764474-de55-4ae7-b8d6-a91e492d3d5b,8c83c062-2338-4fcc-9aa7-9d698819864b,0.0,0.0,0.0,False,True,False,1081ab22-cae7-4cc1-8b47-c69bffcfa8d2
I turniej lokalny pod skrzydłem Gwaihira - Szczecin 2026,70d063e2-4cc9-4a47-b14c-ae2c313ae027,Runda 3,2b0da53d-0c8b-4566-b315-92baf274008b,FINISHED,247fb299-036f-406a-ba62-0e92003219a2,1,2026-04-12T13:52:47.225Z,39978d6d-d71c-48c3-a401-170e91ae4766,21ff41f3-549d-4b12-922e-862bfc088bc3,0,4.0,0.0,,f0674a9a-4a54-4509-a560-e902fb1caa3a,47915dd8-d524-4e97-b139-1bf588d5cd06,15.0,15.0,0.0,True,False,True,47915dd8-d524-4e97-b139-1bf588d5cd06
I turniej lokalny pod skrzydłem Gwaihira - Szczecin 2026,70d063e2-4cc9-4a47-b14c-ae2c313ae027,Runda 3,2b0da53d-0c8b-4566-b315-92baf274008b,FINISHED,d3f1a006-2b1d-4a2c-a266-ff7c8d2f66b1,2,2026-04-12T13:52:47.225Z,36340e58-6fec-4dac-abd6-c0fa9d22baa5,7771b43d-3e91-43a7-bfa8-6e11949e51b5,15,13.0,0.0,False,1dce1105-3541-465c-b313-a32f5220d2cd,c3cc4358-f723-47d3-89df-bdd217907616,0.0,1.0,0.0,False,False,True,c3cc4358-f723-47d3-89df-bdd217907616
I turniej lokalny pod skrzydłem Gwaihira - Szczecin 2026,70d063e2-4cc9-4a47-b14c-ae2c313ae027,Runda 3,2b0da53d-0c8b-4566-b315-92baf274008b,FINISHED,49505660-00cc-48fb-892d-1362fd80aa87,3,2026-04-12T13:52:47.225Z,aade90dc-5506-4675-9a45-b8af0032b5a4,78317d26-a6e6-4e2c-8cc4-5c52ec9387a5,7,,,,,,,,,,False,False,c3cc4358-f723-47d3-89df-bdd217907616
I turniej lokalny pod skrzydłem Gwaihira - Szczecin 2026,70d063e2-4cc9-4a47-b14c-ae2c313ae027,Runda 2,c2182851-7ba0-4fe3-8f03-29509c7b74c7,FINISHED,b800adb9-05d4-4dd6-bac9-9eaa569d60fd,0,2026-04-12T11:04:27.942Z,62975a77-1031-4715-a50f-0f8a1b4fc396,47915dd8-d524-4e97-b139-1bf588d5cd06,0,2.0,0.0,True,570bc78d-1502-4862-bcd7-ddb3cd898421,1081ab22-cae7-4cc1-8b47-c69bffcfa8d2,15.0,10.0,0.0,True,False,True,1081ab22-cae7-4cc1-8b47-c69bffcfa8d2
I turniej lokalny pod skrzydłem Gwaihira - Szczecin 2026,70d063e2-4cc9-4a47-b14c-ae2c313ae027,Runda 2,c2182851-7ba0-4fe3-8f03-29509c7b74c7,FINISHED,66b9fb05-c7ea-4614-b8b3-35b62f954db9,1,2026-04-12T11:04:27.942Z,fa5cef32-54d1-47f6-be2b-aaebf2e58940,8c83c062-2338-4fcc-9aa7-9d698819864b,15,9.0,0.0,,02389708-bccb-4df9-a148-2e9fea427afa,c3cc4358-f723-47d3-89df-bdd217907616,0.0,0.0,0.0,,False,True,c3cc4358-f723-47d3-89df-bdd217907616
I turniej lokalny pod skrzydłem Gwaihira - Szczecin 2026,70d063e2-4cc9-4a47-b14c-ae2c313ae027,Runda 2,c2182851-7ba0-4fe3-8f03-29509c7b74c7,FINISHED,2b4b56a7-cbd4-4494-9517-4f84a8f2645f,2,2026-04-12T11:04:27.942Z,cf411a9a-0865-4557-b2b6-77cbd22a5049,21ff41f3-549d-4b12-922e-862bfc088bc3,15,10.0,0.0,,cbf6a1a6-dc0f-4037-a3a7-42cb311a587b,78317d26-a6e6-4e2c-8cc4-5c52ec9387a5,0.0,2.0,0.0,,True,False,21ff41f3-549d-4b12-922e-862bfc088bc3
I turniej lokalny pod skrzydłem Gwaihira - Szczecin 2026,70d063e2-4cc9-4a47-b14c-ae2c313ae027,Runda 2,c2182851-7ba0-4fe3-8f03-29509c7b74c7,FINISHED,90770f73-5f81-40b1-bdd2-69d559778b07,3,2026-04-12T11:04:27.942Z,feef2c11-1600-4722-9a30-95a697a5be3c,7771b43d-3e91-43a7-bfa8-6e11949e51b5,7,7.0,,,,,,,,,False,False,c3cc4358-f723-47d3-89df-bdd217907616
I turniej lokalny pod skrzydłem Gwaihira - Szczecin 2026,70d063e2-4cc9-4a47-b14c-ae2c313ae027,Runda 1,5396250e-ff9d-4a2a-9ed6-2ff2fd2a0f75,FINISHED,257a311a-c1c0-45d2-a9be-ec138ce89305,0,2026-04-12T08:16:35.501Z,7990bf41-72d8-4a94-a687-5410284e7c9b,47915dd8-d524-4e97-b139-1bf588d5cd06,15,17.0,0.0,False,c89c4cb8-3842-45ac-972d-27be13a0aa07,78317d26-a6e6-4e2c-8cc4-5c52ec9387a5,0.0,0.0,0.0,True,True,False,47915dd8-d524-4e97-b139-1bf588d5cd06
I turniej lokalny pod skrzydłem Gwaihira - Szczecin 2026,70d063e2-4cc9-4a47-b14c-ae2c313ae027,Runda 1,5396250e-ff9d-4a2a-9ed6-2ff2fd2a0f75,FINISHED,7725c7c6-4ade-44d0-acb4-103dc37f8210,1,2026-04-12T08:16:35.501Z,3d17098d-2dd9-4c6b-a364-eae2612fdd7c,7771b43d-3e91-43a7-bfa8-6e11949e51b5,0,3.0,0.0,False,73d39053-7459-4216-ac3d-5efc55124601,1081ab22-cae7-4cc1-8b47-c69bffcfa8d2,15.0,15.0,0.0,False,False,True,1081ab22-cae7-4cc1-8b47-c69bffcfa8d2
