Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
KROLM Turniej ME-SBG LOTR 600 pkt,844bd2a6-7ac4-460a-a8fb-8ea3b47b77ce,Runda 4,a674726f-4ff7-4ca2-ba75-aeff98bc269e,FINISHED,73103092-d1d6-40c8-8ff6-0f001c17f726,0,2026-02-21T15:37:33.701Z,c90247f1-4fe7-4e3f-aeef-a04a8978be97,6bf9fa42-82d2-44fd-9b51-eb81dd5201eb,0,3,0.0,,01a4d5ac-427d-4495-bca7-6e78e68d6285,3d9c2b85-855a-4af5-9786-5280365b2d7d,6,12,0.0,,False,True,3d9c2b85-855a-4af5-9786-5280365b2d7d
KROLM Turniej ME-SBG LOTR 600 pkt,844bd2a6-7ac4-460a-a8fb-8ea3b47b77ce,Runda 4,a674726f-4ff7-4ca2-ba75-aeff98bc269e,FINISHED,a3bff6b2-440f-4d9e-ad06-eabafc50661a,1,2026-02-21T15:37:33.701Z,f7230b5a-8042-4f89-b25c-3efed0255e2a,29ce8b19-a17a-4ba7-8e17-ddffe260e052,6,12,0.0,,e1d7afb8-03ee-4614-9491-51293df82370,e560aa1f-e1c0-4f97-9ff1-4bb28f4d0649,0,1,0.0,,True,False,29ce8b19-a17a-4ba7-8e17-ddffe260e052
KROLM Turniej ME-SBG LOTR 600 pkt,844bd2a6-7ac4-460a-a8fb-8ea3b47b77ce,Runda 4,a674726f-4ff7-4ca2-ba75-aeff98bc269e,FINISHED,c7063aed-98c7-46af-8552-76fe87d1b312,2,2026-02-21T15:37:33.701Z,8975ae43-b03f-4665-83d9-83057fb2e993,63a607ad-0eeb-4438-a6f7-2a0e12bec850,6,10,0.0,,43e6bdee-f713-4e41-bd3a-4ccc9a64f069,24e983e5-57fc-4720-8d25-07038b149c4a,0,3,0.0,,True,False,63a607ad-0eeb-4438-a6f7-2a0e12bec850
KROLM Turniej ME-SBG LOTR 600 pkt,844bd2a6-7ac4-460a-a8fb-8ea3b47b77ce,Runda 3,5f62ac4a-6dce-4a18-acd7-294251fe42b4,FINISHED,a45a25c0-ad76-475e-ba24-0229fbbc0d60,0,2026-02-21T13:38:55.425Z,c9b633e7-6eb8-4334-9264-d55fe23aa507,6bf9fa42-82d2-44fd-9b51-eb81dd5201eb,1,9,0.0,,693e499d-2c3f-4dae-9b47-5b163a5c3896,29ce8b19-a17a-4ba7-8e17-ddffe260e052,5,11,0.0,,False,True,29ce8b19-a17a-4ba7-8e17-ddffe260e052
KROLM Turniej ME-SBG LOTR 600 pkt,844bd2a6-7ac4-460a-a8fb-8ea3b47b77ce,Runda 3,5f62ac4a-6dce-4a18-acd7-294251fe42b4,FINISHED,0f86490f-00b6-41e5-82ef-0dd11cb89017,1,2026-02-21T13:38:55.425Z,72acc5f2-f134-4f46-a533-d392d2658dd1,3d9c2b85-855a-4af5-9786-5280365b2d7d,6,8,0.0,,eb69e0b3-ca40-4a79-9838-0aa2eeb3cedb,24e983e5-57fc-4720-8d25-07038b149c4a,0,0,0.0,,True,False,3d9c2b85-855a-4af5-9786-5280365b2d7d
KROLM Turniej ME-SBG LOTR 600 pkt,844bd2a6-7ac4-460a-a8fb-8ea3b47b77ce,Runda 3,5f62ac4a-6dce-4a18-acd7-294251fe42b4,FINISHED,f96a59aa-da1e-43b7-8c25-beca56d0b022,2,2026-02-21T13:38:55.425Z,bcdb6416-fdc1-4fe8-9459-4274a5ccaf67,e560aa1f-e1c0-4f97-9ff1-4bb28f4d0649,5,9,0.0,,69ac44e5-7296-4ac1-924e-82b60e358064,63a607ad-0eeb-4438-a6f7-2a0e12bec850,1,5,0.0,,True,False,e560aa1f-e1c0-4f97-9ff1-4bb28f4d0649
KROLM Turniej ME-SBG LOTR 600 pkt,844bd2a6-7ac4-460a-a8fb-8ea3b47b77ce,Runda 2,803ba0d3-cf2e-4e71-988b-dadf64e18b9b,FINISHED,0d15eb0b-1fd5-47c7-ae37-c27ae0246489,0,2026-02-21T11:34:03.603Z,c6f98d93-dfb3-4468-af07-d8396ebe683c,6bf9fa42-82d2-44fd-9b51-eb81dd5201eb,6,6,0.0,,18466682-e04b-4766-b648-0db6cb87d3e6,e560aa1f-e1c0-4f97-9ff1-4bb28f4d0649,0,1,0.0,,False,True,e560aa1f-e1c0-4f97-9ff1-4bb28f4d0649
KROLM Turniej ME-SBG LOTR 600 pkt,844bd2a6-7ac4-460a-a8fb-8ea3b47b77ce,Runda 2,803ba0d3-cf2e-4e71-988b-dadf64e18b9b,FINISHED,147d4a8d-7129-458d-b7f2-439f6eb94623,1,2026-02-21T11:34:03.603Z,b2841f12-d968-485f-b856-f9551863442f,29ce8b19-a17a-4ba7-8e17-ddffe260e052,6,10,0.0,,74f7c87c-b80d-44e7-8205-d815fd8b0b28,24e983e5-57fc-4720-8d25-07038b149c4a,0,0,0.0,,True,False,29ce8b19-a17a-4ba7-8e17-ddffe260e052
KROLM Turniej ME-SBG LOTR 600 pkt,844bd2a6-7ac4-460a-a8fb-8ea3b47b77ce,Runda 2,803ba0d3-cf2e-4e71-988b-dadf64e18b9b,FINISHED,ab88766d-d079-449d-8b3e-1bd5cc07db19,2,2026-02-21T11:34:03.603Z,3483d661-4f9d-49f4-ad70-59e38af42aad,63a607ad-0eeb-4438-a6f7-2a0e12bec850,0,3,0.0,,2cc6659a-f492-4cdb-943f-568a91b07e78,3d9c2b85-855a-4af5-9786-5280365b2d7d,6,9,0.0,,False,True,3d9c2b85-855a-4af5-9786-5280365b2d7d
KROLM Turniej ME-SBG LOTR 600 pkt,844bd2a6-7ac4-460a-a8fb-8ea3b47b77ce,Runda 1,35a3c7a5-b6e9-4e67-b81d-14628c5fd0c0,FINISHED,ad3e2ebc-16a0-4c9b-80d3-6719fb173edf,0,2026-02-21T09:20:54.279Z,cd6a9c91-6221-4acc-b7e4-d6e1ed8bf056,3d9c2b85-855a-4af5-9786-5280365b2d7d,0,3,0.0,,b019bb02-2dfb-488c-acf9-7e88337464b2,e560aa1f-e1c0-4f97-9ff1-4bb28f4d0649,6,9,0.0,,False,True,e560aa1f-e1c0-4f97-9ff1-4bb28f4d0649
KROLM Turniej ME-SBG LOTR 600 pkt,844bd2a6-7ac4-460a-a8fb-8ea3b47b77ce,Runda 1,35a3c7a5-b6e9-4e67-b81d-14628c5fd0c0,FINISHED,b8a764d0-2892-47a3-b4dd-2d8fd7751693,1,2026-02-21T09:20:54.279Z,b02050eb-5f22-4f50-9bc0-1a07e45836d7,6bf9fa42-82d2-44fd-9b51-eb81dd5201eb,6,20,,,c2e2070f-2666-4bd6-aba2-5004cad5e405,24e983e5-57fc-4720-8d25-07038b149c4a,0,3,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
KROLM Turniej ME-SBG LOTR 600 pkt,844bd2a6-7ac4-460a-a8fb-8ea3b47b77ce,Runda 1,35a3c7a5-b6e9-4e67-b81d-14628c5fd0c0,FINISHED,5f5cbc00-aa64-4e63-a69e-49c0f192be4a,2,2026-02-21T09:20:54.279Z,ec65d161-f94f-4885-9131-d7633dcfb41f,63a607ad-0eeb-4438-a6f7-2a0e12bec850,2,0,0.0,,d547bb64-ba41-4a2f-a30d-b1b4d9946de1,29ce8b19-a17a-4ba7-8e17-ddffe260e052,2,0,0.0,,True,False,63a607ad-0eeb-4438-a6f7-2a0e12bec850
