Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Krakowskie Manewry 2026,73886888-aec6-40b2-a2cd-a6353423fd49,Runda 1 - UNIQUE SCENARIOS,9943b591-3bd5-4c5a-a77d-cb7ab627e582,FINISHED,e15f9583-e48d-4a08-a557-43e44d9374cc,0.0,2026-07-09T10:00:47.506Z,3adef160-5b97-457e-beda-4399f9998aab,59614550-aefe-45cd-b768-5f8310065c35,6009,6.0,16.0,,4557b291-cfea-4263-acfa-fe5a550c1fa0,6e8fd6ad-52e1-4877-84dc-2fce2d7ab7da,-9.0,0.0,7.0,,False,False,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b
Krakowskie Manewry 2026,73886888-aec6-40b2-a2cd-a6353423fd49,Runda 1 - UNIQUE SCENARIOS,9943b591-3bd5-4c5a-a77d-cb7ab627e582,FINISHED,7b4ed1c8-e1ae-40f0-984a-03ae3d51e2f2,1.0,2026-07-11T07:11:30.490Z,c34bff46-9e01-4199-9591-77f23bb1516b,9f05193d-1c9b-426c-b9b7-06281f9f887e,-6,0.0,4.0,,98074684-ba1c-40eb-9da1-82055bc76ce0,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0,6006.0,6.0,10.0,,False,False,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b
Krakowskie Manewry 2026,73886888-aec6-40b2-a2cd-a6353423fd49,Runda 1 - UNIQUE SCENARIOS,9943b591-3bd5-4c5a-a77d-cb7ab627e582,FINISHED,1028a323-39ce-4743-9166-efa2a072fa93,2.0,2026-07-09T10:00:47.506Z,92383fec-d4cf-44c5-a7d6-882e77300642,7562fb11-cb65-4132-ada1-93cd2fc58f9f,-7,0.0,4.0,,4b03ee8c-1635-4b98-8079-228ce5a60226,9357ea2e-af38-453d-9c2f-b828d5ccdfb6,6007.0,6.0,11.0,False,False,False,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b
Krakowskie Manewry 2026,73886888-aec6-40b2-a2cd-a6353423fd49,Runda 1 - UNIQUE SCENARIOS,9943b591-3bd5-4c5a-a77d-cb7ab627e582,FINISHED,4f4832cc-ffc3-45ba-95b6-ccc9bbdf8f6a,3.0,2026-07-09T10:00:47.506Z,bc33b6c9-ab2a-4a8c-87d2-6c53d36e48a6,6d76eb6c-3cb2-419b-87ac-ac387640fbad,6006,6.0,7.0,,5dbfc267-72d5-4531-805d-f92307adfc41,b746219c-415e-46e0-8143-e8cbc9ae71d0,-6.0,0.0,1.0,,False,False,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b
Krakowskie Manewry 2026,73886888-aec6-40b2-a2cd-a6353423fd49,Runda 1 - UNIQUE SCENARIOS,9943b591-3bd5-4c5a-a77d-cb7ab627e582,FINISHED,0a3d3cbf-d005-4b7b-a13a-b5ee5c279e36,4.0,2026-07-09T10:00:47.506Z,87f6a9f4-e043-4ae0-bf06-75d84b31338c,bff260e9-d39b-4dfc-9ddd-bfd091a449ba,998,1.0,7.0,,8fbb1a03-ba0b-4991-ac51-2c6b512c631b,222c2b52-47fd-4345-a6ec-a83ee05ccb12,5002.0,5.0,9.0,False,False,False,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b
Krakowskie Manewry 2026,73886888-aec6-40b2-a2cd-a6353423fd49,Runda 1 - UNIQUE SCENARIOS,9943b591-3bd5-4c5a-a77d-cb7ab627e582,FINISHED,580bbb7d-a392-4eb9-9d21-85e028361105,5.0,2026-07-09T10:00:47.506Z,a08e20d5-bb6c-4755-84d7-49511b268ad9,d1928738-701d-4759-abe9-ff1123a28015,-6,0.0,3.0,,7b5a0edc-64ce-404c-bfab-d91824a8e215,4d2a70a2-c8e1-4ab9-a886-3a945d216f71,6006.0,6.0,9.0,False,False,False,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b
Krakowskie Manewry 2026,73886888-aec6-40b2-a2cd-a6353423fd49,Runda 1 - UNIQUE SCENARIOS,9943b591-3bd5-4c5a-a77d-cb7ab627e582,FINISHED,9d3bacef-7a24-4f0c-934e-d24ebf79047e,6.0,2026-07-09T10:00:47.506Z,8176027b-ce5e-4e9b-b07f-4dd4ad82e4e4,8e40b208-0e62-4a37-8228-f003566dc4a7,-20,0.0,0.0,,6a222240-da83-409e-8bdf-b2c95f476fc3,97c5e5bc-7502-4f16-9c1b-53ead4fab5b2,6020.0,6.0,20.0,False,False,False,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b
Krakowskie Manewry 2026,73886888-aec6-40b2-a2cd-a6353423fd49,Runda 1 - UNIQUE SCENARIOS,9943b591-3bd5-4c5a-a77d-cb7ab627e582,FINISHED,60d943a2-5bb1-4706-a3fe-595b10a499ea,7.0,2026-07-09T10:00:47.506Z,b1bd1503-6440-46e9-8483-3f56023dea7d,0ad1e880-3db6-4577-84e8-1f7bb3702572,992,1.0,9.0,,0d601369-82eb-49e0-97e1-a28e02a80f81,e0392558-e263-4874-b380-e33152fcecbe,5008.0,5.0,17.0,True,False,False,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b
Krakowskie Manewry 2026,73886888-aec6-40b2-a2cd-a6353423fd49,Runda 1 - UNIQUE SCENARIOS,9943b591-3bd5-4c5a-a77d-cb7ab627e582,FINISHED,8971c69c-ab55-45ee-b2b5-814e7d1676a7,8.0,2026-07-09T10:00:47.506Z,44c4c281-c34e-4397-b691-b17b01bd4b2f,081b732c-68ef-4404-bf2c-b56519b96acd,996,1.0,7.0,,ce79c5fb-4b15-42a4-965a-c6b6bdae60f9,71f045ad-ce24-4e8b-865a-1dc0f634a42d,5004.0,5.0,11.0,False,False,False,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b
Krakowskie Manewry 2026,73886888-aec6-40b2-a2cd-a6353423fd49,Runda 1 - UNIQUE SCENARIOS,9943b591-3bd5-4c5a-a77d-cb7ab627e582,FINISHED,68011da7-a24f-467b-ae5e-66735f4c1e36,9.0,2026-07-09T10:00:47.506Z,b21a7411-8184-4927-b866-256701efd470,6f0c7a5d-76ae-4136-81a4-1cb5150ad51d,6009,6.0,9.0,,dd1adf96-898b-4b08-be7e-9588d3d2ef9b,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,-9.0,0.0,0.0,,False,False,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b
