Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
LOTR/ME SBG wraca do Dragona,e95d4b5b-a7c3-4f10-ba2f-3be124d9cf7e,Heirlooms ,403aeb05-732f-4de0-876f-cebf3e607861,FINISHED,b162ca04-f22d-4198-a1f5-b9fa33104dec,0,2025-12-13T13:30:20.760Z,9c83ea19-f615-48fa-9ae8-de0398d78591,4312b892-eb2e-491a-b14a-6f7cff1ab128,2,7,0,,5cfe8b29-2ed8-4733-9895-079aefae37b6,eacb0c29-8302-462e-9e47-c61d95ce5ff3,5,10,0,,False,True,eacb0c29-8302-462e-9e47-c61d95ce5ff3
LOTR/ME SBG wraca do Dragona,e95d4b5b-a7c3-4f10-ba2f-3be124d9cf7e,Heirlooms ,403aeb05-732f-4de0-876f-cebf3e607861,FINISHED,e4dea6a8-e895-4710-846a-e77db4ff5454,1,2025-12-13T13:30:20.760Z,6f4aea94-b195-426a-b277-274da95d7371,6f641816-8973-4f1f-b906-3b33d5710be9,7,11,0,,a6c74e63-e5ff-4530-abcf-4ba45bdbbd25,f99891d1-d482-4c43-b373-ff9a7faf530e,0,5,0,,True,False,6f641816-8973-4f1f-b906-3b33d5710be9
LOTR/ME SBG wraca do Dragona,e95d4b5b-a7c3-4f10-ba2f-3be124d9cf7e,Heirlooms ,403aeb05-732f-4de0-876f-cebf3e607861,FINISHED,a8bdc153-29a0-4f49-8c1e-1343abdb0c05,2,2025-12-13T13:30:20.760Z,cc020947-8a3a-443d-bb3a-2122780d6729,7d79e669-7010-4328-bbf5-3f7203dddd9a,0,4,0,False,267f2600-9acb-4560-b864-c9ac9a039009,b03d290f-0f50-4b79-a0e7-a6bad8e16b2f,7,19,0,,True,False,7d79e669-7010-4328-bbf5-3f7203dddd9a
LOTR/ME SBG wraca do Dragona,e95d4b5b-a7c3-4f10-ba2f-3be124d9cf7e,Heirlooms ,403aeb05-732f-4de0-876f-cebf3e607861,FINISHED,4726bdac-b175-4974-91f4-0fd9d6a8ac32,3,2025-12-13T13:30:20.760Z,9ab1be69-1faa-4062-8f35-e26a63ea60d5,71f045ad-ce24-4e8b-865a-1dc0f634a42d,0,2,0,False,8eb3f3bb-8af7-47a9-8528-60ec9627493e,49fc7527-e872-4d16-ae41-bcf212832c63,7,19,0,,True,False,71f045ad-ce24-4e8b-865a-1dc0f634a42d
LOTR/ME SBG wraca do Dragona,e95d4b5b-a7c3-4f10-ba2f-3be124d9cf7e,Heirlooms ,403aeb05-732f-4de0-876f-cebf3e607861,FINISHED,25717bb0-37f2-43f4-b922-8236119a4430,4,2025-12-13T13:30:20.760Z,e0155432-444d-4be0-bde5-71270a8bdd2a,567ef85f-784a-4f4e-90b3-852f005c8308,7,11,0,True,b58e4d29-86d2-4791-8629-342c1c6b6728,7ca2b5ee-c648-4e98-bcba-50d159612ecc,0,5,0,,True,False,567ef85f-784a-4f4e-90b3-852f005c8308
LOTR/ME SBG wraca do Dragona,e95d4b5b-a7c3-4f10-ba2f-3be124d9cf7e,Sieze the prices ,215f5553-13ca-4a58-a161-ccb0cbdb013e,FINISHED,0ecc76f0-9765-4611-8ea4-83abfa2baedd,0,2025-12-13T10:44:42.720Z,3c07c02f-3bd1-43ad-9a3f-1ded9c107e41,4312b892-eb2e-491a-b14a-6f7cff1ab128,7,9,0,,0de5da8a-b89f-4241-b245-61a31e440514,7d79e669-7010-4328-bbf5-3f7203dddd9a,0,4,0,False,False,True,7d79e669-7010-4328-bbf5-3f7203dddd9a
LOTR/ME SBG wraca do Dragona,e95d4b5b-a7c3-4f10-ba2f-3be124d9cf7e,Sieze the prices ,215f5553-13ca-4a58-a161-ccb0cbdb013e,FINISHED,2c660af8-061d-4c8e-8ae2-31bdc6c1ba43,1,2025-12-13T10:44:42.720Z,fced5018-9432-4995-9407-127ec1b3c303,eacb0c29-8302-462e-9e47-c61d95ce5ff3,0,0,0,,aaadf380-50ca-43ac-a89a-61ec29dac1e1,71f045ad-ce24-4e8b-865a-1dc0f634a42d,7,18,0,True,False,True,71f045ad-ce24-4e8b-865a-1dc0f634a42d
LOTR/ME SBG wraca do Dragona,e95d4b5b-a7c3-4f10-ba2f-3be124d9cf7e,Sieze the prices ,215f5553-13ca-4a58-a161-ccb0cbdb013e,FINISHED,ef153931-d66e-49d3-8027-885c3febc947,2,2025-12-13T10:44:42.720Z,8057b77d-eebf-4d1f-bacc-4b890b21698e,49fc7527-e872-4d16-ae41-bcf212832c63,5,9,0,,75d601f9-79fd-4941-ab85-3a5932e69871,7ca2b5ee-c648-4e98-bcba-50d159612ecc,2,8,0,,False,True,7ca2b5ee-c648-4e98-bcba-50d159612ecc
LOTR/ME SBG wraca do Dragona,e95d4b5b-a7c3-4f10-ba2f-3be124d9cf7e,Sieze the prices ,215f5553-13ca-4a58-a161-ccb0cbdb013e,FINISHED,6243733f-30ce-4cb9-9d39-f26a676c69f0,3,2025-12-13T10:44:42.720Z,c151667f-bfd1-46e3-a402-6d1821c013b7,6f641816-8973-4f1f-b906-3b33d5710be9,7,9,0,,9c6874b1-884b-4823-9b2a-80aeaae5d009,b03d290f-0f50-4b79-a0e7-a6bad8e16b2f,0,0,0,,True,False,6f641816-8973-4f1f-b906-3b33d5710be9
LOTR/ME SBG wraca do Dragona,e95d4b5b-a7c3-4f10-ba2f-3be124d9cf7e,Sieze the prices ,215f5553-13ca-4a58-a161-ccb0cbdb013e,FINISHED,8c27ad67-2c5f-4d98-8a2f-43508ccc29fc,4,2025-12-13T10:44:42.720Z,c07accd7-1f43-45d9-a0ed-698ceca1aa94,567ef85f-784a-4f4e-90b3-852f005c8308,0,5,0,False,804d5eb7-ac8c-46ce-99f2-24fbc654c5cc,f99891d1-d482-4c43-b373-ff9a7faf530e,7,11,0,,False,True,f99891d1-d482-4c43-b373-ff9a7faf530e
