Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
LOTR w Jaskinii Gliwice,0272cd2d-9b1b-43ca-a78f-670dbefd37f7,Assassination,0ae6cc7f-c0c8-4d6a-83d4-99f9ba46db58,FINISHED,9083c408-1a77-4818-a74b-96419bd85631,0,2026-04-18T12:51:30.705Z,49a13047-96a5-4ef8-b140-c2eb7603f501,15e5a444-91c2-43fe-8b7b-c927354ca51a,1.0,14.0,,,169851d8-1db2-41f0-a66e-ed767b79798c,6841eef6-931a-4375-ae1b-79843a97a82e,3,16,,,False,False,418ecaf8-d3b0-42ac-886e-edcee4d7c64d
LOTR w Jaskinii Gliwice,0272cd2d-9b1b-43ca-a78f-670dbefd37f7,Assassination,0ae6cc7f-c0c8-4d6a-83d4-99f9ba46db58,FINISHED,806c225b-4f0d-4fe7-9f27-afad49eb9fdb,1,2026-04-18T12:51:30.705Z,5c78816c-2875-449c-85a1-5a78f5057207,4d2a70a2-c8e1-4ab9-a886-3a945d216f71,0.0,5.0,0.0,,114326ad-dfdb-4843-816d-154f06ec6d6a,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0,4,17,0.0,,False,True,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0
LOTR w Jaskinii Gliwice,0272cd2d-9b1b-43ca-a78f-670dbefd37f7,Assassination,0ae6cc7f-c0c8-4d6a-83d4-99f9ba46db58,FINISHED,aa472b44-eb2d-42eb-858c-0f96bba5906a,2,2026-04-18T12:51:30.705Z,f572190d-b581-4e39-9006-95b6d231b02d,418ecaf8-d3b0-42ac-886e-edcee4d7c64d,0.0,0.0,0.0,,d7569ab7-6ec1-42a7-a1ab-274352cabc02,ff683689-6a31-40d7-8068-f1801f077caf,4,14,0.0,,True,False,418ecaf8-d3b0-42ac-886e-edcee4d7c64d
LOTR w Jaskinii Gliwice,0272cd2d-9b1b-43ca-a78f-670dbefd37f7,Assassination,0ae6cc7f-c0c8-4d6a-83d4-99f9ba46db58,FINISHED,dc62a067-b4ba-49f0-810a-b987aef9b1d9,3,2026-04-18T12:51:30.705Z,5af0651c-a30c-4284-bcff-eafc4d563f73,d6fa65f5-0af3-4f67-ab45-015c121507f0,0.0,3.0,0.0,,b5c3f10d-2fe0-4a6d-be45-3edb881adc3a,cd36b01c-87a1-47c9-b877-a65940b24b12,4,11,0.0,,False,True,cd36b01c-87a1-47c9-b877-a65940b24b12
LOTR w Jaskinii Gliwice,0272cd2d-9b1b-43ca-a78f-670dbefd37f7,Assassination,0ae6cc7f-c0c8-4d6a-83d4-99f9ba46db58,FINISHED,dc2eac40-5c32-49fc-8f72-bd5059557ccf,4,2026-04-18T12:51:30.705Z,4ffcd6bf-e6b1-43e8-a5b9-698d1071144b,987fa345-8622-4702-a59f-71f0c10c6e0a,0.0,3.0,0.0,,9e9438b7-a04b-4872-aa0e-ebac7f956758,65805e1a-2bae-4663-a590-28d09e52152d,4,20,0.0,,False,True,65805e1a-2bae-4663-a590-28d09e52152d
LOTR w Jaskinii Gliwice,0272cd2d-9b1b-43ca-a78f-670dbefd37f7,escort the wounded,4b898940-e882-4618-84d5-e91e13c5a4cf,FINISHED,67a427bc-7c65-491b-bf41-020bef9fcce4,0,2026-04-18T10:31:55.188Z,e7ac4c46-a258-466f-9c69-db307dc70d35,15e5a444-91c2-43fe-8b7b-c927354ca51a,3.0,14.0,0.0,,9e4b3b0b-a816-46f4-8211-f9c69be31c1d,418ecaf8-d3b0-42ac-886e-edcee4d7c64d,1,10,0.0,,False,True,418ecaf8-d3b0-42ac-886e-edcee4d7c64d
LOTR w Jaskinii Gliwice,0272cd2d-9b1b-43ca-a78f-670dbefd37f7,escort the wounded,4b898940-e882-4618-84d5-e91e13c5a4cf,FINISHED,e9228c95-d211-4f45-9c4c-282445203944,1,2026-04-18T10:31:55.188Z,4b733371-5aa6-449d-921f-16bccb689eea,ff683689-6a31-40d7-8068-f1801f077caf,0.0,4.0,0.0,,d99bc09d-7494-43f5-8d8d-ef406e75d2a9,4d2a70a2-c8e1-4ab9-a886-3a945d216f71,4,16,0.0,,False,True,4d2a70a2-c8e1-4ab9-a886-3a945d216f71
LOTR w Jaskinii Gliwice,0272cd2d-9b1b-43ca-a78f-670dbefd37f7,escort the wounded,4b898940-e882-4618-84d5-e91e13c5a4cf,FINISHED,aaa7c0e4-1dca-4ae2-b042-d7063bb929d3,2,2026-04-18T10:31:55.188Z,19ceb88d-e73a-4b82-808d-32d74345fa1f,cd36b01c-87a1-47c9-b877-a65940b24b12,,,,,b6906726-5e7e-4fb7-b460-47195bf5649e,6841eef6-931a-4375-ae1b-79843a97a82e,4,7,,,False,False,418ecaf8-d3b0-42ac-886e-edcee4d7c64d
LOTR w Jaskinii Gliwice,0272cd2d-9b1b-43ca-a78f-670dbefd37f7,escort the wounded,4b898940-e882-4618-84d5-e91e13c5a4cf,FINISHED,a0c695ea-b356-4510-8bfe-54d40ab1438a,3,2026-04-18T10:31:55.188Z,58bbc092-8536-45b0-9d98-9a07f2bc1b66,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0,4.0,6.0,0.0,,e2f206aa-3aa1-45ff-ab86-5343eb3d264f,65805e1a-2bae-4663-a590-28d09e52152d,0,3,0.0,,True,False,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0
LOTR w Jaskinii Gliwice,0272cd2d-9b1b-43ca-a78f-670dbefd37f7,escort the wounded,4b898940-e882-4618-84d5-e91e13c5a4cf,FINISHED,1774786f-e3e8-4fb3-8dc0-f6ccffe4ba71,4,2026-04-18T10:31:55.188Z,8ea7bfd1-eeea-4228-b364-ce85fef49759,987fa345-8622-4702-a59f-71f0c10c6e0a,0.0,8.0,0.0,,6d744b9f-c65b-4f2f-9db5-c8fd4e78f631,d6fa65f5-0af3-4f67-ab45-015c121507f0,4,20,0.0,,False,True,d6fa65f5-0af3-4f67-ab45-015c121507f0
