Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
LUTOWY Turniej Middle-Earth SBG w Rzeszowie,501e9e29-820c-4509-a261-9d0c1719391b,Runda 3 - Treasure Hoard,7973c668-5c88-434e-acb7-4f20c59c17f5,FINISHED,9c282524-8efd-4cfb-8f37-53e39f1f8865,0,2026-02-01T13:30:51.892Z,9cbbb0a2-bcee-4bb3-a9ee-0b58b8476c3a,396741ce-3694-4877-9603-fe19efd6284f,200.0,0.0,8.0,False,81f6ce5c-bc20-473d-bf9e-fd785d5a2e72,b6f0e023-257d-472b-af43-78e56d559cae,200.0,,8.0,False,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
LUTOWY Turniej Middle-Earth SBG w Rzeszowie,501e9e29-820c-4509-a261-9d0c1719391b,Runda 3 - Treasure Hoard,7973c668-5c88-434e-acb7-4f20c59c17f5,FINISHED,610c5abe-d0b7-4545-a0e9-02dd4e2f19d8,1,2026-02-01T13:30:51.892Z,74d8ec13-f883-49b7-a2b2-b3fe3445d838,1857125d-c4f2-4a84-a26c-18ff4acbbcaf,-9.0,-9.0,3.0,False,8d77a251-f6a6-4cb6-a0af-a791f37695cb,e2970df6-81f0-48df-89ac-2c66a06f30e7,609.0,9.0,12.0,True,True,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
LUTOWY Turniej Middle-Earth SBG w Rzeszowie,501e9e29-820c-4509-a261-9d0c1719391b,Runda 3 - Treasure Hoard,7973c668-5c88-434e-acb7-4f20c59c17f5,FINISHED,7ca9e35c-921b-4586-b511-563ca9331cdc,2,2026-02-01T13:30:51.892Z,388c1f46-e1b6-417c-bd23-9cbf80bf5daa,b502a4f7-34cd-49e2-83c0-4a042153d032,94.0,-6.0,7.0,False,f223d484-5cf2-4c85-ae08-2c46da282486,0117f017-2d2b-4322-910f-c7c1b3aae435,506.0,6.0,13.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
LUTOWY Turniej Middle-Earth SBG w Rzeszowie,501e9e29-820c-4509-a261-9d0c1719391b,Runda 3 - Treasure Hoard,7973c668-5c88-434e-acb7-4f20c59c17f5,FINISHED,552485f7-0183-45b9-b562-73986d87c84e,3,2026-02-01T13:30:51.892Z,a660f321-347c-48b0-ba2e-cf43bcceab3f,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,,,0.0,,062d2656-a430-4bc5-861b-07f62b97687c,b746219c-415e-46e0-8143-e8cbc9ae71d0,,,,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
LUTOWY Turniej Middle-Earth SBG w Rzeszowie,501e9e29-820c-4509-a261-9d0c1719391b,Runda 2 - Destroy the Supplies,55ee960d-29f8-4c5a-95e8-6b8432df04b6,FINISHED,ffa8215c-1d08-46ba-a798-a868bcf7c8f7,0,2026-02-01T11:09:57.023Z,978b29d0-1e5a-43de-a7fd-4287727c7ccc,0117f017-2d2b-4322-910f-c7c1b3aae435,-6.0,-6.0,5.0,,2111af15-de0b-47a9-b068-006731d12737,396741ce-3694-4877-9603-fe19efd6284f,606.0,6.0,11.0,False,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
LUTOWY Turniej Middle-Earth SBG w Rzeszowie,501e9e29-820c-4509-a261-9d0c1719391b,Runda 2 - Destroy the Supplies,55ee960d-29f8-4c5a-95e8-6b8432df04b6,FINISHED,77b92fdb-fb99-4567-8bce-437a8029d1d0,1,2026-02-01T11:09:57.023Z,7e6a11fb-735c-48bb-96b6-cf7a7b6b056c,b6f0e023-257d-472b-af43-78e56d559cae,200.0,0.0,9.0,False,9f75407c-6f50-44b9-9e7e-4cfda5f3d1a8,1857125d-c4f2-4a84-a26c-18ff4acbbcaf,200.0,0.0,9.0,True,False,True,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
LUTOWY Turniej Middle-Earth SBG w Rzeszowie,501e9e29-820c-4509-a261-9d0c1719391b,Runda 2 - Destroy the Supplies,55ee960d-29f8-4c5a-95e8-6b8432df04b6,FINISHED,796864ea-d1e3-4e82-9c9c-ba1ff14b3db5,2,2026-02-01T11:09:57.023Z,97c930e1-b3ec-4d46-8e24-1054e13fcf04,b502a4f7-34cd-49e2-83c0-4a042153d032,609.0,9.0,9.0,False,42cb352a-182c-410c-bbe5-d7e5fb2322f2,e2970df6-81f0-48df-89ac-2c66a06f30e7,-9.0,-9.0,0.0,True,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
LUTOWY Turniej Middle-Earth SBG w Rzeszowie,501e9e29-820c-4509-a261-9d0c1719391b,Runda 2 - Destroy the Supplies,55ee960d-29f8-4c5a-95e8-6b8432df04b6,FINISHED,38adc175-07e9-4ec8-a84c-fc8b2f0854f1,3,2026-02-01T11:09:57.023Z,295a6be2-4c33-49a1-90e4-c88f6fb2e997,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,620.0,20.0,20.0,,1690ff37-4a5c-43de-be1d-10df248a8d60,b746219c-415e-46e0-8143-e8cbc9ae71d0,-20.0,-20.0,,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
LUTOWY Turniej Middle-Earth SBG w Rzeszowie,501e9e29-820c-4509-a261-9d0c1719391b,Runda 1 - Domination ,eca619db-ff35-468c-9747-96a476946062,FINISHED,bbd52d44-e4da-4a2f-b3a8-e11d35ab0231,0,2026-01-31T07:01:38.651Z,7edeee6b-444a-446e-8c01-9f8ca025e52a,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,-20.0,-20.0,,,dc689c3b-fe32-4a40-9e09-ec0683eeed1a,0117f017-2d2b-4322-910f-c7c1b3aae435,620.0,20.0,20.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
LUTOWY Turniej Middle-Earth SBG w Rzeszowie,501e9e29-820c-4509-a261-9d0c1719391b,Runda 1 - Domination ,eca619db-ff35-468c-9747-96a476946062,FINISHED,438f3bac-0689-4707-9e46-705ca4d7c8d9,1,2026-01-31T07:01:38.651Z,e21c3a42-683f-4340-9680-47d0b5f310d9,e2970df6-81f0-48df-89ac-2c66a06f30e7,-12.0,-12.0,,True,16aa0fd7-c700-43fe-9962-c7e66be78ec9,b6f0e023-257d-472b-af43-78e56d559cae,612.0,12.0,12.0,True,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
