Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Liga Śląska MESBG S25E11 FINAŁ SEZONU - 13.12.2025 ,39ae376f-2269-4fe4-8f09-3f5e5ac86229,Runda 4 - RETRIEVAL,582dbb78-880f-4985-8177-f6efb0a4ddb0,FINISHED,0fda55e3-05f4-462b-8193-68975ff362a8,0,2025-12-13T13:37:51.958Z,5b44c5bb-8975-4f3e-9ec9-3a3049d215e8,222c2b52-47fd-4345-a6ec-a83ee05ccb12,15,14.0,0.0,False,edec4e0a-d698-4ab2-be97-5c6622ae8aa0,76870d30-055b-4a89-a141-78ef032269f2,5.0,9.0,0.0,,True,False,222c2b52-47fd-4345-a6ec-a83ee05ccb12
Liga Śląska MESBG S25E11 FINAŁ SEZONU - 13.12.2025 ,39ae376f-2269-4fe4-8f09-3f5e5ac86229,Runda 4 - RETRIEVAL,582dbb78-880f-4985-8177-f6efb0a4ddb0,FINISHED,bfc189eb-b95b-4d40-9d80-eb9b52e45e2a,1,2025-12-13T13:37:51.958Z,625504f6-b858-425b-8a45-911b6508d276,5dd629bc-7618-4bd4-9b02-0c13fc7b7a34,20,7.0,0.0,False,4371ccf0-f703-448a-98ba-51630c432ea5,f1143858-3e87-4afe-807d-f33f21de6d7e,0.0,1.0,0.0,,True,False,5dd629bc-7618-4bd4-9b02-0c13fc7b7a34
Liga Śląska MESBG S25E11 FINAŁ SEZONU - 13.12.2025 ,39ae376f-2269-4fe4-8f09-3f5e5ac86229,Runda 4 - RETRIEVAL,582dbb78-880f-4985-8177-f6efb0a4ddb0,FINISHED,2c9ca4cd-7e38-4a9e-81b7-79b0d113e65a,2,2025-12-13T13:37:51.958Z,ddc67028-c92f-43b8-a383-b311611d25b8,1279e92f-2cd2-4ab8-855a-9630a43d2c60,10,6.0,,True,034c740f-06fd-4159-b20c-1ec27384311d,ef46c5bc-e9ab-450b-85f5-4b88323ef1b8,10.0,6.0,,True,False,False,08219a4e-e2d0-4904-b18d-f0320cd8d48b
Liga Śląska MESBG S25E11 FINAŁ SEZONU - 13.12.2025 ,39ae376f-2269-4fe4-8f09-3f5e5ac86229,Runda 4 - RETRIEVAL,582dbb78-880f-4985-8177-f6efb0a4ddb0,FINISHED,db058f6d-7d1c-41c0-892f-30575bf8295a,3,2025-12-13T13:37:51.958Z,a9f126ff-39ce-46a2-a127-53f281f64887,cd36b01c-87a1-47c9-b877-a65940b24b12,20,6.0,0.0,False,3baeaa8f-024a-417d-9da9-0d3f2a60dfd9,bddd8ac9-5247-4f0a-9a17-4ac7bea1812a,0.0,4.0,0.0,True,True,False,cd36b01c-87a1-47c9-b877-a65940b24b12
Liga Śląska MESBG S25E11 FINAŁ SEZONU - 13.12.2025 ,39ae376f-2269-4fe4-8f09-3f5e5ac86229,Runda 4 - RETRIEVAL,582dbb78-880f-4985-8177-f6efb0a4ddb0,FINISHED,0e33d5a7-abd4-4d49-90a0-19259cf86eb8,4,2025-12-13T13:37:51.958Z,bf862bf0-ab73-4c57-becb-754cf9380574,c45b3def-24ab-4380-a190-3e26999955a5,0,3.0,0.0,False,f0a8e2fc-7911-49e7-8c59-cedae18677d0,4d2a70a2-c8e1-4ab9-a886-3a945d216f71,20.0,9.0,0.0,False,False,True,4d2a70a2-c8e1-4ab9-a886-3a945d216f71
Liga Śląska MESBG S25E11 FINAŁ SEZONU - 13.12.2025 ,39ae376f-2269-4fe4-8f09-3f5e5ac86229,Runda 4 - RETRIEVAL,582dbb78-880f-4985-8177-f6efb0a4ddb0,FINISHED,839aad8e-f023-48a9-8965-e519e9957f79,5,2025-12-13T13:37:51.958Z,fcc493e2-f443-495a-a05e-4d245a96b69a,08219a4e-e2d0-4904-b18d-f0320cd8d48b,0,1.0,0.0,True,f65ebfc8-9e14-498b-926d-ab1913850e71,aa3db3fc-be37-4881-9586-8f9447fe214a,20.0,6.0,0.0,,True,False,08219a4e-e2d0-4904-b18d-f0320cd8d48b
Liga Śląska MESBG S25E11 FINAŁ SEZONU - 13.12.2025 ,39ae376f-2269-4fe4-8f09-3f5e5ac86229,Runda 4 - RETRIEVAL,582dbb78-880f-4985-8177-f6efb0a4ddb0,FINISHED,46e47f01-fd13-4bff-b69f-4ec698d18067,6,2025-12-13T13:37:51.958Z,04d0dc47-8728-4c77-a961-14c29c30cc0f,65805e1a-2bae-4663-a590-28d09e52152d,0,1.0,0.0,,2892528d-c603-4e9a-9196-b6e19abc67c2,40ebe707-6a6c-4a85-aff5-58b2d0493daa,20.0,17.0,0.0,False,False,False,08219a4e-e2d0-4904-b18d-f0320cd8d48b
Liga Śląska MESBG S25E11 FINAŁ SEZONU - 13.12.2025 ,39ae376f-2269-4fe4-8f09-3f5e5ac86229,Runda 4 - RETRIEVAL,582dbb78-880f-4985-8177-f6efb0a4ddb0,FINISHED,b5ebb9d2-f641-43ed-84dd-1f96d350d1c0,7,2025-12-13T13:37:51.958Z,a556ed38-8157-4e2e-ad79-4698f0d43e9d,1f51b345-c749-4ebb-a4ae-cd40e4bd2b37,15,16.0,0.0,,da3f4dd7-06e0-4d0d-8895-d49dfc8baaa9,8b598a8c-6653-4761-bf1e-6954cf967146,5.0,12.0,0.0,False,True,False,1f51b345-c749-4ebb-a4ae-cd40e4bd2b37
Liga Śląska MESBG S25E11 FINAŁ SEZONU - 13.12.2025 ,39ae376f-2269-4fe4-8f09-3f5e5ac86229,Runda 4 - RETRIEVAL,582dbb78-880f-4985-8177-f6efb0a4ddb0,FINISHED,2d4860cc-e242-400c-aa14-ce677c12250a,8,2025-12-13T13:37:51.958Z,a8975bd9-e38f-4f6e-a8e1-6709b3270eef,27f39acf-10d1-4e38-a140-ead046686691,15,0.0,0.0,,,,,,,,True,False,27f39acf-10d1-4e38-a140-ead046686691
Liga Śląska MESBG S25E11 FINAŁ SEZONU - 13.12.2025 ,39ae376f-2269-4fe4-8f09-3f5e5ac86229,Runda 3 - CAPTURE & CONTROL,6256f922-e853-4d84-9e17-e82ec8b8a034,FINISHED,0cdb7735-4760-40bb-887f-305840021013,0,2025-12-13T11:53:02.222Z,bd6992fa-9681-4d4e-b934-11ef7e9e7375,222c2b52-47fd-4345-a6ec-a83ee05ccb12,20,20.0,0.0,False,ee003e36-3eb1-4571-92a7-f5dfdeae654c,cd36b01c-87a1-47c9-b877-a65940b24b12,0.0,0.0,0.0,True,True,False,222c2b52-47fd-4345-a6ec-a83ee05ccb12
