Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Liga Śląska MESBG S26E07 - 25.07.2026 (PAROWY),8892c797-7f1e-49e6-8422-5d6faed766c2,I BITWA - POOL 6: UNIQUE,cdb1ea09-e807-4c46-ba35-0c01d70781be,FINISHED,9e5f7eb1-0ac7-4467-83da-a8090823fa3c,,2026-07-24T17:04:34.439Z,2921ed82-16c2-4dc4-940e-1321ab4e5134,76870d30-055b-4a89-a141-78ef032269f2,3.0,6,9,,b2beb340-c1e5-4f92-b17f-c36e9f9e8a29,08219a4e-e2d0-4904-b18d-f0320cd8d48b,0.0,0.0,3,,False,False,08219a4e-e2d0-4904-b18d-f0320cd8d48b
Liga Śląska MESBG S26E07 - 25.07.2026 (PAROWY),8892c797-7f1e-49e6-8422-5d6faed766c2,I BITWA - POOL 6: UNIQUE,cdb1ea09-e807-4c46-ba35-0c01d70781be,FINISHED,688182dc-0664-42e6-aa8e-90d371ba86f6,,2026-07-25T09:44:45.695Z,5ba496bd-82c7-4cf7-b9d3-49e764dc9bc2,b802b217-7d71-4af6-bee4-c7f6e8879b94,,5,13,,20b1e4ed-f4f7-45dd-894a-35b9e56dcb56,27f39acf-10d1-4e38-a140-ead046686691,,1.0,7,,False,False,08219a4e-e2d0-4904-b18d-f0320cd8d48b
Liga Śląska MESBG S26E07 - 25.07.2026 (PAROWY),8892c797-7f1e-49e6-8422-5d6faed766c2,I BITWA - POOL 6: UNIQUE,cdb1ea09-e807-4c46-ba35-0c01d70781be,FINISHED,4b9f7046-fec0-402e-9293-8fe8c0b8bf81,,2026-07-25T09:56:33.496Z,94a0c6d0-6554-4147-afc3-687ef048448d,804c4802-b3bc-41ec-9f1b-de92ffe4897e,0.0,0,6,,e5619ff5-02e9-422e-9d73-6a0a85ebe501,cb67ea1b-6562-48e3-99e2-c7d66c880c28,3.0,6.0,12,,False,False,cb67ea1b-6562-48e3-99e2-c7d66c880c28
Liga Śląska MESBG S26E07 - 25.07.2026 (PAROWY),8892c797-7f1e-49e6-8422-5d6faed766c2,I BITWA - POOL 6: UNIQUE,cdb1ea09-e807-4c46-ba35-0c01d70781be,FINISHED,146bd317-c4e4-487b-9c78-0aab87de761c,,2026-07-25T09:57:40.002Z,3b47a07a-61db-4e8b-8177-eb4f5da6ff1d,ef46c5bc-e9ab-450b-85f5-4b88323ef1b8,,5,9,,931fd16d-0404-45a6-a032-8cc2e01e4e02,56219f44-91ef-4e22-9ebf-1c5f1ae21933,,1.0,5,,False,False,56219f44-91ef-4e22-9ebf-1c5f1ae21933
Liga Śląska MESBG S26E07 - 25.07.2026 (PAROWY),8892c797-7f1e-49e6-8422-5d6faed766c2,I BITWA - POOL 6: UNIQUE,cdb1ea09-e807-4c46-ba35-0c01d70781be,FINISHED,58020fb7-2ba9-47b7-85c5-685c58a245f8,,2026-07-25T09:59:07.105Z,d5373c08-0223-4008-aff7-220d2a4b8532,6841eef6-931a-4375-ae1b-79843a97a82e,0.0,0,4,,4aaf626f-1d3c-456b-9a88-b392bb851f33,cd36b01c-87a1-47c9-b877-a65940b24b12,3.0,6.0,13,,False,False,cd36b01c-87a1-47c9-b877-a65940b24b12
Liga Śląska MESBG S26E07 - 25.07.2026 (PAROWY),8892c797-7f1e-49e6-8422-5d6faed766c2,I BITWA - POOL 6: UNIQUE,cdb1ea09-e807-4c46-ba35-0c01d70781be,FINISHED,cf262368-fa8c-45db-8f6b-b7c278ed9933,,2026-07-25T09:59:40.086Z,765c0343-a28f-464d-bad3-2d3da2b21e78,b2b04871-346a-4ea1-a3c3-8990cf23b795,,0,0,,f941baf5-c24e-4bea-bfba-9c9ae3bd3aa6,5de541e0-dfa6-4c41-b224-90684a3b5e1c,,6.0,18,,False,False,5de541e0-dfa6-4c41-b224-90684a3b5e1c
Liga Śląska MESBG S26E07 - 25.07.2026 (PAROWY),8892c797-7f1e-49e6-8422-5d6faed766c2,I BITWA - POOL 6: UNIQUE,cdb1ea09-e807-4c46-ba35-0c01d70781be,FINISHED,3927e7f0-eece-4d75-8e7d-d3cd256363d6,,2026-07-25T10:00:30.400Z,67af9eae-e947-48e3-a017-2700c2bb2136,7129c934-aacc-4988-9527-976c04e381ac,0.0,0,0,,a424481a-741b-40a1-ab04-2c60720c146c,457f9c1a-0e9a-4c0e-ae41-7f00e3646fba,3.0,6.0,15,,False,False,457f9c1a-0e9a-4c0e-ae41-7f00e3646fba
Liga Śląska MESBG S26E07 - 25.07.2026 (PAROWY),8892c797-7f1e-49e6-8422-5d6faed766c2,I BITWA - POOL 6: UNIQUE,cdb1ea09-e807-4c46-ba35-0c01d70781be,FINISHED,63e7f23b-86bf-4b65-aed5-f3532af84aa6,,2026-07-25T10:01:29.764Z,2aa9f71e-00a6-4604-96ef-5fa1b07694b4,869300c0-1611-4a41-84e8-bb7e3afa22f9,,0,5,,d08a0a31-3151-41cd-88ec-b1df34a85af9,15e5a444-91c2-43fe-8b7b-c927354ca51a,,6.0,15,,False,False,15e5a444-91c2-43fe-8b7b-c927354ca51a
Liga Śląska MESBG S26E07 - 25.07.2026 (PAROWY),8892c797-7f1e-49e6-8422-5d6faed766c2,II BITWA - POOL 4: OBJECT,7aa3db8a-c6d2-4947-826b-1697b069c596,FINISHED,1f56ffef-a749-41fc-afa6-89b5bbae8e78,,2026-07-25T11:23:19.544Z,9459608c-994c-4423-9585-dd128f0589d7,cb67ea1b-6562-48e3-99e2-c7d66c880c28,,0,1,,1601507b-1f08-470c-880d-6cf2d6534768,76870d30-055b-4a89-a141-78ef032269f2,,6.0,14,,False,False,76870d30-055b-4a89-a141-78ef032269f2
Liga Śląska MESBG S26E07 - 25.07.2026 (PAROWY),8892c797-7f1e-49e6-8422-5d6faed766c2,II BITWA - POOL 4: OBJECT,7aa3db8a-c6d2-4947-826b-1697b069c596,FINISHED,b708be96-8439-45d6-bc1f-723eb673931e,,2026-07-25T12:03:18.247Z,f8873f68-8622-47eb-a1e7-df0bb5b4f726,b802b217-7d71-4af6-bee4-c7f6e8879b94,3.0,6,17,,8a8f8fd6-f432-4dc3-ace8-0b6be896843c,56219f44-91ef-4e22-9ebf-1c5f1ae21933,0.0,0.0,3,,False,False,56219f44-91ef-4e22-9ebf-1c5f1ae21933
