Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Contest,639fc2ac-dc0a-460a-bb93-16a07a8bf79f,FINISHED,76d91355-f7b8-4019-b164-f9fa1d6b30a2,0,2025-12-12T09:47:31.723Z,d9385023-da34-4f44-b657-4247e8b3471d,7a07027c-53ef-4509-9432-5b4fbec42293,20,18,0.0,,c29429a1-9acc-4b4f-b3aa-a92e2e9e8564,8b782b05-7af1-400a-8626-d66a860bb129,0,0,0.0,,True,False,7a07027c-53ef-4509-9432-5b4fbec42293
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Contest,639fc2ac-dc0a-460a-bb93-16a07a8bf79f,FINISHED,c4bf9d07-c8ef-4629-8abb-01cc496d5b1f,1,2025-12-12T09:47:31.723Z,a7adceb6-4bf1-4e47-a101-8689150ad282,dd660790-67a9-4a7a-a733-5f58a6cf4543,5,5,0.0,,cd90975d-834c-4d0e-9a5c-f534cc6bc219,36fdf4fc-bc11-48ba-895e-fbee306a7dbe,15,7,0.0,,False,True,36fdf4fc-bc11-48ba-895e-fbee306a7dbe
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Contest,639fc2ac-dc0a-460a-bb93-16a07a8bf79f,FINISHED,a8486b43-fb07-484c-ae3b-866a5805d3b6,2,2025-12-12T09:47:31.723Z,273b24e9-eb6a-4000-97d5-7a6b7806605d,b8d464f2-3ddd-4184-ac14-454738f16581,0,0,,,57084163-2954-4ba8-97b8-673a18f92595,40835de3-1ada-4448-99b7-d224d2234693,20,20,,,False,False,039b4907-3a83-4623-80a4-079d4c01b51d
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Contest,639fc2ac-dc0a-460a-bb93-16a07a8bf79f,FINISHED,fbdf933b-75f9-4e6f-b75b-67e964c69df7,3,2025-12-12T09:47:31.723Z,5aee20cd-5149-4952-8fa8-8840df8f57a9,71afa3a1-cde2-4907-aa59-e3ad82e99cfd,0,4,,,e6fca9e5-aee2-4493-8717-3cc6ad276e94,411e3632-e456-4c29-8f92-b4b9d4a1fd48,20,20,,,False,False,039b4907-3a83-4623-80a4-079d4c01b51d
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Contest,639fc2ac-dc0a-460a-bb93-16a07a8bf79f,FINISHED,a6198d5d-d2dd-4fed-ab3e-f6e7bd1877e2,4,2025-12-12T09:47:31.723Z,05afa551-77f0-4772-92f1-3138255edcec,eaf9d7bc-fa48-4d73-bffc-2523133faa81,20,10,,,26e257fe-3961-4a3e-995a-8f4680161a3d,26940d81-63b2-4e95-81ca-d12819af5ea6,0,0,,,False,False,039b4907-3a83-4623-80a4-079d4c01b51d
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Contest,639fc2ac-dc0a-460a-bb93-16a07a8bf79f,FINISHED,3d50766e-1cb0-4d80-a6f3-7a4d5d4c5a5b,5,2025-12-12T09:47:31.723Z,b8f58a92-13ef-4d56-9fbd-d76130d0fbf7,706a6951-d017-41e9-b940-826c60dd782c,20,20,0.0,,c21b63c2-56b3-48d4-9b66-f2c8ff41eb01,5d95a4a7-53a9-45c1-90d2-aac718fd7af8,0,4,0.0,,True,False,706a6951-d017-41e9-b940-826c60dd782c
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Rekonesans,b02b8501-5165-4604-a50a-24908c649de5,FINISHED,564cb575-00dc-4d48-82e0-b7e4b95acf8e,0,2025-12-12T08:25:29.319Z,c33061cd-e516-4825-b5bb-017ee4a7d178,71afa3a1-cde2-4907-aa59-e3ad82e99cfd,0,0,0.0,,226fe323-da63-41a7-bc4f-3202221d9b41,7a07027c-53ef-4509-9432-5b4fbec42293,20,17,0.0,,False,True,7a07027c-53ef-4509-9432-5b4fbec42293
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Rekonesans,b02b8501-5165-4604-a50a-24908c649de5,FINISHED,cab5cafb-8c07-484d-8007-336a39a940b6,1,2025-12-12T08:25:29.319Z,6b75bb99-814a-4645-9d57-4f05134af53c,dd660790-67a9-4a7a-a733-5f58a6cf4543,10,1,0.0,,6a795331-81a1-4cbc-9c1d-4fbeff48bfff,40835de3-1ada-4448-99b7-d224d2234693,10,1,0.0,,True,False,dd660790-67a9-4a7a-a733-5f58a6cf4543
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Rekonesans,b02b8501-5165-4604-a50a-24908c649de5,FINISHED,f6cd8ea0-60d9-4da8-9913-049445d7970f,2,2025-12-12T08:25:29.319Z,43bcbf8f-bcfa-4969-8bad-c8fe65a04f1a,8b782b05-7af1-400a-8626-d66a860bb129,20,21,0.0,,24e52602-655b-4bcb-9025-7444f3cd9232,706a6951-d017-41e9-b940-826c60dd782c,0,1,0.0,,True,False,8b782b05-7af1-400a-8626-d66a860bb129
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Rekonesans,b02b8501-5165-4604-a50a-24908c649de5,FINISHED,d0b91ee1-34e2-4893-a062-3c05ae5e5812,3,2025-12-12T08:25:29.319Z,758fe282-7ac4-48d3-92b8-b96f953f1856,eaf9d7bc-fa48-4d73-bffc-2523133faa81,0,3,,,ce898e23-05d8-4efd-9208-72a4f951fe0f,b8d464f2-3ddd-4184-ac14-454738f16581,20,13,,,False,False,039b4907-3a83-4623-80a4-079d4c01b51d
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Rekonesans,b02b8501-5165-4604-a50a-24908c649de5,FINISHED,a3b7b428-828a-4430-ac29-1c9e116c5cf2,4,2025-12-12T08:25:29.319Z,a99c7908-2338-4cf9-a389-e36060084f5a,36fdf4fc-bc11-48ba-895e-fbee306a7dbe,20,9,0.0,,6d094a81-c45a-4acc-9785-0de2c5b9f41d,5d95a4a7-53a9-45c1-90d2-aac718fd7af8,0,0,0.0,,False,True,5d95a4a7-53a9-45c1-90d2-aac718fd7af8
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Rekonesans,b02b8501-5165-4604-a50a-24908c649de5,FINISHED,f75bef0b-7a0d-4869-b876-ebf8c23acb92,5,2025-12-12T08:25:29.319Z,4a32fe48-1949-4115-88f1-01fd3f122d62,411e3632-e456-4c29-8f92-b4b9d4a1fd48,15,10,,,6d4866bc-e675-4076-a85e-d7bb36147015,26940d81-63b2-4e95-81ca-d12819af5ea6,5,5,,,False,False,039b4907-3a83-4623-80a4-079d4c01b51d
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Runda 1,732e8891-2cb8-4aa2-abe6-5139c5270dad,FINISHED,41e44ed3-4587-467c-b8e2-b70e9124a561,0,2025-12-12T06:30:24.249Z,0c0d2ebc-31bf-4e36-8cf6-df442ebfb5b8,71afa3a1-cde2-4907-aa59-e3ad82e99cfd,20,9,,,cad1640c-c801-46ef-a1ac-822c0cdcb0d3,26940d81-63b2-4e95-81ca-d12819af5ea6,0,3,,,False,False,039b4907-3a83-4623-80a4-079d4c01b51d
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Runda 1,732e8891-2cb8-4aa2-abe6-5139c5270dad,FINISHED,a400a319-0db8-428c-8c2c-75aeced2261e,1,2025-12-12T06:30:24.249Z,842c14b5-3395-4a7c-b8e4-1654028cf222,36fdf4fc-bc11-48ba-895e-fbee306a7dbe,5,8,,,1075a266-d4a3-4ad5-8656-240de0d19e1b,40835de3-1ada-4448-99b7-d224d2234693,15,12,,,False,False,039b4907-3a83-4623-80a4-079d4c01b51d
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Runda 1,732e8891-2cb8-4aa2-abe6-5139c5270dad,FINISHED,5ee4ec6f-7825-40b2-ac57-3bd597d6534c,2,2025-12-12T06:30:24.249Z,5e333b75-56c2-432f-adae-ca8d1a66aa24,411e3632-e456-4c29-8f92-b4b9d4a1fd48,0,4,0.0,,72d8e4c9-96f6-4075-b0ff-6bf0ce57b66a,7a07027c-53ef-4509-9432-5b4fbec42293,20,8,0.0,,False,True,7a07027c-53ef-4509-9432-5b4fbec42293
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Runda 1,732e8891-2cb8-4aa2-abe6-5139c5270dad,FINISHED,15dc40be-34f8-4556-9188-afcdbf1bb374,3,2025-12-12T06:30:24.249Z,d963151e-17a8-40b2-82af-64a278ddaa3a,dd660790-67a9-4a7a-a733-5f58a6cf4543,20,6,,,8b726be6-bb0a-4a80-b26f-3b33d838ffba,5d95a4a7-53a9-45c1-90d2-aac718fd7af8,0,0,,,False,False,039b4907-3a83-4623-80a4-079d4c01b51d
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Runda 1,732e8891-2cb8-4aa2-abe6-5139c5270dad,FINISHED,811544f1-5261-4598-b872-f08bb2cb243f,4,2025-12-12T06:30:24.249Z,58feac7b-41e1-44e6-a76f-1f24a40ba4e6,8b782b05-7af1-400a-8626-d66a860bb129,15,10,0.0,,cf653626-d718-4b4d-a8bb-8e4451591afe,b8d464f2-3ddd-4184-ac14-454738f16581,5,9,0.0,,True,False,8b782b05-7af1-400a-8626-d66a860bb129
Lotrowa wigilijka w SP1,6a058b0b-47e4-49d0-8d42-2e0f304553d2,Runda 1,732e8891-2cb8-4aa2-abe6-5139c5270dad,FINISHED,a921dc20-fe79-449b-9434-5a58af576b93,5,2025-12-12T06:30:24.249Z,348ec55e-d2ba-4511-80c1-ebff0274ac28,eaf9d7bc-fa48-4d73-bffc-2523133faa81,10,3,,,15e59553-4025-40c6-af9e-1f2fb9b9727c,706a6951-d017-41e9-b940-826c60dd782c,10,3,,,False,False,039b4907-3a83-4623-80a4-079d4c01b51d
