Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,To the death ,431e3dc6-3902-43d4-883c-fa5eeddcaa30,FINISHED,dd3fdc9b-a4b0-4acf-8634-865e3e5caad7,0,2025-12-27T10:34:45.626Z,26b8d457-dcfd-4eb9-8e93-44eea2f3763c,57cefe9a-fa1b-45a6-a166-3e94e0d12d49,6,16,0,False,f70dd274-f022-4bf4-b554-8c39baa5402f,7783babb-c470-4763-80c7-8e6bd277ded8,0,2,0,False,True,False,57cefe9a-fa1b-45a6-a166-3e94e0d12d49
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,To the death ,431e3dc6-3902-43d4-883c-fa5eeddcaa30,FINISHED,2aebf90c-4ffe-449c-b370-e55a10e5aaba,1,2025-12-27T10:34:45.626Z,3b511efc-a6c3-4d6f-81e9-f9a58b39d50e,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0,0,2,0,,7964c8d8-4572-4275-b29d-c8bbcea94152,9357ea2e-af38-453d-9c2f-b828d5ccdfb6,6,18,0,,True,False,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,To the death ,431e3dc6-3902-43d4-883c-fa5eeddcaa30,FINISHED,3ee95c37-b36e-4882-b52f-64d8f85364f5,2,2025-12-27T10:34:45.626Z,c285b6d5-0834-42f9-b35c-7a9ac6cdd92a,d46af0a2-c60d-45ef-9286-540bdc4ee510,1,2,0,,1c521c24-2db0-42a8-9249-6903bf466c72,a6fc8598-2a54-4bb6-bbe1-4501ff1cee61,5,3,0,,False,True,a6fc8598-2a54-4bb6-bbe1-4501ff1cee61
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,To the death ,431e3dc6-3902-43d4-883c-fa5eeddcaa30,FINISHED,d6dc7ce6-510b-4ed0-a153-bcf9e43b4d1a,3,2025-12-27T10:34:45.626Z,eaef7c4c-98f4-4aa6-8373-3d4ae0f2e7fb,780e8297-2cf1-4ac2-89bd-e9dd5ece6347,6,17,0,,c97d6ee7-fe83-470e-9047-94a6f768bd96,f3cb33ec-5288-4f97-8eff-fd9bba3516fc,0,3,0,,True,True,780e8297-2cf1-4ac2-89bd-e9dd5ece6347
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,To the death ,431e3dc6-3902-43d4-883c-fa5eeddcaa30,FINISHED,48a810be-22e6-4883-b627-4a6e94acced0,4,2025-12-27T10:34:45.626Z,cc169a9d-4c60-4ca6-b698-c26e078adc64,6f6ad631-bb1c-4478-9430-700ff7e8271c,0,2,0,False,87fafbd5-cd0c-4aae-bbee-6070e5444ecf,ab63d4ea-e622-4b2d-8ad2-38b15679c94f,6,9,0,True,True,False,6f6ad631-bb1c-4478-9430-700ff7e8271c
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,To the death ,431e3dc6-3902-43d4-883c-fa5eeddcaa30,FINISHED,7f59b1a9-9e1c-4b6c-96dc-94a54acad2e6,5,2025-12-27T10:34:45.626Z,7fcfbf65-a8f8-4620-b318-297cb1832df4,bae5de7f-387f-4f91-b62a-1ceafdaab07d,6,20,0,,75778652-a962-4d3e-af80-c54070ed437b,f99a3381-e709-4e72-a4f6-e9f96240c428,0,1,0,,True,False,bae5de7f-387f-4f91-b62a-1ceafdaab07d
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,Hold Ground,e9d9a6d8-ed19-4cfa-a91d-2258c96c09de,FINISHED,9a481246-ff65-4266-a672-29cf0075adb7,0,2025-12-27T09:00:54.781Z,8615156a-f2c8-4715-9f0f-0bcf8b386f95,57cefe9a-fa1b-45a6-a166-3e94e0d12d49,6,20,0,True,2f8858ca-1f9e-43e3-9da8-9fdd3711154e,ab63d4ea-e622-4b2d-8ad2-38b15679c94f,0,1,0,False,True,False,57cefe9a-fa1b-45a6-a166-3e94e0d12d49
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,Hold Ground,e9d9a6d8-ed19-4cfa-a91d-2258c96c09de,FINISHED,f8145e20-e922-418c-b216-6d006c7b16cd,1,2025-12-27T09:00:54.781Z,d17acc90-c258-4b13-9bc1-95ee78b3a844,780e8297-2cf1-4ac2-89bd-e9dd5ece6347,0,3,0,,e6c0bd72-cbcc-40b8-8b13-da11cd97e13d,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0,6,18,0,,True,False,780e8297-2cf1-4ac2-89bd-e9dd5ece6347
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,Hold Ground,e9d9a6d8-ed19-4cfa-a91d-2258c96c09de,FINISHED,b6e82e2b-3448-4515-a712-14bf4935ec10,2,2025-12-27T09:00:54.781Z,ccfbd693-aba2-4799-80eb-daafe77a87a4,d46af0a2-c60d-45ef-9286-540bdc4ee510,6,18,0,True,8c109200-ed89-4f81-aa9b-20548fdd0a67,6f6ad631-bb1c-4478-9430-700ff7e8271c,0,3,0,False,False,True,6f6ad631-bb1c-4478-9430-700ff7e8271c
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,Hold Ground,e9d9a6d8-ed19-4cfa-a91d-2258c96c09de,FINISHED,a566b02f-aa61-414b-8e97-73b22e3c4082,3,2025-12-27T09:00:54.781Z,6ad53567-18bc-4d02-8940-8ff9a981ec50,9357ea2e-af38-453d-9c2f-b828d5ccdfb6,6,10,0,,4c6d0239-5747-4e28-8f53-08b24c5b04be,bae5de7f-387f-4f91-b62a-1ceafdaab07d,0,0,0,,False,True,bae5de7f-387f-4f91-b62a-1ceafdaab07d
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,Hold Ground,e9d9a6d8-ed19-4cfa-a91d-2258c96c09de,FINISHED,30ce3df8-b291-4f47-80f2-1d6b9ce1f6a0,4,2025-12-27T09:00:54.781Z,da987cbc-b97e-44de-9ed5-fee75c83ac59,f99a3381-e709-4e72-a4f6-e9f96240c428,0,0,0,,9e184657-3b37-4809-8051-7274aca90a81,7783babb-c470-4763-80c7-8e6bd277ded8,6,12,0,True,False,True,7783babb-c470-4763-80c7-8e6bd277ded8
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,Hold Ground,e9d9a6d8-ed19-4cfa-a91d-2258c96c09de,FINISHED,9873d305-f379-4613-b43a-f5bed2f05951,5,2025-12-27T09:00:54.781Z,992d7603-1dc3-436e-af6f-3ccab7772949,f3cb33ec-5288-4f97-8eff-fd9bba3516fc,0,2,0,,448db1b8-4c2a-4729-bc47-811eca1ded21,a6fc8598-2a54-4bb6-bbe1-4501ff1cee61,6,16,0,,False,True,a6fc8598-2a54-4bb6-bbe1-4501ff1cee61
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,Treasure Hoard,cb54479b-434f-488f-98d3-a21b4ecc9c94,FINISHED,d6777841-1535-4b89-aea7-234e2907eabd,0,2025-12-27T12:11:07.506Z,6247214d-8dfe-404c-8369-574fb7dafdca,57cefe9a-fa1b-45a6-a166-3e94e0d12d49,3,6,0,True,74c1bdb6-cd1b-42b9-ad8d-9de5248c5394,9357ea2e-af38-453d-9c2f-b828d5ccdfb6,3,6,0,False,True,False,57cefe9a-fa1b-45a6-a166-3e94e0d12d49
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,Treasure Hoard,cb54479b-434f-488f-98d3-a21b4ecc9c94,FINISHED,f6e3165d-55f5-4ea3-8ca7-a5210d33fb4e,1,2025-12-27T12:11:07.506Z,a8476e7f-ad67-43dc-9b4e-9f12a9d7b6e7,a6fc8598-2a54-4bb6-bbe1-4501ff1cee61,1,4,0,,58beda48-522f-4189-ad10-6111d4ac78b5,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0,5,6,0,,False,True,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,Treasure Hoard,cb54479b-434f-488f-98d3-a21b4ecc9c94,FINISHED,c3627b04-b354-4690-b767-b0e1b908070b,2,2025-12-27T12:11:07.506Z,f76b9424-ee87-4206-ba93-e84c386853a6,d46af0a2-c60d-45ef-9286-540bdc4ee510,1,8,0,True,758f056f-de9a-4387-a866-4ca877015296,780e8297-2cf1-4ac2-89bd-e9dd5ece6347,5,12,0,,False,True,780e8297-2cf1-4ac2-89bd-e9dd5ece6347
Luźny Turniej w Bolterze 2025 - 27.12.2025,718c796e-df73-471f-b200-be36386888b3,Treasure Hoard,cb54479b-434f-488f-98d3-a21b4ecc9c94,FINISHED,24c81d7f-8451-4c86-a0b0-dc947db6af1b,3,2025-12-27T12:11:07.506Z,c8a4f456-c173-4910-bfde-27a099738b3c,bae5de7f-387f-4f91-b62a-1ceafdaab07d,3,6,0,,57a26539-8524-4c02-a3ff-c809f7b124c6,7783babb-c470-4763-80c7-8e6bd277ded8,3,6,0,,True,False,bae5de7f-387f-4f91-b62a-1ceafdaab07d
