Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
MAJOWY Turniej Middle-Earth SBG w Rzeszowie,12ab6738-ba84-4bda-860b-c084b0f03565,Runda 3 - Treasure Hoard,972d6871-f714-40b4-bc83-e1e1efdc74ba,FINISHED,c4ffef61-1b45-41ec-aef8-95ba50a041c2,0,2026-05-16T12:50:59.834Z,20f8a371-6ea5-45c5-ba0a-373322d91f0a,4a511f44-0b5e-4f86-b9ea-6db298859c11,200,0.0,9,,c098931b-8825-4a01-8634-bbf780cbcf59,b1bfbaa2-786c-45b9-ae49-2d3958b91304,200,0.0,9.0,,True,False,4a511f44-0b5e-4f86-b9ea-6db298859c11
MAJOWY Turniej Middle-Earth SBG w Rzeszowie,12ab6738-ba84-4bda-860b-c084b0f03565,Runda 3 - Treasure Hoard,972d6871-f714-40b4-bc83-e1e1efdc74ba,FINISHED,88bd976a-8975-46ee-a4ba-aa141fa67685,1,2026-05-16T12:50:59.834Z,a4c5e7ec-07a6-438b-ae56-cccbf7190d83,396741ce-3694-4877-9603-fe19efd6284f,-20,-20.0,0,,0ba8c37f-9485-4829-b92e-172c04bdca41,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,620,20.0,20.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
MAJOWY Turniej Middle-Earth SBG w Rzeszowie,12ab6738-ba84-4bda-860b-c084b0f03565,Runda 3 - Treasure Hoard,972d6871-f714-40b4-bc83-e1e1efdc74ba,FINISHED,3f7d8712-8ad3-4f85-972f-6b3643fad1d8,2,2026-05-16T12:50:59.834Z,dc2af927-f455-4642-999e-d167f75fa26a,b746219c-415e-46e0-8143-e8cbc9ae71d0,-12,-12.0,4,,3ea2dfd4-0c2d-46b3-8ef6-aea9ce885738,ff683689-6a31-40d7-8068-f1801f077caf,612,12.0,16.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
MAJOWY Turniej Middle-Earth SBG w Rzeszowie,12ab6738-ba84-4bda-860b-c084b0f03565,Runda 3 - Treasure Hoard,972d6871-f714-40b4-bc83-e1e1efdc74ba,FINISHED,2b25f015-d126-4ece-a719-8d99daa0e060,3,2026-05-16T12:50:59.834Z,ee62b1b7-182f-4329-bfda-4d51b4a6bdfb,7fc1431b-754b-4862-bb97-6f25f0ec68e3,620,20.0,20,,738a7067-8996-494d-a5fe-a5441e16ec6a,1857125d-c4f2-4a84-a26c-18ff4acbbcaf,-20,-20.0,0.0,,False,True,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
MAJOWY Turniej Middle-Earth SBG w Rzeszowie,12ab6738-ba84-4bda-860b-c084b0f03565,Runda 3 - Treasure Hoard,972d6871-f714-40b4-bc83-e1e1efdc74ba,FINISHED,bf6232df-ab5f-4f3c-8930-9c8d1c6ec9b2,4,2026-05-16T12:50:59.834Z,12c551c3-d2c8-40f1-b031-cfa7f8eede05,59f1887d-be00-4032-9f3f-45c0f6a8ea6b,607,7.0,10,,47eafc18-632f-471d-9b23-d37f367fb3cd,1e4bb49b-d8b6-4e0e-bdbc-5eef5d14c286,-7,-7.0,3.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
MAJOWY Turniej Middle-Earth SBG w Rzeszowie,12ab6738-ba84-4bda-860b-c084b0f03565,Runda 3 - Treasure Hoard,972d6871-f714-40b4-bc83-e1e1efdc74ba,FINISHED,02dd2e0e-7bca-47b7-847e-36ca467eaa3a,5,2026-05-16T12:50:59.834Z,73ee20c9-aa38-4d3f-a428-0ee1f09a5a2f,987fa345-8622-4702-a59f-71f0c10c6e0a,-18,-12.0,4,,08037314-7c9b-4693-b6a5-3de5c6dfa24e,0117f017-2d2b-4322-910f-c7c1b3aae435,618,12.0,16.0,,False,False,4a511f44-0b5e-4f86-b9ea-6db298859c11
MAJOWY Turniej Middle-Earth SBG w Rzeszowie,12ab6738-ba84-4bda-860b-c084b0f03565,Runda 2 - Capture and Control ,cc56de46-3617-45ea-a43f-0552513be543,FINISHED,f0fa5b1f-106f-4f7d-a984-55c246b812ee,0,2026-05-16T10:26:05.278Z,6a2cfd26-5b95-4950-b865-e0104032a222,4a511f44-0b5e-4f86-b9ea-6db298859c11,615,15.0,16,,d58e460a-3ba1-46b1-9dc5-1f521c244f6d,ff683689-6a31-40d7-8068-f1801f077caf,-15,-15.0,1.0,False,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
MAJOWY Turniej Middle-Earth SBG w Rzeszowie,12ab6738-ba84-4bda-860b-c084b0f03565,Runda 2 - Capture and Control ,cc56de46-3617-45ea-a43f-0552513be543,FINISHED,f96772b7-fdd3-46b8-96e3-71b8a6bf6189,1,2026-05-16T10:26:05.278Z,6b9e07d0-2032-405c-9735-9690017e29bd,7fc1431b-754b-4862-bb97-6f25f0ec68e3,-12,-12.0,3,,6a7d5609-7cbe-4dfe-9242-4abc8f4a18fa,396741ce-3694-4877-9603-fe19efd6284f,612,12.0,15.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
MAJOWY Turniej Middle-Earth SBG w Rzeszowie,12ab6738-ba84-4bda-860b-c084b0f03565,Runda 2 - Capture and Control ,cc56de46-3617-45ea-a43f-0552513be543,FINISHED,7f259b4b-4120-4093-a095-b491b8abb2b4,2,2026-05-16T10:26:05.278Z,43edeb07-5307-4500-bacd-1b61eb5277b9,b1bfbaa2-786c-45b9-ae49-2d3958b91304,614,14.0,17,,035149be-39c5-4539-809e-5b6abed5700e,59f1887d-be00-4032-9f3f-45c0f6a8ea6b,-14,-14.0,3.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
MAJOWY Turniej Middle-Earth SBG w Rzeszowie,12ab6738-ba84-4bda-860b-c084b0f03565,Runda 2 - Capture and Control ,cc56de46-3617-45ea-a43f-0552513be543,FINISHED,b440080d-1d25-4a83-a7fd-2c9906f6dc54,3,2026-05-16T10:26:05.278Z,ecc124f8-8e51-40c4-b3d1-a46be9c4a032,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,608,8.0,11,,9b38fe75-ff95-4ed5-a43f-cc5b1ff2719b,1e4bb49b-d8b6-4e0e-bdbc-5eef5d14c286,-8,-8.0,3.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
