Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
MARCOWY Turniej Middle-Earth SBG w Rzeszowie,681ad14d-ebee-4476-8f43-5167990192d8,Runda 3,e780f8f9-6c21-4f0c-b1ff-5a48a38cb04d,FINISHED,34900b88-c4c5-4f8b-9e2b-0f4d5c514d25,0,2026-03-29T11:29:46.957Z,4ff62ac8-aa1b-4462-94fe-035d015c2d01,b6f0e023-257d-472b-af43-78e56d559cae,606,6.0,12.0,,a0ff488a-e630-4ba3-83d9-75d1c0ce461f,c835422a-30a3-4c32-b3c7-e4adf534f128,-6.0,-6.0,6.0,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
MARCOWY Turniej Middle-Earth SBG w Rzeszowie,681ad14d-ebee-4476-8f43-5167990192d8,Runda 3,e780f8f9-6c21-4f0c-b1ff-5a48a38cb04d,FINISHED,d15321f4-ad9e-4c05-8248-84e1908fdef0,1,2026-03-29T11:29:46.957Z,b62e1568-ab6b-456f-8407-eee6b3ec977e,b1bfbaa2-786c-45b9-ae49-2d3958b91304,610,10.0,12.0,,f0c284f1-efbc-4fe0-ad88-9edaa25dd68e,02e912fd-a2c2-4725-a3a6-e9d4fea52a31,-10.0,-10.0,2.0,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
MARCOWY Turniej Middle-Earth SBG w Rzeszowie,681ad14d-ebee-4476-8f43-5167990192d8,Runda 3,e780f8f9-6c21-4f0c-b1ff-5a48a38cb04d,FINISHED,14ae2c25-3fff-4820-baed-464649aa6eba,2,2026-03-29T11:29:46.957Z,3bf464c6-b34b-422a-b667-fb960b412917,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,-15,-15.0,0.0,,f083cc2a-b925-4015-a962-1dd5aeb203ad,0117f017-2d2b-4322-910f-c7c1b3aae435,615.0,15.0,15.0,,False,True,0117f017-2d2b-4322-910f-c7c1b3aae435
MARCOWY Turniej Middle-Earth SBG w Rzeszowie,681ad14d-ebee-4476-8f43-5167990192d8,Runda 3,e780f8f9-6c21-4f0c-b1ff-5a48a38cb04d,FINISHED,63caa67f-4caf-4134-8668-97590aa3d908,3,2026-03-29T11:29:46.957Z,3b3c5a7f-fea7-4e65-afc1-faeb3d5fe4cd,63386b77-1ff5-4c2a-bdda-d47ff6d56cd3,-14,-14.0,0.0,,54db5b2c-6f75-4c60-a58c-de32f77f025d,987fa345-8622-4702-a59f-71f0c10c6e0a,614.0,14.0,14.0,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
MARCOWY Turniej Middle-Earth SBG w Rzeszowie,681ad14d-ebee-4476-8f43-5167990192d8,Runda 2,b8eb8949-1765-4795-adac-942ee98b9a24,FINISHED,745bfd19-56df-4d96-bf6b-29714597f7b1,0,2026-03-29T10:28:09.882Z,0cfd93d0-a3ce-4c6b-8820-a82a7ad3f4f6,02e912fd-a2c2-4725-a3a6-e9d4fea52a31,99,-1.0,5.0,,3877390d-5fbe-427a-a948-ff829710279c,c835422a-30a3-4c32-b3c7-e4adf534f128,501.0,1.0,6.0,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
MARCOWY Turniej Middle-Earth SBG w Rzeszowie,681ad14d-ebee-4476-8f43-5167990192d8,Runda 2,b8eb8949-1765-4795-adac-942ee98b9a24,FINISHED,eb2e8541-d534-40a0-b9df-8e4006e18975,1,2026-03-29T10:28:09.882Z,d8152aaf-1548-405e-8e9b-05610a856426,0117f017-2d2b-4322-910f-c7c1b3aae435,-4,-4.0,3.0,,2f730fe7-dcfb-408d-bb24-22ecb91ab995,b6f0e023-257d-472b-af43-78e56d559cae,604.0,4.0,7.0,,True,False,0117f017-2d2b-4322-910f-c7c1b3aae435
MARCOWY Turniej Middle-Earth SBG w Rzeszowie,681ad14d-ebee-4476-8f43-5167990192d8,Runda 2,b8eb8949-1765-4795-adac-942ee98b9a24,FINISHED,c9f1d54f-18d1-4271-82d6-a008e544a7ca,2,2026-03-29T10:28:09.882Z,cbcfacfe-a53d-4e71-add9-a6fa3a2bb774,b1bfbaa2-786c-45b9-ae49-2d3958b91304,501,1.0,7.0,,0c621ab4-42de-4f30-bb01-914aad3b0278,63386b77-1ff5-4c2a-bdda-d47ff6d56cd3,99.0,-1.0,6.0,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
MARCOWY Turniej Middle-Earth SBG w Rzeszowie,681ad14d-ebee-4476-8f43-5167990192d8,Runda 2,b8eb8949-1765-4795-adac-942ee98b9a24,FINISHED,3f9fe45f-d260-495b-b455-7024af33ef2a,3,2026-03-29T10:28:09.882Z,9f015710-81c0-4691-abb2-3ce209b332a3,987fa345-8622-4702-a59f-71f0c10c6e0a,-17,-17.0,1.0,,489e0779-0448-40ec-a6aa-b77b51ed26b3,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,617.0,17.0,18.0,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
MARCOWY Turniej Middle-Earth SBG w Rzeszowie,681ad14d-ebee-4476-8f43-5167990192d8,Runda 4,4af2c47b-76de-4e8c-b072-74ff219d5d8f,FINISHED,2bae1b47-908a-49fb-a564-0b1963f3e53d,0,2026-03-29T12:50:33.310Z,93108fa3-3056-4fd5-98d9-1d010b7b44a1,b6f0e023-257d-472b-af43-78e56d559cae,506,6.0,14.0,,45e2711c-2c68-43d4-a5a7-672807946abb,b1bfbaa2-786c-45b9-ae49-2d3958b91304,94.0,-6.0,8.0,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
MARCOWY Turniej Middle-Earth SBG w Rzeszowie,681ad14d-ebee-4476-8f43-5167990192d8,Runda 4,4af2c47b-76de-4e8c-b072-74ff219d5d8f,FINISHED,10720e4f-f4a1-4378-b554-16f12a44ac08,1,2026-03-29T12:50:33.310Z,7356ebfd-ad46-40b7-bfa2-c1e2c258b6a6,0117f017-2d2b-4322-910f-c7c1b3aae435,-8,-8.0,8.0,,4a86a5b2-4029-489c-974d-888715619698,c835422a-30a3-4c32-b3c7-e4adf534f128,608.0,8.0,16.0,,True,False,0117f017-2d2b-4322-910f-c7c1b3aae435
