Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
ME-SBG LOTR 800 pkt KROLM,66e9c37a-2ba7-4bf4-bafe-4bc221e9462d,Runda 1,ca4e40df-3168-473d-8936-e06c341c8488,FINISHED,0e161afb-acfe-4c53-b544-2df29ad26c2b,0.0,2026-08-23T08:11:00.570Z,41e03db9-9efb-4033-b415-d8f9f0dcc8ad,06621509-feb2-4ef5-9a05-31adb11d942c,6.0,20.0,0.0,,7992167f-ebe7-4a89-a7d1-c2565be62b43,5aa7d708-6938-4f9e-b4d9-ef2e49b6f5f5,0.0,3.0,0.0,,False,True,5aa7d708-6938-4f9e-b4d9-ef2e49b6f5f5
ME-SBG LOTR 800 pkt KROLM,66e9c37a-2ba7-4bf4-bafe-4bc221e9462d,Runda 1,ca4e40df-3168-473d-8936-e06c341c8488,FINISHED,10b0c456-b9f0-400f-8bf2-e972e84c7b3f,1.0,2026-08-23T08:11:00.570Z,0c86fe8f-5acf-4ec1-a491-3d3233726b47,29ce8b19-a17a-4ba7-8e17-ddffe260e052,0.0,0.0,16.0,,8aeea88a-6009-484e-9ab4-1ff17572d44c,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38,6.0,16.0,39.0,,False,True,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38
ME-SBG LOTR 800 pkt KROLM,66e9c37a-2ba7-4bf4-bafe-4bc221e9462d,Runda 1,ca4e40df-3168-473d-8936-e06c341c8488,FINISHED,fddd07bc-9126-4085-940b-079397659038,2.0,2026-08-23T08:09:56.934Z,0f73f337-bf1d-49a6-9018-d85d709b67f8,1403a8fb-39a4-4e2f-b6cd-5d7e334df789,6.0,7.0,0.0,,efa38708-b93e-4532-9c19-308901ab149e,3c31c04c-a1ca-4b00-92dc-d33f3841073e,0.0,0.0,0.0,,True,False,1403a8fb-39a4-4e2f-b6cd-5d7e334df789
ME-SBG LOTR 800 pkt KROLM,66e9c37a-2ba7-4bf4-bafe-4bc221e9462d,Runda 1,ca4e40df-3168-473d-8936-e06c341c8488,FINISHED,75432a61-052c-46a3-b2d6-bb571cbfeef8,,2026-08-23T08:09:56.934Z,35fbf7c8-4c28-499e-8084-4a988105196c,63a607ad-0eeb-4438-a6f7-2a0e12bec850,6.0,0.0,0.0,,,,,,,,True,False,63a607ad-0eeb-4438-a6f7-2a0e12bec850
ME-SBG LOTR 800 pkt KROLM,66e9c37a-2ba7-4bf4-bafe-4bc221e9462d,Runda 2,9a673820-fc54-40ec-80f9-6d096f72c403,FINISHED,929bae58-4f9f-4b8e-8ff6-d6c2a35c3565,0.0,2026-08-23T10:26:45.434Z,a0faaecd-74ad-42a3-8045-cd00f2177b69,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38,0.0,2.0,0.0,,0ae6d30d-e3ae-4094-a121-2bae8185f10b,1403a8fb-39a4-4e2f-b6cd-5d7e334df789,6.0,17.0,0.0,,False,True,1403a8fb-39a4-4e2f-b6cd-5d7e334df789
ME-SBG LOTR 800 pkt KROLM,66e9c37a-2ba7-4bf4-bafe-4bc221e9462d,Runda 2,9a673820-fc54-40ec-80f9-6d096f72c403,FINISHED,c2acf884-2361-45aa-b090-57658539afb9,1.0,2026-08-23T10:26:45.434Z,24921b33-26aa-4e81-969d-34bc3f008116,63a607ad-0eeb-4438-a6f7-2a0e12bec850,0.0,3.0,0.0,,db64477e-47c2-494f-9d15-2f81d5c280aa,06621509-feb2-4ef5-9a05-31adb11d942c,6.0,12.0,0.0,,True,False,63a607ad-0eeb-4438-a6f7-2a0e12bec850
ME-SBG LOTR 800 pkt KROLM,66e9c37a-2ba7-4bf4-bafe-4bc221e9462d,Runda 2,9a673820-fc54-40ec-80f9-6d096f72c403,FINISHED,9283680c-9746-4147-952e-dffcba4a394b,2.0,2026-08-23T10:26:45.434Z,bf34ee15-ca92-4ed2-bb2d-3e87e49f669f,29ce8b19-a17a-4ba7-8e17-ddffe260e052,0.0,4.0,0.0,,593ba035-e3e6-4a08-a8ad-e519be50c7b6,5aa7d708-6938-4f9e-b4d9-ef2e49b6f5f5,6.0,10.0,0.0,,False,True,5aa7d708-6938-4f9e-b4d9-ef2e49b6f5f5
ME-SBG LOTR 800 pkt KROLM,66e9c37a-2ba7-4bf4-bafe-4bc221e9462d,Runda 2,9a673820-fc54-40ec-80f9-6d096f72c403,FINISHED,6ac45436-c3ef-47bd-8991-130f557e5c98,,2026-08-23T10:26:45.434Z,8b19b847-66eb-4dee-a453-9f3d8860ec1a,3c31c04c-a1ca-4b00-92dc-d33f3841073e,5.0,0.0,0.0,,,,,,,,True,False,3c31c04c-a1ca-4b00-92dc-d33f3841073e
ME-SBG LOTR 800 pkt KROLM,66e9c37a-2ba7-4bf4-bafe-4bc221e9462d,Runda 3,42e4bfce-ceef-4183-8727-f41cb3f670d7,FINISHED,020d955c-00dd-4f13-86f3-d6b391f9f6a8,0.0,2026-08-23T12:56:09.273Z,a4f5c061-6be7-4b9d-9673-acf94f780f2c,1403a8fb-39a4-4e2f-b6cd-5d7e334df789,5.0,5.0,0.0,,696a5384-04ed-49b2-9d12-0626666622ee,06621509-feb2-4ef5-9a05-31adb11d942c,1.0,3.0,0.0,,True,False,1403a8fb-39a4-4e2f-b6cd-5d7e334df789
ME-SBG LOTR 800 pkt KROLM,66e9c37a-2ba7-4bf4-bafe-4bc221e9462d,Runda 3,42e4bfce-ceef-4183-8727-f41cb3f670d7,FINISHED,b6af9ccd-02d3-4f29-bd80-da7f326b3457,1.0,2026-08-23T12:56:09.273Z,01a07371-f229-45da-b490-ed10dd2dfdf2,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38,1.0,3.0,0.0,,482101ee-49a9-42ac-800a-7cc6ba105ff3,3c31c04c-a1ca-4b00-92dc-d33f3841073e,5.0,4.0,0.0,,True,False,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38
