Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
MESBG Online: W Pogoni za Trollem,c36e0929-5c23-473a-9e1a-7b81738c0168,Koszyk 3,b2e93717-24d3-418d-b4e8-afa375d874ac,FINISHED,aef6889b-eac9-42d8-8efc-59903b901a78,0,2026-04-14T18:52:05.235Z,989b1740-5127-4d70-aaa5-bb5da573d97c,6df80142-0804-43f3-910e-3d51131586cf,15,16,0.0,False,b885542a-6b43-4280-b97a-c04022b890d5,d46af0a2-c60d-45ef-9286-540bdc4ee510,0.0,1.0,0.0,False,True,False,6df80142-0804-43f3-910e-3d51131586cf
MESBG Online: W Pogoni za Trollem,c36e0929-5c23-473a-9e1a-7b81738c0168,Koszyk 3,b2e93717-24d3-418d-b4e8-afa375d874ac,FINISHED,0f980edc-05f3-4a7e-a796-f0e6a81052a5,1,2026-04-14T18:52:05.235Z,d767d87e-738e-4ab1-9cc9-562700c44d68,089ddc86-e373-4d2e-9d6f-0bfeff90c90a,11,11,0.0,True,2b3e21cd-7c78-4810-9230-370ad3f6632c,4d2a70a2-c8e1-4ab9-a886-3a945d216f71,5.0,8.0,0.0,True,True,True,4d2a70a2-c8e1-4ab9-a886-3a945d216f71
MESBG Online: W Pogoni za Trollem,c36e0929-5c23-473a-9e1a-7b81738c0168,Koszyk 3,b2e93717-24d3-418d-b4e8-afa375d874ac,FINISHED,a5ccefca-db0c-4af4-ba09-9d42f645778a,2,2026-04-14T18:52:05.235Z,e3d090d1-59cb-47e5-b8b6-31eed6a4819d,4a511f44-0b5e-4f86-b9ea-6db298859c11,15,20,0.0,True,216432f0-4299-41ec-8234-f1d36a0e5692,21ff41f3-549d-4b12-922e-862bfc088bc3,0.0,5.0,0.0,,True,False,4a511f44-0b5e-4f86-b9ea-6db298859c11
MESBG Online: W Pogoni za Trollem,c36e0929-5c23-473a-9e1a-7b81738c0168,Koszyk 3,b2e93717-24d3-418d-b4e8-afa375d874ac,FINISHED,26adfb66-5798-48eb-81f1-4a41db35bcb5,3,2026-04-14T18:52:05.235Z,5b94111b-f6ca-4ac8-989a-6e8404163b08,6fbfdbec-7d0c-4900-a4a5-7bdf560ca7a2,15,16,0.0,False,94074e8c-eda3-4689-a8a6-871163945dc3,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0,0.0,3.0,0.0,True,False,True,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0
MESBG Online: W Pogoni za Trollem,c36e0929-5c23-473a-9e1a-7b81738c0168,Koszyk 3,b2e93717-24d3-418d-b4e8-afa375d874ac,FINISHED,91f3d928-fff6-4e3b-9731-ab51f68dde99,4,2026-04-14T18:52:05.235Z,eea42527-b2a1-4cd2-9ae7-4bb9cece167c,0bfb2478-4d20-4d4b-8371-cdf968ed3447,15,10,0.0,False,e8df5d89-fa1a-4c4f-99ec-035f1d51814a,8b598a8c-6653-4761-bf1e-6954cf967146,0.0,0.0,0.0,False,True,False,0bfb2478-4d20-4d4b-8371-cdf968ed3447
MESBG Online: W Pogoni za Trollem,c36e0929-5c23-473a-9e1a-7b81738c0168,Koszyk 3,b2e93717-24d3-418d-b4e8-afa375d874ac,FINISHED,4306d440-6186-4aca-ae2f-08d20665a372,5,2026-04-14T18:52:05.235Z,84161f94-79f3-4a80-a174-2dd964dc5319,addf7c1a-9d70-4bf7-b1fa-0dfdec7e437f,11,11,0.0,True,627d2716-2047-4403-ba86-31529db563cd,bbbe191e-78cb-42d6-acc6-fd53718b1fd2,5.0,5.0,0.0,True,False,False,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0
MESBG Online: W Pogoni za Trollem,c36e0929-5c23-473a-9e1a-7b81738c0168,Koszyk 3,b2e93717-24d3-418d-b4e8-afa375d874ac,FINISHED,54859bd2-2f2d-4924-a2ca-d72961e7c504,6,2026-04-14T18:52:05.235Z,606b3a30-60ab-4588-9066-7847f3978ce7,e193927e-381f-4695-ac85-685e297bb182,0,3,0.0,,4e0cbbb9-0834-48fe-bf01-347993679ba3,c3cc4358-f723-47d3-89df-bdd217907616,15.0,18.0,0.0,True,False,True,c3cc4358-f723-47d3-89df-bdd217907616
MESBG Online: W Pogoni za Trollem,c36e0929-5c23-473a-9e1a-7b81738c0168,Koszyk 3,b2e93717-24d3-418d-b4e8-afa375d874ac,FINISHED,86ff4f78-edec-4207-bca6-efea5eaeb58e,7,2026-04-14T18:52:05.235Z,3968c5b4-2c7a-4311-8fb4-66c1813a8c0e,ad4836af-7b5d-4389-a937-446249ae3deb,0,0,0.0,,5d213196-bf93-4302-8b26-e7d73b24b034,2a69f764-5cb1-4177-9200-d58b7117a089,0.0,0.0,0.0,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
MESBG Online: W Pogoni za Trollem,c36e0929-5c23-473a-9e1a-7b81738c0168,Koszyk 3,b2e93717-24d3-418d-b4e8-afa375d874ac,FINISHED,955d8b43-51bd-48c8-8cd3-04b7ba12eb42,8,2026-04-14T18:52:05.235Z,0fd292a5-b210-47a5-9485-d1f123299046,3724fd4c-7499-4f18-b1ce-763488f52e72,11,7,0.0,,ebbf8ec9-de9f-4f69-9cf9-881e13eb37bf,8584b195-954a-48ed-85bb-22d759304615,0.0,0.0,0.0,,True,False,3724fd4c-7499-4f18-b1ce-763488f52e72
MESBG Online: W Pogoni za Trollem,c36e0929-5c23-473a-9e1a-7b81738c0168,Koszyk 3,b2e93717-24d3-418d-b4e8-afa375d874ac,FINISHED,cc41ae11-f90a-4764-b870-207107c895db,9,2026-04-14T18:52:05.235Z,d3b5eccf-a765-4850-b814-695a6f9bd3f1,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,0,0,0.0,,3f78defb-4a45-4939-a99a-94f1ded9d9d8,b03d290f-0f50-4b79-a0e7-a6bad8e16b2f,0.0,0.0,0.0,,True,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
MESBG Online: W Pogoni za Trollem,c36e0929-5c23-473a-9e1a-7b81738c0168,Koszyk 3,b2e93717-24d3-418d-b4e8-afa375d874ac,FINISHED,7fd7d1aa-419d-441e-99a9-796c0fa44ec6,10,2026-04-14T18:52:05.235Z,f1c96815-30de-4e00-b0c0-af328c944a61,cbfbcd40-cbf7-4546-885f-4d061496fe8c,5,3,0.0,False,,,,,,,True,False,cbfbcd40-cbf7-4546-885f-4d061496fe8c
MESBG Online: W Pogoni za Trollem,c36e0929-5c23-473a-9e1a-7b81738c0168,Runda 2,ad887b9f-96f7-4bf0-923d-f36cf862120a,FINISHED,3aa87eda-acd7-446e-a780-7a35e7c74319,0,2026-04-06T16:41:26.393Z,e0349fd2-85ec-44ae-8b56-6c8bef5a19a1,bbbe191e-78cb-42d6-acc6-fd53718b1fd2,0,0,0.0,True,594718f6-027e-4806-8bd8-763e106317fd,6df80142-0804-43f3-910e-3d51131586cf,15.0,20.0,0.0,False,False,False,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0
MESBG Online: W Pogoni za Trollem,c36e0929-5c23-473a-9e1a-7b81738c0168,Runda 2,ad887b9f-96f7-4bf0-923d-f36cf862120a,FINISHED,8ecf4b75-a674-409c-84f7-2362151a0ca3,1,2026-04-06T16:41:26.393Z,3c5bb081-4afe-4b5a-957e-5a30d02e50b4,d46af0a2-c60d-45ef-9286-540bdc4ee510,15,19,0.0,False,2fba4ed4-8dc6-4322-acac-684377c86370,e193927e-381f-4695-ac85-685e297bb182,0.0,0.0,0.0,,True,False,d46af0a2-c60d-45ef-9286-540bdc4ee510
MESBG Online: W Pogoni za Trollem,c36e0929-5c23-473a-9e1a-7b81738c0168,Runda 2,ad887b9f-96f7-4bf0-923d-f36cf862120a,FINISHED,071b2b8e-bf62-4d6b-bbd6-0f90cae54e7a,2,2026-04-06T16:41:26.393Z,fbfc41ea-d828-4476-8526-f1ae8d1b1fea,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0,5,13,0.0,True,11613ac3-7c26-45aa-aa75-8e34aea973f2,4d2a70a2-c8e1-4ab9-a886-3a945d216f71,11.0,14.0,0.0,False,True,False,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0
