Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 6 - Unique Scenarios,1b0e13c9-79cf-48fc-b681-4621ee9009e6,FINISHED,7fa0d7cc-87e7-4239-a1fb-2cfa85e02244,0,2026-06-14T17:35:32.509Z,d54da6f0-4c95-4c84-97a2-d80c4f59ce42,0bfb2478-4d20-4d4b-8371-cdf968ed3447,5,3,0.0,False,02b3929d-12ad-45d3-b7b8-05e17b5ee559,8584b195-954a-48ed-85bb-22d759304615,11,10,0.0,False,False,True,8584b195-954a-48ed-85bb-22d759304615
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 6 - Unique Scenarios,1b0e13c9-79cf-48fc-b681-4621ee9009e6,FINISHED,c51d216f-b761-471b-81a7-6e2415818c34,1,2026-06-14T17:35:32.509Z,0b20b56e-037f-423f-aba1-0b1ca89f44e6,6df80142-0804-43f3-910e-3d51131586cf,0,0,0.0,False,0d4110b8-4b5b-41f2-95e7-eb943bd0a441,d46af0a2-c60d-45ef-9286-540bdc4ee510,15,20,0.0,,False,True,d46af0a2-c60d-45ef-9286-540bdc4ee510
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 6 - Unique Scenarios,1b0e13c9-79cf-48fc-b681-4621ee9009e6,FINISHED,0bbd2a19-f3f5-47c6-8202-35cd6ccc7888,2,2026-06-14T17:35:32.509Z,2c184eab-ab1e-468c-8c94-654e84186cba,6fbfdbec-7d0c-4900-a4a5-7bdf560ca7a2,15,12,0.0,,7d582ee6-86d5-4ded-9cc6-1a48ee34ac44,bbbe191e-78cb-42d6-acc6-fd53718b1fd2,0,4,0.0,False,True,False,6fbfdbec-7d0c-4900-a4a5-7bdf560ca7a2
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 6 - Unique Scenarios,1b0e13c9-79cf-48fc-b681-4621ee9009e6,FINISHED,18b8420e-4dbb-4f51-b8ad-44f25be0f4a7,3,2026-06-14T17:35:32.509Z,f66981b9-b28e-4308-b358-1c1e4d8e4083,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0,0,0,0.0,True,fcdff73b-6868-4275-909a-0906bc22c8c6,cbfbcd40-cbf7-4546-885f-4d061496fe8c,15,18,0.0,False,True,False,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 6 - Unique Scenarios,1b0e13c9-79cf-48fc-b681-4621ee9009e6,FINISHED,b162ee98-753d-458e-bf80-8ad83eeefaf4,4,2026-06-14T17:35:32.509Z,30128fb6-79c1-43b7-8c56-f2b0eb555064,8b598a8c-6653-4761-bf1e-6954cf967146,15,20,,,03046a13-7ead-42db-afc6-71632a33d15d,4a511f44-0b5e-4f86-b9ea-6db298859c11,0,0,,,False,False,d46af0a2-c60d-45ef-9286-540bdc4ee510
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 6 - Unique Scenarios,1b0e13c9-79cf-48fc-b681-4621ee9009e6,FINISHED,86eda889-c9bd-44ce-bd70-c52a68562d11,5,2026-06-14T17:35:32.509Z,3deb1a05-82c3-4d24-a107-c1706bf7e8c3,addf7c1a-9d70-4bf7-b1fa-0dfdec7e437f,5,5,0.0,False,e06bc4f3-3f9d-48f9-ab7c-e2bc24f91750,4d2a70a2-c8e1-4ab9-a886-3a945d216f71,11,9,0.0,False,True,False,addf7c1a-9d70-4bf7-b1fa-0dfdec7e437f
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 6 - Unique Scenarios,1b0e13c9-79cf-48fc-b681-4621ee9009e6,FINISHED,18d5477e-8d62-4b70-94b5-8c1f0180040a,6,2026-06-14T17:35:32.509Z,2187e354-1be2-4cdb-a093-8304c7e77d59,e193927e-381f-4695-ac85-685e297bb182,15,13,,False,67c6e249-9163-4cca-a5ef-f73719c92673,9acacf31-d8da-4104-a8e3-5a8b19ab96f0,0,2,,True,False,False,d46af0a2-c60d-45ef-9286-540bdc4ee510
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 6 - Unique Scenarios,1b0e13c9-79cf-48fc-b681-4621ee9009e6,FINISHED,bc5e1e41-1f03-49f9-b43f-21e6b694978b,7,2026-06-14T17:35:32.509Z,f9f6c7b2-4c90-4049-af25-31e0e92b6f9a,cb320e87-633f-4584-908c-3fd6e435fcbf,11,7,,,b8bb7440-499d-48f5-a032-34c00628e2dc,3724fd4c-7499-4f18-b1ce-763488f52e72,0,0,,,False,False,d46af0a2-c60d-45ef-9286-540bdc4ee510
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 1 - Hold Objective,8ac86917-e879-4d80-bfd4-a8ec1787e727,FINISHED,89123009-e6e5-484e-819d-f760e7efbd1e,0,2026-05-31T21:13:51.249Z,859f22b8-901d-4135-a9e8-da2492d29b3a,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0,5,1,,False,41c59f61-0b20-4f68-ad39-1e1ab3f307ce,6df80142-0804-43f3-910e-3d51131586cf,11,6,,False,True,False,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 1 - Hold Objective,8ac86917-e879-4d80-bfd4-a8ec1787e727,FINISHED,838efb6c-efb8-45ce-a4e8-926421bac77f,1,2026-05-31T21:13:51.249Z,1c4b31ee-c422-4fa4-8ded-ccd7e5f6f243,cbfbcd40-cbf7-4546-885f-4d061496fe8c,11,9,0.0,False,f5220a43-cc25-44d5-80cd-ee6859d2661e,9acacf31-d8da-4104-a8e3-5a8b19ab96f0,5,6,0.0,False,True,False,cbfbcd40-cbf7-4546-885f-4d061496fe8c
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 1 - Hold Objective,8ac86917-e879-4d80-bfd4-a8ec1787e727,FINISHED,9f7c038a-1625-478e-85f2-c65087297059,2,2026-05-31T21:13:51.249Z,9ff095b4-2a41-431e-9be6-e5ac8cafa77e,6fbfdbec-7d0c-4900-a4a5-7bdf560ca7a2,15,17,0.0,,3c00294a-d9c5-476e-8cb3-b9aa4a332059,3724fd4c-7499-4f18-b1ce-763488f52e72,0,0,0.0,,False,False,d46af0a2-c60d-45ef-9286-540bdc4ee510
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 1 - Hold Objective,8ac86917-e879-4d80-bfd4-a8ec1787e727,FINISHED,c48304f4-d513-4df4-adf7-b4d773c6b15f,3,2026-05-31T21:13:51.249Z,e895da72-0068-4a0e-bf5f-f4d2dce180b5,8b598a8c-6653-4761-bf1e-6954cf967146,5,6,0.0,False,4ab3dc4b-063c-4165-9712-34be0dea0619,8584b195-954a-48ed-85bb-22d759304615,11,10,0.0,False,False,True,8584b195-954a-48ed-85bb-22d759304615
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 1 - Hold Objective,8ac86917-e879-4d80-bfd4-a8ec1787e727,FINISHED,096bb0b2-9dfc-4bcb-940c-a7b8beea9e38,4,2026-05-31T21:13:51.249Z,1295c929-2004-45ba-ae88-c3e45ef0a9c2,e193927e-381f-4695-ac85-685e297bb182,5,6,0.0,True,3b47513e-dcbd-41b0-968c-3522e4268035,4a511f44-0b5e-4f86-b9ea-6db298859c11,11,9,0.0,True,False,False,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 1 - Hold Objective,8ac86917-e879-4d80-bfd4-a8ec1787e727,FINISHED,a975d96c-1d93-4c04-ae13-1805f2c45f64,5,2026-05-31T21:13:51.249Z,06c4b538-b84b-4156-933b-e88c530a5a40,d46af0a2-c60d-45ef-9286-540bdc4ee510,15,17,0.0,,13627034-7b44-4b0b-bce2-fc28b702394f,4d2a70a2-c8e1-4ab9-a886-3a945d216f71,0,3,0.0,True,True,False,d46af0a2-c60d-45ef-9286-540bdc4ee510
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 1 - Hold Objective,8ac86917-e879-4d80-bfd4-a8ec1787e727,FINISHED,dfe202d5-58da-4a3d-80c0-893f4d940566,6,2026-05-31T21:13:51.249Z,e63f4afd-bffb-4a29-badd-61d85476ee7d,addf7c1a-9d70-4bf7-b1fa-0dfdec7e437f,0,0,0.0,False,0bcb3caa-9b2b-47ef-981f-340fd7a97180,bbbe191e-78cb-42d6-acc6-fd53718b1fd2,15,17,0.0,True,False,True,bbbe191e-78cb-42d6-acc6-fd53718b1fd2
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 1 - Hold Objective,8ac86917-e879-4d80-bfd4-a8ec1787e727,FINISHED,f51364bf-ca4d-4065-a17e-7ff09e9ce9df,7,2026-05-31T21:13:51.249Z,8d088d34-28b0-42d3-85a8-0cb0fbab5185,cb320e87-633f-4584-908c-3fd6e435fcbf,0,0,0.0,,384c33b2-deaf-44a0-af39-3b309db7a854,0bfb2478-4d20-4d4b-8371-cdf968ed3447,15,10,0.0,False,False,True,0bfb2478-4d20-4d4b-8371-cdf968ed3447
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 4 - Object Scenarios,8209eea7-8aa6-422b-8581-d2689297af03,FINISHED,f7058749-f675-44b0-ae18-ddcbad779653,0,2026-06-05T20:40:54.592Z,85539534-5c14-4872-b735-e9de9cc9a94d,6fbfdbec-7d0c-4900-a4a5-7bdf560ca7a2,7,0,0.0,,be17ee66-18e4-4eca-91c2-d37f1e6529ae,d46af0a2-c60d-45ef-9286-540bdc4ee510,7,0,0.0,,False,True,d46af0a2-c60d-45ef-9286-540bdc4ee510
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 4 - Object Scenarios,8209eea7-8aa6-422b-8581-d2689297af03,FINISHED,f6a50fca-3bea-4b79-af86-288d4402a47e,1,2026-06-05T20:40:54.592Z,3d98613d-75b9-4a49-b4eb-096ba11b46e1,bbbe191e-78cb-42d6-acc6-fd53718b1fd2,5,4,0.0,False,fb36613a-eb26-4277-a175-0e2cb218a621,0bfb2478-4d20-4d4b-8371-cdf968ed3447,11,6,0.0,True,False,True,0bfb2478-4d20-4d4b-8371-cdf968ed3447
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 4 - Object Scenarios,8209eea7-8aa6-422b-8581-d2689297af03,FINISHED,d1b14452-ef3e-47e1-93bf-57907b98c52c,2,2026-06-05T20:40:54.592Z,47ca9488-12b7-480a-8c9b-14c7698786d9,8584b195-954a-48ed-85bb-22d759304615,11,11,0.0,False,9b0b4206-3a01-49dc-b0ef-f8fc76185c97,cbfbcd40-cbf7-4546-885f-4d061496fe8c,5,5,0.0,True,True,False,8584b195-954a-48ed-85bb-22d759304615
MESBG Online: Zadyma w Warzywniaku,0b8e06bf-650e-44de-8d52-63f2dd18324a,Kosz 4 - Object Scenarios,8209eea7-8aa6-422b-8581-d2689297af03,FINISHED,4d35de56-f24d-43e4-9f5f-386539201dda,3,2026-06-05T20:40:54.592Z,3e4f8c90-e81f-4f43-8cb1-134159866b1c,4a511f44-0b5e-4f86-b9ea-6db298859c11,5,0,0.0,True,3bbc16a8-96cb-42a0-8d48-b7527cbb2a0a,6df80142-0804-43f3-910e-3d51131586cf,11,5,0.0,False,False,True,6df80142-0804-43f3-910e-3d51131586cf
