Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
MISTRZOSTWA TRÓJMIASTA MESBG - 625 pkt,af6b683e-650f-4b2b-a253-305fef504c94,Pool 5 rekony,0d376373-f5c1-48fc-9ce1-ab616927b3d2,FINISHED,98bb4735-dfd3-4aed-933a-2e3a3d7f8a27,0,2026-06-20T13:18:13.051Z,746a9592-7577-4724-be7d-a4ffdd6ac379,06621509-feb2-4ef5-9a05-31adb11d942c,0,7.0,0.0,,ea882d70-8756-412e-acaf-c4c84a4badf2,708078fa-6770-4b38-a508-7bee7d0b95a2,6.0,20.0,0.0,,False,True,708078fa-6770-4b38-a508-7bee7d0b95a2
MISTRZOSTWA TRÓJMIASTA MESBG - 625 pkt,af6b683e-650f-4b2b-a253-305fef504c94,Pool 5 rekony,0d376373-f5c1-48fc-9ce1-ab616927b3d2,FINISHED,7fcecb28-9004-47e8-93e8-250d069bc512,1,2026-06-20T13:18:13.051Z,e6e6fd32-f6cd-48ae-9c40-84c6b0126edb,33c02a77-8b2d-4cfc-a72f-bd991ce0c950,6,15.0,0.0,,4c2a3a19-b8bd-4a71-84c4-0e452c02e546,29ce8b19-a17a-4ba7-8e17-ddffe260e052,0.0,1.0,0.0,,True,False,33c02a77-8b2d-4cfc-a72f-bd991ce0c950
MISTRZOSTWA TRÓJMIASTA MESBG - 625 pkt,af6b683e-650f-4b2b-a253-305fef504c94,Pool 5 rekony,0d376373-f5c1-48fc-9ce1-ab616927b3d2,FINISHED,cb3aea98-7cd2-47cf-98a0-1610d444422e,2,2026-06-20T13:18:13.051Z,d135e2bc-6863-4bc3-b1c8-a2525f0e2b30,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38,6,18.0,0.0,,7ad9b7da-5dc7-46aa-a7ff-9af7934bbd93,7e2ec8ee-a77d-46c4-952a-aa8f006ba9ec,0.0,8.0,0.0,,True,False,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38
MISTRZOSTWA TRÓJMIASTA MESBG - 625 pkt,af6b683e-650f-4b2b-a253-305fef504c94,Pool 5 rekony,0d376373-f5c1-48fc-9ce1-ab616927b3d2,FINISHED,97ab6af8-a077-445c-8ff6-a6963f262316,3,2026-06-20T13:18:13.051Z,dec2736f-8627-4da6-83ce-2bfbca6a6122,ae24bd8f-b41a-4ac3-b17a-fee9d954595c,5,,,,,,,,,,False,False,33c02a77-8b2d-4cfc-a72f-bd991ce0c950
MISTRZOSTWA TRÓJMIASTA MESBG - 625 pkt,af6b683e-650f-4b2b-a253-305fef504c94,Object scenarios,d17ac1d6-52de-4c63-a539-3183db311c0b,FINISHED,f92d4fda-4b82-4afe-9dc6-373a50b445e3,0,2026-06-20T11:15:05.710Z,1d8be811-f80e-4ed0-ad52-bb5b0dcd8df4,ae24bd8f-b41a-4ac3-b17a-fee9d954595c,0,5.0,0.0,,753ab211-f380-4e45-8c17-ab0982f4ce5c,fb74bace-d4cf-4376-9236-976b7d637026,6.0,10.0,0.0,,True,False,ae24bd8f-b41a-4ac3-b17a-fee9d954595c
MISTRZOSTWA TRÓJMIASTA MESBG - 625 pkt,af6b683e-650f-4b2b-a253-305fef504c94,Object scenarios,d17ac1d6-52de-4c63-a539-3183db311c0b,FINISHED,fd257544-1e4f-4e10-ac09-5db0d56e7490,1,2026-06-20T11:15:05.710Z,b5f2722c-9ebf-4ecb-a69b-8e061c06d544,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38,1,5.0,0.0,,29ef79f4-168b-4dc3-b4eb-f13cd1a2c2a8,29ce8b19-a17a-4ba7-8e17-ddffe260e052,5.0,9.0,0.0,,False,True,29ce8b19-a17a-4ba7-8e17-ddffe260e052
MISTRZOSTWA TRÓJMIASTA MESBG - 625 pkt,af6b683e-650f-4b2b-a253-305fef504c94,Object scenarios,d17ac1d6-52de-4c63-a539-3183db311c0b,FINISHED,fbbded07-7c38-4ab4-bc66-b7d65c4d4a88,2,2026-06-20T11:15:05.710Z,e88ce342-7a84-4465-aba3-14988c059b01,708078fa-6770-4b38-a508-7bee7d0b95a2,5,8.0,0.0,,8de816c2-7d37-4dfc-bcfb-2f5699e39fdb,33c02a77-8b2d-4cfc-a72f-bd991ce0c950,1.0,7.0,0.0,,False,True,33c02a77-8b2d-4cfc-a72f-bd991ce0c950
MISTRZOSTWA TRÓJMIASTA MESBG - 625 pkt,af6b683e-650f-4b2b-a253-305fef504c94,Object scenarios,d17ac1d6-52de-4c63-a539-3183db311c0b,FINISHED,056485d1-d478-4dd4-8f73-8e729ba4267c,3,2026-06-20T11:15:05.710Z,0ac413b3-977a-4571-b1c9-13283c7b37c1,06621509-feb2-4ef5-9a05-31adb11d942c,6,13.0,0.0,,0ae6ba6e-d88c-4351-add7-dcf040650fd1,7e2ec8ee-a77d-46c4-952a-aa8f006ba9ec,0.0,0.0,0.0,,True,False,06621509-feb2-4ef5-9a05-31adb11d942c
MISTRZOSTWA TRÓJMIASTA MESBG - 625 pkt,af6b683e-650f-4b2b-a253-305fef504c94,Object scenarios,d17ac1d6-52de-4c63-a539-3183db311c0b,FINISHED,a0412581-5716-4d0d-a335-e653ed7744c0,4,2026-06-20T11:15:05.710Z,b64c1b16-472b-4a41-8df1-c37f52eb69d1,3d9c2b85-855a-4af5-9786-5280365b2d7d,5,,,,,,,,,,False,False,33c02a77-8b2d-4cfc-a72f-bd991ce0c950
MISTRZOSTWA TRÓJMIASTA MESBG - 625 pkt,af6b683e-650f-4b2b-a253-305fef504c94,Pool 2 sieczka,2bed9ccc-f6e2-441f-bfa3-192f6eb9d3af,FINISHED,bb7ec60a-1133-4f79-9680-f04a8e06562a,0,2026-06-20T09:00:36.058Z,b36f18ed-de75-438c-a226-2bc76b5308b5,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38,0,4.0,0.0,,57972548-1d76-4247-8265-c79a094b9d89,33c02a77-8b2d-4cfc-a72f-bd991ce0c950,6.0,12.0,0.0,,False,True,33c02a77-8b2d-4cfc-a72f-bd991ce0c950
MISTRZOSTWA TRÓJMIASTA MESBG - 625 pkt,af6b683e-650f-4b2b-a253-305fef504c94,Pool 2 sieczka,2bed9ccc-f6e2-441f-bfa3-192f6eb9d3af,FINISHED,be738c37-70b5-4bc4-ac55-93119cbb6766,1,2026-06-20T09:00:36.058Z,999d57d8-798e-4abd-8126-8c3c3ba0fff0,7e2ec8ee-a77d-46c4-952a-aa8f006ba9ec,0,2.0,0.0,,5eb0d7c5-2312-4bf7-9098-35769917b827,708078fa-6770-4b38-a508-7bee7d0b95a2,6.0,11.0,0.0,,False,True,708078fa-6770-4b38-a508-7bee7d0b95a2
MISTRZOSTWA TRÓJMIASTA MESBG - 625 pkt,af6b683e-650f-4b2b-a253-305fef504c94,Pool 2 sieczka,2bed9ccc-f6e2-441f-bfa3-192f6eb9d3af,FINISHED,90c99c62-8206-4220-9f80-34ec5d8cdb4d,2,2026-06-20T09:00:36.058Z,e9f3039e-5a3b-417a-b8f7-73e29a25a08e,06621509-feb2-4ef5-9a05-31adb11d942c,6,16.0,0.0,,515b04db-a2ac-4b49-b595-fbbaabd6e203,fb74bace-d4cf-4376-9236-976b7d637026,0.0,3.0,0.0,,True,False,06621509-feb2-4ef5-9a05-31adb11d942c
