Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Middle-Earth SBG Turniej 915 pkt w STREFIE,b6b3a371-97c6-4db3-b780-2d667b81e047,STATE A CLAIM,c98911da-2c06-451e-bfaf-c572eec13446,FINISHED,78afbad6-a673-407c-8526-7161ab76b88e,0,2026-05-23T12:36:16.888Z,6519c90c-5d4f-46db-b06d-a3d388dfaf70,bddd8ac9-5247-4f0a-9a17-4ac7bea1812a,0,4.0,0.0,,169098f3-c380-452e-9f94-ea9044d46401,1e4b9bdf-6062-4736-aef3-52bc568f8803,10.0,10.0,0.0,,False,True,1e4b9bdf-6062-4736-aef3-52bc568f8803
Middle-Earth SBG Turniej 915 pkt w STREFIE,b6b3a371-97c6-4db3-b780-2d667b81e047,STATE A CLAIM,c98911da-2c06-451e-bfaf-c572eec13446,FINISHED,23639096-7ebf-44b8-86ab-cdf41729aa3c,1,2026-05-23T12:36:16.888Z,00213ca2-c19e-47e2-b493-7132e12be96c,869300c0-1611-4a41-84e8-bb7e3afa22f9,10,18.0,0.0,,8f8fe0b7-3121-4e57-aa0b-a616d815520d,26e6a6e5-8ef2-4c08-8e4f-b89566241f24,0.0,0.0,0.0,,True,False,869300c0-1611-4a41-84e8-bb7e3afa22f9
Middle-Earth SBG Turniej 915 pkt w STREFIE,b6b3a371-97c6-4db3-b780-2d667b81e047,STATE A CLAIM,c98911da-2c06-451e-bfaf-c572eec13446,FINISHED,dda65ebc-2376-42ab-8eb6-e27947b34916,2,2026-05-23T12:36:16.888Z,51274d61-bdb2-448f-ab19-e2b12ff0b976,afd30454-c10b-46ef-a6f0-ec1f300a8a6f,2,4.0,0.0,False,3dbf6734-b09b-4d09-bd81-137729a973fb,8b598a8c-6653-4761-bf1e-6954cf967146,8.0,6.0,0.0,False,False,True,8b598a8c-6653-4761-bf1e-6954cf967146
Middle-Earth SBG Turniej 915 pkt w STREFIE,b6b3a371-97c6-4db3-b780-2d667b81e047,STATE A CLAIM,c98911da-2c06-451e-bfaf-c572eec13446,FINISHED,e21d9264-66a9-4093-91f8-865fcd43b6f7,3,2026-05-23T12:36:16.888Z,46eda246-70ec-48dd-b060-3976e3d965ae,bb2a8efe-f745-4f44-94ee-831d41404935,8,8.0,0.0,True,9aa17168-25b6-44a4-b6bb-38d3e5f62d2a,4edd7b4a-f5e4-4136-9363-aa93d7e9b8e3,2.0,7.0,0.0,,True,False,bb2a8efe-f745-4f44-94ee-831d41404935
Middle-Earth SBG Turniej 915 pkt w STREFIE,b6b3a371-97c6-4db3-b780-2d667b81e047,STATE A CLAIM,c98911da-2c06-451e-bfaf-c572eec13446,FINISHED,cf039bba-270a-449d-9a58-f79296e5a10a,4,2026-05-23T12:36:16.888Z,8ccedf46-bbf2-45f9-8810-e2fdc36ba6eb,e3be0c1a-33fa-4825-993f-8d84b55c47c0,10,10.0,0.0,True,708413d8-dd24-4c2a-aa07-add849218606,0ea615d7-7285-47d5-a289-2923c695743c,0.0,1.0,0.0,,True,False,e3be0c1a-33fa-4825-993f-8d84b55c47c0
Middle-Earth SBG Turniej 915 pkt w STREFIE,b6b3a371-97c6-4db3-b780-2d667b81e047,STATE A CLAIM,c98911da-2c06-451e-bfaf-c572eec13446,FINISHED,97b88608-5c35-431f-bb4f-82910d9a5687,5,2026-05-23T12:36:16.888Z,ebe84697-8cf1-4e92-aec9-4f1ccad127fe,bcef8b98-d13e-41a3-a8d0-86063d765955,2,5.0,0.0,True,8de7bc1f-1fc5-4f47-924a-10336ca91a87,8cf73c83-a3a1-4dd6-8882-e8dd30912ab1,8.0,9.0,0.0,True,False,True,8cf73c83-a3a1-4dd6-8882-e8dd30912ab1
Middle-Earth SBG Turniej 915 pkt w STREFIE,b6b3a371-97c6-4db3-b780-2d667b81e047,STATE A CLAIM,c98911da-2c06-451e-bfaf-c572eec13446,FINISHED,0587d0b5-a4f8-403b-b1cc-9c6a877b1ea7,6,2026-05-23T12:36:16.888Z,5ab934ec-e425-4928-ae14-dbae4e4067f9,b443bdaf-6c91-40ca-a80f-57f61aefd0ac,10,7.0,0.0,,8cf58b02-9a9f-4601-aa1a-fd7b10e96642,8ff29fce-8c75-4248-858e-93b2df913982,0.0,0.0,0.0,,True,False,b443bdaf-6c91-40ca-a80f-57f61aefd0ac
Middle-Earth SBG Turniej 915 pkt w STREFIE,b6b3a371-97c6-4db3-b780-2d667b81e047,STATE A CLAIM,c98911da-2c06-451e-bfaf-c572eec13446,FINISHED,cc1d4d1d-3551-4a83-bf9e-25541aeb2537,7,2026-05-23T12:36:16.888Z,5fa4fcc1-0127-4a80-a05b-7c8cd2141751,7918000f-f66c-4750-b2c6-3277bc3bfcd3,10,22.0,0.0,,8de67acc-539c-40ca-804d-d5d90c5e1a8e,0d4776d9-63a3-4ffe-989f-ca6e8925fa18,0.0,2.0,0.0,,False,True,0d4776d9-63a3-4ffe-989f-ca6e8925fa18
Middle-Earth SBG Turniej 915 pkt w STREFIE,b6b3a371-97c6-4db3-b780-2d667b81e047,STATE A CLAIM,c98911da-2c06-451e-bfaf-c572eec13446,FINISHED,ce0fb379-834a-4c6b-a723-b3332f753179,8,2026-05-23T12:36:16.888Z,48053869-18b1-4b52-aed3-690c3e95f855,f389357a-f3f0-4aca-b121-e0e809448b29,10,12.0,0.0,,94e0a91d-3153-407c-a44a-84cef9431140,6445631f-8a0d-441f-873a-398d8e99ae86,0.0,3.0,0.0,,True,False,f389357a-f3f0-4aca-b121-e0e809448b29
Middle-Earth SBG Turniej 915 pkt w STREFIE,b6b3a371-97c6-4db3-b780-2d667b81e047,STATE A CLAIM,c98911da-2c06-451e-bfaf-c572eec13446,FINISHED,3dd178f3-c05f-45dc-9a59-5d91c902af7e,9,2026-05-23T12:36:16.888Z,039b8e1d-f0f7-4db5-98b0-9e949417f020,83253c68-f02c-46cf-86c7-4e574c79154b,4,,,,,,,,,,False,False,495a97ab-7ee3-402b-8400-8d33d98cf809
