Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Middle-Earth SBG Turniej w STREFIE - 613 pkt,c8959a46-29ab-4606-9c5d-b46f1a72dfb4,RECONNOITRE,0a683a8c-b765-4199-952e-80eb5cd9799e,FINISHED,6a7feb67-b3a2-46b4-aa2a-f21ac09e8806,0,2026-01-31T15:23:17.812Z,06ce8aa7-6b58-4d7d-b4b3-fb216df3bdcf,e3be0c1a-33fa-4825-993f-8d84b55c47c0,2.0,2.0,,,f33ed8c1-a376-4872-b9bd-947296a1ffac,4edd7b4a-f5e4-4136-9363-aa93d7e9b8e3,13.0,5.0,,,False,False,495a97ab-7ee3-402b-8400-8d33d98cf809
Middle-Earth SBG Turniej w STREFIE - 613 pkt,c8959a46-29ab-4606-9c5d-b46f1a72dfb4,RECONNOITRE,0a683a8c-b765-4199-952e-80eb5cd9799e,FINISHED,c436dd10-4c4e-4f0e-ac18-718a0e0421c6,1,2026-01-31T15:23:17.812Z,31be0bf0-0129-4012-8731-01d868df3d54,cdd350b4-460e-4cc2-abcf-11d0373f846f,1.0,0.0,0.0,,c237b0a5-9f25-4a8e-9b2d-45564e399c85,bb2a8efe-f745-4f44-94ee-831d41404935,14.0,9.0,0.0,True,False,False,495a97ab-7ee3-402b-8400-8d33d98cf809
Middle-Earth SBG Turniej w STREFIE - 613 pkt,c8959a46-29ab-4606-9c5d-b46f1a72dfb4,RECONNOITRE,0a683a8c-b765-4199-952e-80eb5cd9799e,FINISHED,39b9f01d-b29a-4da7-bf0e-e16dfca5f8e5,2,2026-01-31T15:23:17.812Z,399fed0a-b8f0-4652-a43e-3a40803b65f4,0ea615d7-7285-47d5-a289-2923c695743c,10.0,17.0,,,e02f40d0-8b9f-4a14-badd-093d6891f752,26e6a6e5-8ef2-4c08-8e4f-b89566241f24,,1.0,,,False,False,495a97ab-7ee3-402b-8400-8d33d98cf809
Middle-Earth SBG Turniej w STREFIE - 613 pkt,c8959a46-29ab-4606-9c5d-b46f1a72dfb4,RECONNOITRE,0a683a8c-b765-4199-952e-80eb5cd9799e,FINISHED,bfce8460-8dd3-4644-b129-1480c59dd740,3,2026-01-31T15:23:17.812Z,7e523f36-2cfc-42d6-b227-8678b36f89da,bddd8ac9-5247-4f0a-9a17-4ac7bea1812a,5.0,0.0,0.0,True,6aac0017-9f28-486c-9bdf-50a6bbff3bc4,9aa518b2-55c0-4256-81fb-8a37c9451c39,10.0,3.0,0.0,,False,False,495a97ab-7ee3-402b-8400-8d33d98cf809
Middle-Earth SBG Turniej w STREFIE - 613 pkt,c8959a46-29ab-4606-9c5d-b46f1a72dfb4,RECONNOITRE,0a683a8c-b765-4199-952e-80eb5cd9799e,FINISHED,cd7c07a4-7647-4073-8f7f-47a0ce115431,4,2026-01-31T15:23:17.812Z,6b4bc9aa-866e-4411-8459-3aadb86ddcf2,36fdf4fc-bc11-48ba-895e-fbee306a7dbe,3.0,0.0,0.0,,aff5763e-901b-4e31-9231-4dd8a71dfc03,0d4776d9-63a3-4ffe-989f-ca6e8925fa18,12.0,9.0,0.0,,False,False,495a97ab-7ee3-402b-8400-8d33d98cf809
Middle-Earth SBG Turniej w STREFIE - 613 pkt,c8959a46-29ab-4606-9c5d-b46f1a72dfb4,RECONNOITRE,0a683a8c-b765-4199-952e-80eb5cd9799e,FINISHED,fa1e1404-1025-49ff-a4b9-fc644bfc58a3,5,2026-01-31T15:23:17.812Z,e6a4c605-f4ff-4a25-8701-1e7aead438e5,bcef8b98-d13e-41a3-a8d0-86063d765955,13.0,12.0,0.0,False,ac502c04-432a-4a29-91db-d614bc3949a1,83253c68-f02c-46cf-86c7-4e574c79154b,2.0,1.0,0.0,False,False,False,495a97ab-7ee3-402b-8400-8d33d98cf809
Middle-Earth SBG Turniej w STREFIE - 613 pkt,c8959a46-29ab-4606-9c5d-b46f1a72dfb4,RECONNOITRE,0a683a8c-b765-4199-952e-80eb5cd9799e,FINISHED,ab746c79-9231-4e7e-95e4-aa9063337906,6,2026-01-31T15:23:17.812Z,0c1d8643-4733-4c25-82b7-a18bc26b7d4b,afd30454-c10b-46ef-a6f0-ec1f300a8a6f,10.0,3.0,,,32e30f60-38d6-4c82-bb55-d5f1f722fff1,b443bdaf-6c91-40ca-a80f-57f61aefd0ac,0.0,1.0,,,False,False,495a97ab-7ee3-402b-8400-8d33d98cf809
Middle-Earth SBG Turniej w STREFIE - 613 pkt,c8959a46-29ab-4606-9c5d-b46f1a72dfb4,RECONNOITRE,0a683a8c-b765-4199-952e-80eb5cd9799e,FINISHED,36f2ddfc-7be3-4f25-859c-6488f2410ac9,7,2026-01-31T15:23:17.812Z,464b26e3-b342-4582-a4a1-43d0bf55f14e,8cf73c83-a3a1-4dd6-8882-e8dd30912ab1,12.0,14.0,0.0,True,da6140df-3054-431c-84e9-ecf6339fe629,6445631f-8a0d-441f-873a-398d8e99ae86,0.0,2.0,0.0,,False,False,495a97ab-7ee3-402b-8400-8d33d98cf809
Middle-Earth SBG Turniej w STREFIE - 613 pkt,c8959a46-29ab-4606-9c5d-b46f1a72dfb4,Hierlooms of Ages Past,035e24e3-22e3-4d59-a98e-dc7a40fc789f,FINISHED,406b1411-8319-44bb-b048-81621201ec47,0,2026-01-31T12:57:50.149Z,b9c2fce1-e9b5-4c51-aa59-73a7f7b14c63,e3be0c1a-33fa-4825-993f-8d84b55c47c0,10.0,17.0,0.0,True,6022e01d-15fa-4f4a-825d-1c6db04ba5f7,36fdf4fc-bc11-48ba-895e-fbee306a7dbe,0.0,3.0,0.0,True,True,False,e3be0c1a-33fa-4825-993f-8d84b55c47c0
Middle-Earth SBG Turniej w STREFIE - 613 pkt,c8959a46-29ab-4606-9c5d-b46f1a72dfb4,Hierlooms of Ages Past,035e24e3-22e3-4d59-a98e-dc7a40fc789f,FINISHED,c55b71aa-5f47-4504-a36e-fd579408dc83,1,2026-01-31T12:57:50.149Z,aab08784-12b6-4bbb-a4c1-842deb262090,4edd7b4a-f5e4-4136-9363-aa93d7e9b8e3,8.0,8.0,0.0,True,c9416c95-15f7-42b6-afe5-ece9a90d6748,0ea615d7-7285-47d5-a289-2923c695743c,2.0,7.0,0.0,,True,False,4edd7b4a-f5e4-4136-9363-aa93d7e9b8e3
