Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Middle-Earth SBG Turniej w STRFEIE 777 pkt,818cbca2-03f4-464e-96c9-25d92f15f131,Hold Ground,93c9c02e-9871-4ce5-8674-5945aad6c9b7,FINISHED,3997ebbc-8eb5-4312-a554-f33e92eb4a41,0.0,2026-07-18T07:39:38.960Z,7d75b82f-8347-4bc2-a89c-770b87112811,8ff29fce-8c75-4248-858e-93b2df913982,0,0.0,0.0,,e37978d3-a6e0-401d-9281-c5ed04e0e412,8b598a8c-6653-4761-bf1e-6954cf967146,10.0,20.0,0.0,True,False,True,8b598a8c-6653-4761-bf1e-6954cf967146
Middle-Earth SBG Turniej w STRFEIE 777 pkt,818cbca2-03f4-464e-96c9-25d92f15f131,Hold Ground,93c9c02e-9871-4ce5-8674-5945aad6c9b7,FINISHED,bb9be153-19bc-4d88-a164-e4e280c8bb5b,1.0,2026-07-18T07:39:38.960Z,06277be1-fac0-4681-9931-acaaa8e3200e,4edd7b4a-f5e4-4136-9363-aa93d7e9b8e3,0,2.0,0.0,,db84dd71-da62-4dd2-8d8b-1436becc5809,1e4b9bdf-6062-4736-aef3-52bc568f8803,10.0,16.0,0.0,,False,True,1e4b9bdf-6062-4736-aef3-52bc568f8803
Middle-Earth SBG Turniej w STRFEIE 777 pkt,818cbca2-03f4-464e-96c9-25d92f15f131,Hold Ground,93c9c02e-9871-4ce5-8674-5945aad6c9b7,FINISHED,713dc36b-cd4d-41c4-87ab-0c9ffdf8319d,2.0,2026-07-18T07:39:38.960Z,ec64a3e9-da11-413d-b5cb-281bdcc5ea87,8cf73c83-a3a1-4dd6-8882-e8dd30912ab1,10,20.0,0.0,,a01d10ab-ac1b-4dd7-9ac7-23f5c96043b0,f389357a-f3f0-4aca-b121-e0e809448b29,0.0,0.0,0.0,,True,False,8cf73c83-a3a1-4dd6-8882-e8dd30912ab1
Middle-Earth SBG Turniej w STRFEIE 777 pkt,818cbca2-03f4-464e-96c9-25d92f15f131,Hold Ground,93c9c02e-9871-4ce5-8674-5945aad6c9b7,FINISHED,32c0ac95-ca96-477e-b3fa-01a5147001ce,,2026-07-18T07:39:38.960Z,8ae895a8-c8d1-4c4a-ad1d-79504bd40c07,bcef8b98-d13e-41a3-a8d0-86063d765955,10,0.0,0.0,,,,,,,,True,False,bcef8b98-d13e-41a3-a8d0-86063d765955
Middle-Earth SBG Turniej w STRFEIE 777 pkt,818cbca2-03f4-464e-96c9-25d92f15f131,Assassination,25bb1cda-c182-4d75-9b65-8bb9aeabfe1e,FINISHED,af967692-37f0-4c51-bb7f-aaec7e706f41,0.0,2026-07-18T09:58:13.934Z,c1c19760-6143-4b54-bf42-7365c9ddddc9,8cf73c83-a3a1-4dd6-8882-e8dd30912ab1,10,20.0,0.0,,72444663-e99c-4d14-98b9-1d96e8d61924,8b598a8c-6653-4761-bf1e-6954cf967146,0.0,4.0,0.0,,True,False,8cf73c83-a3a1-4dd6-8882-e8dd30912ab1
Middle-Earth SBG Turniej w STRFEIE 777 pkt,818cbca2-03f4-464e-96c9-25d92f15f131,Assassination,25bb1cda-c182-4d75-9b65-8bb9aeabfe1e,FINISHED,35f1d4e5-aae2-4e9e-8595-c1051dffff2f,1.0,2026-07-18T09:58:13.934Z,a0824c6c-31c4-4d05-9df8-9aa43c8d51de,1e4b9bdf-6062-4736-aef3-52bc568f8803,10,18.0,0.0,,d38db8eb-6f98-4507-b245-546897d97c70,bcef8b98-d13e-41a3-a8d0-86063d765955,0.0,1.0,0.0,True,False,True,bcef8b98-d13e-41a3-a8d0-86063d765955
Middle-Earth SBG Turniej w STRFEIE 777 pkt,818cbca2-03f4-464e-96c9-25d92f15f131,Assassination,25bb1cda-c182-4d75-9b65-8bb9aeabfe1e,FINISHED,8c96523f-2ff3-4e24-adc9-8f716c9be3c9,2.0,2026-07-18T09:58:13.934Z,c4be1775-121a-41e3-9da3-3925b2a4b2bc,4edd7b4a-f5e4-4136-9363-aa93d7e9b8e3,8,13.0,0.0,,8959738b-0ce6-4f2d-bec0-8fd1802a454a,8ff29fce-8c75-4248-858e-93b2df913982,2.0,11.0,0.0,,True,False,4edd7b4a-f5e4-4136-9363-aa93d7e9b8e3
Middle-Earth SBG Turniej w STRFEIE 777 pkt,818cbca2-03f4-464e-96c9-25d92f15f131,Assassination,25bb1cda-c182-4d75-9b65-8bb9aeabfe1e,FINISHED,39b09490-ef9c-419f-a9d2-79b897e731d1,,2026-07-18T09:58:13.934Z,13d649e7-ad27-4a12-a523-2db82d6c8efc,f389357a-f3f0-4aca-b121-e0e809448b29,10,,,,,,,,,,False,False,495a97ab-7ee3-402b-8400-8d33d98cf809
Middle-Earth SBG Turniej w STRFEIE 777 pkt,818cbca2-03f4-464e-96c9-25d92f15f131,Treasure Hord,e0a48fd3-9875-4f86-8936-da88a91540f2,FINISHED,f9ad2532-49ec-4836-9abb-daa010df8530,0.0,2026-07-18T11:52:37.081Z,3fae8821-be8c-4bc9-8d0b-223c18cffce8,8cf73c83-a3a1-4dd6-8882-e8dd30912ab1,2,7.0,0.0,,f57c88c1-8ff3-48bc-b803-2cf0e4c0417e,1e4b9bdf-6062-4736-aef3-52bc568f8803,8.0,11.0,0.0,,False,True,1e4b9bdf-6062-4736-aef3-52bc568f8803
Middle-Earth SBG Turniej w STRFEIE 777 pkt,818cbca2-03f4-464e-96c9-25d92f15f131,Treasure Hord,e0a48fd3-9875-4f86-8936-da88a91540f2,FINISHED,fd7497e6-3ce8-4551-8d16-5a95cc71f0ca,1.0,2026-07-18T11:52:37.081Z,5daa5c5d-982a-4fcb-a2df-7b6861a6c3c8,8b598a8c-6653-4761-bf1e-6954cf967146,10,20.0,0.0,True,a66dd312-7db5-46b1-be09-871b9fbdcecf,bcef8b98-d13e-41a3-a8d0-86063d765955,0.0,2.0,0.0,False,True,False,8b598a8c-6653-4761-bf1e-6954cf967146
Middle-Earth SBG Turniej w STRFEIE 777 pkt,818cbca2-03f4-464e-96c9-25d92f15f131,Treasure Hord,e0a48fd3-9875-4f86-8936-da88a91540f2,FINISHED,b365ca8e-0151-42b8-96b6-05aadac23a6f,2.0,2026-07-18T11:52:37.081Z,ced9c29d-37f3-4ddb-8c8e-134be1b05677,f389357a-f3f0-4aca-b121-e0e809448b29,2,8.0,0.0,True,dc15d3c5-2cf1-4e8c-a228-f8fdf1043622,4edd7b4a-f5e4-4136-9363-aa93d7e9b8e3,8.0,9.0,0.0,,False,True,4edd7b4a-f5e4-4136-9363-aa93d7e9b8e3
