Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Fog of War,6e3df806-7946-4056-a773-46ecd96fdb1e,FINISHED,012ab70e-07f4-4079-b0d8-077a90f9e472,0,2025-12-06T13:19:09.052Z,afac6962-8133-4879-a301-975e7a3bc9c5,c451779b-6172-4e1a-acbd-1b387949849d,5,16,0,,e2b7ea22-ad59-4b1e-9106-93e5d182c4e7,a10c88af-658f-4dbe-bb23-533f04cdfa24,0,1,0,,True,False,c451779b-6172-4e1a-acbd-1b387949849d
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Fog of War,6e3df806-7946-4056-a773-46ecd96fdb1e,FINISHED,f203955b-46c4-4d2a-920a-2fccd27bb996,1,2025-12-06T13:19:09.052Z,f93a5548-2d54-4064-902c-cf9e7a2fdcd9,9357ea2e-af38-453d-9c2f-b828d5ccdfb6,4,9,0,,3241fb9c-e37a-472f-bc35-ad44dd98ef61,d69a27be-2cfc-4695-9551-250b26795a4f,1,7,0,,True,False,9357ea2e-af38-453d-9c2f-b828d5ccdfb6
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Fog of War,6e3df806-7946-4056-a773-46ecd96fdb1e,FINISHED,caf6842b-448a-46e9-8861-3356e98a1fc7,2,2025-12-06T13:19:09.052Z,44486a87-356c-44cf-9d31-b9501040f3e7,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0,5,18,0,,b3a142d3-a3f9-4a40-b00a-a5d8c4bbd7b6,cd905d3f-c042-479b-81f6-61d3ffcc713f,0,5,0,,True,False,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Fog of War,6e3df806-7946-4056-a773-46ecd96fdb1e,FINISHED,4fe7abdb-2cfb-4b64-b317-67e249996a12,3,2025-12-06T13:19:09.052Z,5a1a26e2-ec89-4d47-bb9a-6e5b1ea6f1f0,40eca01a-ba05-4c54-afa1-205dbb9e86dc,1,6,0,True,237cbc3c-cf97-4962-9865-b86e53c27eca,da4d183b-aede-448f-aad8-231ec4a32cfe,4,8,0,,False,True,da4d183b-aede-448f-aad8-231ec4a32cfe
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Fog of War,6e3df806-7946-4056-a773-46ecd96fdb1e,FINISHED,7619d3e4-1f41-4b15-8557-c31dfad5b0b6,4,2025-12-06T13:19:09.052Z,479824b4-2e24-4f37-9484-6eff42188d31,780e8297-2cf1-4ac2-89bd-e9dd5ece6347,5,10,0,,98cb906b-8424-4e78-b1fe-d2235866deeb,289932ee-6bb1-405e-b6d8-4ff67f3a7cbe,0,2,0,,True,False,780e8297-2cf1-4ac2-89bd-e9dd5ece6347
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Fog of War,6e3df806-7946-4056-a773-46ecd96fdb1e,FINISHED,51184716-06cc-4085-a288-fc0d0e11d493,5,2025-12-06T13:19:09.052Z,aba6698d-a4c2-443a-89e1-acebf96c71cd,57cefe9a-fa1b-45a6-a166-3e94e0d12d49,5,10,0,,7c4e9187-3ae2-4535-bf8e-f70e7f7070ba,7783babb-c470-4763-80c7-8e6bd277ded8,0,2,0,False,True,False,57cefe9a-fa1b-45a6-a166-3e94e0d12d49
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Fog of War,6e3df806-7946-4056-a773-46ecd96fdb1e,FINISHED,247c48b8-53bc-431a-8bd6-c6b6d0b11d92,6,2025-12-06T13:19:09.052Z,9055a89a-59b9-4210-bf5b-69633cd9e34f,654febde-bb1a-4b5a-b14f-5991e9e806b3,4,16,0,,b406c9b9-b103-409b-8d61-e17961b9b23d,bae5de7f-387f-4f91-b62a-1ceafdaab07d,1,13,0,,False,True,bae5de7f-387f-4f91-b62a-1ceafdaab07d
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Fog of War,6e3df806-7946-4056-a773-46ecd96fdb1e,FINISHED,742ceedc-a25c-47c3-a617-0a8d85da31ad,7,2025-12-06T13:19:09.052Z,38767994-de6c-460e-9eae-e0982c1f2c54,f1885250-36f8-4de4-a775-9558a0263537,2,10,0,,33672b98-71fd-4455-b261-b1b276e3657f,69a11808-e3ca-44e5-9ac0-e4d735625b21,2,10,0,,True,False,f1885250-36f8-4de4-a775-9558a0263537
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Fog of War,6e3df806-7946-4056-a773-46ecd96fdb1e,FINISHED,d893f44e-611d-426f-a3c3-fa86f7505c09,8,2025-12-06T13:19:09.052Z,d6763f3b-554c-4351-8953-3dc004473b57,27e5fd8e-fc73-48f9-802e-3546fde22d25,2,0,0,,3b893db1-6986-40af-a081-024f5adbb542,f6f2e7ef-8125-4bd0-90cb-7e6220d6af31,2,0,0,,True,False,27e5fd8e-fc73-48f9-802e-3546fde22d25
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Fog of War,6e3df806-7946-4056-a773-46ecd96fdb1e,FINISHED,4be75e74-fc8c-4b3a-a56c-257d79b1d42a,9,2025-12-06T13:19:09.052Z,adc941a1-9eb6-44e0-957b-19c316a0eae5,d96af431-77bb-4909-bb15-61df62e81b15,0,0,0,,db582fc7-6ff5-4fdb-ab39-f4134305fa44,6f6ad631-bb1c-4478-9430-700ff7e8271c,5,0,0,,False,True,6f6ad631-bb1c-4478-9430-700ff7e8271c
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Asasination,214ecd24-d0f4-432e-a9c6-86a89bc579e0,FINISHED,13ce09d1-0ec1-4b2b-9b58-bab255164a76,0,2025-12-06T11:16:35.535Z,3d4a5ba7-dcc3-42e6-9d15-123aebc4c700,c451779b-6172-4e1a-acbd-1b387949849d,5,15,0,,337ebf9c-790c-4191-8496-220085ddb946,780e8297-2cf1-4ac2-89bd-e9dd5ece6347,0,1,0,True,True,False,c451779b-6172-4e1a-acbd-1b387949849d
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Asasination,214ecd24-d0f4-432e-a9c6-86a89bc579e0,FINISHED,f8894d6b-ed43-4454-b423-8e304b58b6ef,1,2025-12-06T11:16:35.535Z,091f48e4-cbaf-4918-8e02-fb05d2606174,40eca01a-ba05-4c54-afa1-205dbb9e86dc,0,2,0,False,af72dcbc-c61e-428d-894f-ee7ee4a009dd,a10c88af-658f-4dbe-bb23-533f04cdfa24,5,14,0,,False,True,a10c88af-658f-4dbe-bb23-533f04cdfa24
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Asasination,214ecd24-d0f4-432e-a9c6-86a89bc579e0,FINISHED,abd300ff-2e4d-43d5-8c39-4c6c0f2af54a,2,2025-12-06T11:16:35.535Z,ba9510fc-77d7-43da-b370-e5dd7d21bd6a,9357ea2e-af38-453d-9c2f-b828d5ccdfb6,5,14,0,,d8216b36-f7b0-4765-bdec-5606a54ac3fd,289932ee-6bb1-405e-b6d8-4ff67f3a7cbe,0,3,0,,True,False,9357ea2e-af38-453d-9c2f-b828d5ccdfb6
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Asasination,214ecd24-d0f4-432e-a9c6-86a89bc579e0,FINISHED,421f452d-6d84-41ca-b4b8-e56ca123cb24,3,2025-12-06T11:16:35.535Z,4d73fe1b-8c01-4c17-87e3-ed9e900152bb,d69a27be-2cfc-4695-9551-250b26795a4f,5,17,0,,63bd23e4-1333-45ef-aa62-0ec38a6235f5,654febde-bb1a-4b5a-b14f-5991e9e806b3,0,0,0,,True,False,d69a27be-2cfc-4695-9551-250b26795a4f
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Asasination,214ecd24-d0f4-432e-a9c6-86a89bc579e0,FINISHED,30178128-ba2c-407e-9481-106038f8d503,4,2025-12-06T11:16:35.535Z,78bd837a-c635-4c41-bb7b-2f12868b5275,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0,5,14,0,,12b58851-7271-4de9-babc-01c883879e0b,bae5de7f-387f-4f91-b62a-1ceafdaab07d,0,3,0,,False,True,bae5de7f-387f-4f91-b62a-1ceafdaab07d
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Asasination,214ecd24-d0f4-432e-a9c6-86a89bc579e0,FINISHED,6e252af6-0112-4589-9ec0-3ec958fe228f,5,2025-12-06T11:16:35.535Z,2fd25150-21cf-40c1-8a7b-641aebc32bb7,cd905d3f-c042-479b-81f6-61d3ffcc713f,5,20,0,,d381e186-fd3e-4b25-a153-0d3fda669ac0,69a11808-e3ca-44e5-9ac0-e4d735625b21,0,0,0,,False,True,69a11808-e3ca-44e5-9ac0-e4d735625b21
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Asasination,214ecd24-d0f4-432e-a9c6-86a89bc579e0,FINISHED,903d3b0a-32a8-4962-a1e5-6f9a7cda3452,6,2025-12-06T11:16:35.535Z,31621bef-74f9-4130-b519-be6b648e5d8c,d96af431-77bb-4909-bb15-61df62e81b15,0,3,0,,c005fd47-2b43-42b4-99a5-1cd86c414b38,7783babb-c470-4763-80c7-8e6bd277ded8,5,11,0,,False,True,7783babb-c470-4763-80c7-8e6bd277ded8
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Asasination,214ecd24-d0f4-432e-a9c6-86a89bc579e0,FINISHED,f1446507-b851-437a-833c-75e0278fede9,7,2025-12-06T11:16:35.535Z,40216a62-b3af-465f-846b-1cf08be35ce8,57cefe9a-fa1b-45a6-a166-3e94e0d12d49,5,15,0,,50964827-18ae-4afe-8382-1e47f6ca6b68,f6f2e7ef-8125-4bd0-90cb-7e6220d6af31,0,1,0,,True,False,57cefe9a-fa1b-45a6-a166-3e94e0d12d49
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Asasination,214ecd24-d0f4-432e-a9c6-86a89bc579e0,FINISHED,0dca9ee6-bf24-4397-be4d-d82fa11b370b,8,2025-12-06T11:16:35.535Z,f4bc32f3-be1d-4ad5-b773-ba4fee7af3ae,6f6ad631-bb1c-4478-9430-700ff7e8271c,0,0,0,,a61f4957-d76c-460c-87bb-05927c59ea63,da4d183b-aede-448f-aad8-231ec4a32cfe,5,20,0,,False,True,da4d183b-aede-448f-aad8-231ec4a32cfe
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Asasination,214ecd24-d0f4-432e-a9c6-86a89bc579e0,FINISHED,62823cc6-5fa4-4a71-b342-85bb45c5d742,9,2025-12-06T11:16:35.535Z,b1009e6f-ad12-49fe-8cc3-796890ede885,f1885250-36f8-4de4-a775-9558a0263537,4,4,0,,3e650fc8-e780-44a3-b4a2-758cee7cf12b,27e5fd8e-fc73-48f9-802e-3546fde22d25,1,1,0,,True,False,f1885250-36f8-4de4-a775-9558a0263537
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Capture and Control,3cb41a6c-fbe5-46c5-b3d2-e7f0e9baa62f,FINISHED,93faeb43-b0d1-4965-905c-f6b8deaa552e,0,2025-12-05T18:53:19.133Z,92cbf232-279d-432c-b3db-4194a18ad047,6f6ad631-bb1c-4478-9430-700ff7e8271c,0,3,0,,cdaeb6b1-0da8-48cc-a03c-9f144c98303e,654febde-bb1a-4b5a-b14f-5991e9e806b3,5,9,0,,True,False,6f6ad631-bb1c-4478-9430-700ff7e8271c
Mikołajkowy Turniej Middle-Earth SBG w CALu!,16161bf6-27d1-4c80-8508-bcd0ff2d1ba5,Capture and Control,3cb41a6c-fbe5-46c5-b3d2-e7f0e9baa62f,FINISHED,cc72331f-9bb3-4024-87ec-9ff93b486dc8,1,2025-12-05T18:53:19.133Z,08b6d1c5-30b1-499f-81d7-a357e4b27adf,69a11808-e3ca-44e5-9ac0-e4d735625b21,0,6,0,,796b0f04-ff62-460c-833f-a32b492ae73f,d69a27be-2cfc-4695-9551-250b26795a4f,5,12,0,,False,True,d69a27be-2cfc-4695-9551-250b26795a4f
