Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
MirkŁodź Turniej Lokalny Middle-Earth SBG - Kwiecień 2026,5665891e-a952-46ff-840e-7c5cae8e0b53,Runda 3,d7c9fe26-9889-4ef3-8b08-762d1ea6bce9,FINISHED,ed50a32e-4860-44d8-b658-830efac34cdd,0,2026-04-11T12:34:39.427Z,7dd20d8a-c445-4fac-bf7d-8210de1bc7c5,549399ee-ddad-4f74-a61d-02352b425f27,5,6,0,,660bdbd8-41b7-4aa8-8b5b-ad1a17fc0ec3,d49d9342-cc0c-46cc-83bf-ddd443b7aa8b,1,4,0,,True,False,549399ee-ddad-4f74-a61d-02352b425f27
MirkŁodź Turniej Lokalny Middle-Earth SBG - Kwiecień 2026,5665891e-a952-46ff-840e-7c5cae8e0b53,Runda 3,d7c9fe26-9889-4ef3-8b08-762d1ea6bce9,FINISHED,05625375-d732-4696-8717-c50b3f28e9f2,1,2026-04-11T12:34:39.427Z,560eb7ab-3bda-4152-8643-943952bac289,4a654798-2e4f-4961-9daa-76818d5f169e,5,8,0,,2a4d633b-51bd-4e23-9e3e-54fdbef92a5e,1162e493-2a1e-4b15-aa4d-70fd185e8f8d,1,6,0,,True,False,4a654798-2e4f-4961-9daa-76818d5f169e
MirkŁodź Turniej Lokalny Middle-Earth SBG - Kwiecień 2026,5665891e-a952-46ff-840e-7c5cae8e0b53,Runda 3,d7c9fe26-9889-4ef3-8b08-762d1ea6bce9,FINISHED,03d4a0ed-f430-4962-b91c-64b00d4efc48,2,2026-04-11T12:34:39.427Z,5cc69efd-3617-44b9-8941-a80f4e0fb943,758ae748-3888-4bdf-b4f9-7972a8ac9948,6,13,0,,67da7085-2a77-4fc1-89f9-50627413d075,4a55491b-3a8e-47bb-8c61-85b9446dca01,0,5,0,,True,False,758ae748-3888-4bdf-b4f9-7972a8ac9948
MirkŁodź Turniej Lokalny Middle-Earth SBG - Kwiecień 2026,5665891e-a952-46ff-840e-7c5cae8e0b53,Runda 3,d7c9fe26-9889-4ef3-8b08-762d1ea6bce9,FINISHED,714899e9-c4cb-45ec-8a61-ee5f59e34aa7,3,2026-04-11T12:34:39.427Z,41662760-f200-4914-ba6c-7330ab9e4959,21066989-54d5-4f5b-b9f2-4ef34bb62943,0,5,0,,805ed6d0-1f27-407c-9ea2-ada8dbe98af8,55b3019a-a7e5-4c3c-9c51-0643513d2296,6,13,0,,False,True,55b3019a-a7e5-4c3c-9c51-0643513d2296
MirkŁodź Turniej Lokalny Middle-Earth SBG - Kwiecień 2026,5665891e-a952-46ff-840e-7c5cae8e0b53,Runda 2 escort the wounded ,9ebbaba2-b447-407a-9677-8e5195becc1d,FINISHED,9d291919-c4ef-4258-936b-1d9d56e0fcd5,0,2026-04-11T10:06:11.468Z,2ce43094-3f49-4ae1-a0ec-247c1e9ceb84,1162e493-2a1e-4b15-aa4d-70fd185e8f8d,0,6,0,,c9a9073c-6aec-4f4a-94ef-c8f967ce05a9,549399ee-ddad-4f74-a61d-02352b425f27,6,20,0,,False,True,549399ee-ddad-4f74-a61d-02352b425f27
MirkŁodź Turniej Lokalny Middle-Earth SBG - Kwiecień 2026,5665891e-a952-46ff-840e-7c5cae8e0b53,Runda 2 escort the wounded ,9ebbaba2-b447-407a-9677-8e5195becc1d,FINISHED,517ebdc7-a69d-4a75-aafb-090498679e3c,1,2026-04-11T10:06:11.468Z,8d8af9f5-6edc-472d-88ac-01f718687f3e,4a654798-2e4f-4961-9daa-76818d5f169e,3,12,0,,91217647-5658-46ad-841c-b0618b3ddc9a,d49d9342-cc0c-46cc-83bf-ddd443b7aa8b,3,12,0,,True,False,4a654798-2e4f-4961-9daa-76818d5f169e
MirkŁodź Turniej Lokalny Middle-Earth SBG - Kwiecień 2026,5665891e-a952-46ff-840e-7c5cae8e0b53,Runda 2 escort the wounded ,9ebbaba2-b447-407a-9677-8e5195becc1d,FINISHED,8f9348c3-00e3-4e7e-817c-31d5bbf2ed4c,2,2026-04-11T10:06:11.468Z,94a30711-afe3-4a02-a949-1e025a885fce,21066989-54d5-4f5b-b9f2-4ef34bb62943,1,9,0,,b4bad7af-4e03-4140-9e25-6e6746fe0062,758ae748-3888-4bdf-b4f9-7972a8ac9948,5,12,0,,True,False,21066989-54d5-4f5b-b9f2-4ef34bb62943
MirkŁodź Turniej Lokalny Middle-Earth SBG - Kwiecień 2026,5665891e-a952-46ff-840e-7c5cae8e0b53,Runda 2 escort the wounded ,9ebbaba2-b447-407a-9677-8e5195becc1d,FINISHED,3d0d9478-32e1-4e27-8b2e-8ffbcdb2d98d,3,2026-04-11T10:06:11.468Z,a117e410-623d-4ad3-b00f-8cb77b7f60b3,4a55491b-3a8e-47bb-8c61-85b9446dca01,5,11,0,,07251cfe-fa0b-420f-ba27-be1e3181b69e,55b3019a-a7e5-4c3c-9c51-0643513d2296,1,9,0,,False,True,55b3019a-a7e5-4c3c-9c51-0643513d2296
MirkŁodź Turniej Lokalny Middle-Earth SBG - Kwiecień 2026,5665891e-a952-46ff-840e-7c5cae8e0b53,Runda 1 - Contest of  Champion,e65f95e8-05cd-400c-bb9f-1fa829e40c0d,FINISHED,3881731d-f9bb-404b-bb8f-3f48a2b29740,0,2026-04-10T10:03:16.592Z,625e3ab1-2453-41c7-ad02-7c84d80738fd,758ae748-3888-4bdf-b4f9-7972a8ac9948,0,0,0,,13d95f19-12d7-4ce2-8ce6-7bc8b1601e1f,4a654798-2e4f-4961-9daa-76818d5f169e,6,18,0,,False,True,4a654798-2e4f-4961-9daa-76818d5f169e
MirkŁodź Turniej Lokalny Middle-Earth SBG - Kwiecień 2026,5665891e-a952-46ff-840e-7c5cae8e0b53,Runda 1 - Contest of  Champion,e65f95e8-05cd-400c-bb9f-1fa829e40c0d,FINISHED,163e1267-7dbd-4f7c-96b4-91e070b71c30,1,2026-04-10T10:03:16.592Z,28a5a698-dcef-4da4-babc-1bab10c54fce,d49d9342-cc0c-46cc-83bf-ddd443b7aa8b,6,15,0,,82376147-f0e3-43e6-8eb7-20a521c7933d,4a55491b-3a8e-47bb-8c61-85b9446dca01,0,0,0,,False,True,4a55491b-3a8e-47bb-8c61-85b9446dca01
