Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
MirkŁodź Turniej Lokalny Middle-Earth SBG - Lipiec 2026,47b81fe3-2c8b-45b1-99d7-97c1363a3545,Runda 1 - Fog of War,16376a11-6e6e-4f2e-9769-ca98328e9316,FINISHED,f62e904b-350d-4eb9-9d21-91257da22d96,0,2026-07-02T18:52:44.050Z,9f6d1650-6420-434d-95d6-9f0b88695d8f,73de21a8-323e-470e-8e98-8aba0d14d244,5,11,0,,0a5ea891-f750-4862-b027-bea3f027c1fd,55b3019a-a7e5-4c3c-9c51-0643513d2296,1,6,0,,False,True,55b3019a-a7e5-4c3c-9c51-0643513d2296
MirkŁodź Turniej Lokalny Middle-Earth SBG - Lipiec 2026,47b81fe3-2c8b-45b1-99d7-97c1363a3545,Runda 1 - Fog of War,16376a11-6e6e-4f2e-9769-ca98328e9316,FINISHED,54bfda92-1f81-4d0e-a37c-f7c7421a48c4,1,2026-07-02T18:52:44.050Z,902865bb-31f7-4c34-999a-9ab2dd70e325,39e3a957-deb5-4bc2-bec3-8e584ea9b5b0,1,3,0,,fd6c287d-2d53-4db9-a715-5d3be5395cd5,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6,5,6,0,,True,False,39e3a957-deb5-4bc2-bec3-8e584ea9b5b0
MirkŁodź Turniej Lokalny Middle-Earth SBG - Lipiec 2026,47b81fe3-2c8b-45b1-99d7-97c1363a3545,Runda 1 - Fog of War,16376a11-6e6e-4f2e-9769-ca98328e9316,FINISHED,9a835eea-d72b-4723-b73b-976f7c4a9342,2,2026-07-02T18:52:44.050Z,e6f77d4d-2e27-46d5-8415-ad4cfefd5472,19971c89-b3a4-42ef-99c8-c4892df70e0e,0,5,0,,90af7190-9b2c-43d7-ac43-33c54e5b014d,c0c93d87-3a8b-4fd2-a654-f009b0226875,6,12,0,,False,True,c0c93d87-3a8b-4fd2-a654-f009b0226875
MirkŁodź Turniej Lokalny Middle-Earth SBG - Lipiec 2026,47b81fe3-2c8b-45b1-99d7-97c1363a3545,Runda 1 - Fog of War,16376a11-6e6e-4f2e-9769-ca98328e9316,FINISHED,c3b7a22d-3fb8-46a9-8fcb-6087f1d6754d,3,2026-07-02T18:52:44.050Z,626f1a72-2f5c-40ee-ab9c-aeebb007ea06,4a55491b-3a8e-47bb-8c61-85b9446dca01,0,2,0,,5e2f51be-ce6f-4368-acd0-0cdc2435c596,d49d9342-cc0c-46cc-83bf-ddd443b7aa8b,6,14,0,,True,False,4a55491b-3a8e-47bb-8c61-85b9446dca01
MirkŁodź Turniej Lokalny Middle-Earth SBG - Lipiec 2026,47b81fe3-2c8b-45b1-99d7-97c1363a3545,Runda 1 - Fog of War,16376a11-6e6e-4f2e-9769-ca98328e9316,FINISHED,de94e7c6-f789-4a43-aad0-d10d3bc98359,4,2026-07-02T18:52:44.050Z,2f6d6221-72da-415f-ada9-4c6297913533,758ae748-3888-4bdf-b4f9-7972a8ac9948,5,8,0,,f24a6a4e-517c-470c-9c2c-fb023dc534db,1162e493-2a1e-4b15-aa4d-70fd185e8f8d,1,7,0,,True,False,758ae748-3888-4bdf-b4f9-7972a8ac9948
MirkŁodź Turniej Lokalny Middle-Earth SBG - Lipiec 2026,47b81fe3-2c8b-45b1-99d7-97c1363a3545,Runda 1 - Fog of War,16376a11-6e6e-4f2e-9769-ca98328e9316,FINISHED,e101b25b-7856-429c-9959-7cbce5bddf04,5,2026-07-02T18:52:44.050Z,f849b25d-7bdc-44ed-8bac-ef63c1634eac,549399ee-ddad-4f74-a61d-02352b425f27,6,16,0,,f260ce5f-0f60-41df-bb22-e0867a5cc8d0,87349185-e09b-4205-bbba-532e3e5c8a8b,0,1,0,,True,False,549399ee-ddad-4f74-a61d-02352b425f27
MirkŁodź Turniej Lokalny Middle-Earth SBG - Lipiec 2026,47b81fe3-2c8b-45b1-99d7-97c1363a3545,Runda 3 Retrival,2ffcacaf-5479-4db7-8c10-5f04ca7657e5,FINISHED,b007bb12-b108-45f0-9499-aa4da7d3af2a,0,2026-07-04T11:19:47.889Z,d6c1863a-d3db-46cc-afa3-cde6638811a8,d49d9342-cc0c-46cc-83bf-ddd443b7aa8b,1,7,0,,951f1a65-11e1-4aaa-b244-daed10567df3,549399ee-ddad-4f74-a61d-02352b425f27,5,13,0,,False,True,549399ee-ddad-4f74-a61d-02352b425f27
MirkŁodź Turniej Lokalny Middle-Earth SBG - Lipiec 2026,47b81fe3-2c8b-45b1-99d7-97c1363a3545,Runda 3 Retrival,2ffcacaf-5479-4db7-8c10-5f04ca7657e5,FINISHED,bc01f53c-e25f-4aae-be55-b4e5b07859f3,1,2026-07-04T11:19:47.889Z,4655480c-aa7a-4c9e-91c9-ebcf91d7f14d,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6,6,13,0,,842945c9-db41-4a80-a3b8-acb3ac36313a,c0c93d87-3a8b-4fd2-a654-f009b0226875,0,0,0,,True,False,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6
MirkŁodź Turniej Lokalny Middle-Earth SBG - Lipiec 2026,47b81fe3-2c8b-45b1-99d7-97c1363a3545,Runda 3 Retrival,2ffcacaf-5479-4db7-8c10-5f04ca7657e5,FINISHED,1e6fffc0-8fdd-4aae-9dce-6c5f92178066,2,2026-07-04T11:19:47.889Z,f4e22422-d492-46a7-b4f3-6673d0e4638f,1162e493-2a1e-4b15-aa4d-70fd185e8f8d,6,7,0,,a06db4ae-8751-473f-bdae-c7f3798ce2f9,39e3a957-deb5-4bc2-bec3-8e584ea9b5b0,0,1,0,,True,False,1162e493-2a1e-4b15-aa4d-70fd185e8f8d
MirkŁodź Turniej Lokalny Middle-Earth SBG - Lipiec 2026,47b81fe3-2c8b-45b1-99d7-97c1363a3545,Runda 3 Retrival,2ffcacaf-5479-4db7-8c10-5f04ca7657e5,FINISHED,221710f1-210c-4323-86fc-b20db96f8ced,3,2026-07-04T11:19:47.889Z,2d36f148-be3b-4523-82b9-40c40ea58508,19971c89-b3a4-42ef-99c8-c4892df70e0e,6,7,0,,e59d7cdd-f1ef-45f8-bed5-60a0035a1c0d,758ae748-3888-4bdf-b4f9-7972a8ac9948,0,1,0,,True,False,19971c89-b3a4-42ef-99c8-c4892df70e0e
MirkŁodź Turniej Lokalny Middle-Earth SBG - Lipiec 2026,47b81fe3-2c8b-45b1-99d7-97c1363a3545,Runda 3 Retrival,2ffcacaf-5479-4db7-8c10-5f04ca7657e5,FINISHED,77e18215-f763-4ef3-97a5-16c14b7e75e6,4,2026-07-04T11:19:47.889Z,adb5009d-d7a8-4b97-b8f1-bbaa7072346a,73de21a8-323e-470e-8e98-8aba0d14d244,1,5,0,,e22f6f28-94a4-4f55-9726-753c1c9d54e9,4a55491b-3a8e-47bb-8c61-85b9446dca01,5,8,0,,False,True,4a55491b-3a8e-47bb-8c61-85b9446dca01
MirkŁodź Turniej Lokalny Middle-Earth SBG - Lipiec 2026,47b81fe3-2c8b-45b1-99d7-97c1363a3545,Runda 3 Retrival,2ffcacaf-5479-4db7-8c10-5f04ca7657e5,FINISHED,4dfe4568-9ea4-43dc-9a8f-79f378f7354e,5,2026-07-04T11:19:47.889Z,d299e83c-57e8-44ef-95a1-d2b845ca22f2,55b3019a-a7e5-4c3c-9c51-0643513d2296,5,5,0,,0b08733d-f1aa-4cd4-861a-c2cb1f7159b7,87349185-e09b-4205-bbba-532e3e5c8a8b,1,0,0,,True,False,55b3019a-a7e5-4c3c-9c51-0643513d2296
