Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
MirkŁodź Turniej Lokalny Middle-Earth SBG - Luty 2026,1228fb81-2355-45df-86f3-cdf1d75404a6,Runda 4 Treasure hoard,7a3d4b79-f595-4ff4-9806-70a9ef02c177,FINISHED,a501b30b-6140-420f-9371-2476e95dd041,0,2026-02-21T14:16:36.219Z,96c2c2d9-ddc2-4a34-8a53-242a474280b2,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6,6,11,0,,5122bdf8-eb60-4f6e-9155-8c1705594cbf,19971c89-b3a4-42ef-99c8-c4892df70e0e,0,5,0,,False,True,19971c89-b3a4-42ef-99c8-c4892df70e0e
MirkŁodź Turniej Lokalny Middle-Earth SBG - Luty 2026,1228fb81-2355-45df-86f3-cdf1d75404a6,Runda 4 Treasure hoard,7a3d4b79-f595-4ff4-9806-70a9ef02c177,FINISHED,f079ee45-667a-4b06-ba28-a938bb142ab0,1,2026-02-21T14:16:36.219Z,6802b637-0d2d-4944-b49c-09e3c1886f52,d49d9342-cc0c-46cc-83bf-ddd443b7aa8b,5,8,0,,88cf3dbd-9e9d-4294-bcc5-671198e841e7,39e3a957-deb5-4bc2-bec3-8e584ea9b5b0,1,4,0,,False,True,39e3a957-deb5-4bc2-bec3-8e584ea9b5b0
MirkŁodź Turniej Lokalny Middle-Earth SBG - Luty 2026,1228fb81-2355-45df-86f3-cdf1d75404a6,Runda 4 Treasure hoard,7a3d4b79-f595-4ff4-9806-70a9ef02c177,FINISHED,d7b224fe-d7f3-448f-919a-5ebf1aa0de3f,2,2026-02-21T14:16:36.219Z,5751a427-072b-4173-8438-819c1cef0e06,549399ee-ddad-4f74-a61d-02352b425f27,6,18,0,,94ec2a03-043b-45fb-8463-41fff7626590,2dcb6efc-305d-46f5-b777-32b6ba7307ce,0,2,0,,True,False,549399ee-ddad-4f74-a61d-02352b425f27
MirkŁodź Turniej Lokalny Middle-Earth SBG - Luty 2026,1228fb81-2355-45df-86f3-cdf1d75404a6,Runda 4 Treasure hoard,7a3d4b79-f595-4ff4-9806-70a9ef02c177,FINISHED,72e3b5bf-9bc5-4a46-b08a-adbed95022bf,3,2026-02-21T14:16:36.219Z,caa9fbe6-564a-4205-a5d2-2b8b991bd751,3db82138-71b4-4c3b-8eae-8f6520a1408f,5,10,0,,21716863-778b-428b-a040-1ea85aa977a5,4a654798-2e4f-4961-9daa-76818d5f169e,1,6,0,,True,False,3db82138-71b4-4c3b-8eae-8f6520a1408f
MirkŁodź Turniej Lokalny Middle-Earth SBG - Luty 2026,1228fb81-2355-45df-86f3-cdf1d75404a6,Runda 4 Treasure hoard,7a3d4b79-f595-4ff4-9806-70a9ef02c177,FINISHED,818d2d5a-3d7f-4556-806d-fdaa8f137ace,4,2026-02-21T14:16:36.219Z,f0c24148-d11a-49c5-8cec-f0214ad1c180,758ae748-3888-4bdf-b4f9-7972a8ac9948,0,0,0,,bd719924-0569-43e6-a37d-f3bf4765baf4,592e6817-d59d-4c9e-80b7-e9d8956362be,6,15,0,,False,True,592e6817-d59d-4c9e-80b7-e9d8956362be
MirkŁodź Turniej Lokalny Middle-Earth SBG - Luty 2026,1228fb81-2355-45df-86f3-cdf1d75404a6,Runda 4 Treasure hoard,7a3d4b79-f595-4ff4-9806-70a9ef02c177,FINISHED,685f91d0-c510-4f5e-bf61-f161e218782c,5,2026-02-21T14:16:36.219Z,eb5d19b1-2ed7-4ea4-8066-70f6e9a3848c,d8c20013-b03c-48e4-bb24-3acb4aeb30e6,1,7,0,,462daecd-a4c4-412b-9ce1-e612a384689c,4a55491b-3a8e-47bb-8c61-85b9446dca01,5,8,0,,True,False,d8c20013-b03c-48e4-bb24-3acb4aeb30e6
MirkŁodź Turniej Lokalny Middle-Earth SBG - Luty 2026,1228fb81-2355-45df-86f3-cdf1d75404a6,Runda 4 Treasure hoard,7a3d4b79-f595-4ff4-9806-70a9ef02c177,FINISHED,cdad9959-3bcd-4899-b928-1bdaca36c602,6,2026-02-21T14:16:36.219Z,9cab4b51-3ebc-4080-9062-86e17c3be45a,55b3019a-a7e5-4c3c-9c51-0643513d2296,1,5,0,,36f4b0e2-0f03-4707-90ce-548e51973b34,c0c93d87-3a8b-4fd2-a654-f009b0226875,5,6,0,,False,True,c0c93d87-3a8b-4fd2-a654-f009b0226875
MirkŁodź Turniej Lokalny Middle-Earth SBG - Luty 2026,1228fb81-2355-45df-86f3-cdf1d75404a6,Runda 4 Treasure hoard,7a3d4b79-f595-4ff4-9806-70a9ef02c177,FINISHED,01e1c94c-57a4-45d2-8158-bbf65be1b8c7,7,2026-02-21T14:16:36.219Z,0603d2b5-f36a-49bd-925f-82a105ceab08,97aa803e-6647-4017-bf90-64664159bb7a,5,8,0,,220d8d63-520e-49b1-a085-15aec3530f8e,21066989-54d5-4f5b-b9f2-4ef34bb62943,1,4,0,,True,False,97aa803e-6647-4017-bf90-64664159bb7a
MirkŁodź Turniej Lokalny Middle-Earth SBG - Luty 2026,1228fb81-2355-45df-86f3-cdf1d75404a6,Runda 4 Treasure hoard,7a3d4b79-f595-4ff4-9806-70a9ef02c177,FINISHED,f3c3496c-1c3e-421b-bcdb-9ad45c8f45e2,8,2026-02-21T14:16:36.219Z,f7cefc75-9c36-4bbc-9683-b86439ab5268,24a8eb5a-5987-4821-9764-ddaaaff44824,3,2,0,,0f6872e2-5572-4201-9dd2-c026171b3956,4090ee6d-f954-4a11-8b1e-e66c51988a85,3,2,0,,True,False,24a8eb5a-5987-4821-9764-ddaaaff44824
MirkŁodź Turniej Lokalny Middle-Earth SBG - Luty 2026,1228fb81-2355-45df-86f3-cdf1d75404a6,Runda 3 Contest of champions ,fb2836b9-944a-4bbe-a5dc-b41d3774b7d4,FINISHED,abf8c5e2-bd0f-4c86-852d-5b7eef9f18b0,0,2026-02-21T12:11:45.460Z,aa792112-46f6-42d9-8850-330ec59dd58e,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6,6,20,0,,b91eaf27-b9c9-4656-a7c6-edc89cad757f,2dcb6efc-305d-46f5-b777-32b6ba7307ce,0,0,0,,True,False,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6
