Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
MirkŁodź Turniej Lokalny Middle-Earth SBG - Maj 2026,de2e7367-59db-44cc-ab6e-ea6d1b288a91,Runda 3,2320eeb5-0b95-4f71-b4ac-f7a915cec5af,FINISHED,56eff6fc-d6d5-49c0-8073-f7000c3bcdfb,0,2026-05-16T12:07:17.610Z,f15396e4-c2fe-4a27-ad5d-8d8fe2b61c6a,1162e493-2a1e-4b15-aa4d-70fd185e8f8d,3,9,0,,6e1b59b9-9143-4425-a97a-508e661189e3,4a654798-2e4f-4961-9daa-76818d5f169e,3,9,0,,True,False,1162e493-2a1e-4b15-aa4d-70fd185e8f8d
MirkŁodź Turniej Lokalny Middle-Earth SBG - Maj 2026,de2e7367-59db-44cc-ab6e-ea6d1b288a91,Runda 3,2320eeb5-0b95-4f71-b4ac-f7a915cec5af,FINISHED,46b5965f-0a6f-4d4b-8bbf-d668cfbe68a9,1,2026-05-16T12:07:17.610Z,f8f648a0-98ad-4efe-9789-21b3c3e91a67,97aa803e-6647-4017-bf90-64664159bb7a,1,7,0,,e7254d76-0674-4426-9042-e9dd20d68b34,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6,5,8,0,,True,False,97aa803e-6647-4017-bf90-64664159bb7a
MirkŁodź Turniej Lokalny Middle-Earth SBG - Maj 2026,de2e7367-59db-44cc-ab6e-ea6d1b288a91,Runda 3,2320eeb5-0b95-4f71-b4ac-f7a915cec5af,FINISHED,3f898d8e-6f73-4c9a-93ca-21f7ba73a3ad,2,2026-05-16T12:07:17.610Z,e0aeda6c-4f8f-4586-9400-9c4589689257,55b3019a-a7e5-4c3c-9c51-0643513d2296,1,5,0,,8c8fced2-a180-4ae6-a744-140a889a59fb,a487586e-54dd-4f57-bd18-2ab1f172ab7c,5,10,0,,False,True,a487586e-54dd-4f57-bd18-2ab1f172ab7c
MirkŁodź Turniej Lokalny Middle-Earth SBG - Maj 2026,de2e7367-59db-44cc-ab6e-ea6d1b288a91,Runda 3,2320eeb5-0b95-4f71-b4ac-f7a915cec5af,FINISHED,8d2503f5-7060-4879-bfe8-b70600b78623,3,2026-05-16T12:07:17.610Z,2b9735c3-d57a-48dc-a87a-40b426a62a47,549399ee-ddad-4f74-a61d-02352b425f27,5,12,0,,b748dbfb-19d0-4e8c-a306-f12331774fce,19971c89-b3a4-42ef-99c8-c4892df70e0e,1,8,0,,True,False,549399ee-ddad-4f74-a61d-02352b425f27
MirkŁodź Turniej Lokalny Middle-Earth SBG - Maj 2026,de2e7367-59db-44cc-ab6e-ea6d1b288a91,Runda 3,2320eeb5-0b95-4f71-b4ac-f7a915cec5af,FINISHED,8726784a-640d-419d-802d-b6f93dad9c00,4,2026-05-16T12:07:17.610Z,38580cb1-d7ce-4f16-9971-b93b4ee05d3f,39e3a957-deb5-4bc2-bec3-8e584ea9b5b0,3,6,0,,72696ba1-f6c2-4229-a7ac-5fffaa5cccf6,73de21a8-323e-470e-8e98-8aba0d14d244,3,6,0,,True,False,39e3a957-deb5-4bc2-bec3-8e584ea9b5b0
MirkŁodź Turniej Lokalny Middle-Earth SBG - Maj 2026,de2e7367-59db-44cc-ab6e-ea6d1b288a91,Runda 2,ed561c35-7899-4821-882c-a9363429de93,FINISHED,656ba7f0-0e75-4581-95b6-d027a4b83741,0,2026-05-16T10:01:24.064Z,dfb060ce-0a7e-4708-82f1-34aa0c226258,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6,0,1,0,,a1e2978f-29f6-4a1c-8ccf-44c6a47e173b,1162e493-2a1e-4b15-aa4d-70fd185e8f8d,6,15,0,,False,True,1162e493-2a1e-4b15-aa4d-70fd185e8f8d
MirkŁodź Turniej Lokalny Middle-Earth SBG - Maj 2026,de2e7367-59db-44cc-ab6e-ea6d1b288a91,Runda 2,ed561c35-7899-4821-882c-a9363429de93,FINISHED,514ebce8-13f1-46ba-bf46-00f02816074f,1,2026-05-16T10:01:24.064Z,d95748b6-abda-467b-bde4-4ab1d0c6454e,97aa803e-6647-4017-bf90-64664159bb7a,3,1,0,,b4a151d5-900a-4a0b-95b5-e6dc326cbae6,55b3019a-a7e5-4c3c-9c51-0643513d2296,3,1,0,,False,True,55b3019a-a7e5-4c3c-9c51-0643513d2296
MirkŁodź Turniej Lokalny Middle-Earth SBG - Maj 2026,de2e7367-59db-44cc-ab6e-ea6d1b288a91,Runda 2,ed561c35-7899-4821-882c-a9363429de93,FINISHED,3b585769-e946-4fea-95b3-3695241b7671,2,2026-05-16T10:01:24.064Z,2d7b6873-19f2-4c94-a8d6-0b6dbba3c49c,4a654798-2e4f-4961-9daa-76818d5f169e,6,14,0,,41641642-3af6-4c72-b75c-252b2989a688,39e3a957-deb5-4bc2-bec3-8e584ea9b5b0,0,0,0,,True,False,4a654798-2e4f-4961-9daa-76818d5f169e
MirkŁodź Turniej Lokalny Middle-Earth SBG - Maj 2026,de2e7367-59db-44cc-ab6e-ea6d1b288a91,Runda 2,ed561c35-7899-4821-882c-a9363429de93,FINISHED,82361014-5f86-48bb-9228-78b99c032eaf,3,2026-05-16T10:01:24.064Z,c58b84d2-ea97-43e2-82a0-fc38a76e3332,19971c89-b3a4-42ef-99c8-c4892df70e0e,0,4,0,,7909b32b-a19c-4267-946d-a07e93b3d17d,a487586e-54dd-4f57-bd18-2ab1f172ab7c,6,11,0,,False,True,a487586e-54dd-4f57-bd18-2ab1f172ab7c
MirkŁodź Turniej Lokalny Middle-Earth SBG - Maj 2026,de2e7367-59db-44cc-ab6e-ea6d1b288a91,Runda 2,ed561c35-7899-4821-882c-a9363429de93,FINISHED,d3ef6f89-7375-4874-b0cb-98ae9f437007,4,2026-05-16T10:01:24.064Z,9fefb5fb-0baa-4bff-8cd1-46ff63e9de4d,549399ee-ddad-4f74-a61d-02352b425f27,6,20,0,,609ad847-22d1-4dd7-82ec-2052076c41ff,73de21a8-323e-470e-8e98-8aba0d14d244,0,1,0,,True,False,549399ee-ddad-4f74-a61d-02352b425f27
