Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
MirkŁodź Turniej Lokalny Middle-Earth SBG - Marzec 2026,2826b1d4-e6f9-4f76-bb51-c8b79a60810c,Runda 3 capture and controll ,93030d8e-127b-4d14-b40c-60155d6de977,FINISHED,22246623-ac45-4389-bffc-3c0ab44c2811,0,2026-03-28T12:54:11.188Z,bab2e778-e4bb-4cbb-9178-41848bdc64d6,4a654798-2e4f-4961-9daa-76818d5f169e,0.0,0.0,0.0,,c9db4ccf-db6e-4796-929c-f1aeedbcc560,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6,6.0,20.0,0.0,,False,True,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6
MirkŁodź Turniej Lokalny Middle-Earth SBG - Marzec 2026,2826b1d4-e6f9-4f76-bb51-c8b79a60810c,Runda 3 capture and controll ,93030d8e-127b-4d14-b40c-60155d6de977,FINISHED,8b1950bf-bd52-4300-8fb5-e1307e3bd89a,1,2026-03-28T12:54:11.188Z,46e7b50e-1127-433a-a955-57378a3a4be8,19971c89-b3a4-42ef-99c8-c4892df70e0e,6.0,10.0,0.0,,02e5b866-ea66-464d-92f6-6f71f30caaa9,c0c93d87-3a8b-4fd2-a654-f009b0226875,0.0,3.0,0.0,,False,True,c0c93d87-3a8b-4fd2-a654-f009b0226875
MirkŁodź Turniej Lokalny Middle-Earth SBG - Marzec 2026,2826b1d4-e6f9-4f76-bb51-c8b79a60810c,Runda 3 capture and controll ,93030d8e-127b-4d14-b40c-60155d6de977,FINISHED,bcbf2b5c-d952-4a49-9dbb-428cf0c6dd1c,2,2026-03-28T12:54:11.188Z,15af6824-e43e-42c2-acd6-8dd2eee7ba42,549399ee-ddad-4f74-a61d-02352b425f27,6.0,13.0,0.0,,94bbc4cd-0d6b-4b4e-ba23-f9b60a47844a,d49d9342-cc0c-46cc-83bf-ddd443b7aa8b,0.0,4.0,0.0,,True,False,549399ee-ddad-4f74-a61d-02352b425f27
MirkŁodź Turniej Lokalny Middle-Earth SBG - Marzec 2026,2826b1d4-e6f9-4f76-bb51-c8b79a60810c,Runda 3 capture and controll ,93030d8e-127b-4d14-b40c-60155d6de977,FINISHED,f6d60e29-571c-4330-8640-e191c8b1a20e,3,2026-03-28T12:54:11.188Z,ee53e34b-68f9-479a-94bc-0f77accadd42,4a55491b-3a8e-47bb-8c61-85b9446dca01,5.0,9.0,0.0,,8b808b42-fe2f-48a4-a799-2e660eb7ca41,73de21a8-323e-470e-8e98-8aba0d14d244,1.0,6.0,0.0,,True,False,4a55491b-3a8e-47bb-8c61-85b9446dca01
MirkŁodź Turniej Lokalny Middle-Earth SBG - Marzec 2026,2826b1d4-e6f9-4f76-bb51-c8b79a60810c,Runda 3 capture and controll ,93030d8e-127b-4d14-b40c-60155d6de977,FINISHED,a379aa4d-8f89-4152-a834-04c23f578ba2,4,2026-03-28T12:54:11.188Z,4f0ac231-d59d-4a9f-9956-2e6327ba960c,a487586e-54dd-4f57-bd18-2ab1f172ab7c,5.0,11.0,0.0,,193b9d2e-6f16-48a9-aa58-fd82a8b71f91,39e3a957-deb5-4bc2-bec3-8e584ea9b5b0,1.0,6.0,0.0,,False,True,39e3a957-deb5-4bc2-bec3-8e584ea9b5b0
MirkŁodź Turniej Lokalny Middle-Earth SBG - Marzec 2026,2826b1d4-e6f9-4f76-bb51-c8b79a60810c,Runda 3 capture and controll ,93030d8e-127b-4d14-b40c-60155d6de977,FINISHED,ca8d29b4-450e-4893-9593-37b1d0795a5d,5,2026-03-28T12:54:11.188Z,68a5452c-165c-4925-8214-7fe4ac4fd324,55b3019a-a7e5-4c3c-9c51-0643513d2296,,,,,,,,,,,False,False,
MirkŁodź Turniej Lokalny Middle-Earth SBG - Marzec 2026,2826b1d4-e6f9-4f76-bb51-c8b79a60810c,Runda 2 Lead from the front,7e6a3aa8-97cb-4a0f-859d-7afc17a4724c,FINISHED,5339de96-9007-4125-a270-b461cf1f0db3,0,2026-03-28T10:58:08.247Z,0919ab8e-e12d-4a18-a773-138aaf05faa8,c0c93d87-3a8b-4fd2-a654-f009b0226875,0.0,0.0,0.0,,3813cfaf-d714-4ebe-916c-0e14e6d7dc85,4a654798-2e4f-4961-9daa-76818d5f169e,6.0,11.0,0.0,,False,True,4a654798-2e4f-4961-9daa-76818d5f169e
MirkŁodź Turniej Lokalny Middle-Earth SBG - Marzec 2026,2826b1d4-e6f9-4f76-bb51-c8b79a60810c,Runda 2 Lead from the front,7e6a3aa8-97cb-4a0f-859d-7afc17a4724c,FINISHED,dd8afcbb-b6aa-42d8-9b8c-f6ead99d034a,1,2026-03-28T10:58:08.247Z,827b1382-a288-4236-af75-d9d005112312,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6,6.0,10.0,0.0,,13f2f920-1464-4e99-b338-5c08f81f1b05,4a55491b-3a8e-47bb-8c61-85b9446dca01,0.0,0.0,0.0,,False,True,4a55491b-3a8e-47bb-8c61-85b9446dca01
MirkŁodź Turniej Lokalny Middle-Earth SBG - Marzec 2026,2826b1d4-e6f9-4f76-bb51-c8b79a60810c,Runda 2 Lead from the front,7e6a3aa8-97cb-4a0f-859d-7afc17a4724c,FINISHED,acd01a76-ecdc-4466-b9e9-910d7c5042cb,2,2026-03-28T10:58:08.247Z,7e754141-a0c0-4528-a648-5ff347f2450a,73de21a8-323e-470e-8e98-8aba0d14d244,1.0,5.0,0.0,,2a193e16-d2df-412d-b7d8-8b63ddb027dd,549399ee-ddad-4f74-a61d-02352b425f27,5.0,11.0,0.0,,False,True,549399ee-ddad-4f74-a61d-02352b425f27
MirkŁodź Turniej Lokalny Middle-Earth SBG - Marzec 2026,2826b1d4-e6f9-4f76-bb51-c8b79a60810c,Runda 2 Lead from the front,7e6a3aa8-97cb-4a0f-859d-7afc17a4724c,FINISHED,f006e74d-431d-4de3-81a0-ec2fc170a777,3,2026-03-28T10:58:08.247Z,c92a2976-6db4-4396-8b2f-b45cc58a4534,19971c89-b3a4-42ef-99c8-c4892df70e0e,5.0,7.0,0.0,,0c8f06f6-ecd0-42ca-bb09-31e14f7c8662,a487586e-54dd-4f57-bd18-2ab1f172ab7c,1.0,6.0,0.0,,True,False,19971c89-b3a4-42ef-99c8-c4892df70e0e
