Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
MirkŁodź Turniej Lokalny Middle-Earth SBG - Sierpień 2026,1acc783a-5a75-42cc-b449-08e815c298bd,Runda 1,5e6d1754-717e-4c32-815b-8c46572e12cf,FINISHED,ce70a523-0009-4b92-a69d-11b1fbee8a8f,0,2026-07-31T07:47:26.097Z,bac85126-4651-49c6-b8ae-f599b1bc78b0,55b3019a-a7e5-4c3c-9c51-0643513d2296,0,3,0,,9154aba4-a013-48bc-8582-9d5622cf36ac,758ae748-3888-4bdf-b4f9-7972a8ac9948,6,18,0,,True,False,55b3019a-a7e5-4c3c-9c51-0643513d2296
MirkŁodź Turniej Lokalny Middle-Earth SBG - Sierpień 2026,1acc783a-5a75-42cc-b449-08e815c298bd,Runda 1,5e6d1754-717e-4c32-815b-8c46572e12cf,FINISHED,d777d1b7-b60a-4db9-83b7-54ad3945c81a,1,2026-07-31T07:47:26.097Z,9a804330-5f58-4009-b588-3bbd046edfca,549399ee-ddad-4f74-a61d-02352b425f27,0,3,0,,92c704f2-25db-4a35-b23b-5c054e6633ea,4a654798-2e4f-4961-9daa-76818d5f169e,6,12,0,,False,True,4a654798-2e4f-4961-9daa-76818d5f169e
MirkŁodź Turniej Lokalny Middle-Earth SBG - Sierpień 2026,1acc783a-5a75-42cc-b449-08e815c298bd,Runda 1,5e6d1754-717e-4c32-815b-8c46572e12cf,FINISHED,ec1bff79-a3d1-4e02-a767-c950e6f22483,2,2026-07-31T07:47:26.097Z,462fa159-3f64-4b7a-acfb-10330e0c2726,1162e493-2a1e-4b15-aa4d-70fd185e8f8d,0,1,0,,f471ac2d-ab3d-4cab-80fd-f49a0f49803a,a487586e-54dd-4f57-bd18-2ab1f172ab7c,6,11,0,,False,True,a487586e-54dd-4f57-bd18-2ab1f172ab7c
MirkŁodź Turniej Lokalny Middle-Earth SBG - Sierpień 2026,1acc783a-5a75-42cc-b449-08e815c298bd,Runda 1,5e6d1754-717e-4c32-815b-8c46572e12cf,FINISHED,fc104baa-deac-4b4d-a8ee-3b3eb1cd44e7,3,2026-07-31T07:47:26.097Z,6b33da8d-6e06-41fb-a74f-cb830228a9a9,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6,5,11,0,,ff9e193f-b42b-47e9-a255-533c42f53d31,87349185-e09b-4205-bbba-532e3e5c8a8b,1,6,0,,True,False,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6
MirkŁodź Turniej Lokalny Middle-Earth SBG - Sierpień 2026,1acc783a-5a75-42cc-b449-08e815c298bd,Runda 2,5ac36562-7f22-4fe4-8b5f-53d8c134ed8f,FINISHED,97445ff4-2521-4740-8ec5-be6b1b58511c,0,2026-08-01T10:09:50.803Z,4f10c961-278a-4a77-aefe-f6198cfd875d,758ae748-3888-4bdf-b4f9-7972a8ac9948,0,4,0,,6986c821-26d8-448d-842f-10f26d709e7a,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6,6,11,0,,False,True,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6
MirkŁodź Turniej Lokalny Middle-Earth SBG - Sierpień 2026,1acc783a-5a75-42cc-b449-08e815c298bd,Runda 2,5ac36562-7f22-4fe4-8b5f-53d8c134ed8f,FINISHED,05b1f39e-18df-442c-9fc9-a6463e19d0b5,1,2026-08-01T10:09:50.803Z,5eac546c-9feb-4cde-ab7a-7198b958872c,a487586e-54dd-4f57-bd18-2ab1f172ab7c,0,4,0,,cedd6a75-d08f-4f8e-bc12-1661f8c42b3e,4a654798-2e4f-4961-9daa-76818d5f169e,6,10,0,,False,True,4a654798-2e4f-4961-9daa-76818d5f169e
MirkŁodź Turniej Lokalny Middle-Earth SBG - Sierpień 2026,1acc783a-5a75-42cc-b449-08e815c298bd,Runda 2,5ac36562-7f22-4fe4-8b5f-53d8c134ed8f,FINISHED,a230c816-759b-474f-b5fc-402d85aab4a1,2,2026-08-01T10:09:50.803Z,30ccb3ae-92b4-4113-ad8b-f629a79a719a,87349185-e09b-4205-bbba-532e3e5c8a8b,0,0,0,,e1592bc6-524d-468f-bcb3-2dbabf77e179,1162e493-2a1e-4b15-aa4d-70fd185e8f8d,6,16,0,,False,True,1162e493-2a1e-4b15-aa4d-70fd185e8f8d
MirkŁodź Turniej Lokalny Middle-Earth SBG - Sierpień 2026,1acc783a-5a75-42cc-b449-08e815c298bd,Runda 2,5ac36562-7f22-4fe4-8b5f-53d8c134ed8f,FINISHED,35840944-e582-4201-889c-bcadd765390f,3,2026-08-01T10:09:50.803Z,f8a1891b-6097-413c-abba-37aba542bed0,55b3019a-a7e5-4c3c-9c51-0643513d2296,6,18,0,,227c5830-7496-45df-b253-43d70988f0e6,549399ee-ddad-4f74-a61d-02352b425f27,0,2,0,,True,False,55b3019a-a7e5-4c3c-9c51-0643513d2296
MirkŁodź Turniej Lokalny Middle-Earth SBG - Sierpień 2026,1acc783a-5a75-42cc-b449-08e815c298bd,Runda 3,bd656b29-54ae-4ced-9b33-504b9f01569c,FINISHED,f2dddb17-1c48-4de8-9a10-12a0b4f08409,0,2026-08-01T12:27:53.118Z,f3f6ad37-7949-4f50-aca0-6cdcea7470db,4a654798-2e4f-4961-9daa-76818d5f169e,6,20,0,,a98deb2b-5fca-4569-b1df-2f3129828bce,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6,0,2,0,,True,False,4a654798-2e4f-4961-9daa-76818d5f169e
MirkŁodź Turniej Lokalny Middle-Earth SBG - Sierpień 2026,1acc783a-5a75-42cc-b449-08e815c298bd,Runda 3,bd656b29-54ae-4ced-9b33-504b9f01569c,FINISHED,d50f29e3-078f-43eb-b097-bad78c8114c0,1,2026-08-01T12:27:53.118Z,3f2e64d5-98ef-48b9-823f-67e7c7555073,758ae748-3888-4bdf-b4f9-7972a8ac9948,0,2,0,,a7094d66-0718-4362-bb05-e81689922fbc,a487586e-54dd-4f57-bd18-2ab1f172ab7c,6,17,0,,False,False,55b3019a-a7e5-4c3c-9c51-0643513d2296
MirkŁodź Turniej Lokalny Middle-Earth SBG - Sierpień 2026,1acc783a-5a75-42cc-b449-08e815c298bd,Runda 3,bd656b29-54ae-4ced-9b33-504b9f01569c,FINISHED,51b19725-4d74-411f-875a-78b3c0a7a963,2,2026-08-01T12:27:53.118Z,a6f3beea-bde4-4313-8a20-0dc567ec0878,55b3019a-a7e5-4c3c-9c51-0643513d2296,6,20,0,,49c67681-09b3-411b-8815-f7e4e6996e92,1162e493-2a1e-4b15-aa4d-70fd185e8f8d,0,2,0,,True,False,55b3019a-a7e5-4c3c-9c51-0643513d2296
MirkŁodź Turniej Lokalny Middle-Earth SBG - Sierpień 2026,1acc783a-5a75-42cc-b449-08e815c298bd,Runda 3,bd656b29-54ae-4ced-9b33-504b9f01569c,FINISHED,ddfdd109-bd7a-49bf-8fb0-ee7c5c7d55c9,3,2026-08-01T12:27:53.118Z,22bbbd6d-a7a8-444e-b308-98cc96500d99,87349185-e09b-4205-bbba-532e3e5c8a8b,3,0,0,,ff0fcd61-ecce-4ea5-966b-af1caeb7ce40,549399ee-ddad-4f74-a61d-02352b425f27,3,0,0,,True,False,87349185-e09b-4205-bbba-532e3e5c8a8b
