Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
MirkŁódź Turniej Lokalny DOUBLES Middle-Earth SBG - Grudzień 2025,ac481e37-5906-4ebd-a8c8-3520347742a5,Runda 3 Take and Hold ,dc2a926f-be43-488c-9907-2e61fa40d2bb,FINISHED,eeda4a24-fd43-4754-a77d-eb695b204312,0,2025-12-13T13:44:03.393Z,6f8aaf0e-5ae0-4b12-9409-5899f345a320,2dcb6efc-305d-46f5-b777-32b6ba7307ce,6,10,0,,edf0ccd3-777a-4c77-a172-74782afcbc36,a845e769-f18f-406a-b246-1e6462a8f370,0,0,0,,True,False,549399ee-ddad-4f74-a61d-02352b425f27
MirkŁódź Turniej Lokalny DOUBLES Middle-Earth SBG - Grudzień 2025,ac481e37-5906-4ebd-a8c8-3520347742a5,Runda 3 Take and Hold ,dc2a926f-be43-488c-9907-2e61fa40d2bb,FINISHED,79874a8d-d307-42d3-8995-691aac230c28,1,2025-12-13T13:44:03.393Z,96eae947-99e0-453b-9dc3-76a10c05750e,549399ee-ddad-4f74-a61d-02352b425f27,6,10,0,,a3a6bc12-7e19-4ac5-9a70-d3294a9da25d,6bbae723-3f56-4f46-b886-e4f179c50e93,0,0,0,,True,False,549399ee-ddad-4f74-a61d-02352b425f27
MirkŁódź Turniej Lokalny DOUBLES Middle-Earth SBG - Grudzień 2025,ac481e37-5906-4ebd-a8c8-3520347742a5,Runda 3 Take and Hold ,dc2a926f-be43-488c-9907-2e61fa40d2bb,FINISHED,992af4d5-54d2-4423-860b-0e6b84558d64,2,2025-12-13T13:44:03.393Z,24f87a7b-ed84-42a8-a0c0-01a0cece9d35,7c58612c-6b48-4ed3-b175-7f04a5269ff0,0,6,0,,a5c4d0a1-5f93-4268-87f6-fe78f5818025,bb676a0a-ba29-4b0c-bfc4-cc5bc98995e6,6,12,0,,False,True,592e6817-d59d-4c9e-80b7-e9d8956362be
MirkŁódź Turniej Lokalny DOUBLES Middle-Earth SBG - Grudzień 2025,ac481e37-5906-4ebd-a8c8-3520347742a5,Runda 3 Take and Hold ,dc2a926f-be43-488c-9907-2e61fa40d2bb,FINISHED,9d70265a-539b-4537-b7a2-c8ca3cc03649,3,2025-12-13T13:44:03.393Z,d5afd688-2b7e-4ac4-8c28-22c989520f93,758ae748-3888-4bdf-b4f9-7972a8ac9948,0,6,0,,b3073816-2035-40f3-b612-0f689fc3150c,592e6817-d59d-4c9e-80b7-e9d8956362be,6,12,0,,False,True,592e6817-d59d-4c9e-80b7-e9d8956362be
MirkŁódź Turniej Lokalny DOUBLES Middle-Earth SBG - Grudzień 2025,ac481e37-5906-4ebd-a8c8-3520347742a5,Runda 3 Take and Hold ,dc2a926f-be43-488c-9907-2e61fa40d2bb,FINISHED,d6149bd6-c695-4514-a6b3-ebb5dde7ddaa,4,2025-12-13T13:44:03.393Z,436f7e47-dbcc-49c0-8d16-8340e4a2b511,4a654798-2e4f-4961-9daa-76818d5f169e,0,0,0,,d75e72a1-643d-48f6-91cb-36434ced29d0,774afb8c-8f87-46dc-823e-a82621336e4f,6,12,0,,True,False,55b3019a-a7e5-4c3c-9c51-0643513d2296
MirkŁódź Turniej Lokalny DOUBLES Middle-Earth SBG - Grudzień 2025,ac481e37-5906-4ebd-a8c8-3520347742a5,Runda 3 Take and Hold ,dc2a926f-be43-488c-9907-2e61fa40d2bb,FINISHED,e04379fc-ee99-421d-a9f6-0d9c65848a1f,5,2025-12-13T13:44:03.393Z,9ffd6fb7-b7c8-4543-881d-e9f7d7d724e6,55b3019a-a7e5-4c3c-9c51-0643513d2296,0,0,0,,7b89d4b5-d041-478c-91cd-e07e4553da54,a7f6afd7-7e8e-4a00-a3ba-fc637ca964fd,6,12,0,,True,False,55b3019a-a7e5-4c3c-9c51-0643513d2296
MirkŁódź Turniej Lokalny DOUBLES Middle-Earth SBG - Grudzień 2025,ac481e37-5906-4ebd-a8c8-3520347742a5,Runda 2 No Escape,eb4d35bf-2847-4096-9497-2e6a9699a461,FINISHED,426c904d-bf25-4eec-878e-dd6531f95e72,0,2025-12-13T11:17:03.208Z,23b9a567-9096-45d6-889c-6de7c1ddfc79,7c58612c-6b48-4ed3-b175-7f04a5269ff0,1,5,0,,726bfcbc-9567-4450-8950-898c9ce2bc6e,a845e769-f18f-406a-b246-1e6462a8f370,5,7,0,,False,True,6bbae723-3f56-4f46-b886-e4f179c50e93
MirkŁódź Turniej Lokalny DOUBLES Middle-Earth SBG - Grudzień 2025,ac481e37-5906-4ebd-a8c8-3520347742a5,Runda 2 No Escape,eb4d35bf-2847-4096-9497-2e6a9699a461,FINISHED,982afb9c-3ed0-49b9-a097-3603dfe1e1df,1,2025-12-13T11:17:03.208Z,8cf2e01a-5b8b-436f-95f8-022c6cad2acf,758ae748-3888-4bdf-b4f9-7972a8ac9948,1,5,0,,09a9a487-2505-4fe3-8cf0-05918776ef0c,6bbae723-3f56-4f46-b886-e4f179c50e93,5,7,0,,False,True,6bbae723-3f56-4f46-b886-e4f179c50e93
MirkŁódź Turniej Lokalny DOUBLES Middle-Earth SBG - Grudzień 2025,ac481e37-5906-4ebd-a8c8-3520347742a5,Runda 2 No Escape,eb4d35bf-2847-4096-9497-2e6a9699a461,FINISHED,9fa6afa0-cf9f-4e56-9a5c-ada63b025ca1,2,2025-12-13T11:17:03.208Z,196a4e22-4d7d-42de-91ec-4bf0dfa3b7cf,2dcb6efc-305d-46f5-b777-32b6ba7307ce,6,18,0,,fe0c7519-66b1-4f8c-b5d5-0b55bf90b150,774afb8c-8f87-46dc-823e-a82621336e4f,0,4,0,,True,False,549399ee-ddad-4f74-a61d-02352b425f27
MirkŁódź Turniej Lokalny DOUBLES Middle-Earth SBG - Grudzień 2025,ac481e37-5906-4ebd-a8c8-3520347742a5,Runda 2 No Escape,eb4d35bf-2847-4096-9497-2e6a9699a461,FINISHED,a65b0275-57cf-4093-896c-0348793966ea,3,2025-12-13T11:17:03.208Z,8b5ca3ea-a9af-4abb-af1c-4258a0a89794,549399ee-ddad-4f74-a61d-02352b425f27,6,18,0,,ace49a6f-0d8c-40eb-849a-84228e0bb43e,a7f6afd7-7e8e-4a00-a3ba-fc637ca964fd,0,4,0,,True,False,549399ee-ddad-4f74-a61d-02352b425f27
