Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
 O!RzeszCon - Challenger Middle-Earth SBG w Rzeszowie,603255b5-c86f-4d3f-bc66-6920b6ee0c6d,Runda 4 - Storm the Camp,cdd3ea0c-0194-4fc7-ba06-5e37d9c1fe39,FINISHED,ae9d5bad-21c6-4ea6-9593-a02f217c193e,0,2026-04-25T15:35:08.671Z,6567caff-2022-4961-85dc-15f51163c7ba,396741ce-3694-4877-9603-fe19efd6284f,0.0,-4,4.0,,76f3314a-34b8-47c1-a177-50e94402d70b,6841eef6-931a-4375-ae1b-79843a97a82e,6.0,4,8.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
 O!RzeszCon - Challenger Middle-Earth SBG w Rzeszowie,603255b5-c86f-4d3f-bc66-6920b6ee0c6d,Runda 4 - Storm the Camp,cdd3ea0c-0194-4fc7-ba06-5e37d9c1fe39,FINISHED,97375f65-b66c-4432-b6c9-c749c5925a5b,1,2026-04-25T15:35:08.671Z,3b704b98-493f-4091-b7de-4cc13201202e,47a7936d-530e-4e10-8518-5a51bbe3ff41,5.0,2,3.0,,5a7551e9-d37b-4486-813e-4f10d87821b0,9f838a1a-8b9b-4c57-9faa-251f6768a5e9,1.0,-2,1.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
 O!RzeszCon - Challenger Middle-Earth SBG w Rzeszowie,603255b5-c86f-4d3f-bc66-6920b6ee0c6d,Runda 4 - Storm the Camp,cdd3ea0c-0194-4fc7-ba06-5e37d9c1fe39,FINISHED,e9761aa8-ee28-4d0d-bd79-9580389f3e57,2,2026-04-25T15:35:08.671Z,333d6ea9-3fb3-429a-a25c-df2531667267,0117f017-2d2b-4322-910f-c7c1b3aae435,1.0,-3,0.0,,767aaa11-8a1d-4df3-bcbe-e1ab719c3eec,b6f0e023-257d-472b-af43-78e56d559cae,5.0,3,3.0,,True,False,0117f017-2d2b-4322-910f-c7c1b3aae435
 O!RzeszCon - Challenger Middle-Earth SBG w Rzeszowie,603255b5-c86f-4d3f-bc66-6920b6ee0c6d,Runda 4 - Storm the Camp,cdd3ea0c-0194-4fc7-ba06-5e37d9c1fe39,FINISHED,6ab72615-a063-430a-b5e6-132c72e0d9b6,3,2026-04-25T15:35:08.671Z,8eb70ef2-f9d7-4acf-86d4-f1eb0028e726,9641c0c9-16e9-4bb7-a7f4-e73245f48db2,6.0,7,7.0,,580599e3-367e-4ea7-863c-3676e5529156,b1bfbaa2-786c-45b9-ae49-2d3958b91304,0.0,-7,0.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
 O!RzeszCon - Challenger Middle-Earth SBG w Rzeszowie,603255b5-c86f-4d3f-bc66-6920b6ee0c6d,Runda 4 - Storm the Camp,cdd3ea0c-0194-4fc7-ba06-5e37d9c1fe39,FINISHED,14ea60ba-8196-4dd4-bbe0-b917be659e3e,4,2026-04-25T15:35:08.671Z,973ef72d-c482-4798-95c2-f3dbb3df04c8,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,,-16,1.0,,f80d111d-c367-43db-8953-944adb62909d,1e4b9bdf-6062-4736-aef3-52bc568f8803,6.0,16,17.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
 O!RzeszCon - Challenger Middle-Earth SBG w Rzeszowie,603255b5-c86f-4d3f-bc66-6920b6ee0c6d,Runda 4 - Storm the Camp,cdd3ea0c-0194-4fc7-ba06-5e37d9c1fe39,FINISHED,574254da-516c-432f-88e2-3f85daa246e3,5,2026-04-25T15:35:08.671Z,c3f71ffe-7a72-49e1-be56-136e8498bea9,e98a4dbf-6472-4198-b6b7-1b672e759927,1.0,-2,0.0,,9bb68713-c8ea-42a4-8d66-d159eb355843,274cfa5b-9c85-479e-ad7f-6dd82cd540b1,5.0,2,2.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
 O!RzeszCon - Challenger Middle-Earth SBG w Rzeszowie,603255b5-c86f-4d3f-bc66-6920b6ee0c6d,Runda 4 - Storm the Camp,cdd3ea0c-0194-4fc7-ba06-5e37d9c1fe39,FINISHED,145669eb-8189-4ab8-a568-debdc5120ec7,6,2026-04-25T15:35:08.671Z,46935ba4-7c70-4572-95e5-1a39af821acb,9c29cb2b-a332-4f36-bdf5-25547137af04,1.0,-4,1.0,,3e2e195a-3e49-4009-8608-6d44c5fac7ed,7f22159a-00df-4a00-9aa9-2f36d60d2455,5.0,4,5.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
 O!RzeszCon - Challenger Middle-Earth SBG w Rzeszowie,603255b5-c86f-4d3f-bc66-6920b6ee0c6d,Runda 4 - Storm the Camp,cdd3ea0c-0194-4fc7-ba06-5e37d9c1fe39,FINISHED,2fba527e-8ca1-4630-a0f2-1ab1f01a42c3,7,2026-04-25T15:35:08.671Z,fc17cb88-c659-4c0c-be4e-fe771bae876b,b53a5cfb-2b7b-4bee-8cc1-b544cd0ac8c3,1.0,-2,15.0,,9068271c-83fe-4c04-a3ba-fd91e71bd2d3,2f93e352-e82d-44fc-9695-523112d5471e,5.0,2,17.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
 O!RzeszCon - Challenger Middle-Earth SBG w Rzeszowie,603255b5-c86f-4d3f-bc66-6920b6ee0c6d,Runda 4 - Storm the Camp,cdd3ea0c-0194-4fc7-ba06-5e37d9c1fe39,FINISHED,86ff6324-21b2-4de8-99f0-c57b3e89fc4f,8,2026-04-25T15:35:08.671Z,5036c5d8-a989-4df0-a055-bf716176fd10,d952510e-4cf0-4978-abb8-3d549f9bae89,6.0,20,20.0,,78f90d10-104e-4769-9946-548b9fe825ef,e2970df6-81f0-48df-89ac-2c66a06f30e7,0.0,-20,0.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
 O!RzeszCon - Challenger Middle-Earth SBG w Rzeszowie,603255b5-c86f-4d3f-bc66-6920b6ee0c6d,Runda 4 - Storm the Camp,cdd3ea0c-0194-4fc7-ba06-5e37d9c1fe39,FINISHED,38725ab3-d1b4-40a8-a8e6-5f75755edca2,9,2026-04-25T15:35:08.671Z,4aa95980-db0b-4a1c-8005-e238695b4af5,1857125d-c4f2-4a84-a26c-18ff4acbbcaf,,-10,0.0,,c59715ef-c66b-431d-a2fb-75dea8cb2080,7fc1431b-754b-4862-bb97-6f25f0ec68e3,6.0,10,10.0,,True,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
