Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Road to IMW Khazad - Warszawa Matisoft - 31.01.2026,179b7142-83df-4d57-b693-fe1d4e019cca,Runda 3,9f389b78-d485-4f7f-b6b2-dde681983d7e,FINISHED,94a89ccb-9d1d-4a13-a2b6-df6b73afe67d,0,2026-01-31T13:37:51.666Z,290be22d-d5ca-40da-a7c9-675e0dc8b881,6f641816-8973-4f1f-b906-3b33d5710be9,2.0,1.0,0.0,True,d54a28b8-46b7-4374-a093-1df98b354c2f,4312b892-eb2e-491a-b14a-6f7cff1ab128,7.0,15.0,0.0,False,False,False,4e8fbce8-9600-4b61-af86-6731e366fce3
Road to IMW Khazad - Warszawa Matisoft - 31.01.2026,179b7142-83df-4d57-b693-fe1d4e019cca,Runda 3,9f389b78-d485-4f7f-b6b2-dde681983d7e,FINISHED,f64661bd-cdb3-4352-8fa3-d52f5da20c37,1,2026-01-31T13:37:51.666Z,fad2f939-ae54-45d0-8af0-3069c48b8435,6bec13b2-87d9-4e6d-b7ca-06b9e90bf3ba,4.0,14.0,0.0,,90ad1159-4660-482b-a48a-2efb61c3adce,eacb0c29-8302-462e-9e47-c61d95ce5ff3,3.0,9.0,0.0,,False,False,4e8fbce8-9600-4b61-af86-6731e366fce3
Road to IMW Khazad - Warszawa Matisoft - 31.01.2026,179b7142-83df-4d57-b693-fe1d4e019cca,Runda 3,9f389b78-d485-4f7f-b6b2-dde681983d7e,FINISHED,933feb6e-e8da-47c1-8799-b52acd801c6b,2,2026-01-31T13:37:51.666Z,d784b091-2ccb-4f44-9ff2-3caa3a4246f7,62553300-be05-4e64-a57e-a9d7ea1b9e88,0.0,5.0,0.0,,7b8de9d2-6556-41a3-a6fa-fc50b1ee88e7,65d79b69-8aa1-4001-90a9-babbf3df1486,5.0,16.0,0.0,,False,True,65d79b69-8aa1-4001-90a9-babbf3df1486
Road to IMW Khazad - Warszawa Matisoft - 31.01.2026,179b7142-83df-4d57-b693-fe1d4e019cca,Runda 3,9f389b78-d485-4f7f-b6b2-dde681983d7e,FINISHED,ca430bd0-c6b2-4a3b-897c-96b38152324d,3,2026-01-31T13:37:51.666Z,418e9825-f536-4c18-9891-945880d12f5a,4e8fbce8-9600-4b61-af86-6731e366fce3,7.0,20.0,0.0,True,3ff8257d-c1e4-4abf-9446-f543a7c025bb,8ab9b64e-8486-4613-a82e-8fe6e7741dfd,0.0,0.0,0.0,,True,False,4e8fbce8-9600-4b61-af86-6731e366fce3
Road to IMW Khazad - Warszawa Matisoft - 31.01.2026,179b7142-83df-4d57-b693-fe1d4e019cca,Runda 3,9f389b78-d485-4f7f-b6b2-dde681983d7e,FINISHED,89b4e3ea-abea-413b-8423-883d860c8c35,4,2026-01-31T13:37:51.666Z,66e60254-435e-49cb-94c2-82cd42b68cf2,71f045ad-ce24-4e8b-865a-1dc0f634a42d,4.0,11.0,0.0,,3d02dfa0-64b1-47a4-a8f7-057e20770fda,a46fa07b-c714-4a45-88f8-742a13295b30,2.0,11.0,0.0,,False,False,4e8fbce8-9600-4b61-af86-6731e366fce3
Road to IMW Khazad - Warszawa Matisoft - 31.01.2026,179b7142-83df-4d57-b693-fe1d4e019cca,Runda 3,9f389b78-d485-4f7f-b6b2-dde681983d7e,FINISHED,d842c961-677e-4aea-88a7-f7daedb5d1f5,5,2026-01-31T13:37:51.666Z,0f28b15e-ec8a-460e-81c8-e9e64f57fc13,7ca2b5ee-c648-4e98-bcba-50d159612ecc,4.0,12.0,0.0,,2997125e-d50a-43e4-9469-ba3112c33eed,7d79e669-7010-4328-bbf5-3f7203dddd9a,3.0,8.0,0.0,,False,False,4e8fbce8-9600-4b61-af86-6731e366fce3
Road to IMW Khazad - Warszawa Matisoft - 31.01.2026,179b7142-83df-4d57-b693-fe1d4e019cca,Runda 3,9f389b78-d485-4f7f-b6b2-dde681983d7e,FINISHED,65774c04-c6c8-4f83-97c1-65c0b26c09d1,6,2026-01-31T13:37:51.666Z,305eed61-8602-4368-a6d3-27b69bdeece5,1e2ff82c-8d15-489c-bbfd-dca8a2156d20,6.0,13.0,0.0,False,e0826f89-7fff-4695-8b57-aea76c8c5dc7,bbe7d7b9-232d-4b4d-a17a-5f4c72ea758b,3.0,8.0,0.0,False,False,False,4e8fbce8-9600-4b61-af86-6731e366fce3
Road to IMW Khazad - Warszawa Matisoft - 31.01.2026,179b7142-83df-4d57-b693-fe1d4e019cca,Runda 3,9f389b78-d485-4f7f-b6b2-dde681983d7e,FINISHED,6556e8d2-c07b-4f84-a72b-5670670759d4,7,2026-01-31T13:37:51.666Z,92a4f455-a623-4d0e-a9af-30a2dc3c5360,ee464e92-081c-4c11-8d90-b4ff4247860d,4.0,11.0,0.0,,9ddffef5-ad58-4270-87ed-acf42f869710,73f80d9a-d045-4f2b-b7b7-44c58d10b2d1,1.0,6.0,0.0,,True,False,ee464e92-081c-4c11-8d90-b4ff4247860d
Road to IMW Khazad - Warszawa Matisoft - 31.01.2026,179b7142-83df-4d57-b693-fe1d4e019cca,Runda 3,9f389b78-d485-4f7f-b6b2-dde681983d7e,FINISHED,74c58f8f-d442-4e98-a151-5b5b943ad9a4,8,2026-01-31T13:37:51.666Z,b9296b74-cc8a-4624-ae93-64fd2df6a9bc,895bc3ea-9c6a-4be4-a324-15380d10023f,1.0,9.0,0.0,,f8bde74b-3137-4357-8d20-db32f812efd0,fc60a35f-b85a-4f89-a673-8bd5a653504b,6.0,13.0,0.0,,False,False,4e8fbce8-9600-4b61-af86-6731e366fce3
Road to IMW Khazad - Warszawa Matisoft - 31.01.2026,179b7142-83df-4d57-b693-fe1d4e019cca,Runda 3,9f389b78-d485-4f7f-b6b2-dde681983d7e,FINISHED,e848d528-4860-4e7b-8163-dfb7308b5322,9,2026-01-31T13:37:51.666Z,327a735b-a38c-42b3-91e9-5fcb3024d0f5,b1d5897e-c692-4f52-99bf-1be1ffa3d40e,6.0,,,,,,,,,,False,False,4e8fbce8-9600-4b61-af86-6731e366fce3
