Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Rybnickie Łowy - Lipiec,49a344ed-b263-4bb1-b0d8-46dd46358002,Runda 1,51213a52-d62d-48c3-8846-f7e0f3d500ed,FINISHED,10044a4f-0c9a-441f-9832-5d465004a2e8,0,2026-07-16T23:26:35.427Z,3c879c9d-9050-438e-9f34-2746748a9ff0,77909618-f8dc-4991-922b-1e21528fbcde,5,6,0.0,True,bd5618b7-65dc-474d-af80-ef29f258da6f,a4179cf5-0caa-450b-8b1d-8331298d0ee1,11,10,0.0,True,False,True,a4179cf5-0caa-450b-8b1d-8331298d0ee1
Rybnickie Łowy - Lipiec,49a344ed-b263-4bb1-b0d8-46dd46358002,Runda 1,51213a52-d62d-48c3-8846-f7e0f3d500ed,FINISHED,9245fd05-47fc-4953-b898-89cad8765ee1,1,2026-07-16T23:26:35.427Z,9a9d99da-8432-443d-9987-9c1365774f05,76870d30-055b-4a89-a141-78ef032269f2,11,9,0.0,False,48610c32-e227-4e3f-b8e1-cfad5510c5ed,d46af0a2-c60d-45ef-9286-540bdc4ee510,5,6,0.0,True,True,False,76870d30-055b-4a89-a141-78ef032269f2
Rybnickie Łowy - Lipiec,49a344ed-b263-4bb1-b0d8-46dd46358002,Runda 1,51213a52-d62d-48c3-8846-f7e0f3d500ed,FINISHED,172369b4-46d1-4a4a-9021-dfd474b8a320,2,2026-07-16T23:26:35.427Z,08f8ee75-55a3-451c-aa4a-40cdb70d64c3,1f51b345-c749-4ebb-a4ae-cd40e4bd2b37,5,4,,,563d2f70-cd5e-483b-8df6-d5bd1056856d,9acacf31-d8da-4104-a8e3-5a8b19ab96f0,11,9,,,False,False,d46af0a2-c60d-45ef-9286-540bdc4ee510
Rybnickie Łowy - Lipiec,49a344ed-b263-4bb1-b0d8-46dd46358002,Runda 1,51213a52-d62d-48c3-8846-f7e0f3d500ed,FINISHED,64f9f5ba-7654-4571-81ac-c32443e13289,3,2026-07-16T23:26:35.427Z,fba497fc-706c-4b22-a51b-ddcb28a36aa0,987fa345-8622-4702-a59f-71f0c10c6e0a,0,0,0.0,,23d06107-7e8b-40aa-ad06-26a51a0d4c3d,9d5bc521-d1ac-416e-952c-926b6aef9e60,15,11,0.0,,False,True,9d5bc521-d1ac-416e-952c-926b6aef9e60
Rybnickie Łowy - Lipiec,49a344ed-b263-4bb1-b0d8-46dd46358002,Runda 1,51213a52-d62d-48c3-8846-f7e0f3d500ed,FINISHED,87e6917a-7cfe-4684-83d5-b645cf0dffd4,4,2026-07-16T23:26:35.427Z,b596ee15-d9b2-4434-aa97-28ebbe34f9c2,4eeae4b0-7922-4c5c-81d6-d8ed10484545,5,1,0.0,,49e851a9-a326-40d2-8db9-56ddcbe9d3aa,a5f615bb-a42a-4084-98e7-426a4b15d6ac,11,2,0.0,,False,True,a5f615bb-a42a-4084-98e7-426a4b15d6ac
Rybnickie Łowy - Lipiec,49a344ed-b263-4bb1-b0d8-46dd46358002,Runda 1,51213a52-d62d-48c3-8846-f7e0f3d500ed,FINISHED,b649bb0d-f670-4fcf-96f7-739b7f4e5038,5,2026-07-16T23:26:35.427Z,ad94ad8c-42f5-4075-916e-32e1b2b6f9bd,addf7c1a-9d70-4bf7-b1fa-0dfdec7e437f,11,7,0.0,,58857f12-a56b-43ad-970b-1ec1dcf5e84a,6841eef6-931a-4375-ae1b-79843a97a82e,5,6,0.0,,False,True,6841eef6-931a-4375-ae1b-79843a97a82e
Rybnickie Łowy - Lipiec,49a344ed-b263-4bb1-b0d8-46dd46358002,Runda 2,72da0aa3-bb1d-4ac3-8550-b11a069f6915,FINISHED,6ede69c0-a30a-4565-8c33-9f9a6d72042c,0,2026-07-18T10:17:26.448Z,fd7cc18b-041c-47cb-bc69-0bce0ce9cc39,9d5bc521-d1ac-416e-952c-926b6aef9e60,11,2,0.0,,eb936063-58a5-4f94-8ad2-4910246c7583,a4179cf5-0caa-450b-8b1d-8331298d0ee1,5,1,0.0,False,True,False,9d5bc521-d1ac-416e-952c-926b6aef9e60
Rybnickie Łowy - Lipiec,49a344ed-b263-4bb1-b0d8-46dd46358002,Runda 2,72da0aa3-bb1d-4ac3-8550-b11a069f6915,FINISHED,c6d84244-0114-4e98-ad70-c3a6e800707d,1,2026-07-18T10:17:26.448Z,be5e7fcd-df50-4ed9-89f5-68e57c1ef9f2,76870d30-055b-4a89-a141-78ef032269f2,15,13,0.0,True,42c62391-6b59-4555-bf0b-ab003abe62e7,9acacf31-d8da-4104-a8e3-5a8b19ab96f0,0,5,0.0,False,True,False,76870d30-055b-4a89-a141-78ef032269f2
Rybnickie Łowy - Lipiec,49a344ed-b263-4bb1-b0d8-46dd46358002,Runda 2,72da0aa3-bb1d-4ac3-8550-b11a069f6915,FINISHED,e0183865-6bb9-4299-8e74-92de2e3b8202,2,2026-07-18T10:17:26.448Z,2a98152f-27e0-456a-b9fb-21219fc80526,addf7c1a-9d70-4bf7-b1fa-0dfdec7e437f,5,10,0.0,,bf027119-59b6-4b0a-b6f8-5c35dadaa493,a5f615bb-a42a-4084-98e7-426a4b15d6ac,11,12,0.0,,False,True,a5f615bb-a42a-4084-98e7-426a4b15d6ac
Rybnickie Łowy - Lipiec,49a344ed-b263-4bb1-b0d8-46dd46358002,Runda 2,72da0aa3-bb1d-4ac3-8550-b11a069f6915,FINISHED,3c29115b-1fb7-4214-9164-6643b8879f00,3,2026-07-18T10:17:26.448Z,af3c8807-13a5-40ae-862c-d35df12b7398,6841eef6-931a-4375-ae1b-79843a97a82e,11,11,,,2063c9e4-5e91-4d27-b57d-c9f93bfd69fa,1f51b345-c749-4ebb-a4ae-cd40e4bd2b37,5,8,,,False,False,d46af0a2-c60d-45ef-9286-540bdc4ee510
