Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Rybnickie Łowy - Sierpień 2026,596aceed-32a9-453a-9af4-48170d685a5c,Runda 1,41b79b19-09a3-46ea-beb1-ba763d76ec26,FINISHED,43a0770f-8500-49bd-a32f-5344cf9f0b74,0,2026-08-22T05:55:28.610Z,1e67c9eb-3307-44c9-a870-d69f48870ddc,76870d30-055b-4a89-a141-78ef032269f2,0,4,0,,472be921-de06-4160-841e-3e5602b66665,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0,15,18,0,True,False,True,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0
Rybnickie Łowy - Sierpień 2026,596aceed-32a9-453a-9af4-48170d685a5c,Runda 1,41b79b19-09a3-46ea-beb1-ba763d76ec26,FINISHED,79c0a5e4-798c-471d-b63b-f2c931798368,1,2026-08-22T05:55:28.610Z,11571176-f3b6-4aa1-b05f-e6652c58a8b3,9d5bc521-d1ac-416e-952c-926b6aef9e60,11,4,0,False,f61cc14d-dc73-4385-a301-fe7dbf16a4a3,5de541e0-dfa6-4c41-b224-90684a3b5e1c,5,1,0,True,True,True,9d5bc521-d1ac-416e-952c-926b6aef9e60
Rybnickie Łowy - Sierpień 2026,596aceed-32a9-453a-9af4-48170d685a5c,Runda 1,41b79b19-09a3-46ea-beb1-ba763d76ec26,FINISHED,73d35215-65aa-44c7-a0bb-a542de57a333,2,2026-08-22T05:55:28.610Z,5e17c399-4a7c-480c-a82d-60a95f441d4f,9acacf31-d8da-4104-a8e3-5a8b19ab96f0,0,0,0,True,7218f2a0-083c-4043-a0f5-c7f593b275f5,a4179cf5-0caa-450b-8b1d-8331298d0ee1,15,20,0,,False,True,a4179cf5-0caa-450b-8b1d-8331298d0ee1
Rybnickie Łowy - Sierpień 2026,596aceed-32a9-453a-9af4-48170d685a5c,Runda 1,41b79b19-09a3-46ea-beb1-ba763d76ec26,FINISHED,d497a509-c447-4511-b63b-f03cca2343b8,3,2026-08-22T05:55:28.610Z,92e69ed9-4d51-40d8-8c2e-25bc8082daf4,f5bcca05-14a2-4c47-8a81-379d5c4ee992,15,14,0,,b50bc3da-48cd-44a3-8cbc-282f4b37679a,addf7c1a-9d70-4bf7-b1fa-0dfdec7e437f,0,6,0,False,True,False,f5bcca05-14a2-4c47-8a81-379d5c4ee992
Rybnickie Łowy - Sierpień 2026,596aceed-32a9-453a-9af4-48170d685a5c,Runda 1,41b79b19-09a3-46ea-beb1-ba763d76ec26,FINISHED,fc9c2e7b-6f2e-41d5-813a-f300644e5697,4,2026-08-22T05:55:28.610Z,c7e08a72-e77c-4cb5-a47b-385d2e213ea7,1f51b345-c749-4ebb-a4ae-cd40e4bd2b37,0,1,0,,e57731b1-9dd2-4e35-ab16-752cb55be610,bddd8ac9-5247-4f0a-9a17-4ac7bea1812a,15,11,0,,False,True,bddd8ac9-5247-4f0a-9a17-4ac7bea1812a
Rybnickie Łowy - Sierpień 2026,596aceed-32a9-453a-9af4-48170d685a5c,Runda 1,41b79b19-09a3-46ea-beb1-ba763d76ec26,FINISHED,7f923707-26e4-46fc-8251-b9b36f6caa05,5,2026-08-22T05:55:28.610Z,861a7a7d-8424-4e59-9657-678bebf425a6,77909618-f8dc-4991-922b-1e21528fbcde,0,0,0,,6e8d9995-29b6-4173-9354-451a95436ad6,0bfb2478-4d20-4d4b-8371-cdf968ed3447,15,11,0,False,False,True,0bfb2478-4d20-4d4b-8371-cdf968ed3447
Rybnickie Łowy - Sierpień 2026,596aceed-32a9-453a-9af4-48170d685a5c,Runda 2,5dde1154-fbb2-4ac7-aa1e-e147ee70212c,FINISHED,90e0a556-7b4b-4154-b811-54e34fd808cc,0,2026-08-23T10:21:24.754Z,e2211247-3ba0-49de-b55f-86706316d078,a4179cf5-0caa-450b-8b1d-8331298d0ee1,0,1,0,,0108834b-7f73-43fe-9f0a-d15cc21a5bcb,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0,15,20,0,True,False,True,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0
Rybnickie Łowy - Sierpień 2026,596aceed-32a9-453a-9af4-48170d685a5c,Runda 2,5dde1154-fbb2-4ac7-aa1e-e147ee70212c,FINISHED,b0890a56-060f-440a-863c-8fa91c13b3ee,1,2026-08-23T10:21:24.754Z,ac83f24b-b6b2-4ed4-bb71-c83119ebf6b9,f5bcca05-14a2-4c47-8a81-379d5c4ee992,15,12,0,,032251d9-3177-40e7-8f30-6a87abbe0540,0bfb2478-4d20-4d4b-8371-cdf968ed3447,0,0,0,False,True,False,f5bcca05-14a2-4c47-8a81-379d5c4ee992
Rybnickie Łowy - Sierpień 2026,596aceed-32a9-453a-9af4-48170d685a5c,Runda 2,5dde1154-fbb2-4ac7-aa1e-e147ee70212c,FINISHED,e648e6e7-61bf-41a5-a3c0-cdb3b772b15e,2,2026-08-23T10:21:24.754Z,e19d27aa-1579-4ae0-ac8f-d67e0ac1f961,bddd8ac9-5247-4f0a-9a17-4ac7bea1812a,5,3,0,,57192bef-cc81-445a-8439-9d5491b486fc,9d5bc521-d1ac-416e-952c-926b6aef9e60,11,6,0,False,False,True,9d5bc521-d1ac-416e-952c-926b6aef9e60
Rybnickie Łowy - Sierpień 2026,596aceed-32a9-453a-9af4-48170d685a5c,Runda 2,5dde1154-fbb2-4ac7-aa1e-e147ee70212c,FINISHED,2ef9ba7e-634a-45ce-81c0-a98cca25ef02,3,2026-08-23T10:21:24.754Z,c4b159a4-d451-4e0a-b7ab-0a8887ccfdc3,5de541e0-dfa6-4c41-b224-90684a3b5e1c,5,6,0,True,45f844ca-1778-4cb3-889a-e9860c78e03c,addf7c1a-9d70-4bf7-b1fa-0dfdec7e437f,11,7,0,False,True,False,5de541e0-dfa6-4c41-b224-90684a3b5e1c
