Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
SIERPNIOWY Turniej Middle-Earth SBG w Rzeszowie,78d8b5d5-0406-475d-89ad-851e89d4d955,Runda 1,e13995a5-ab2a-458b-963a-8372cda07c89,FINISHED,7e472148-3946-4938-9865-944f936f15da,0,2026-08-29T14:11:32.008Z,0e8e570b-cde8-481b-8da2-e150cbd4561f,b746219c-415e-46e0-8143-e8cbc9ae71d0,1,13,,,44b8dbce-529b-4c07-98c7-88245e1af48b,0117f017-2d2b-4322-910f-c7c1b3aae435,5,14,,,False,True,0117f017-2d2b-4322-910f-c7c1b3aae435
SIERPNIOWY Turniej Middle-Earth SBG w Rzeszowie,78d8b5d5-0406-475d-89ad-851e89d4d955,Runda 1,e13995a5-ab2a-458b-963a-8372cda07c89,FINISHED,c0eb1cdc-85d5-4a0d-83fa-69a3b160bc66,1,2026-08-29T14:11:32.008Z,80d6f84c-7062-47ed-b6db-260bf471af35,ff683689-6a31-40d7-8068-f1801f077caf,5,5,0.0,False,24db8c1e-db68-47e8-af8b-ce635fe43f59,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,1,3,0.0,,False,True,7508e7c6-6d9d-46a3-a29f-dc70f0917a46
SIERPNIOWY Turniej Middle-Earth SBG w Rzeszowie,78d8b5d5-0406-475d-89ad-851e89d4d955,Runda 1,e13995a5-ab2a-458b-963a-8372cda07c89,FINISHED,9a7eb85f-3926-4b55-a2cd-d928c3f8dead,2,2026-08-29T14:11:32.008Z,7bf43739-b90d-4425-8ae4-7fd03a654c79,59f1887d-be00-4032-9f3f-45c0f6a8ea6b,2,9,,,8725afba-63b2-4d3b-bc8b-04d5c7263490,b1bfbaa2-786c-45b9-ae49-2d3958b91304,2,9,,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
SIERPNIOWY Turniej Middle-Earth SBG w Rzeszowie,78d8b5d5-0406-475d-89ad-851e89d4d955,Runda 1,e13995a5-ab2a-458b-963a-8372cda07c89,FINISHED,aa0218e1-b9be-412f-b598-a1608dfbea7c,3,2026-08-29T14:11:32.008Z,113b6aaa-1328-4c50-9b3a-8d4b4d9c4b80,b6f0e023-257d-472b-af43-78e56d559cae,6,14,,,6e45423d-0e87-4f78-925f-3e6abac34e35,9f838a1a-8b9b-4c57-9faa-251f6768a5e9,0,4,,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
SIERPNIOWY Turniej Middle-Earth SBG w Rzeszowie,78d8b5d5-0406-475d-89ad-851e89d4d955,Runda 2,8ef717f2-1d4b-46bf-95ba-ab5efb808946,FINISHED,8cecd49e-ead3-4731-bece-593a230b8197,0,2026-08-30T12:26:30.209Z,3d71f67b-859d-43cb-8ef1-353639df0fc1,b6f0e023-257d-472b-af43-78e56d559cae,6,13,,,94da4aac-2f69-4a36-ad75-f05ca26d3493,0117f017-2d2b-4322-910f-c7c1b3aae435,0,3,,,False,True,0117f017-2d2b-4322-910f-c7c1b3aae435
SIERPNIOWY Turniej Middle-Earth SBG w Rzeszowie,78d8b5d5-0406-475d-89ad-851e89d4d955,Runda 2,8ef717f2-1d4b-46bf-95ba-ab5efb808946,FINISHED,910ad066-dbce-46de-a2b2-65ead7830f0d,1,2026-08-30T12:26:30.209Z,cae0049c-3abe-46f9-9911-2f094c3e4a73,ff683689-6a31-40d7-8068-f1801f077caf,6,15,,,bc74d0e1-6721-4776-9d21-e245334667cb,b1bfbaa2-786c-45b9-ae49-2d3958b91304,0,0,,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
SIERPNIOWY Turniej Middle-Earth SBG w Rzeszowie,78d8b5d5-0406-475d-89ad-851e89d4d955,Runda 2,8ef717f2-1d4b-46bf-95ba-ab5efb808946,FINISHED,47f7c87b-1f8a-4053-bd30-1fdc07f232db,2,2026-08-30T12:26:30.209Z,90fcaf22-36ca-46c8-8854-285e05557968,59f1887d-be00-4032-9f3f-45c0f6a8ea6b,0,0,0.0,,59a3e51e-e826-4cb3-9101-a8bd23c56044,b746219c-415e-46e0-8143-e8cbc9ae71d0,6,17,0.0,,False,True,b746219c-415e-46e0-8143-e8cbc9ae71d0
SIERPNIOWY Turniej Middle-Earth SBG w Rzeszowie,78d8b5d5-0406-475d-89ad-851e89d4d955,Runda 2,8ef717f2-1d4b-46bf-95ba-ab5efb808946,FINISHED,527718f5-0af5-4246-8ae2-3f86821642c1,3,2026-08-30T12:26:30.209Z,b9127a33-5336-44b2-81e3-5bec149ffc46,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,0,2,0.0,,8e10124e-d455-4d64-a7e8-c708503fbbd3,9f838a1a-8b9b-4c57-9faa-251f6768a5e9,6,11,0.0,,False,True,9f838a1a-8b9b-4c57-9faa-251f6768a5e9
SIERPNIOWY Turniej Middle-Earth SBG w Rzeszowie,78d8b5d5-0406-475d-89ad-851e89d4d955,Runda 3,e6f8760c-3073-4206-9b8c-5a44f9842f26,FINISHED,f3cbb15b-5733-4c6a-b9b0-2d09c89b07c7,0,2026-08-30T13:04:10.636Z,743afddd-98af-44ff-8e88-1192ac680831,b6f0e023-257d-472b-af43-78e56d559cae,0,5,0.0,False,237c1c6b-e866-4c4b-9a9d-543db65a4b46,ff683689-6a31-40d7-8068-f1801f077caf,6,12,0.0,True,False,True,ff683689-6a31-40d7-8068-f1801f077caf
SIERPNIOWY Turniej Middle-Earth SBG w Rzeszowie,78d8b5d5-0406-475d-89ad-851e89d4d955,Runda 3,e6f8760c-3073-4206-9b8c-5a44f9842f26,FINISHED,fe1d9af9-c5e9-4dfb-9868-f02032c95d91,1,2026-08-30T13:04:10.636Z,89518b64-0a26-415d-9ddd-ef12525e5ec0,b746219c-415e-46e0-8143-e8cbc9ae71d0,0,2,0.0,,4cc8ccdc-c90e-4ab4-9e00-a79c7808196f,9f838a1a-8b9b-4c57-9faa-251f6768a5e9,6,15,0.0,,False,True,9f838a1a-8b9b-4c57-9faa-251f6768a5e9
