Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Kwiecień - Kuźnia,eb7459d8-9834-4795-82f3-a0bd1908ef0a,Runda 3 - Unique,a3197f80-69e5-4a62-9e2e-a5eddf242bf1,FINISHED,041c509d-0c11-48b4-abca-9d1611cd7e8f,0,2026-04-25T12:08:42.728Z,b3ccac3b-afc3-40fd-9d1e-bb2c107b94bb,f9ef5a6b-7fb2-4b2f-aacb-7b10bdf4e06c,-16,,1.0,,dd1c982a-1745-4d31-be72-c9443228e61d,8076af08-a8fe-455c-8c1a-2e5d7f2ad3eb,616,6.0,17.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Kwiecień - Kuźnia,eb7459d8-9834-4795-82f3-a0bd1908ef0a,Runda 3 - Unique,a3197f80-69e5-4a62-9e2e-a5eddf242bf1,FINISHED,c52efd04-2628-4b2a-afca-1f4926007c31,1,2026-04-25T12:08:42.728Z,969bc04f-c002-4ee0-9e08-fed5d3db9b74,4c85220b-667f-4d0b-b719-9c9ae145792d,606,6.0,7.0,,a6ec20c9-383a-4311-9878-eb88a3cd9adf,83f6f224-a83f-4b8a-8284-e19085482720,-6,0.0,1.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Kwiecień - Kuźnia,eb7459d8-9834-4795-82f3-a0bd1908ef0a,Runda 3 - Unique,a3197f80-69e5-4a62-9e2e-a5eddf242bf1,FINISHED,d945ebbc-c240-4f28-b5a4-00dc646ac8c1,2,2026-04-25T12:08:42.728Z,5316c1a3-8d88-4e7c-ba66-6af65232da5e,081b732c-68ef-4404-bf2c-b56519b96acd,93,1.0,11.0,,5b99d71c-5153-43f2-8d3a-72f0c8670240,809fc623-68b5-4bf3-933b-81f3ab3b689f,507,5.0,18.0,,True,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Kwiecień - Kuźnia,eb7459d8-9834-4795-82f3-a0bd1908ef0a,Runda 3 - Unique,a3197f80-69e5-4a62-9e2e-a5eddf242bf1,FINISHED,97fe8fab-aa17-4922-871a-78454dc714dd,3,2026-04-25T12:08:42.728Z,e3fdae92-b1a5-485a-a7da-0079d8bdfb7c,bbbe191e-78cb-42d6-acc6-fd53718b1fd2,604,6.0,8.0,,073a9dce-909b-4c69-860f-fc43c589481e,b0eedad6-3e96-47d3-a85d-4d3f56d1acb3,-4,0.0,4.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Kwiecień - Kuźnia,eb7459d8-9834-4795-82f3-a0bd1908ef0a,Runda 3 - Unique,a3197f80-69e5-4a62-9e2e-a5eddf242bf1,FINISHED,45beadb3-4fe6-45db-8c39-2907c588fc29,4,2026-04-25T12:08:42.728Z,edc18ecc-e00f-4469-8a5b-2c35e161d65b,cb518781-9079-4152-8521-cccd862ff1d3,-3,,3.0,,e3e19649-b4fb-4ece-b8fb-3cb7738746ce,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,603,6.0,6.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Kwiecień - Kuźnia,eb7459d8-9834-4795-82f3-a0bd1908ef0a,Runda 3 - Unique,a3197f80-69e5-4a62-9e2e-a5eddf242bf1,FINISHED,21c14050-936c-4c73-abc5-401fbbf75bfa,5,2026-04-25T12:08:42.728Z,548a5810-8da1-4ae7-83e3-a71645e0fe87,6a2a00f2-2511-49bb-abf4-034ba4382126,-7,0.0,6.0,True,ff3493b1-ebab-480e-9ecc-cd4138e2d71b,448193ff-e2b4-4650-898a-1dd8dc3fd5e1,607,6.0,13.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Kwiecień - Kuźnia,eb7459d8-9834-4795-82f3-a0bd1908ef0a,Runda 3 - Unique,a3197f80-69e5-4a62-9e2e-a5eddf242bf1,FINISHED,1ecd6348-2d10-428a-bb14-ec337f8edc01,6,2026-04-25T12:08:42.728Z,e7bd1963-9881-4743-a0d0-f741ff41cf47,095ad3bd-bb04-427f-895f-fed58fe31237,604,6.0,8.0,,10fc4ccf-4a63-4fa4-b8b1-a0b69485fae2,d6fa65f5-0af3-4f67-ab45-015c121507f0,-4,0.0,4.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Kwiecień - Kuźnia,eb7459d8-9834-4795-82f3-a0bd1908ef0a,Runda 3 - Unique,a3197f80-69e5-4a62-9e2e-a5eddf242bf1,FINISHED,e0eca22e-8744-45fa-b3a2-1d545c5112e1,7,2026-04-25T12:08:42.728Z,0b230cca-358b-4ef0-a255-0a6348ea95c1,18bc28b3-714d-4a11-972d-514a54145413,200,2.0,8.0,True,c134b784-6d96-4539-b504-7b149b819b41,639fe636-9845-4b28-8d36-0a0ea855edeb,200,2.0,8.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Kwiecień - Kuźnia,eb7459d8-9834-4795-82f3-a0bd1908ef0a,Runda 3 - Unique,a3197f80-69e5-4a62-9e2e-a5eddf242bf1,FINISHED,8fc1143a-96d2-432e-9ae3-b26bbff40e18,8,2026-04-25T12:08:42.728Z,f72d5af5-f422-47d9-ba86-1666b439c5c6,6e8fd6ad-52e1-4877-84dc-2fce2d7ab7da,607,6.0,13.0,,0c474f60-c0c3-45ad-bbd3-093b5236c15e,feae9d4e-3e5c-465a-ad1e-b165f644f16f,-7,0.0,6.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Kwiecień - Kuźnia,eb7459d8-9834-4795-82f3-a0bd1908ef0a,Runda 3 - Unique,a3197f80-69e5-4a62-9e2e-a5eddf242bf1,FINISHED,af741ec6-a16d-4da8-8475-baae91dd338f,9,2026-04-25T12:08:42.728Z,e58b1b48-ce6a-409e-a21e-994b7ab32597,68431330-4907-4fe2-91af-e912792c5c68,-19,,1.0,,e6e588de-701f-497c-bcef-cf737d1342d8,795b46a8-5f87-4929-9f90-8af5cf04da90,619,6.0,20.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Kwiecień - Kuźnia,eb7459d8-9834-4795-82f3-a0bd1908ef0a,Runda 3 - Unique,a3197f80-69e5-4a62-9e2e-a5eddf242bf1,FINISHED,939012ac-6e93-43bf-9ffc-500597fae74e,10,2026-04-25T12:08:42.728Z,9472eab7-762f-4c39-836b-3fb20fdc169e,88a0792c-284c-4c37-927d-76b33a4b87e3,610,6.0,15.0,,e92fa1a1-9819-40ee-afc7-85ea742a0b61,02e912fd-a2c2-4725-a3a6-e9d4fea52a31,-10,0.0,5.0,True,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Kwiecień - Kuźnia,eb7459d8-9834-4795-82f3-a0bd1908ef0a,Runda 3 - Unique,a3197f80-69e5-4a62-9e2e-a5eddf242bf1,FINISHED,b1b730c9-8f7a-4f47-825a-cbb627b3f3e4,11,2026-04-25T12:08:42.728Z,e5f4d32b-9650-4f4a-a738-dcd35a46a3db,2a392470-f47d-4fff-a8b9-37d9cbbe2361,0,0.0,0.0,,bb06ece1-555a-4831-8f88-eb46cd558ca2,22a23162-8fd8-4dcc-833c-430aafa67491,0,0.0,,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Kwiecień - Kuźnia,eb7459d8-9834-4795-82f3-a0bd1908ef0a,Runda 2 - Kill the Enemy (2),2b06eedb-5186-4894-a59c-4906ba972afd,FINISHED,dae98bb2-2b92-4ac9-82b3-3e075b60614a,0,2026-04-25T09:43:38.137Z,6520384c-6ff9-4a95-b4d8-537d6cd6757d,b0eedad6-3e96-47d3-a85d-4d3f56d1acb3,-4,0.0,4.0,,a6d1d206-a31f-4216-a56a-7d36f2805443,f9ef5a6b-7fb2-4b2f-aacb-7b10bdf4e06c,604,6.0,8.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
