Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Luty - Kuźnia,cc952ec1-c39f-4f16-bf50-87dee47fc46e,Runda 3,21f291c3-fae0-4564-bfcf-e7f903c23e7a,FINISHED,cd950b90-0774-4cb9-9b38-977128d8a689,0,2026-02-28T13:07:08.131Z,4a8a53d6-a1fb-4395-862b-71ce19747cba,9da2af4f-72f3-41ac-94ab-f4d0f86de13d,-4,0.0,4.0,,40da3ab3-787a-4161-9543-aed7afb6db96,8076af08-a8fe-455c-8c1a-2e5d7f2ad3eb,604.0,6.0,8.0,True,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Luty - Kuźnia,cc952ec1-c39f-4f16-bf50-87dee47fc46e,Runda 3,21f291c3-fae0-4564-bfcf-e7f903c23e7a,FINISHED,9cbd49db-bea1-4216-a2e2-8f87e8780060,1,2026-02-28T13:07:08.131Z,bf106b2e-6361-409d-ab0e-61e2783a7088,081b732c-68ef-4404-bf2c-b56519b96acd,-13,0.0,0.0,,fc4a270d-0b50-4948-add4-fa3911041167,d1928738-701d-4759-abe9-ff1123a28015,613.0,6.0,13.0,True,True,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Luty - Kuźnia,cc952ec1-c39f-4f16-bf50-87dee47fc46e,Runda 3,21f291c3-fae0-4564-bfcf-e7f903c23e7a,FINISHED,2b24fb84-8a48-4153-b6d8-3d65f8c3901e,2,2026-02-28T13:07:08.131Z,e600aa78-8696-4cb7-8083-86411c04d06c,b746219c-415e-46e0-8143-e8cbc9ae71d0,-8,0.0,2.0,,78f8fe8e-c91c-4e89-a391-c7d3648c2869,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b,608.0,6.0,10.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Luty - Kuźnia,cc952ec1-c39f-4f16-bf50-87dee47fc46e,Runda 3,21f291c3-fae0-4564-bfcf-e7f903c23e7a,FINISHED,4a96c96d-f31b-4714-92cc-7ef98aa5ffe2,3,2026-02-28T13:07:08.131Z,69b95473-cbcd-4fdc-9111-eed0083bee6a,24a267fb-e04e-436d-9858-d39a88afbabf,-16,0.0,1.0,,ebf1c50e-22d0-4a80-8752-2d928e4d234a,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,616.0,6.0,17.0,False,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Luty - Kuźnia,cc952ec1-c39f-4f16-bf50-87dee47fc46e,Runda 3,21f291c3-fae0-4564-bfcf-e7f903c23e7a,FINISHED,d15b5bd3-3bc6-43d4-a336-4ab93c8f28d9,4,2026-02-28T13:07:08.131Z,a7a19b12-82aa-4749-b557-96f1b2f8b355,8cae570b-5e2b-4729-bea2-c07fe31fb4ab,-10,0.0,3.0,,f4715bc8-bbb0-4ddc-8dfb-c56ab600194d,b0eedad6-3e96-47d3-a85d-4d3f56d1acb3,610.0,6.0,13.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Luty - Kuźnia,cc952ec1-c39f-4f16-bf50-87dee47fc46e,Runda 3,21f291c3-fae0-4564-bfcf-e7f903c23e7a,FINISHED,5b280114-8cde-47d3-ac97-9370aa5f0a81,5,2026-02-28T13:07:08.131Z,6fdab42f-926c-484c-9702-e035f7295ef6,fd60fbcb-36b7-4638-9d8f-4bce3e341ccf,616,6.0,16.0,,3d4e761d-b780-4ff7-a27d-3bae33e387c8,3095fe86-18e4-4b0b-a307-f5b638304cb5,-16.0,,0.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Luty - Kuźnia,cc952ec1-c39f-4f16-bf50-87dee47fc46e,Runda 3,21f291c3-fae0-4564-bfcf-e7f903c23e7a,FINISHED,b831fc5d-86a8-4e94-9cb0-0ce321c08d96,6,2026-02-28T13:07:08.131Z,d71a66d1-5cdb-4328-8fe6-1a31c7e21fdd,1e4b9bdf-6062-4736-aef3-52bc568f8803,-12,,,,59342e5e-5ffc-4b53-b271-ce169b110162,6a2a00f2-2511-49bb-abf4-034ba4382126,612.0,6.0,12.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Luty - Kuźnia,cc952ec1-c39f-4f16-bf50-87dee47fc46e,Runda 3,21f291c3-fae0-4564-bfcf-e7f903c23e7a,FINISHED,a391bb2c-04e8-4082-8f52-04e8cf10becd,7,2026-02-28T13:07:08.131Z,f67d23ee-65f9-447d-a032-924b1aa7d356,d6fa65f5-0af3-4f67-ab45-015c121507f0,607,6.0,7.0,,f6b9f63f-7979-4226-809a-74a3b9f10f48,6428ec89-3465-476c-afec-805e603b095f,-7.0,0.0,0.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Luty - Kuźnia,cc952ec1-c39f-4f16-bf50-87dee47fc46e,Runda 3,21f291c3-fae0-4564-bfcf-e7f903c23e7a,FINISHED,a1c4c688-36ec-4a7b-a9bf-892923e870fa,8,2026-02-28T13:07:08.131Z,df68ceb1-3a45-4522-9e3a-2ac90607a209,feae9d4e-3e5c-465a-ad1e-b165f644f16f,605,6.0,8.0,True,72b0d61f-6607-4083-8d17-4d0262379c7d,83f6f224-a83f-4b8a-8284-e19085482720,-5.0,0.0,3.0,True,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Luty - Kuźnia,cc952ec1-c39f-4f16-bf50-87dee47fc46e,Runda 3,21f291c3-fae0-4564-bfcf-e7f903c23e7a,FINISHED,247ed453-6eed-4830-a342-44031bbd1769,9,2026-02-28T13:07:08.131Z,adfcbd37-5565-4a68-bb8f-d826be39cce5,0ad1e880-3db6-4577-84e8-1f7bb3702572,505,5.0,15.0,,b47af2ac-40d9-4830-8814-83414a2d56ba,bbbe191e-78cb-42d6-acc6-fd53718b1fd2,95.0,1.0,10.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
