Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Sierpień - Klaster Innowacji,6f6ebc20-db08-4ca9-a9b3-4286946ff58c,"Runda 1, koszyk 5",2690b648-e76c-4cc9-afa9-6df4dcf53204,FINISHED,92325e26-da96-437a-b690-bc22f8637043,0.0,2026-08-22T07:37:48.753Z,ca4bf041-35a4-4bc0-99c6-d7bbc206edeb,b1da1ba2-7866-4e07-905e-53c474b5cd72,99.0,1.0,6.0,,040b29e1-f275-46df-82be-a53c69ba917f,6f995656-e4a6-462d-b2dc-358687645153,501.0,5.0,7.0,,False,False,22a23162-8fd8-4dcc-833c-430aafa67491
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Sierpień - Klaster Innowacji,6f6ebc20-db08-4ca9-a9b3-4286946ff58c,"Runda 1, koszyk 5",2690b648-e76c-4cc9-afa9-6df4dcf53204,FINISHED,4de2468f-27b5-4c30-bad3-3bfe15617c2f,1.0,2026-08-22T07:37:48.753Z,f71f03c0-3e47-4ca8-916b-08d55f2bba1b,7562fb11-cb65-4132-ada1-93cd2fc58f9f,609.0,6.0,9.0,,19a49de6-febf-4ae7-b863-c39c88f3ffc2,1648e62c-e62a-443c-83be-6fc7ad5a86ff,-9.0,0.0,0.0,,False,False,22a23162-8fd8-4dcc-833c-430aafa67491
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Sierpień - Klaster Innowacji,6f6ebc20-db08-4ca9-a9b3-4286946ff58c,"Runda 1, koszyk 5",2690b648-e76c-4cc9-afa9-6df4dcf53204,FINISHED,75ec1f49-478f-46c4-b035-ff40c0af1714,2.0,2026-08-22T07:37:48.753Z,2930a772-1148-49b4-99a2-aee57616f1dd,8076af08-a8fe-455c-8c1a-2e5d7f2ad3eb,-13.0,0.0,2.0,,b2a7148e-6a4a-4775-a923-17fb344589bb,9da2af4f-72f3-41ac-94ab-f4d0f86de13d,613.0,6.0,15.0,,False,False,22a23162-8fd8-4dcc-833c-430aafa67491
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Sierpień - Klaster Innowacji,6f6ebc20-db08-4ca9-a9b3-4286946ff58c,"Runda 1, koszyk 5",2690b648-e76c-4cc9-afa9-6df4dcf53204,FINISHED,702a55d7-162a-4813-b2d1-986ac5832d36,3.0,2026-08-22T07:37:48.753Z,19fdc737-1319-4541-bb7e-2687c7ea465f,475ff286-fcbc-4c49-bac5-e3002c4bdf14,616.0,6.0,16.0,,acf3bdc9-9182-495c-943d-71d9a399a99a,24a267fb-e04e-436d-9858-d39a88afbabf,-16.0,0.0,0.0,,False,False,22a23162-8fd8-4dcc-833c-430aafa67491
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Sierpień - Klaster Innowacji,6f6ebc20-db08-4ca9-a9b3-4286946ff58c,"Runda 1, koszyk 5",2690b648-e76c-4cc9-afa9-6df4dcf53204,FINISHED,85d47160-47a3-42af-97be-51244a3f9586,4.0,2026-08-22T07:37:48.753Z,3b28c6a8-28b8-4126-9699-14621e95d55e,077132db-3801-408a-88be-71f4203d83b3,-14.0,0.0,2.0,,cfa379d4-91d3-4a97-8a25-a539702be80f,0b9e69bb-46e8-4b18-949b-c788fd37fe1e,614.0,6.0,16.0,True,False,False,22a23162-8fd8-4dcc-833c-430aafa67491
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Sierpień - Klaster Innowacji,6f6ebc20-db08-4ca9-a9b3-4286946ff58c,"Runda 1, koszyk 5",2690b648-e76c-4cc9-afa9-6df4dcf53204,FINISHED,77facaf5-073d-43c1-a91a-5ab7bf4abdaa,5.0,2026-08-22T07:37:48.753Z,b16a7ba0-358c-4e45-81ff-3910abfbda9e,59614550-aefe-45cd-b768-5f8310065c35,505.0,5.0,5.0,,cac277f5-31c7-4ec9-ae29-40e5750af6f7,9dbc8e72-3671-4d6d-b5a9-e1f2af80c9ea,95.0,1.0,0.0,,False,False,22a23162-8fd8-4dcc-833c-430aafa67491
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Sierpień - Klaster Innowacji,6f6ebc20-db08-4ca9-a9b3-4286946ff58c,"Runda 1, koszyk 5",2690b648-e76c-4cc9-afa9-6df4dcf53204,FINISHED,67f9377a-76b0-4a5c-9571-a3768fb6926a,6.0,2026-08-22T07:37:48.753Z,214dfc3b-2f07-4d85-91eb-55a8ab6e91fe,448193ff-e2b4-4650-898a-1dd8dc3fd5e1,502.0,5.0,14.0,,af555681-60ed-4517-8566-c5b7eb264429,88a0792c-284c-4c37-927d-76b33a4b87e3,98.0,1.0,12.0,,False,False,22a23162-8fd8-4dcc-833c-430aafa67491
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Sierpień - Klaster Innowacji,6f6ebc20-db08-4ca9-a9b3-4286946ff58c,"Runda 1, koszyk 5",2690b648-e76c-4cc9-afa9-6df4dcf53204,FINISHED,afd4a10e-97fd-4855-990e-c8acd15e6c43,7.0,2026-08-22T07:37:48.753Z,770ad288-ca0c-47b5-b7fc-6a715614472b,2f1215b6-dd3c-44cc-9604-ee8e4b42553c,503.0,5.0,12.0,,60260cf2-4c2d-4a10-8895-0430003ff08b,d6fa65f5-0af3-4f67-ab45-015c121507f0,97.0,1.0,9.0,,False,False,22a23162-8fd8-4dcc-833c-430aafa67491
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Sierpień - Klaster Innowacji,6f6ebc20-db08-4ca9-a9b3-4286946ff58c,"Runda 1, koszyk 5",2690b648-e76c-4cc9-afa9-6df4dcf53204,FINISHED,09d5a8cb-b2b4-4314-af08-cd334be2048c,8.0,2026-08-22T07:37:48.753Z,2ac9fcd5-2485-4869-948f-20eb863d99fa,feae9d4e-3e5c-465a-ad1e-b165f644f16f,-16.0,0.0,0.0,,ba7c54cf-56e0-419e-9355-1fc1858301e7,874b0d14-6fd6-4e03-b7d0-d9302c599b77,616.0,6.0,16.0,,False,False,22a23162-8fd8-4dcc-833c-430aafa67491
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Sierpień - Klaster Innowacji,6f6ebc20-db08-4ca9-a9b3-4286946ff58c,"Runda 1, koszyk 5",2690b648-e76c-4cc9-afa9-6df4dcf53204,FINISHED,2a310652-e5aa-454a-a3e8-41175dd1d554,9.0,2026-08-22T07:37:48.753Z,bda837b6-94c2-4acf-ae0d-b8f16bfc5aff,f9ef5a6b-7fb2-4b2f-aacb-7b10bdf4e06c,98.0,1.0,0.0,,99907d7b-c11c-483e-a924-7557bebeeaa7,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b,502.0,5.0,2.0,,False,True,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b
SMOCZA LIGA 2026 - Turniej Middle-earth SBG - Kraków - Sierpień - Klaster Innowacji,6f6ebc20-db08-4ca9-a9b3-4286946ff58c,"Runda 1, koszyk 5",2690b648-e76c-4cc9-afa9-6df4dcf53204,FINISHED,f7b217cb-096e-4076-850f-3695388fd389,10.0,2026-08-22T07:37:48.753Z,47e143ec-89f3-47fe-aad0-6799e57a552b,cb518781-9079-4152-8521-cccd862ff1d3,-6.0,0.0,0.0,,f0453c70-7936-409b-9d26-908481f2b89b,22a23162-8fd8-4dcc-833c-430aafa67491,606.0,6.0,6.0,,False,True,22a23162-8fd8-4dcc-833c-430aafa67491
