Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
STYCZNIOWY Turniej Middle-Earth SBG w Rzeszowie,93fe1a4b-1bd7-4f1e-b2b8-6b3be2f511c4,Runda 1,1195c994-dfdb-4b44-bd74-de119e87bf9f,FINISHED,63d9ad21-6d8b-4906-8aac-dae5290d1c15,0,2026-01-03T15:33:55.623Z,31cc5a38-8d0e-4860-ba20-def268e7ae7e,e2970df6-81f0-48df-89ac-2c66a06f30e7,-5,-5,1,,51d2d419-1c2b-459c-8e3f-e399367c0f46,1e4b9bdf-6062-4736-aef3-52bc568f8803,605.0,5.0,6.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
STYCZNIOWY Turniej Middle-Earth SBG w Rzeszowie,93fe1a4b-1bd7-4f1e-b2b8-6b3be2f511c4,Runda 1,1195c994-dfdb-4b44-bd74-de119e87bf9f,FINISHED,3641cd58-4169-417d-9cb5-b9dc36be72ba,1,2026-01-03T15:33:55.623Z,28047ba7-0b9f-4d2e-9f31-e491bd408cc0,b746219c-415e-46e0-8143-e8cbc9ae71d0,-8,-8,2,,6c482a32-2850-43e4-b31a-f27c6b4f09fe,9f838a1a-8b9b-4c57-9faa-251f6768a5e9,608.0,8.0,10.0,False,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
STYCZNIOWY Turniej Middle-Earth SBG w Rzeszowie,93fe1a4b-1bd7-4f1e-b2b8-6b3be2f511c4,Runda 1,1195c994-dfdb-4b44-bd74-de119e87bf9f,FINISHED,60852e99-e410-465f-ae6e-0540d1cbbb15,2,2026-01-03T15:33:55.623Z,9739a93a-efda-429c-b9bd-e5c07cc6109d,1857125d-c4f2-4a84-a26c-18ff4acbbcaf,-7,-7,6,False,7b5bf902-d956-4f84-bc89-ca14874aa8a8,b1bfbaa2-786c-45b9-ae49-2d3958b91304,607.0,7.0,13.0,,True,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
STYCZNIOWY Turniej Middle-Earth SBG w Rzeszowie,93fe1a4b-1bd7-4f1e-b2b8-6b3be2f511c4,Runda 1,1195c994-dfdb-4b44-bd74-de119e87bf9f,FINISHED,93fb25a0-e402-44cc-a16b-441806fa275d,3,2026-01-03T15:33:55.623Z,3531922c-b3f1-417d-8bed-ac57ca7ab274,2f93e352-e82d-44fc-9695-523112d5471e,-8,-8,3,,0a689ea4-3116-4f49-8257-cb7b52d6bb52,0117f017-2d2b-4322-910f-c7c1b3aae435,608.0,8.0,11.0,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
STYCZNIOWY Turniej Middle-Earth SBG w Rzeszowie,93fe1a4b-1bd7-4f1e-b2b8-6b3be2f511c4,Runda 1,1195c994-dfdb-4b44-bd74-de119e87bf9f,FINISHED,48daa45f-44fa-435a-90c8-9a41f77ce47c,4,2026-01-03T15:33:55.623Z,02d168ca-c39b-43cd-9303-b7943a45dba6,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,617,17,17,,3728e034-19f5-4e44-9a84-2d7510b0c19d,02e912fd-a2c2-4725-a3a6-e9d4fea52a31,-17.0,-17.0,,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
STYCZNIOWY Turniej Middle-Earth SBG w Rzeszowie,93fe1a4b-1bd7-4f1e-b2b8-6b3be2f511c4,Runda 3,edf879a0-8115-42c7-816c-930c592e08e8,FINISHED,1b345a29-6a99-477a-b859-c9868a0d381b,0,2026-01-04T14:20:20.912Z,64957092-b540-4d15-8a0c-9dd56a0f73aa,0117f017-2d2b-4322-910f-c7c1b3aae435,-18,-18,2,,4f75b8cc-4b0e-4fbd-8584-d20149fe2a66,b1bfbaa2-786c-45b9-ae49-2d3958b91304,618.0,18.0,20.0,,True,False,0117f017-2d2b-4322-910f-c7c1b3aae435
STYCZNIOWY Turniej Middle-Earth SBG w Rzeszowie,93fe1a4b-1bd7-4f1e-b2b8-6b3be2f511c4,Runda 3,edf879a0-8115-42c7-816c-930c592e08e8,FINISHED,4355e09e-2c0c-477e-820c-45e13de40c0e,1,2026-01-04T14:20:20.912Z,e1eebf43-bf23-47cc-a648-6fc65970883b,1e4b9bdf-6062-4736-aef3-52bc568f8803,620,20,20,,56802c07-683f-4ec9-ae38-39e16c4335f2,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,-20.0,-20.0,0.0,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
STYCZNIOWY Turniej Middle-Earth SBG w Rzeszowie,93fe1a4b-1bd7-4f1e-b2b8-6b3be2f511c4,Runda 3,edf879a0-8115-42c7-816c-930c592e08e8,FINISHED,c76915a4-1c57-4074-97b5-369e999bd8cb,2,2026-01-04T14:20:20.912Z,2f15d3df-d456-460c-9f1f-b98fee527322,02e912fd-a2c2-4725-a3a6-e9d4fea52a31,620,20,20,,58a32df1-6367-4763-a59e-b2d979c81e15,b746219c-415e-46e0-8143-e8cbc9ae71d0,-20.0,-20.0,0.0,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
STYCZNIOWY Turniej Middle-Earth SBG w Rzeszowie,93fe1a4b-1bd7-4f1e-b2b8-6b3be2f511c4,Runda 3,edf879a0-8115-42c7-816c-930c592e08e8,FINISHED,eb2cb073-cebf-4322-bade-9f732d6e75d3,3,2026-01-04T14:20:20.912Z,f607b53d-b282-45a8-809d-f23f6330d551,2f93e352-e82d-44fc-9695-523112d5471e,616,16,20,,fdc8401b-8666-492c-9a62-1beebc270fd8,e2970df6-81f0-48df-89ac-2c66a06f30e7,-16.0,-16.0,4.0,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
STYCZNIOWY Turniej Middle-Earth SBG w Rzeszowie,93fe1a4b-1bd7-4f1e-b2b8-6b3be2f511c4,Runda 3,edf879a0-8115-42c7-816c-930c592e08e8,FINISHED,1c39c7a6-3c05-4e18-8cee-3b2442a0a4d7,4,2026-01-04T14:20:20.912Z,a2d082ff-09d2-4867-b929-a3be078346d6,1857125d-c4f2-4a84-a26c-18ff4acbbcaf,0,0,0,,,,,,,,True,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
