Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
TRÓJMIASTO MESBG TURNIEJ LOKALNY 450 PKT,1ad9f034-ed6a-41f0-a8d8-86dd4be90d69,Command the battefield,4c14a3e4-d762-4195-83d9-88d369390188,FINISHED,72248f7f-270f-4ec9-bc93-caa11adc4d72,0,2025-12-28T13:54:37.380Z,2b3d3322-0334-4408-bb56-698bc918a4f7,3c31c04c-a1ca-4b00-92dc-d33f3841073e,0,2,0,,d0037524-8f95-4022-ad4f-109f2eb45e3f,7e2ec8ee-a77d-46c4-952a-aa8f006ba9ec,6,17,0,,True,False,3c31c04c-a1ca-4b00-92dc-d33f3841073e
TRÓJMIASTO MESBG TURNIEJ LOKALNY 450 PKT,1ad9f034-ed6a-41f0-a8d8-86dd4be90d69,Command the battefield,4c14a3e4-d762-4195-83d9-88d369390188,FINISHED,fd42de31-55b5-4dbf-bb88-ee6f57d391cc,1,2025-12-28T13:54:37.380Z,7252aa94-2af6-4eb9-b683-23fc633a32b1,7db60bf3-1d9f-4ce6-8b5d-32e66d16000d,6,17,0,,364177b9-bae3-4d65-8d87-c82d921e4070,06621509-feb2-4ef5-9a05-31adb11d942c,0,2,0,,True,False,7db60bf3-1d9f-4ce6-8b5d-32e66d16000d
TRÓJMIASTO MESBG TURNIEJ LOKALNY 450 PKT,1ad9f034-ed6a-41f0-a8d8-86dd4be90d69,Command the battefield,4c14a3e4-d762-4195-83d9-88d369390188,FINISHED,baf3a75b-06f5-4bea-90fa-8ac7ec2ff035,2,2025-12-28T13:54:37.380Z,c0ce1d78-8213-45fb-a253-ebfe0ec093c7,63a607ad-0eeb-4438-a6f7-2a0e12bec850,0,1,0,,ce05d47c-db2d-41a1-b5dd-f69b430c8e8c,708078fa-6770-4b38-a508-7bee7d0b95a2,6,15,0,,True,False,63a607ad-0eeb-4438-a6f7-2a0e12bec850
TRÓJMIASTO MESBG TURNIEJ LOKALNY 450 PKT,1ad9f034-ed6a-41f0-a8d8-86dd4be90d69,Command the battefield,4c14a3e4-d762-4195-83d9-88d369390188,FINISHED,9f4022fa-c587-47d2-96cf-13ebcfe072c2,3,2025-12-28T13:54:37.380Z,cdabcc52-912f-4840-9e24-45309756063c,33c02a77-8b2d-4cfc-a72f-bd991ce0c950,0,4,0,False,05dc26c2-2382-48fd-a1de-4ec24c958ceb,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38,6,12,0,,False,True,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38
TRÓJMIASTO MESBG TURNIEJ LOKALNY 450 PKT,1ad9f034-ed6a-41f0-a8d8-86dd4be90d69,Command the battefield,4c14a3e4-d762-4195-83d9-88d369390188,FINISHED,c60bff39-808f-4b76-a4b5-e44192259a49,4,2025-12-28T13:54:37.380Z,245b85d2-dc1b-49fc-97be-3b3184639933,29ce8b19-a17a-4ba7-8e17-ddffe260e052,6,12,0,,dc6d5415-9b6d-4f06-950e-a99a82954b6a,2ec8ae49-2be0-43c5-b44d-c454bfec97ba,0,1,0,,True,False,29ce8b19-a17a-4ba7-8e17-ddffe260e052
TRÓJMIASTO MESBG TURNIEJ LOKALNY 450 PKT,1ad9f034-ed6a-41f0-a8d8-86dd4be90d69,Command the battefield,4c14a3e4-d762-4195-83d9-88d369390188,FINISHED,c8f0f8fb-f2f9-41b6-bba8-a10ef4fb036a,5,2025-12-28T13:54:37.380Z,e80241e5-561d-44ae-a16c-9ac0632a31b4,23d2920b-2f16-4f75-b8e4-952544b9dfe5,6,17,0,,abf57f3c-2939-409d-be8f-270265be3512,5ffe55a1-b77c-446f-a52d-33c531d6053b,0,0,0,,True,False,23d2920b-2f16-4f75-b8e4-952544b9dfe5
TRÓJMIASTO MESBG TURNIEJ LOKALNY 450 PKT,1ad9f034-ed6a-41f0-a8d8-86dd4be90d69,Stake a claim,c12aa416-80c9-4b8a-91ed-bb3730e2e65b,FINISHED,89fbbf0c-cdf3-4884-91bb-53758648db15,0,2025-12-28T12:27:12.614Z,adefaf9a-b410-43e4-81e1-0f0707f9d0be,3c31c04c-a1ca-4b00-92dc-d33f3841073e,6,15,0,,e955852e-eb75-43c7-bb73-180b746da2a5,06621509-feb2-4ef5-9a05-31adb11d942c,0,5,0,,True,False,3c31c04c-a1ca-4b00-92dc-d33f3841073e
TRÓJMIASTO MESBG TURNIEJ LOKALNY 450 PKT,1ad9f034-ed6a-41f0-a8d8-86dd4be90d69,Stake a claim,c12aa416-80c9-4b8a-91ed-bb3730e2e65b,FINISHED,144b94ca-29ff-43dc-93c1-e566180f90a3,1,2025-12-28T12:27:12.614Z,b4e917c2-f2b6-4a22-bfd1-275510844496,7db60bf3-1d9f-4ce6-8b5d-32e66d16000d,6,6,0,,f456f7db-40b3-41c3-be7e-701495eb79d9,708078fa-6770-4b38-a508-7bee7d0b95a2,0,3,0,,True,False,7db60bf3-1d9f-4ce6-8b5d-32e66d16000d
TRÓJMIASTO MESBG TURNIEJ LOKALNY 450 PKT,1ad9f034-ed6a-41f0-a8d8-86dd4be90d69,Stake a claim,c12aa416-80c9-4b8a-91ed-bb3730e2e65b,FINISHED,29b0d4ae-7d4b-4357-81ae-b7bdd92179bd,2,2025-12-28T12:27:12.614Z,0464321b-2fe7-46c2-bb6a-e8a5658164d5,33c02a77-8b2d-4cfc-a72f-bd991ce0c950,0,1,0,False,4c9ee809-170d-4668-b3ac-f1c7e0313889,7e2ec8ee-a77d-46c4-952a-aa8f006ba9ec,6,16,0,,False,True,7e2ec8ee-a77d-46c4-952a-aa8f006ba9ec
TRÓJMIASTO MESBG TURNIEJ LOKALNY 450 PKT,1ad9f034-ed6a-41f0-a8d8-86dd4be90d69,Stake a claim,c12aa416-80c9-4b8a-91ed-bb3730e2e65b,FINISHED,38bd88bc-ce24-4c50-847b-dfb04fc029ef,3,2025-12-28T12:27:12.614Z,aac07ea8-145a-4c73-9b67-04be6065e1fa,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38,2,5,0,,bf4665a8-145b-46fd-b1f6-6e57e8233b06,29ce8b19-a17a-4ba7-8e17-ddffe260e052,2,5,0,,True,False,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38
