Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
TRÓJMIASTO MISTRZOSTWA PÓŁNOCY - 725 pkt NIRNAETH ARNOEDIAD,69f505f4-dcae-43db-a98b-acfb29241ecf,Command the battlefield,8b8e1d8e-c31d-4269-80c6-c385dfdedfd9,FINISHED,d0a1498b-c93c-4558-a722-df2d0d8fc9f7,0,2026-01-04T15:09:29.063Z,5d5ca051-7a6a-430b-8203-42a4fd303cd3,c0e5c936-b855-43d8-aa70-0fd1a8ab470e,0,5.0,0.0,,ff3cfe6d-1289-4789-8aa0-bc6fa9c6bfce,1403a8fb-39a4-4e2f-b6cd-5d7e334df789,6.0,15.0,0.0,,True,True,1403a8fb-39a4-4e2f-b6cd-5d7e334df789
TRÓJMIASTO MISTRZOSTWA PÓŁNOCY - 725 pkt NIRNAETH ARNOEDIAD,69f505f4-dcae-43db-a98b-acfb29241ecf,Command the battlefield,8b8e1d8e-c31d-4269-80c6-c385dfdedfd9,FINISHED,65961666-598b-4055-a2ad-0d863bdb8dea,1,2026-01-04T15:09:29.063Z,c5d01a78-5919-4b9f-998a-112d0220cf74,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38,0,3.0,0.0,,64ff6e32-11af-499e-9e3b-4956c54c7c25,6395793e-2667-4e08-af46-e9d910c1d296,6.0,7.0,0.0,,True,False,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38
TRÓJMIASTO MISTRZOSTWA PÓŁNOCY - 725 pkt NIRNAETH ARNOEDIAD,69f505f4-dcae-43db-a98b-acfb29241ecf,Command the battlefield,8b8e1d8e-c31d-4269-80c6-c385dfdedfd9,FINISHED,ba1280bb-c06c-4541-8fa1-0c76b8901a9d,2,2026-01-04T15:09:29.063Z,848f4d02-ecd1-4987-98eb-4722ecf80874,708078fa-6770-4b38-a508-7bee7d0b95a2,0,0.0,0.0,,66c0a095-e776-49a2-aec6-4d4764a9ee17,9f936b49-9012-4b81-ba42-324cf1cc4cb2,6.0,15.0,0.0,,False,True,9f936b49-9012-4b81-ba42-324cf1cc4cb2
TRÓJMIASTO MISTRZOSTWA PÓŁNOCY - 725 pkt NIRNAETH ARNOEDIAD,69f505f4-dcae-43db-a98b-acfb29241ecf,Command the battlefield,8b8e1d8e-c31d-4269-80c6-c385dfdedfd9,FINISHED,99aa7c6a-aff0-49e6-b334-24b2aff4c4cf,3,2026-01-04T15:09:29.063Z,a2671703-5ba5-43c2-bdab-b0a41a086642,3c31c04c-a1ca-4b00-92dc-d33f3841073e,6,20.0,0.0,,7127c7ce-cd0b-4746-b0e1-a1cc1846faf7,63a607ad-0eeb-4438-a6f7-2a0e12bec850,0.0,0.0,0.0,,False,True,63a607ad-0eeb-4438-a6f7-2a0e12bec850
TRÓJMIASTO MISTRZOSTWA PÓŁNOCY - 725 pkt NIRNAETH ARNOEDIAD,69f505f4-dcae-43db-a98b-acfb29241ecf,Command the battlefield,8b8e1d8e-c31d-4269-80c6-c385dfdedfd9,FINISHED,046070a6-6d94-42b1-a507-a80ad7cb00aa,4,2026-01-04T15:09:29.063Z,284e61a8-173f-48fd-bde9-b390cd4cb4d3,33c02a77-8b2d-4cfc-a72f-bd991ce0c950,1,4.0,0.0,,6cfaf0f7-3f3b-4cb9-b1b0-0dd4fa4d4a56,7db60bf3-1d9f-4ce6-8b5d-32e66d16000d,5.0,7.0,0.0,,False,True,7db60bf3-1d9f-4ce6-8b5d-32e66d16000d
TRÓJMIASTO MISTRZOSTWA PÓŁNOCY - 725 pkt NIRNAETH ARNOEDIAD,69f505f4-dcae-43db-a98b-acfb29241ecf,Command the battlefield,8b8e1d8e-c31d-4269-80c6-c385dfdedfd9,FINISHED,1cf0a138-f531-48c8-a1b8-258517a262d5,5,2026-01-04T15:09:29.063Z,6ddb5ce9-80d9-4d3c-b0aa-ccce1424883c,e560aa1f-e1c0-4f97-9ff1-4bb28f4d0649,1,6.0,0.0,,dbac339b-c499-4309-a5b5-e80c36c69ad1,6bbae723-3f56-4f46-b886-e4f179c50e93,5.0,8.0,0.0,,False,True,6bbae723-3f56-4f46-b886-e4f179c50e93
TRÓJMIASTO MISTRZOSTWA PÓŁNOCY - 725 pkt NIRNAETH ARNOEDIAD,69f505f4-dcae-43db-a98b-acfb29241ecf,Command the battlefield,8b8e1d8e-c31d-4269-80c6-c385dfdedfd9,FINISHED,b2f335ab-2ad2-4194-80c1-077101f099b7,6,2026-01-04T15:09:29.063Z,1d519aa1-6559-4625-8503-edac2318c807,7e2ec8ee-a77d-46c4-952a-aa8f006ba9ec,6,7.0,0.0,,8975eac1-ef25-4d35-9bbc-532e0e474dfc,8c340f26-1543-4335-8b37-d814614b81f9,0.0,3.0,0.0,,False,True,8c340f26-1543-4335-8b37-d814614b81f9
TRÓJMIASTO MISTRZOSTWA PÓŁNOCY - 725 pkt NIRNAETH ARNOEDIAD,69f505f4-dcae-43db-a98b-acfb29241ecf,Command the battlefield,8b8e1d8e-c31d-4269-80c6-c385dfdedfd9,FINISHED,b719bcb5-0f9b-46a1-bc0a-1011ea9d56fc,7,2026-01-04T15:09:29.063Z,9c269112-9261-4e57-9355-0eb4c6bab6df,06621509-feb2-4ef5-9a05-31adb11d942c,6,16.0,0.0,,92f62e3c-e435-414f-8df1-b63d3b9f3fc4,470fc02d-690f-4bf0-8ea9-33a7fad1f0ed,0.0,0.0,0.0,,True,False,06621509-feb2-4ef5-9a05-31adb11d942c
TRÓJMIASTO MISTRZOSTWA PÓŁNOCY - 725 pkt NIRNAETH ARNOEDIAD,69f505f4-dcae-43db-a98b-acfb29241ecf,Command the battlefield,8b8e1d8e-c31d-4269-80c6-c385dfdedfd9,FINISHED,294270af-54b1-4d89-9faa-2a794710b14b,8,2026-01-04T15:09:29.063Z,31c98ec8-dc18-417a-aaa5-4ff342cc590e,3d714876-1192-47cf-a91e-7158e7e6c608,0,0.0,0.0,,a7a8989c-4436-4297-8865-6838735fe516,774afb8c-8f87-46dc-823e-a82621336e4f,6.0,15.0,0.0,,False,True,774afb8c-8f87-46dc-823e-a82621336e4f
TRÓJMIASTO MISTRZOSTWA PÓŁNOCY - 725 pkt NIRNAETH ARNOEDIAD,69f505f4-dcae-43db-a98b-acfb29241ecf,Command the battlefield,8b8e1d8e-c31d-4269-80c6-c385dfdedfd9,FINISHED,9458cb07-c3ce-4ae8-a87f-f7b936d1d1c0,9,2026-01-04T15:09:29.063Z,0a38c2c0-32a8-4b37-8580-597143e1e692,00edbb80-803b-49da-af81-f9d0f5df0d01,2,6.0,0.0,,f6c0d4ff-925b-4922-a9aa-0472fe0fc648,3d9c2b85-855a-4af5-9786-5280365b2d7d,2.0,6.0,0.0,,False,True,3d9c2b85-855a-4af5-9786-5280365b2d7d
