Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
TRÓJMIASTO TURNIEJ LOKALNY - 1000 PKT,8ac4e7a5-4d6d-41e1-aea0-4b75e9db327c,Pool.1,60cf6eec-78f6-47ea-b083-5e105a294a52,FINISHED,e0d0e39d-2a8c-4380-8346-0d9d4afa9c96,0,2026-03-15T13:43:14.031Z,08b392d1-6240-4b74-a96a-ebec2100a839,de07754d-8cc5-4cb0-939f-cc83c85a314c,6,15.0,0.0,,7333af6e-1283-42fe-a112-f273f09755b4,9d72f208-6933-4843-8bb1-074d485e0e76,0.0,3.0,0.0,,False,True,9d72f208-6933-4843-8bb1-074d485e0e76
TRÓJMIASTO TURNIEJ LOKALNY - 1000 PKT,8ac4e7a5-4d6d-41e1-aea0-4b75e9db327c,Pool.1,60cf6eec-78f6-47ea-b083-5e105a294a52,FINISHED,f68c00dc-b47f-4fe3-9952-bae1b5989217,1,2026-03-15T13:43:14.031Z,4f46ec67-abd4-4ca5-9533-b422ddac4dd2,00edbb80-803b-49da-af81-f9d0f5df0d01,6,12.0,0.0,,3d97ea85-f5a9-4418-807b-86a81c466ee2,29ce8b19-a17a-4ba7-8e17-ddffe260e052,0.0,5.0,0.0,,False,True,29ce8b19-a17a-4ba7-8e17-ddffe260e052
TRÓJMIASTO TURNIEJ LOKALNY - 1000 PKT,8ac4e7a5-4d6d-41e1-aea0-4b75e9db327c,Pool.1,60cf6eec-78f6-47ea-b083-5e105a294a52,FINISHED,44d56bcf-1b33-4570-a5e7-ab33170e7f95,2,2026-03-15T13:43:14.031Z,ee19fb30-5c72-4e47-90d1-b69f072f9ad5,06621509-feb2-4ef5-9a05-31adb11d942c,6,13.0,0.0,,7e16bbab-6aa0-4db1-a9f2-4506b0059865,33c02a77-8b2d-4cfc-a72f-bd991ce0c950,0.0,1.0,0.0,True,True,False,06621509-feb2-4ef5-9a05-31adb11d942c
TRÓJMIASTO TURNIEJ LOKALNY - 1000 PKT,8ac4e7a5-4d6d-41e1-aea0-4b75e9db327c,Pool.1,60cf6eec-78f6-47ea-b083-5e105a294a52,FINISHED,07857e7f-2ecf-4d82-aa3a-00fd80ceb06a,3,2026-03-15T13:43:14.031Z,52688251-2d5f-4b7c-b7b7-dd41bd6a4629,3bd8cb51-dd0c-4400-9388-b3a76c4a14a1,6,8.0,0.0,False,b090013e-5351-42b4-8f55-3025689ccdc1,20cda92d-c8f4-48b5-bfc5-b0fb09a52c38,0.0,1.0,0.0,,True,False,3bd8cb51-dd0c-4400-9388-b3a76c4a14a1
TRÓJMIASTO TURNIEJ LOKALNY - 1000 PKT,8ac4e7a5-4d6d-41e1-aea0-4b75e9db327c,Pool.1,60cf6eec-78f6-47ea-b083-5e105a294a52,FINISHED,8e9425d6-b11e-47cb-855e-cbfce64f57a6,4,2026-03-15T13:43:14.031Z,6d1cf31c-5cae-44f8-8f60-6851f47f7e6b,470fc02d-690f-4bf0-8ea9-33a7fad1f0ed,1,6.0,0.0,False,7f50f184-9460-41db-9bcf-4745268f0958,3d9c2b85-855a-4af5-9786-5280365b2d7d,5.0,11.0,0.0,,False,True,3d9c2b85-855a-4af5-9786-5280365b2d7d
TRÓJMIASTO TURNIEJ LOKALNY - 1000 PKT,8ac4e7a5-4d6d-41e1-aea0-4b75e9db327c,Pool.1,60cf6eec-78f6-47ea-b083-5e105a294a52,FINISHED,33a9b93e-37c8-4eb3-8e79-279efeb62932,5,2026-03-15T13:43:14.031Z,4c70ef7f-ee5d-4bba-8feb-02da9abf5d49,23d2920b-2f16-4f75-b8e4-952544b9dfe5,0,0.0,0.0,,01657ca9-6eef-4ebd-a320-9524d86ffdec,116f583a-1962-4cfe-8f7b-dc3fc001ea7a,6.0,20.0,0.0,,False,True,116f583a-1962-4cfe-8f7b-dc3fc001ea7a
TRÓJMIASTO TURNIEJ LOKALNY - 1000 PKT,8ac4e7a5-4d6d-41e1-aea0-4b75e9db327c,Pool.1,60cf6eec-78f6-47ea-b083-5e105a294a52,FINISHED,5912337e-59ef-471a-9965-1392895a69be,6,2026-03-15T13:43:14.031Z,8c9cd99d-2e43-4b31-b911-f35bdeb1c4c2,6bf9fa42-82d2-44fd-9b51-eb81dd5201eb,6,9.0,0.0,,fd5088b7-db13-45b9-bb57-9a85a463e3ef,7e2ec8ee-a77d-46c4-952a-aa8f006ba9ec,0.0,3.0,0.0,True,False,True,7e2ec8ee-a77d-46c4-952a-aa8f006ba9ec
TRÓJMIASTO TURNIEJ LOKALNY - 1000 PKT,8ac4e7a5-4d6d-41e1-aea0-4b75e9db327c,Pool.1,60cf6eec-78f6-47ea-b083-5e105a294a52,FINISHED,cfc8f17f-6b3f-4d94-ba16-df41cc4d072e,7,2026-03-15T13:43:14.031Z,b4c50929-7898-45d3-bea8-05b1f9126f44,708078fa-6770-4b38-a508-7bee7d0b95a2,6,15.0,0.0,True,ef0b00db-d52b-4054-8b0c-a09f62ae811d,7db60bf3-1d9f-4ce6-8b5d-32e66d16000d,0.0,3.0,0.0,False,True,False,708078fa-6770-4b38-a508-7bee7d0b95a2
TRÓJMIASTO TURNIEJ LOKALNY - 1000 PKT,8ac4e7a5-4d6d-41e1-aea0-4b75e9db327c,Pool 2,28469b37-ad5c-4734-b1a2-37889564da37,FINISHED,f126e577-a011-4dd4-afc5-4905e5f20d1f,0,2026-03-15T10:51:01.646Z,a7501cbf-c055-4bf8-a8f6-22401041624d,06621509-feb2-4ef5-9a05-31adb11d942c,0,3.0,0.0,,caf26cf3-871b-42fe-ac1f-30e5b2f2bfb3,e560aa1f-e1c0-4f97-9ff1-4bb28f4d0649,6.0,7.0,0.0,,False,True,e560aa1f-e1c0-4f97-9ff1-4bb28f4d0649
TRÓJMIASTO TURNIEJ LOKALNY - 1000 PKT,8ac4e7a5-4d6d-41e1-aea0-4b75e9db327c,Pool 2,28469b37-ad5c-4734-b1a2-37889564da37,FINISHED,e58f6c75-9855-4e64-8d46-d39df49b4580,1,2026-03-15T10:51:01.646Z,c10562bd-d2a0-4f50-86e6-f1758b1ec751,3bd8cb51-dd0c-4400-9388-b3a76c4a14a1,1,10.0,0.0,False,47915b5b-b1a4-4d47-af83-3a8d43ee1afa,de07754d-8cc5-4cb0-939f-cc83c85a314c,5.0,13.0,0.0,,True,False,3bd8cb51-dd0c-4400-9388-b3a76c4a14a1
