Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej Liga Dolnośląska - 06.06.26 - Bolter,e1285bfe-f972-4339-a24e-e2d0b59a6905,Pool 3,3ea05851-97b2-4af8-91d1-aa5d7d52ac94,FINISHED,f95aed18-a28c-4f9b-9323-6668446814be,0,2026-06-06T13:01:10.739Z,01ddbbc9-38c4-49a6-b55d-69f560e3c2a8,9f05193d-1c9b-426c-b9b7-06281f9f887e,8,13,0,False,c719b24b-2554-457a-a15f-f2719fa70e19,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0,0,3,0,False,False,True,dd081a04-8bbb-4409-aed7-f6ceedf4d7d0
Turniej Liga Dolnośląska - 06.06.26 - Bolter,e1285bfe-f972-4339-a24e-e2d0b59a6905,Pool 3,3ea05851-97b2-4af8-91d1-aa5d7d52ac94,FINISHED,4930c08e-b52b-41cc-9743-43de57ce0258,1,2026-06-06T13:01:10.739Z,abfc15f0-82ee-4c4a-8c1d-550d61dcd7fa,a10c88af-658f-4dbe-bb23-533f04cdfa24,0,0,0,,b8b9af84-e8cb-46a2-92a5-00258870edb4,d96af431-77bb-4909-bb15-61df62e81b15,8,18,0,True,False,True,d96af431-77bb-4909-bb15-61df62e81b15
Turniej Liga Dolnośląska - 06.06.26 - Bolter,e1285bfe-f972-4339-a24e-e2d0b59a6905,Pool 3,3ea05851-97b2-4af8-91d1-aa5d7d52ac94,FINISHED,2d9fb4ba-3de2-4902-9270-ab02976b0ac4,2,2026-06-06T13:01:10.739Z,eadf77ef-f6ff-4a18-b0a3-91afb0134577,57cefe9a-fa1b-45a6-a166-3e94e0d12d49,7,10,0,True,02076040-d0e4-4b89-bcac-3766cfe255a9,d46af0a2-c60d-45ef-9286-540bdc4ee510,1,5,0,,True,False,57cefe9a-fa1b-45a6-a166-3e94e0d12d49
Turniej Liga Dolnośląska - 06.06.26 - Bolter,e1285bfe-f972-4339-a24e-e2d0b59a6905,Pool 3,3ea05851-97b2-4af8-91d1-aa5d7d52ac94,FINISHED,dd231708-19c5-40ea-90aa-24e9a3850223,3,2026-06-06T13:01:10.739Z,086758c2-091e-41e5-8062-df571c041085,0bfb2478-4d20-4d4b-8371-cdf968ed3447,1,7,0,False,b346ad4c-7226-40f0-8e2a-c1bf8f2fe845,ab63d4ea-e622-4b2d-8ad2-38b15679c94f,7,11,0,True,False,True,ab63d4ea-e622-4b2d-8ad2-38b15679c94f
Turniej Liga Dolnośląska - 06.06.26 - Bolter,e1285bfe-f972-4339-a24e-e2d0b59a6905,Pool 3,3ea05851-97b2-4af8-91d1-aa5d7d52ac94,FINISHED,96f59ebc-96bc-400d-b9ad-2ee537cda4c3,4,2026-06-06T13:01:10.739Z,7e96cc73-079d-41dc-ab7b-14e5e32179be,780e8297-2cf1-4ac2-89bd-e9dd5ece6347,7,9,0,,6f8a393d-5990-4d73-86a6-f244eb9beeb3,f3cb33ec-5288-4f97-8eff-fd9bba3516fc,1,6,0,,False,True,f3cb33ec-5288-4f97-8eff-fd9bba3516fc
Turniej Liga Dolnośląska - 06.06.26 - Bolter,e1285bfe-f972-4339-a24e-e2d0b59a6905,Pool 3,3ea05851-97b2-4af8-91d1-aa5d7d52ac94,FINISHED,e1aa4a47-693b-4317-937c-b99325d12109,5,2026-06-06T13:01:10.739Z,958998a6-2fa4-45ac-a920-45cee0802c58,9357ea2e-af38-453d-9c2f-b828d5ccdfb6,8,16,0,False,cdbfba97-4a9f-451d-bdb4-73d17e9e9858,b7041299-2d85-4243-b6f9-f0ab903a57e6,0,3,0,,True,False,9357ea2e-af38-453d-9c2f-b828d5ccdfb6
Turniej Liga Dolnośląska - 06.06.26 - Bolter,e1285bfe-f972-4339-a24e-e2d0b59a6905,Pool 3,3ea05851-97b2-4af8-91d1-aa5d7d52ac94,FINISHED,aa08a9bf-ecd3-4bfa-81a0-28f1cc8f2a4a,6,2026-06-06T13:01:10.739Z,13182b97-9ac7-4c47-9551-78bc6ec8a239,7783babb-c470-4763-80c7-8e6bd277ded8,8,20,0,True,5a03aeed-c097-4dd0-ab2e-fc333af7c1a6,40eca01a-ba05-4c54-afa1-205dbb9e86dc,0,3,0,True,True,False,7783babb-c470-4763-80c7-8e6bd277ded8
Turniej Liga Dolnośląska - 06.06.26 - Bolter,e1285bfe-f972-4339-a24e-e2d0b59a6905,Pool 3,3ea05851-97b2-4af8-91d1-aa5d7d52ac94,FINISHED,71d6d538-9e64-4ca1-90e1-2071d49e3228,7,2026-06-06T13:01:10.739Z,deace439-5311-4ef3-a479-153001929331,c451779b-6172-4e1a-acbd-1b387949849d,8,13,0,True,a88b1829-8965-4187-a2ca-8a4772ec5135,289932ee-6bb1-405e-b6d8-4ff67f3a7cbe,0,1,0,True,True,True,c451779b-6172-4e1a-acbd-1b387949849d
Turniej Liga Dolnośląska - 06.06.26 - Bolter,e1285bfe-f972-4339-a24e-e2d0b59a6905,Pool 5,ab69825a-1dac-45db-b2ba-a27840ebe310,FINISHED,07a718c6-c87d-4ae0-8131-21a9a5eaa948,0,2026-06-06T10:26:49.069Z,6bd0e13a-c39b-4dab-856f-c6cc34791e9e,d69a27be-2cfc-4695-9551-250b26795a4f,4,4,0,,fd5c4782-39ff-418b-9c90-fbc0309f3967,57cefe9a-fa1b-45a6-a166-3e94e0d12d49,4,4,0,True,False,True,57cefe9a-fa1b-45a6-a166-3e94e0d12d49
Turniej Liga Dolnośląska - 06.06.26 - Bolter,e1285bfe-f972-4339-a24e-e2d0b59a6905,Pool 5,ab69825a-1dac-45db-b2ba-a27840ebe310,FINISHED,c15dfb34-8db7-40e5-94e3-d456f2b8c7ab,1,2026-06-06T10:26:49.069Z,c29d2060-233a-4aa9-b7da-3c4e22ac2b24,a10c88af-658f-4dbe-bb23-533f04cdfa24,7,12,0,,1002eb94-1b41-409e-9cb2-a9ca06a2f560,0bfb2478-4d20-4d4b-8371-cdf968ed3447,1,5,0,False,True,False,a10c88af-658f-4dbe-bb23-533f04cdfa24
