Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej ME-SBG LOTR 650 pkt w Krolmie,3bcc8b95-81b0-41db-ab3a-ea292402dbbe,Runda 4,79a90cd5-f52f-491b-b088-5b2920bf0267,FINISHED,be8676be-241b-45db-be1e-86548fc4334f,0,2026-01-11T15:31:09.618Z,1ebcebbc-9071-450e-8b8d-8124ec83a68a,1403a8fb-39a4-4e2f-b6cd-5d7e334df789,6,13.0,,,f2a2c33f-3494-49e5-8008-67551f1d4691,69be8c4c-4098-4dca-82cf-eae657586cd0,0,0,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
Turniej ME-SBG LOTR 650 pkt w Krolmie,3bcc8b95-81b0-41db-ab3a-ea292402dbbe,Runda 4,79a90cd5-f52f-491b-b088-5b2920bf0267,FINISHED,b7b82863-a4db-460d-885d-c9de4a5dd4f5,1,2026-01-11T15:31:09.618Z,ae6e1d8e-667c-481a-9e71-1ea217d4058a,3bd8cb51-dd0c-4400-9388-b3a76c4a14a1,6,16.0,,,1ef6bd02-c4f3-40bc-be31-64a736506a0e,24e983e5-57fc-4720-8d25-07038b149c4a,0,0,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
Turniej ME-SBG LOTR 650 pkt w Krolmie,3bcc8b95-81b0-41db-ab3a-ea292402dbbe,Runda 4,79a90cd5-f52f-491b-b088-5b2920bf0267,FINISHED,1a1d5cf6-a019-4415-85db-f41b7010b3e1,2,2026-01-11T15:31:09.618Z,c59010ad-8aaa-41ce-b181-ccb639fdabf2,78dcd687-a7f0-4fff-8ba0-8bf91d031f3b,0,3.0,,,3a517875-a4c9-46ef-a1c3-c311f728485c,cbc2634d-a5f1-45d8-8a61-d86b9467d882,6,10,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
Turniej ME-SBG LOTR 650 pkt w Krolmie,3bcc8b95-81b0-41db-ab3a-ea292402dbbe,Runda 4,79a90cd5-f52f-491b-b088-5b2920bf0267,FINISHED,9f84ca67-47f9-43c7-8de1-81455988e17d,3,2026-01-11T15:31:09.618Z,f737570e-9b7c-41b3-ad0a-1ece51707bb4,d676ab50-4520-4a0a-9fde-3dc9f075198e,0,6.0,,,64dc4211-0dfb-4eb7-b34e-c473e792cb80,47cfa2d3-2d49-480e-b1bc-f41dc95b8d17,6,13,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
Turniej ME-SBG LOTR 650 pkt w Krolmie,3bcc8b95-81b0-41db-ab3a-ea292402dbbe,Runda 3,494c6e62-2098-4f1b-bbd7-1f2015ce0da9,FINISHED,ee2fea46-f6d6-4c33-8ef3-19f9e6bce7f5,0,2026-01-11T13:28:14.743Z,c68eabbc-efa8-4591-b9d6-efce48b46b90,24e983e5-57fc-4720-8d25-07038b149c4a,0,0.0,,,887038c3-3d82-466f-9186-e9ae4a5b0ff3,1403a8fb-39a4-4e2f-b6cd-5d7e334df789,6,4,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
Turniej ME-SBG LOTR 650 pkt w Krolmie,3bcc8b95-81b0-41db-ab3a-ea292402dbbe,Runda 3,494c6e62-2098-4f1b-bbd7-1f2015ce0da9,FINISHED,7c368c3d-45d9-4dd9-acd3-2cb0e4fa4e82,1,2026-01-11T13:28:14.743Z,1420a494-a7c9-4b31-b561-89d0edac0fdd,78dcd687-a7f0-4fff-8ba0-8bf91d031f3b,0,4.0,,,aff110ed-3695-47b2-95ee-475c217b25cd,3bd8cb51-dd0c-4400-9388-b3a76c4a14a1,6,12,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
Turniej ME-SBG LOTR 650 pkt w Krolmie,3bcc8b95-81b0-41db-ab3a-ea292402dbbe,Runda 3,494c6e62-2098-4f1b-bbd7-1f2015ce0da9,FINISHED,870fb9f1-99fe-4e36-85d1-23dcbcb48437,2,2026-01-11T13:28:14.743Z,cfc59468-cf66-4aa9-b7d1-30ca94233426,69be8c4c-4098-4dca-82cf-eae657586cd0,6,8.0,,,d98903bb-3943-4d37-9816-369e3076f20b,47cfa2d3-2d49-480e-b1bc-f41dc95b8d17,0,3,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
Turniej ME-SBG LOTR 650 pkt w Krolmie,3bcc8b95-81b0-41db-ab3a-ea292402dbbe,Runda 3,494c6e62-2098-4f1b-bbd7-1f2015ce0da9,FINISHED,a539eb97-fe96-4eb4-b1e2-23bf188285a7,3,2026-01-11T13:28:14.743Z,caab2b1f-9c11-4910-ad00-445a9b8da34d,d676ab50-4520-4a0a-9fde-3dc9f075198e,5,14.0,,,38ce72ca-4ae7-4ed4-9a62-9385629d3e4d,cbc2634d-a5f1-45d8-8a61-d86b9467d882,1,8,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
Turniej ME-SBG LOTR 650 pkt w Krolmie,3bcc8b95-81b0-41db-ab3a-ea292402dbbe,Runda 2,0d48d9b8-e0e9-489e-9bdd-46461fd78b9d,FINISHED,b3bacf07-17a4-4d1d-a6b7-ede3d292bdfd,0,2026-01-11T11:12:36.479Z,55121b11-f7d7-4042-b14f-441245cb221f,69be8c4c-4098-4dca-82cf-eae657586cd0,0,0.0,,,98daf1b5-c8a6-41d8-9596-bef959bb6c0e,24e983e5-57fc-4720-8d25-07038b149c4a,6,10,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
Turniej ME-SBG LOTR 650 pkt w Krolmie,3bcc8b95-81b0-41db-ab3a-ea292402dbbe,Runda 2,0d48d9b8-e0e9-489e-9bdd-46461fd78b9d,FINISHED,e4dca8fe-feb9-4e64-a70c-a2929164ca8d,1,2026-01-11T11:12:36.479Z,7688db4d-298e-4ad0-8841-dbd32f98b79f,3bd8cb51-dd0c-4400-9388-b3a76c4a14a1,0,1.0,,,f959692c-f5f2-4fec-83d0-0fcfcf30a9ef,1403a8fb-39a4-4e2f-b6cd-5d7e334df789,6,7,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
Turniej ME-SBG LOTR 650 pkt w Krolmie,3bcc8b95-81b0-41db-ab3a-ea292402dbbe,Runda 2,0d48d9b8-e0e9-489e-9bdd-46461fd78b9d,FINISHED,9dbe0030-817e-4e3d-a293-e6151a0b5852,2,2026-01-11T11:12:36.479Z,e8c31ee6-d970-49c0-baf8-e16b3b34e8b0,d676ab50-4520-4a0a-9fde-3dc9f075198e,0,18.0,,,febb00e1-9663-492e-a9cf-9088f41b73a4,78dcd687-a7f0-4fff-8ba0-8bf91d031f3b,6,37,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
Turniej ME-SBG LOTR 650 pkt w Krolmie,3bcc8b95-81b0-41db-ab3a-ea292402dbbe,Runda 2,0d48d9b8-e0e9-489e-9bdd-46461fd78b9d,FINISHED,d01bfb36-41ce-481d-8e85-76306e297cb4,3,2026-01-11T11:12:36.479Z,5ace62c9-01d5-4d9c-9477-3d34b4c1dfb6,cbc2634d-a5f1-45d8-8a61-d86b9467d882,0,,,,a7266a46-f43a-4a67-9729-23aa2683e38b,47cfa2d3-2d49-480e-b1bc-f41dc95b8d17,6,9,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
Turniej ME-SBG LOTR 650 pkt w Krolmie,3bcc8b95-81b0-41db-ab3a-ea292402dbbe,Runda 1,b2581702-308d-4e66-9da1-9e31e59a63db,FINISHED,c0444309-2325-41de-a9da-ea099cf01d02,0,2026-01-10T20:28:46.840Z,a65ff6b5-61c6-4390-aaae-90694831064b,1403a8fb-39a4-4e2f-b6cd-5d7e334df789,6,8.0,,,886a9c6d-7212-491e-b935-ca8101ce508b,47cfa2d3-2d49-480e-b1bc-f41dc95b8d17,0,0,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
Turniej ME-SBG LOTR 650 pkt w Krolmie,3bcc8b95-81b0-41db-ab3a-ea292402dbbe,Runda 1,b2581702-308d-4e66-9da1-9e31e59a63db,FINISHED,276d21ef-af20-4d24-adfb-b010add17b39,1,2026-01-10T20:28:46.840Z,246345e4-16af-4757-8c06-cff7f327e1fa,3bd8cb51-dd0c-4400-9388-b3a76c4a14a1,6,16.0,,,cd048a1f-1354-4660-a673-8e0f76cfe923,d676ab50-4520-4a0a-9fde-3dc9f075198e,0,4,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
Turniej ME-SBG LOTR 650 pkt w Krolmie,3bcc8b95-81b0-41db-ab3a-ea292402dbbe,Runda 1,b2581702-308d-4e66-9da1-9e31e59a63db,FINISHED,975e6309-d364-43ae-987a-d3107d0f494e,2,2026-01-10T20:28:46.840Z,b16add45-815d-483a-a16a-ad669a4985ab,cbc2634d-a5f1-45d8-8a61-d86b9467d882,0,0.0,,,b0f49b45-24cf-42af-8e9b-c72fcd584903,69be8c4c-4098-4dca-82cf-eae657586cd0,6,20,,,False,False,cc036824-d7da-4255-bbb0-beff95786dc8
