Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej ME-SBG LOTR 737 pkt - urodziny Eskobara w Krolmie,7e7de94a-25b9-4718-8fcd-cd51142e6ba5,Runda 3,d6f4c6e6-87a0-4c74-b67e-1e5c8197cdd2,FINISHED,70449dfa-7584-48e0-b0b4-d497e46b547f,0,2025-12-14T14:00:48.804Z,69c3ad24-99aa-469c-8dcf-bdbdb1baab63,7db60bf3-1d9f-4ce6-8b5d-32e66d16000d,1,7,0,,db8d983d-5473-4dc7-92d8-f8d7ae2025de,9d72f208-6933-4843-8bb1-074d485e0e76,5,10,0,,False,True,9d72f208-6933-4843-8bb1-074d485e0e76
Turniej ME-SBG LOTR 737 pkt - urodziny Eskobara w Krolmie,7e7de94a-25b9-4718-8fcd-cd51142e6ba5,Runda 3,d6f4c6e6-87a0-4c74-b67e-1e5c8197cdd2,FINISHED,37fccd88-e6af-46d9-a42c-1e407696df22,1,2025-12-14T14:00:48.804Z,1688d903-73c6-4510-899b-88f8b2a2a364,9f936b49-9012-4b81-ba42-324cf1cc4cb2,6,11,0,,937bf177-8949-4fd6-8437-0f93298d12d1,fb859afc-1d55-4d43-b4dd-1893900f13e6,0,3,0,,True,False,9f936b49-9012-4b81-ba42-324cf1cc4cb2
Turniej ME-SBG LOTR 737 pkt - urodziny Eskobara w Krolmie,7e7de94a-25b9-4718-8fcd-cd51142e6ba5,Runda 3,d6f4c6e6-87a0-4c74-b67e-1e5c8197cdd2,FINISHED,8390b513-5a6f-4c1f-956d-65600b97661f,2,2025-12-14T14:00:48.804Z,89558b35-e050-46d0-bce2-366c04745f65,06621509-feb2-4ef5-9a05-31adb11d942c,0,5,0,,7d5e6c38-4084-460e-a9cd-6b4443af0ef8,3d9c2b85-855a-4af5-9786-5280365b2d7d,6,10,0,,False,True,3d9c2b85-855a-4af5-9786-5280365b2d7d
Turniej ME-SBG LOTR 737 pkt - urodziny Eskobara w Krolmie,7e7de94a-25b9-4718-8fcd-cd51142e6ba5,Runda 3,d6f4c6e6-87a0-4c74-b67e-1e5c8197cdd2,FINISHED,df5133cc-82dd-455c-a383-0df35bb52546,3,2025-12-14T14:00:48.804Z,941bdffd-375d-446b-b91e-2ce22397c4ad,3c31c04c-a1ca-4b00-92dc-d33f3841073e,6,15,0,,05a8158d-819c-4d65-8511-abe1ca851761,3bd8cb51-dd0c-4400-9388-b3a76c4a14a1,0,1,0,,True,False,3c31c04c-a1ca-4b00-92dc-d33f3841073e
Turniej ME-SBG LOTR 737 pkt - urodziny Eskobara w Krolmie,7e7de94a-25b9-4718-8fcd-cd51142e6ba5,Runda 3,d6f4c6e6-87a0-4c74-b67e-1e5c8197cdd2,FINISHED,2ab1cb23-d63e-4566-a336-335589a771c4,4,2025-12-14T14:00:48.804Z,7c29596d-2358-4f1e-960f-e8e0971f0fc3,fb74bace-d4cf-4376-9236-976b7d637026,6,8,0,,c4f4dc34-a91f-45e4-9c40-7f1636c02389,63a607ad-0eeb-4438-a6f7-2a0e12bec850,0,3,0,,True,False,fb74bace-d4cf-4376-9236-976b7d637026
Turniej ME-SBG LOTR 737 pkt - urodziny Eskobara w Krolmie,7e7de94a-25b9-4718-8fcd-cd51142e6ba5,Runda 3,d6f4c6e6-87a0-4c74-b67e-1e5c8197cdd2,FINISHED,d8854475-f71e-4e07-acbb-46f54c3a6226,5,2025-12-14T14:00:48.804Z,908e41eb-34c1-4be3-9d49-b7b9c02eb13a,29ce8b19-a17a-4ba7-8e17-ddffe260e052,6,9,0,,d5c5bdba-9816-4a92-9d90-6cad60882785,cbc2634d-a5f1-45d8-8a61-d86b9467d882,0,3,0,,True,False,29ce8b19-a17a-4ba7-8e17-ddffe260e052
Turniej ME-SBG LOTR 737 pkt - urodziny Eskobara w Krolmie,7e7de94a-25b9-4718-8fcd-cd51142e6ba5,Runda 2,fed29935-0aa2-46e9-89d6-711e1366d80a,FINISHED,561d51b0-d0a0-4938-8a9c-5608f74e75ed,0,2025-12-14T11:45:04.386Z,c6f8c14f-224c-475d-b2c3-2389d171c5fe,9f936b49-9012-4b81-ba42-324cf1cc4cb2,6,18,0,,9629643f-1a9b-4bf7-a8a2-7d52f18d0ac3,3d9c2b85-855a-4af5-9786-5280365b2d7d,0,0,0,,True,False,9f936b49-9012-4b81-ba42-324cf1cc4cb2
Turniej ME-SBG LOTR 737 pkt - urodziny Eskobara w Krolmie,7e7de94a-25b9-4718-8fcd-cd51142e6ba5,Runda 2,fed29935-0aa2-46e9-89d6-711e1366d80a,FINISHED,c6691783-42b3-4b39-a5fc-ec438a0a2620,1,2025-12-14T11:45:04.386Z,65bbcef8-574e-4b40-93d5-711c53f9fa7c,7db60bf3-1d9f-4ce6-8b5d-32e66d16000d,6,20,0,,ae078596-e783-4009-891c-1835916cc2ae,3c31c04c-a1ca-4b00-92dc-d33f3841073e,0,3,0,,True,False,7db60bf3-1d9f-4ce6-8b5d-32e66d16000d
Turniej ME-SBG LOTR 737 pkt - urodziny Eskobara w Krolmie,7e7de94a-25b9-4718-8fcd-cd51142e6ba5,Runda 2,fed29935-0aa2-46e9-89d6-711e1366d80a,FINISHED,00fafd30-a81f-4bd7-aa95-bae706d3f327,2,2025-12-14T11:45:04.386Z,1ac43281-316e-4e23-a2e9-0cc2de545112,fb859afc-1d55-4d43-b4dd-1893900f13e6,0,4,0,,53377841-2d1a-45b3-b403-841b353f8c3a,9d72f208-6933-4843-8bb1-074d485e0e76,6,13,0,,False,True,9d72f208-6933-4843-8bb1-074d485e0e76
Turniej ME-SBG LOTR 737 pkt - urodziny Eskobara w Krolmie,7e7de94a-25b9-4718-8fcd-cd51142e6ba5,Runda 2,fed29935-0aa2-46e9-89d6-711e1366d80a,FINISHED,01db7f52-2c02-46b8-8e13-f1f41032eacc,3,2025-12-14T11:45:04.386Z,7d0ace7b-5c05-47bd-93fb-30853a5edd46,06621509-feb2-4ef5-9a05-31adb11d942c,6,16,0,,af8cde4d-c03e-4427-8bcf-87a81db42978,cbc2634d-a5f1-45d8-8a61-d86b9467d882,0,2,0,,True,False,06621509-feb2-4ef5-9a05-31adb11d942c
