Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej MESBG u Gryfów | Białystok Czerwiec 2026,ff8d737c-2f77-4e99-89bb-26c0061426b6,Divide and Conquer,d77519ce-9d8a-471d-bb79-1a5431887ab2,FINISHED,85a7a9cb-944e-4f6c-b707-1ef4a3c4d2e6,0,2026-06-21T11:21:46.400Z,9b3eb815-304f-44b6-bc5f-5121fa957b05,9f900a16-db8e-4406-b310-dd395a134112,6,15.0,0.0,,2d6e07e2-ecf2-4524-af27-40cf0af56932,1403a8fb-39a4-4e2f-b6cd-5d7e334df789,0.0,4.0,0.0,,True,False,9f900a16-db8e-4406-b310-dd395a134112
Turniej MESBG u Gryfów | Białystok Czerwiec 2026,ff8d737c-2f77-4e99-89bb-26c0061426b6,Divide and Conquer,d77519ce-9d8a-471d-bb79-1a5431887ab2,FINISHED,5fb86a79-c3f7-45f3-b87e-e9a19b960045,1,2026-06-21T11:21:46.400Z,2bc25593-b8db-4ee5-93eb-e6cebc1ccbda,3da7c3c2-987d-408e-b093-18bfdeb2877a,0,2.0,0.0,,2a8b3e78-188c-48ff-8115-8f301971717a,2cfad443-8847-46de-a012-26ce9c087035,6.0,16.0,0.0,,False,True,2cfad443-8847-46de-a012-26ce9c087035
Turniej MESBG u Gryfów | Białystok Czerwiec 2026,ff8d737c-2f77-4e99-89bb-26c0061426b6,Divide and Conquer,d77519ce-9d8a-471d-bb79-1a5431887ab2,FINISHED,a11f7004-30b8-4b33-81cb-10bd369d7c20,2,2026-06-21T11:21:46.400Z,0984b135-3951-4476-9985-b7ebf866b8b5,610dd47d-893e-4d57-965f-8f813c4f235c,6,12.0,0.0,,a0d35fd6-050e-46ff-bee4-f40cdf2d9a74,0cdb8f5b-64ad-4000-b9fa-af97dde242cd,0.0,5.0,0.0,,True,False,610dd47d-893e-4d57-965f-8f813c4f235c
Turniej MESBG u Gryfów | Białystok Czerwiec 2026,ff8d737c-2f77-4e99-89bb-26c0061426b6,Divide and Conquer,d77519ce-9d8a-471d-bb79-1a5431887ab2,FINISHED,4dc6e837-d38e-46ef-8186-c9ddcd4b5021,3,2026-06-21T11:21:46.400Z,c3564fed-1760-41a8-8109-b8ab5a54cb40,6d76fd72-4dde-4033-a747-dbfcfaf62c81,1,6.0,,,9d99a0c9-480d-4e6c-ba9f-648997222ac6,627d904e-046e-45b7-b7ec-d237aafc54c1,5.0,7.0,,,False,True,627d904e-046e-45b7-b7ec-d237aafc54c1
Turniej MESBG u Gryfów | Białystok Czerwiec 2026,ff8d737c-2f77-4e99-89bb-26c0061426b6,Divide and Conquer,d77519ce-9d8a-471d-bb79-1a5431887ab2,FINISHED,659a5216-46da-4c5b-acdb-3e490adcacfb,4,2026-06-21T11:21:46.400Z,454b9554-af99-43ac-9802-4513350cca54,96ed6358-c4b2-4183-9a5f-2fa474d7c6f8,5,0.0,,,,,,,,,False,False,627d904e-046e-45b7-b7ec-d237aafc54c1
Turniej MESBG u Gryfów | Białystok Czerwiec 2026,ff8d737c-2f77-4e99-89bb-26c0061426b6,Retrieval,c9659faa-8b34-4932-9255-515459d5596a,FINISHED,822c99a1-07e0-49f5-983a-a9157c903049,0,2026-06-21T09:13:35.387Z,6d1ad2c7-f0c5-499a-aa5d-65604fa340a9,1403a8fb-39a4-4e2f-b6cd-5d7e334df789,5,20.0,0.0,,4146ef06-ec07-4dc6-b106-169d3e3c6922,2cfad443-8847-46de-a012-26ce9c087035,1.0,12.0,0.0,,False,False,627d904e-046e-45b7-b7ec-d237aafc54c1
Turniej MESBG u Gryfów | Białystok Czerwiec 2026,ff8d737c-2f77-4e99-89bb-26c0061426b6,Retrieval,c9659faa-8b34-4932-9255-515459d5596a,FINISHED,cdf04b63-18e8-4cd3-b5b7-235224d17ddf,1,2026-06-21T09:13:35.387Z,373768b4-d512-4415-be63-4e925760e3bd,0cdb8f5b-64ad-4000-b9fa-af97dde242cd,0,2.0,0.0,,876689a8-9486-4d17-ade0-ced6cb67bf83,9f900a16-db8e-4406-b310-dd395a134112,6.0,17.0,0.0,,False,True,9f900a16-db8e-4406-b310-dd395a134112
Turniej MESBG u Gryfów | Białystok Czerwiec 2026,ff8d737c-2f77-4e99-89bb-26c0061426b6,Retrieval,c9659faa-8b34-4932-9255-515459d5596a,FINISHED,e99d9b00-cb35-45a0-85d6-8b764244a42b,2,2026-06-21T09:13:35.387Z,6004f571-ba04-4ed0-b2d1-7cf68aa1bbf8,3da7c3c2-987d-408e-b093-18bfdeb2877a,6,7.0,,,f11c553a-502a-4552-9d21-d78d5588d138,627d904e-046e-45b7-b7ec-d237aafc54c1,0.0,0.0,,,False,True,627d904e-046e-45b7-b7ec-d237aafc54c1
Turniej MESBG u Gryfów | Białystok Czerwiec 2026,ff8d737c-2f77-4e99-89bb-26c0061426b6,Retrieval,c9659faa-8b34-4932-9255-515459d5596a,FINISHED,c2e8301c-ec51-4ad2-a764-5ca8d1120765,3,2026-06-21T09:13:35.387Z,5f21aaad-c533-4e02-961e-2a9b373f421e,610dd47d-893e-4d57-965f-8f813c4f235c,6,17.0,0.0,,d9472e93-bab6-4021-b63c-b2e82fb81bf7,96ed6358-c4b2-4183-9a5f-2fa474d7c6f8,0.0,1.0,0.0,,False,True,96ed6358-c4b2-4183-9a5f-2fa474d7c6f8
Turniej MESBG u Gryfów | Białystok Czerwiec 2026,ff8d737c-2f77-4e99-89bb-26c0061426b6,Retrieval,c9659faa-8b34-4932-9255-515459d5596a,FINISHED,485de65f-9688-4ea0-9d6e-9bc9fe620109,4,2026-06-21T09:13:35.387Z,62c18f52-4f2d-49da-8454-c21b9f4dd77d,6d76fd72-4dde-4033-a747-dbfcfaf62c81,5,0.0,,,,,,,,,False,False,627d904e-046e-45b7-b7ec-d237aafc54c1
Turniej MESBG u Gryfów | Białystok Czerwiec 2026,ff8d737c-2f77-4e99-89bb-26c0061426b6,Hold Ground,51f576d9-61c5-42fc-9576-0d01b8b13737,FINISHED,ecf457c8-5cdb-4fa9-8be1-d5b8ad66ba85,0,2026-06-21T05:47:36.450Z,2545524a-7e8b-4bf1-829c-908f34247fb9,96ed6358-c4b2-4183-9a5f-2fa474d7c6f8,0,0.0,0.0,,9e89c4cd-7bac-4029-931e-1bdb1a100fe4,0cdb8f5b-64ad-4000-b9fa-af97dde242cd,6.0,12.0,0.0,,False,True,0cdb8f5b-64ad-4000-b9fa-af97dde242cd
Turniej MESBG u Gryfów | Białystok Czerwiec 2026,ff8d737c-2f77-4e99-89bb-26c0061426b6,Hold Ground,51f576d9-61c5-42fc-9576-0d01b8b13737,FINISHED,5155b916-d1a7-4da5-a406-286165e9a949,1,2026-06-21T05:47:36.450Z,6ef9804b-cffb-4973-94a4-0481a18f9ff8,3da7c3c2-987d-408e-b093-18bfdeb2877a,5,6.0,0.0,,3334a8ad-8a62-4a07-b0e5-c53ff2ee1671,610dd47d-893e-4d57-965f-8f813c4f235c,1.0,3.0,0.0,,True,False,3da7c3c2-987d-408e-b093-18bfdeb2877a
Turniej MESBG u Gryfów | Białystok Czerwiec 2026,ff8d737c-2f77-4e99-89bb-26c0061426b6,Hold Ground,51f576d9-61c5-42fc-9576-0d01b8b13737,FINISHED,6218132d-98ba-481f-8c71-14ce404865f9,2,2026-06-21T07:08:11.573Z,c04c61d1-7a26-4681-bed8-5f910899dda4,1403a8fb-39a4-4e2f-b6cd-5d7e334df789,6,20.0,,,392f3de5-f92d-41bc-ab73-f290057018d9,627d904e-046e-45b7-b7ec-d237aafc54c1,0.0,2.0,,,False,True,627d904e-046e-45b7-b7ec-d237aafc54c1
Turniej MESBG u Gryfów | Białystok Czerwiec 2026,ff8d737c-2f77-4e99-89bb-26c0061426b6,Hold Ground,51f576d9-61c5-42fc-9576-0d01b8b13737,FINISHED,c987d1df-aeb1-4e4d-8369-4d802eddbfef,3,2026-06-21T05:47:36.450Z,66c1d895-3074-45d1-b261-84921a6a1da3,2cfad443-8847-46de-a012-26ce9c087035,6,16.0,0.0,,ffc8b937-5710-4032-9dd2-2a620fe186c0,6d76fd72-4dde-4033-a747-dbfcfaf62c81,0.0,0.0,0.0,,True,False,2cfad443-8847-46de-a012-26ce9c087035
Turniej MESBG u Gryfów | Białystok Czerwiec 2026,ff8d737c-2f77-4e99-89bb-26c0061426b6,Hold Ground,51f576d9-61c5-42fc-9576-0d01b8b13737,FINISHED,635f1f80-a45e-4116-a62c-7f64dd763c7f,4,2026-06-21T07:08:11.573Z,f20bc80a-4309-43af-9305-cb5a5bbd62ec,9f900a16-db8e-4406-b310-dd395a134112,6,,,,,,,,,,False,False,627d904e-046e-45b7-b7ec-d237aafc54c1
