Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej Middle-Earth SBG 12.04.2026,c590b755-b8ae-40c9-8d68-7eee14440a1c,Rekon,532668b0-2949-4af0-804c-e918df34c216,FINISHED,4b111256-5a3f-405c-9d72-bc82b10c0884,0,2026-04-07T07:31:06.388Z,ab4a877c-2b3f-415b-b6b9-9fca309a752b,224b8d3d-7e1f-4095-853a-088883879195,8.0,10.0,0.0,,,,,,,,True,False,224b8d3d-7e1f-4095-853a-088883879195
Turniej Middle-Earth SBG 12.04.2026,c590b755-b8ae-40c9-8d68-7eee14440a1c,Rekon,532668b0-2949-4af0-804c-e918df34c216,FINISHED,eb9583b5-a2e0-4142-975e-5159b789720b,1,2026-04-07T07:31:06.388Z,e70d4608-60c7-4a92-b9fd-5b3975bec3a8,7fad5775-4390-4bca-bc5b-80a73e76ee1c,3.0,2.0,0.0,False,a1a2401f-50ff-4336-9626-eb533ba2afc1,88eff5e1-e5fa-40df-ac60-dd5cb0c71bad,6.0,3.0,0.0,False,True,False,7fad5775-4390-4bca-bc5b-80a73e76ee1c
Turniej Middle-Earth SBG 12.04.2026,c590b755-b8ae-40c9-8d68-7eee14440a1c,Rekon,532668b0-2949-4af0-804c-e918df34c216,FINISHED,c0645ab3-1862-487b-97d0-11293ea36334,2,2026-04-07T07:31:06.388Z,a2753d8f-f8bd-4729-834d-a3588bd9e981,bd51334f-700f-46ea-9801-7fa43e9c53d0,8.0,16.0,0.0,,55814511-49b8-43da-84b4-13daebd34c68,d02f6904-35dc-4b82-9b83-fb9fa71a8871,0.0,0.0,0.0,,True,False,bd51334f-700f-46ea-9801-7fa43e9c53d0
Turniej Middle-Earth SBG 12.04.2026,c590b755-b8ae-40c9-8d68-7eee14440a1c,Rekon,532668b0-2949-4af0-804c-e918df34c216,FINISHED,3cedd8af-1344-4369-94f7-c1f411e23e9d,3,2026-04-12T08:59:27.641Z,677cdf97-a7fc-4aca-a10b-24a083e03cd1,ee9220cc-08cd-4cbe-be6d-1f510d91dfa6,7.0,3.0,0.0,,ad9f81d7-b14d-4a55-b6ac-3b14c0f44941,5d7fc271-b24c-4d21-a3c2-88794f879f3f,1.0,1.0,0.0,,True,False,ee9220cc-08cd-4cbe-be6d-1f510d91dfa6
Turniej Middle-Earth SBG 12.04.2026,c590b755-b8ae-40c9-8d68-7eee14440a1c,Rekon,532668b0-2949-4af0-804c-e918df34c216,FINISHED,1051eecb-6cc9-41e3-9740-f378d544568a,4,2026-04-07T07:31:06.388Z,b264a1bd-24ea-417e-a100-21f62101eb8b,e4d61c3c-2c1f-47b9-b585-d3b0f13db96e,7.0,6.0,0.0,,a755c432-150b-499a-bfac-e2a19ffdf35a,de07754d-8cc5-4cb0-939f-cc83c85a314c,1.0,0.0,0.0,,False,True,de07754d-8cc5-4cb0-939f-cc83c85a314c
Turniej Middle-Earth SBG 12.04.2026,c590b755-b8ae-40c9-8d68-7eee14440a1c,Rekon,532668b0-2949-4af0-804c-e918df34c216,FINISHED,7a035a92-ea14-4356-8bb5-125485f54f0b,5,2026-04-07T07:31:06.388Z,d996195f-107e-4eab-8850-a3ab9149071e,93cda88b-c976-4e61-8f65-9a5a5f1ecf7b,0.0,0.0,0.0,False,10797efc-48e3-4cc5-9d13-64eaf31e5af7,6fbfdbec-7d0c-4900-a4a5-7bdf560ca7a2,8.0,15.0,0.0,True,False,True,6fbfdbec-7d0c-4900-a4a5-7bdf560ca7a2
Turniej Middle-Earth SBG 12.04.2026,c590b755-b8ae-40c9-8d68-7eee14440a1c,Rekon,532668b0-2949-4af0-804c-e918df34c216,FINISHED,bd254bab-a29d-411d-9dc2-1c24418fcfc4,6,2026-04-07T07:31:06.388Z,ea400cd3-9dcd-415a-bb7b-19b0a031e93b,c6592721-9d53-40f9-b982-0b08fab710b9,8.0,12.0,0.0,,bfe65fc1-3d1d-49c6-a1ac-08fc6d6dd444,10200913-4bf7-4ddb-a2c5-19498c664fd1,0.0,1.0,0.0,True,False,True,10200913-4bf7-4ddb-a2c5-19498c664fd1
Turniej Middle-Earth SBG 12.04.2026,c590b755-b8ae-40c9-8d68-7eee14440a1c,Rekon,532668b0-2949-4af0-804c-e918df34c216,FINISHED,7b9e8e1b-3824-4dd2-9d5f-6106a15b8428,7,2026-04-07T07:31:06.388Z,a1622a98-f915-4bff-82ca-7549924ac745,4a511f44-0b5e-4f86-b9ea-6db298859c11,6.0,5.0,0.0,True,60c65573-272c-4eda-b65a-39f44bc85270,583da22c-2bcc-451a-9bd2-f1014dbbedc2,3.0,4.0,0.0,False,True,False,4a511f44-0b5e-4f86-b9ea-6db298859c11
Turniej Middle-Earth SBG 12.04.2026,c590b755-b8ae-40c9-8d68-7eee14440a1c,Rekon,532668b0-2949-4af0-804c-e918df34c216,FINISHED,b2206638-4bdb-45c4-8cda-fcf3ca39ee8a,8,2026-04-12T08:59:27.641Z,5071eda3-f015-4d7f-ae4e-6c87131372ef,4a3551b3-8b11-4138-b084-2fce3aa5c9f7,,,,,6ece6913-98be-4b7d-ac6e-0850888d7d70,4a3c4c68-00c5-4b33-9a43-22a1665db923,,,,,False,False,
Turniej Middle-Earth SBG 12.04.2026,c590b755-b8ae-40c9-8d68-7eee14440a1c,Rekon,532668b0-2949-4af0-804c-e918df34c216,FINISHED,deff20ee-109f-4a2c-b043-93ecf204ca30,9,2026-04-07T07:31:06.388Z,36076082-3ab5-4bd0-9b56-5ad9707abded,e0392558-e263-4874-b380-e33152fcecbe,4.0,5.0,0.0,,5b16e523-4878-4585-a25b-329ca67e2660,4e25c78d-dec8-4398-9d7b-0a362ecd7a96,4.0,5.0,0.0,True,True,False,e0392558-e263-4874-b380-e33152fcecbe
Turniej Middle-Earth SBG 12.04.2026,c590b755-b8ae-40c9-8d68-7eee14440a1c,Ttd,2c9b8e98-c70d-48f0-9345-57504d48de91,FINISHED,58b37827-4a33-4615-8476-36e2d2260198,0,2026-04-12T12:34:55.719Z,cae6fec8-ab81-44a6-9465-b0aa941f1ff7,6fbfdbec-7d0c-4900-a4a5-7bdf560ca7a2,1.0,4.0,0.0,,bf9b673d-39a6-4b16-b761-20d77630994b,224b8d3d-7e1f-4095-853a-088883879195,7.0,11.0,0.0,,False,True,224b8d3d-7e1f-4095-853a-088883879195
Turniej Middle-Earth SBG 12.04.2026,c590b755-b8ae-40c9-8d68-7eee14440a1c,Ttd,2c9b8e98-c70d-48f0-9345-57504d48de91,FINISHED,4db4c4e4-3c5f-4311-a10a-864ff63d93bf,1,2026-04-12T12:34:55.719Z,0cdcc373-7fe5-4346-aad0-1f668f9d37f0,ee9220cc-08cd-4cbe-be6d-1f510d91dfa6,3.0,8.0,0.0,,9644fc92-2dd7-4435-a458-24ed3783e257,4a511f44-0b5e-4f86-b9ea-6db298859c11,6.0,9.0,0.0,True,False,True,4a511f44-0b5e-4f86-b9ea-6db298859c11
Turniej Middle-Earth SBG 12.04.2026,c590b755-b8ae-40c9-8d68-7eee14440a1c,Ttd,2c9b8e98-c70d-48f0-9345-57504d48de91,FINISHED,2768daa1-1b3b-4639-b99d-edb8173b6c35,2,2026-04-12T14:05:12.703Z,ce1d3a13-6080-4bdf-afc2-6f54ac6bcd20,e0392558-e263-4874-b380-e33152fcecbe,8.0,20.0,0.0,,a516033f-d4eb-49ae-af85-7eb6af2eb6fd,bd51334f-700f-46ea-9801-7fa43e9c53d0,0.0,0.0,0.0,,True,False,e0392558-e263-4874-b380-e33152fcecbe
Turniej Middle-Earth SBG 12.04.2026,c590b755-b8ae-40c9-8d68-7eee14440a1c,Ttd,2c9b8e98-c70d-48f0-9345-57504d48de91,FINISHED,4925474b-802d-465b-b8d5-4000aab6f717,3,2026-04-12T12:34:55.719Z,ee958cb8-6b54-457e-a991-0307221f4212,c6592721-9d53-40f9-b982-0b08fab710b9,0.0,0.0,0.0,,4da8c747-7a21-49e5-8e3b-2cbc2f49f0d3,93cda88b-c976-4e61-8f65-9a5a5f1ecf7b,8.0,20.0,0.0,True,False,True,93cda88b-c976-4e61-8f65-9a5a5f1ecf7b
Turniej Middle-Earth SBG 12.04.2026,c590b755-b8ae-40c9-8d68-7eee14440a1c,Ttd,2c9b8e98-c70d-48f0-9345-57504d48de91,FINISHED,bd161f14-6ae0-4d59-8785-6ac833f0eb2f,4,2026-04-12T14:05:12.703Z,1a4512ac-7fac-460a-b943-80a5d9fa2a30,10200913-4bf7-4ddb-a2c5-19498c664fd1,0.0,1.0,0.0,True,a144e98f-e3b0-4299-ba9d-867e1c9baba4,5d7fc271-b24c-4d21-a3c2-88794f879f3f,8.0,20.0,0.0,,True,False,10200913-4bf7-4ddb-a2c5-19498c664fd1
