Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Lordsy,2e604429-f75a-4a57-bd59-4e9a2c90c98e,FINISHED,8b5feec4-ac44-4327-8445-581e1104abdb,0,2025-12-13T12:54:30.293Z,de5e1cf7-0c95-411c-bb00-ed2d83d0475b,e0392558-e263-4874-b380-e33152fcecbe,1,3,0.0,,1c777bc8-f59c-4fbc-8ce8-65aef87bfc18,9e5a191c-e93a-436d-b7b0-95d223dd6e2e,7,7,0.0,,True,False,e0392558-e263-4874-b380-e33152fcecbe
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Lordsy,2e604429-f75a-4a57-bd59-4e9a2c90c98e,FINISHED,93d5dd67-ee96-468a-a84c-5a529ff5ff28,1,2025-12-13T12:54:30.293Z,3ed58f4f-8932-4311-814c-4b68e61939c7,21c12fb0-4289-4df3-8bad-f18c2a49fd0d,4,4,0.0,False,866a6062-d02d-4e20-a2d4-80a1cf84d9cb,6fbfdbec-7d0c-4900-a4a5-7bdf560ca7a2,4,4,0.0,,True,False,21c12fb0-4289-4df3-8bad-f18c2a49fd0d
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Lordsy,2e604429-f75a-4a57-bd59-4e9a2c90c98e,FINISHED,e470c415-1527-4cd7-9052-7f6f1c3c8c36,2,2025-12-13T12:54:30.293Z,50031551-6d7a-4bb1-a0b9-158a334b8df6,bd51334f-700f-46ea-9801-7fa43e9c53d0,7,7,0.0,False,9ad0fa05-8f8b-4e56-8054-ecf380dcc36d,224b8d3d-7e1f-4095-853a-088883879195,1,3,0.0,,False,True,224b8d3d-7e1f-4095-853a-088883879195
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Lordsy,2e604429-f75a-4a57-bd59-4e9a2c90c98e,FINISHED,f1d7dd31-d332-4d8c-bbc2-d12b21e80395,3,2025-12-13T12:54:30.293Z,c2cb3f42-1396-4d1a-a86f-9977ed9d3dbd,4a511f44-0b5e-4f86-b9ea-6db298859c11,8,15,0.0,False,0ce9dbc0-6da9-4f02-ae28-5b3f64612cfe,beec30f8-4a47-431b-b7ed-e7f37e95bbbc,0,0,0.0,,True,False,4a511f44-0b5e-4f86-b9ea-6db298859c11
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Lordsy,2e604429-f75a-4a57-bd59-4e9a2c90c98e,FINISHED,a0fbb989-c784-4169-ab5d-0cb5d6fb854d,4,2025-12-13T12:54:30.293Z,44fcace4-d565-4008-ad28-18457fe4a975,93cda88b-c976-4e61-8f65-9a5a5f1ecf7b,4,3,0.0,False,f147d7f8-7b34-431b-b5b7-056fdaea2cd8,9c7ddcbf-c6ea-49a5-929a-58dfc77250b8,4,3,0.0,,True,False,93cda88b-c976-4e61-8f65-9a5a5f1ecf7b
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Lordsy,2e604429-f75a-4a57-bd59-4e9a2c90c98e,FINISHED,80809ce1-6f89-4544-a7ab-33cd9cc7f098,5,2025-12-13T12:55:36.388Z,378e1e58-1fa8-4c29-a2bf-cc5779aa4c22,88eff5e1-e5fa-40df-ac60-dd5cb0c71bad,1,11,,,32fa2134-39c9-481c-a1fb-e3e61ba08c2b,5d7fc271-b24c-4d21-a3c2-88794f879f3f,7,2,,,False,False,bd51334f-700f-46ea-9801-7fa43e9c53d0
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Lordsy,2e604429-f75a-4a57-bd59-4e9a2c90c98e,FINISHED,2710c7e6-52bc-4471-9091-a1bac8bf92c4,6,2025-12-13T12:54:30.293Z,f62c67a2-348f-4807-a8c4-41e311739488,ee9220cc-08cd-4cbe-be6d-1f510d91dfa6,7,7,0.0,,4d0e8c8e-1e5e-4eab-ae05-de59c97736ef,4e25c78d-dec8-4398-9d7b-0a362ecd7a96,1,3,0.0,,True,False,ee9220cc-08cd-4cbe-be6d-1f510d91dfa6
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Lordsy,2e604429-f75a-4a57-bd59-4e9a2c90c98e,FINISHED,410a05d7-5230-4148-bcd5-b133700de136,7,2025-12-13T12:55:36.388Z,ea7acdef-e3b7-4ecf-9401-60a1b909bff7,7fad5775-4390-4bca-bc5b-80a73e76ee1c,4,10,0.0,,f077df5c-f91e-4241-b634-21539f81ceaa,97c5e5bc-7502-4f16-9c1b-53ead4fab5b2,4,10,0.0,,True,False,7fad5775-4390-4bca-bc5b-80a73e76ee1c
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Xmas points,ada258ac-d13a-4f8b-9f41-fe26efabbf6c,FINISHED,2832ff65-fb63-4e74-aa30-b3e9bcede275,0,2025-12-13T10:32:10.887Z,6c897d21-1af0-4ee7-be14-b1a340fad712,9e5a191c-e93a-436d-b7b0-95d223dd6e2e,7,6,0.0,,d64524ee-0a03-4163-9ff9-7bc59275b444,224b8d3d-7e1f-4095-853a-088883879195,1,2,0.0,,True,False,9e5a191c-e93a-436d-b7b0-95d223dd6e2e
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Xmas points,ada258ac-d13a-4f8b-9f41-fe26efabbf6c,FINISHED,a302c305-01c1-4d79-93cd-b3bceb4a4ef7,1,2025-12-13T10:32:10.887Z,af90b4a5-9bb7-471c-b1e4-ae4bd1c840db,e0392558-e263-4874-b380-e33152fcecbe,8,20,0.0,,ebe79d75-22cd-49f3-b2e2-da7097f7644a,97c5e5bc-7502-4f16-9c1b-53ead4fab5b2,0,0,0.0,,True,False,e0392558-e263-4874-b380-e33152fcecbe
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Xmas points,ada258ac-d13a-4f8b-9f41-fe26efabbf6c,FINISHED,96ba66e2-c191-4db9-ba29-e94f1d5d57b4,2,2025-12-13T10:32:10.887Z,c9d8bf2f-2204-43c0-95e1-d6807ab56b27,4a511f44-0b5e-4f86-b9ea-6db298859c11,1,6,0.0,True,7233a656-7c1e-4454-8188-633ac6cb30ae,21c12fb0-4289-4df3-8bad-f18c2a49fd0d,7,8,0.0,False,False,True,21c12fb0-4289-4df3-8bad-f18c2a49fd0d
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Xmas points,ada258ac-d13a-4f8b-9f41-fe26efabbf6c,FINISHED,0dd79f53-c6c3-412b-b32f-0daa8d63b060,3,2025-12-13T10:32:10.887Z,07aeeff8-2a85-4b58-86fe-f518c204bc7b,beec30f8-4a47-431b-b7ed-e7f37e95bbbc,1,2,0.0,,bf66c156-0641-4f19-81db-b73292e789bd,6fbfdbec-7d0c-4900-a4a5-7bdf560ca7a2,7,6,0.0,,False,True,6fbfdbec-7d0c-4900-a4a5-7bdf560ca7a2
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Xmas points,ada258ac-d13a-4f8b-9f41-fe26efabbf6c,FINISHED,4b63d508-03bf-4e93-b736-ca9e55aaab64,4,2025-12-13T10:32:10.887Z,a67bf9a6-fd1f-4e00-99a6-2a775ba8af81,9c7ddcbf-c6ea-49a5-929a-58dfc77250b8,6,6,0.0,,37c28d23-ccd7-4409-ac20-12bac3592aaa,ee9220cc-08cd-4cbe-be6d-1f510d91dfa6,3,5,0.0,,False,True,ee9220cc-08cd-4cbe-be6d-1f510d91dfa6
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Xmas points,ada258ac-d13a-4f8b-9f41-fe26efabbf6c,FINISHED,85d425cf-bcef-4d2e-a6bf-f60620efae07,5,2025-12-13T10:32:10.887Z,d259d058-7e4c-4ddc-b5c0-c0f4de88988f,5d7fc271-b24c-4d21-a3c2-88794f879f3f,0,0,0.0,True,936130b8-b0a2-452a-ad9d-a1745c251062,bd51334f-700f-46ea-9801-7fa43e9c53d0,8,13,0.0,True,False,True,bd51334f-700f-46ea-9801-7fa43e9c53d0
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Xmas points,ada258ac-d13a-4f8b-9f41-fe26efabbf6c,FINISHED,197934b6-778a-4177-a7c3-81e3720c7383,6,2025-12-13T10:32:10.887Z,02730834-7215-4da9-a731-aaf0d014fb7e,93cda88b-c976-4e61-8f65-9a5a5f1ecf7b,7,6,0.0,False,e751eeef-cf8f-484d-b229-eeabc3aa6d44,4e25c78d-dec8-4398-9d7b-0a362ecd7a96,1,2,0.0,,True,False,93cda88b-c976-4e61-8f65-9a5a5f1ecf7b
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Xmas points,ada258ac-d13a-4f8b-9f41-fe26efabbf6c,FINISHED,0d8ae929-cad5-4f63-82b0-2be977897036,7,2025-12-13T10:32:10.887Z,34a0b21a-43c8-472d-888c-9dc004ecba2e,7fad5775-4390-4bca-bc5b-80a73e76ee1c,7,6,0.0,False,ecbe3ce6-22fc-4add-9fea-3a3a3c8b0df6,88eff5e1-e5fa-40df-ac60-dd5cb0c71bad,1,2,0.0,,True,False,7fad5775-4390-4bca-bc5b-80a73e76ee1c
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Scenariusz z prezentami ,0f7cbb07-f369-475c-b2e7-94c41fb4f37b,FINISHED,163c7050-6bc5-4c82-b47d-797b2da7076d,0,2025-12-12T07:03:05.344Z,67aeb224-54c0-4d8c-84f4-7424094fe905,97c5e5bc-7502-4f16-9c1b-53ead4fab5b2,7,14,0.0,,df63af44-d14c-42b7-9fa6-42a1af5cd28f,93cda88b-c976-4e61-8f65-9a5a5f1ecf7b,1,6,0.0,False,True,False,97c5e5bc-7502-4f16-9c1b-53ead4fab5b2
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Scenariusz z prezentami ,0f7cbb07-f369-475c-b2e7-94c41fb4f37b,FINISHED,c0c17d7e-ef35-4da8-8860-70b10e4fb9ff,1,2025-12-13T06:31:27.469Z,a5c46142-1c65-4a3d-a14c-01a99e0fccaf,7fad5775-4390-4bca-bc5b-80a73e76ee1c,0,6,0.0,False,52bb1b09-9134-48a4-91a6-0f10c6595158,224b8d3d-7e1f-4095-853a-088883879195,8,16,0.0,,True,True,224b8d3d-7e1f-4095-853a-088883879195
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Scenariusz z prezentami ,0f7cbb07-f369-475c-b2e7-94c41fb4f37b,FINISHED,ac835cdc-000d-4357-96a4-baa687cf866d,2,2025-12-10T11:03:27.638Z,52f47dd0-e9b3-45f6-9106-6c6850a8ef41,4a511f44-0b5e-4f86-b9ea-6db298859c11,7,14,0.0,False,9243e25f-03f0-486e-a303-c59dd566550e,9c7ddcbf-c6ea-49a5-929a-58dfc77250b8,1,8,0.0,,True,False,4a511f44-0b5e-4f86-b9ea-6db298859c11
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Scenariusz z prezentami ,0f7cbb07-f369-475c-b2e7-94c41fb4f37b,FINISHED,64570bc1-d11f-4768-90a8-a54c7b64d491,3,2025-12-10T11:03:27.638Z,c3beb5fd-5edc-49ad-a49d-500166ad1bc8,6fbfdbec-7d0c-4900-a4a5-7bdf560ca7a2,7,11,0.0,,0828625e-3dc7-4ee5-9b1c-c2b29e957c48,5d7fc271-b24c-4d21-a3c2-88794f879f3f,1,8,0.0,False,True,False,6fbfdbec-7d0c-4900-a4a5-7bdf560ca7a2
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Scenariusz z prezentami ,0f7cbb07-f369-475c-b2e7-94c41fb4f37b,FINISHED,5d5f1903-eeb2-453c-bacb-f1bfa501fe77,4,2025-12-10T11:03:27.638Z,9eb8e1f5-06a5-42ed-8c4e-0cae2e499ee6,e0392558-e263-4874-b380-e33152fcecbe,7,15,0.0,,44b61a22-29f9-4dd2-a9d2-84428016f8fa,bd51334f-700f-46ea-9801-7fa43e9c53d0,1,7,0.0,False,True,False,e0392558-e263-4874-b380-e33152fcecbe
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Scenariusz z prezentami ,0f7cbb07-f369-475c-b2e7-94c41fb4f37b,FINISHED,0c63780f-03a2-437a-ba86-18018123216c,5,2025-12-10T11:03:27.638Z,b03f07e2-0bcd-4fec-a2ef-ec87735a80c9,4e25c78d-dec8-4398-9d7b-0a362ecd7a96,1,6,0.0,,12150dc0-95d2-4801-b9d5-14dcb05cb93e,21c12fb0-4289-4df3-8bad-f18c2a49fd0d,7,14,0.0,False,False,True,21c12fb0-4289-4df3-8bad-f18c2a49fd0d
Turniej Middle-Earth SBG - 702 p. 13.12.2025 ,cf572200-c28e-4ddb-bbbd-faf7cf2f24dd,Scenariusz z prezentami ,0f7cbb07-f369-475c-b2e7-94c41fb4f37b,FINISHED,9667914c-5252-4f21-9a6b-b444b094328c,6,2025-12-10T11:03:27.638Z,5d87452e-502e-428f-9710-82ba299a6cbe,88eff5e1-e5fa-40df-ac60-dd5cb0c71bad,0,4,0.0,,097ce571-d0af-4086-abe2-536ce415f641,9e5a191c-e93a-436d-b7b0-95d223dd6e2e,8,16,0.0,,False,True,9e5a191c-e93a-436d-b7b0-95d223dd6e2e
