Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej Middle Earth SBG Kielce- Grudzień  (Parówka),b8e559ec-42da-4f7b-ba01-49ae3530375b,No escape,9c13bc3b-a81e-41a8-b804-b540c536a450,FINISHED,834996a8-bfb9-44b3-9798-b1a1a778a902,0,2025-12-07T14:38:28.526Z,f41b5fdf-5df2-4b91-8450-2260a70bdf5f,d1928738-701d-4759-abe9-ff1123a28015,97,1,2,,ed184243-193e-4bff-ac42-b6ee005c7b63,e6e5a8d2-8242-4824-a2b7-06ab0138071f,503,5,5,,True,False,de531847-5760-46e8-b02d-193569efdd23
Turniej Middle Earth SBG Kielce- Grudzień  (Parówka),b8e559ec-42da-4f7b-ba01-49ae3530375b,No escape,9c13bc3b-a81e-41a8-b804-b540c536a450,FINISHED,10d82a8b-7c6f-4e39-bcb8-ea172a8998fb,1,2025-12-07T14:38:28.526Z,cd95c2eb-32c6-4de6-9039-317b8cf047be,de531847-5760-46e8-b02d-193569efdd23,97,1,2,,d13f4261-287d-42a7-a09f-6c8c50e4ae9f,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b,503,5,5,,True,False,de531847-5760-46e8-b02d-193569efdd23
Turniej Middle Earth SBG Kielce- Grudzień  (Parówka),b8e559ec-42da-4f7b-ba01-49ae3530375b,No escape,9c13bc3b-a81e-41a8-b804-b540c536a450,FINISHED,c26c43e1-f157-4495-9e55-75c066781cd1,2,2025-12-07T14:38:28.526Z,16185f23-39b4-4171-9424-8a76933f2101,1cd9909c-5aa9-41e1-adef-adc288fad817,-15,0,5,,83138d04-86f9-4d2e-9f91-05135806e53d,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,615,6,20,,False,True,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce- Grudzień  (Parówka),b8e559ec-42da-4f7b-ba01-49ae3530375b,No escape,9c13bc3b-a81e-41a8-b804-b540c536a450,FINISHED,4df576ba-7771-47b3-bed5-9556bc39c948,3,2025-12-07T14:38:28.526Z,a7693970-f5e3-48ca-a051-3f5b19b6a384,f48752fd-e96a-49e3-bb78-8c12475d82ae,-15,0,5,,d0074e98-ba5a-4e2b-8c53-919cea143407,020cf440-78d8-4a7d-8258-1592efe45c5a,615,6,20,,False,True,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce- Grudzień  (Parówka),b8e559ec-42da-4f7b-ba01-49ae3530375b,No escape,9c13bc3b-a81e-41a8-b804-b540c536a450,FINISHED,040b3974-1a7e-4dde-9e39-afe65ac73226,4,2025-12-07T14:38:28.526Z,2f201178-af3d-4479-8238-110d3c8e9978,386d0c33-6dc8-433e-a8bf-897cb624352d,-13,0,4,,5109fa03-4a10-49b2-8c47-50fe333cf019,22a23162-8fd8-4dcc-833c-430aafa67491,613,6,17,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce- Grudzień  (Parówka),b8e559ec-42da-4f7b-ba01-49ae3530375b,No escape,9c13bc3b-a81e-41a8-b804-b540c536a450,FINISHED,125793b6-cb7f-4626-a07c-d79b40cad9f9,5,2025-12-07T14:38:28.526Z,8071e5b6-87a9-4b4f-9e06-df864dddbe71,1d259229-d22a-41d7-875a-d42dcb899d72,-13,0,4,,2bf0b33f-2a5f-4f27-af2c-4aa02880e82e,fd60fbcb-36b7-4638-9d8f-4bce3e341ccf,613,6,17,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce- Grudzień  (Parówka),b8e559ec-42da-4f7b-ba01-49ae3530375b,No escape,9c13bc3b-a81e-41a8-b804-b540c536a450,FINISHED,5031d0ca-2e82-4a50-8df8-1c6445a08291,6,2025-12-07T14:38:28.526Z,18f41f29-0f4e-4844-aeff-ae65ef6c3218,d6fa65f5-0af3-4f67-ab45-015c121507f0,97,1,4,,7f278832-131e-4d87-ac5a-74b969c453c6,18bc28b3-714d-4a11-972d-514a54145413,503,5,7,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce- Grudzień  (Parówka),b8e559ec-42da-4f7b-ba01-49ae3530375b,No escape,9c13bc3b-a81e-41a8-b804-b540c536a450,FINISHED,7fb03ddb-1e42-4f9d-894b-2f693c11fde5,7,2025-12-07T14:38:28.526Z,33a0d593-f0ac-4145-afe5-74eb6990aec4,83f6f224-a83f-4b8a-8284-e19085482720,97,1,4,,d018c876-c391-4276-96ff-21304d6c40eb,6e8fd6ad-52e1-4877-84dc-2fce2d7ab7da,503,5,7,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce- Grudzień  (Parówka),b8e559ec-42da-4f7b-ba01-49ae3530375b,Duel of wits,7232fe9e-5ae4-4c4d-bed2-f705bec4d6e9,FINISHED,32538b37-789b-48cd-abb0-0589ef498415,0,2025-12-07T11:34:37.121Z,bc5694f7-394d-4e0d-9f9b-3ea3032b9282,1cd9909c-5aa9-41e1-adef-adc288fad817,-7,0,6,,424ac6cb-7ad5-4e84-b21e-65d9b0cd809e,d1928738-701d-4759-abe9-ff1123a28015,607,6,13,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce- Grudzień  (Parówka),b8e559ec-42da-4f7b-ba01-49ae3530375b,Duel of wits,7232fe9e-5ae4-4c4d-bed2-f705bec4d6e9,FINISHED,02e46890-2b2c-4e23-93cf-0c0363a65dc4,1,2025-12-07T11:34:37.121Z,3e18b075-0daf-485b-8bce-8528f003e40d,f48752fd-e96a-49e3-bb78-8c12475d82ae,-7,0,6,,4c047039-b7cc-46e3-8228-3a9fdd28e2f1,de531847-5760-46e8-b02d-193569efdd23,607,6,13,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
