Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej Middle Earth SBG Kielce - lipiec 2026 ,5297e04a-45f5-4b8f-94ec-e16263df4aea,Koszyk 1 (potem 6 i 4),726c8a0b-bd45-4d02-9540-7d2bf43b8877,FINISHED,c8e3e1d8-6cdd-44db-9460-dc6472ed5c39,0.0,2026-07-03T17:45:02.406Z,e692e03f-90c0-44ce-b3ed-981c2a55f1d7,22a23162-8fd8-4dcc-833c-430aafa67491,-15,0,1,,80a12655-ee88-451d-a80d-09e824562fbe,b9991a3f-21db-4617-833e-e0341de18725,615.0,6.0,16.0,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - lipiec 2026 ,5297e04a-45f5-4b8f-94ec-e16263df4aea,Koszyk 1 (potem 6 i 4),726c8a0b-bd45-4d02-9540-7d2bf43b8877,FINISHED,8447b77d-2c9d-4e15-85e5-61b3ba685354,1.0,2026-07-03T17:45:02.406Z,dfcfc4cc-310b-4af7-b57b-3548c5d82e2f,de531847-5760-46e8-b02d-193569efdd23,616,6,16,,7a94de32-4a54-4c5a-97f0-883784c22d5a,18bc28b3-714d-4a11-972d-514a54145413,-16.0,0.0,0.0,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - lipiec 2026 ,5297e04a-45f5-4b8f-94ec-e16263df4aea,Koszyk 1 (potem 6 i 4),726c8a0b-bd45-4d02-9540-7d2bf43b8877,FINISHED,d3105814-2359-4a21-bd53-c7e7dfb7e200,2.0,2026-07-03T17:45:02.406Z,120b6990-7607-4339-9e19-d991917c4fab,a32b1ece-37a7-4a61-a7b1-bdc43dde0456,608,6,11,,86ddeed7-1a85-4359-b03f-219c37b0dba6,8f22b1ed-6faf-46ef-ace6-a0c0cc7485e0,-8.0,0.0,3.0,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - lipiec 2026 ,5297e04a-45f5-4b8f-94ec-e16263df4aea,Koszyk 1 (potem 6 i 4),726c8a0b-bd45-4d02-9540-7d2bf43b8877,FINISHED,fa8f01d1-7132-4cdd-bff7-7289805b6586,3.0,2026-07-03T17:45:02.406Z,cd0f2332-e09a-4be9-b179-3c419da6cc0d,f48752fd-e96a-49e3-bb78-8c12475d82ae,502,5,9,False,bb7b9a7a-ccc2-4e29-aa01-8af49928b13a,83f6f224-a83f-4b8a-8284-e19085482720,98.0,1.0,7.0,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - lipiec 2026 ,5297e04a-45f5-4b8f-94ec-e16263df4aea,Koszyk 1 (potem 6 i 4),726c8a0b-bd45-4d02-9540-7d2bf43b8877,FINISHED,cde4ad2c-6f02-41f1-a5ad-a347ddb18fc1,4.0,2026-07-03T17:45:02.406Z,9721b239-5dfb-442e-9e2f-e8f54cd3536e,d8b7ff67-b46c-4463-9980-748e34a09f60,98,1,6,False,5cea2b28-4af4-4891-970e-251b048c9edb,6e8fd6ad-52e1-4877-84dc-2fce2d7ab7da,502.0,5.0,8.0,,False,True,6e8fd6ad-52e1-4877-84dc-2fce2d7ab7da
Turniej Middle Earth SBG Kielce - lipiec 2026 ,5297e04a-45f5-4b8f-94ec-e16263df4aea,Koszyk 1 (potem 6 i 4),726c8a0b-bd45-4d02-9540-7d2bf43b8877,FINISHED,86e3d591-86ae-49d1-a7b1-f32545d82727,5.0,2026-07-03T17:45:02.406Z,b14cdee9-4e5b-4216-96cb-fc89820caf58,202f2e46-34fe-4c55-8971-33d026fbb1af,-18,0,1,,7592b6f7-196d-40dc-8c5a-2451b5fddb53,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,618.0,6.0,19.0,True,False,True,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - lipiec 2026 ,5297e04a-45f5-4b8f-94ec-e16263df4aea,Koszyk 1 (potem 6 i 4),726c8a0b-bd45-4d02-9540-7d2bf43b8877,FINISHED,8c60d6e0-03dc-4334-8cfe-2a148eb6dc36,,2026-07-03T17:45:02.406Z,33f7bf08-d728-4036-9e62-f1276a061374,4190b8db-c681-4013-8495-4b3853c39ccc,610,6,0,,,,,,,,False,False,de531847-5760-46e8-b02d-193569efdd23
Turniej Middle Earth SBG Kielce - lipiec 2026 ,5297e04a-45f5-4b8f-94ec-e16263df4aea,Koszyk 6,c9efec3b-11fa-4a53-8e37-10c64377cbc6,FINISHED,7980f002-f2c2-47b0-84df-090099509ab9,0.0,2026-07-05T10:35:19.527Z,da43bdc7-fdc5-48b4-8ed9-03d3db666eb8,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,610,6,15,False,34e51aa6-cf18-42bd-a0cd-8b04408d5912,de531847-5760-46e8-b02d-193569efdd23,-10.0,0.0,5.0,,False,True,de531847-5760-46e8-b02d-193569efdd23
Turniej Middle Earth SBG Kielce - lipiec 2026 ,5297e04a-45f5-4b8f-94ec-e16263df4aea,Koszyk 6,c9efec3b-11fa-4a53-8e37-10c64377cbc6,FINISHED,760c106d-dc62-4638-a45c-5ebf0784f9dc,1.0,2026-07-05T10:35:19.527Z,b2627cb1-800d-4def-afb6-9f9ad8d2862f,a32b1ece-37a7-4a61-a7b1-bdc43dde0456,503,5,9,,41f99d6f-4cd6-482f-bec3-ffd15bc31105,b9991a3f-21db-4617-833e-e0341de18725,97.0,1.0,6.0,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - lipiec 2026 ,5297e04a-45f5-4b8f-94ec-e16263df4aea,Koszyk 6,c9efec3b-11fa-4a53-8e37-10c64377cbc6,FINISHED,aacec3cc-f053-4a53-97ee-c314e4ef3c71,2.0,2026-07-05T10:35:19.527Z,3d9a8afd-669f-464d-80be-0bad4ca222ec,4190b8db-c681-4013-8495-4b3853c39ccc,606,6,8,,0ba7f978-352f-47f5-ae7c-35cc6bab637a,f48752fd-e96a-49e3-bb78-8c12475d82ae,-6.0,0.0,2.0,,False,False,de531847-5760-46e8-b02d-193569efdd23
