Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej Middle Earth SBG Kielce - luty 2026 Re-Otwarcie Sezonu (Pre IMP),c3f0208b-a0ce-419b-b097-57d8d3aa39a6,2 Bitwa,792cfa6c-06b2-48a3-9734-b61dbb5b544b,FINISHED,5a9bed8c-d998-44cb-abab-ac3c8972f7c8,0,2026-02-22T11:29:11.056Z,a1a6a0ab-de9c-4a1e-b263-1be02940f322,cd36b01c-87a1-47c9-b877-a65940b24b12,611,6,12,,7b71555f-d021-4dba-b995-135a6bc5bcea,de531847-5760-46e8-b02d-193569efdd23,-11,0,1,,False,True,de531847-5760-46e8-b02d-193569efdd23
Turniej Middle Earth SBG Kielce - luty 2026 Re-Otwarcie Sezonu (Pre IMP),c3f0208b-a0ce-419b-b097-57d8d3aa39a6,2 Bitwa,792cfa6c-06b2-48a3-9734-b61dbb5b544b,FINISHED,030b4e0d-5ac0-4159-9ea4-9557aced3b87,1,2026-02-22T11:29:11.056Z,0c932f8f-31ee-4d2e-a4c2-bf90c2e77f3d,ea7e3e0d-3a78-4a90-8ca4-a55e6505cf5a,-14,0,0,,6ed403f9-baa5-4305-86cd-97f8a04debdf,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,614,6,14,,False,True,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - luty 2026 Re-Otwarcie Sezonu (Pre IMP),c3f0208b-a0ce-419b-b097-57d8d3aa39a6,2 Bitwa,792cfa6c-06b2-48a3-9734-b61dbb5b544b,FINISHED,4e0252fe-d15c-40ad-83fc-b85f73c62b1f,2,2026-02-22T11:29:11.056Z,bf0bfe6f-3e41-4afe-8400-86f9230bff18,1cd9909c-5aa9-41e1-adef-adc288fad817,607,6,11,,02456c20-4efe-4ea2-a3f2-05f2416f2dee,b9991a3f-21db-4617-833e-e0341de18725,-7,0,4,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - luty 2026 Re-Otwarcie Sezonu (Pre IMP),c3f0208b-a0ce-419b-b097-57d8d3aa39a6,2 Bitwa,792cfa6c-06b2-48a3-9734-b61dbb5b544b,FINISHED,6c20b1ec-7cc2-4891-9936-09e708d34104,3,2026-02-22T11:29:11.056Z,6da02f75-0d15-4bcd-b822-8a72c4505146,202f2e46-34fe-4c55-8971-33d026fbb1af,200,2,6,,26e0dce1-ef8c-4e61-a1fd-98f788899a5d,020cf440-78d8-4a7d-8258-1592efe45c5a,200,2,6,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - luty 2026 Re-Otwarcie Sezonu (Pre IMP),c3f0208b-a0ce-419b-b097-57d8d3aa39a6,2 Bitwa,792cfa6c-06b2-48a3-9734-b61dbb5b544b,FINISHED,8d11ca21-7ec1-4e07-baab-044dd5cbd03e,4,2026-02-22T11:29:11.056Z,d6f65715-fcc2-4f8a-9cf0-99dc49ec7d27,18bc28b3-714d-4a11-972d-514a54145413,604,6,8,,27290ec3-977e-4f7e-9d9a-81b1236e0214,4190b8db-c681-4013-8495-4b3853c39ccc,-4,0,4,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - luty 2026 Re-Otwarcie Sezonu (Pre IMP),c3f0208b-a0ce-419b-b097-57d8d3aa39a6,2 Bitwa,792cfa6c-06b2-48a3-9734-b61dbb5b544b,FINISHED,105625f0-f4ba-4303-a604-c82dc68e81c7,5,2026-02-22T11:29:11.056Z,093cb9c4-e403-44d6-9f67-ad198bf9018f,83f6f224-a83f-4b8a-8284-e19085482720,-10,0,1,,c42e47be-4773-467f-a7f1-097df845f2ab,6e8fd6ad-52e1-4877-84dc-2fce2d7ab7da,610,6,11,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - luty 2026 Re-Otwarcie Sezonu (Pre IMP),c3f0208b-a0ce-419b-b097-57d8d3aa39a6,Runda 3,d53312a0-3735-4de2-8024-48254ede0dd9,FINISHED,37846d4e-593d-4cee-8533-e91efda7e647,0,2026-02-22T13:50:40.760Z,43f68a1f-976f-4929-bc7b-690a14fe9952,cd36b01c-87a1-47c9-b877-a65940b24b12,-6,0,1,,05baa17a-ce5b-4018-9524-1d6b743b0517,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,606,6,7,,False,False,de531847-5760-46e8-b02d-193569efdd23
Turniej Middle Earth SBG Kielce - luty 2026 Re-Otwarcie Sezonu (Pre IMP),c3f0208b-a0ce-419b-b097-57d8d3aa39a6,Runda 3,d53312a0-3735-4de2-8024-48254ede0dd9,FINISHED,2f47c7bf-e069-4250-a681-5de04965a2eb,1,2026-02-22T13:50:40.760Z,cad8154d-bb2e-4ea2-9397-4fdbbaae4e70,1cd9909c-5aa9-41e1-adef-adc288fad817,-20,0,0,,28e1ecc3-1ad2-4851-b593-e8a283fdc56b,de531847-5760-46e8-b02d-193569efdd23,620,6,20,,False,True,de531847-5760-46e8-b02d-193569efdd23
Turniej Middle Earth SBG Kielce - luty 2026 Re-Otwarcie Sezonu (Pre IMP),c3f0208b-a0ce-419b-b097-57d8d3aa39a6,Runda 3,d53312a0-3735-4de2-8024-48254ede0dd9,FINISHED,17a6d4a0-ea3b-485c-b3b3-c5119db4dc51,2,2026-02-22T13:50:40.760Z,c0133f49-8995-420d-ba5a-3c7b2d4730b9,b9991a3f-21db-4617-833e-e0341de18725,-11,0,5,,bc65bc4b-bbaf-4781-ae43-eb654ac282a4,18bc28b3-714d-4a11-972d-514a54145413,611,6,16,,False,False,de531847-5760-46e8-b02d-193569efdd23
Turniej Middle Earth SBG Kielce - luty 2026 Re-Otwarcie Sezonu (Pre IMP),c3f0208b-a0ce-419b-b097-57d8d3aa39a6,Runda 3,d53312a0-3735-4de2-8024-48254ede0dd9,FINISHED,acb11579-3af1-477a-95c9-bb486f38bdec,3,2026-02-22T13:50:40.760Z,9aa1d428-6ca7-4142-a7b8-034c1a533db9,6e8fd6ad-52e1-4877-84dc-2fce2d7ab7da,-7,0,2,,1478224c-3569-4882-941c-8787e3a0f119,ea7e3e0d-3a78-4a90-8ca4-a55e6505cf5a,607,6,9,,False,False,de531847-5760-46e8-b02d-193569efdd23
