Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej Middle Earth SBG Kielce - maj 2026,49753671-d7bf-4a8f-9853-c42d84cfffcf,Koszyk 1,7b9ade6f-7f27-4610-92f6-ae438f9c7991,FINISHED,8dd9df5b-b89a-4bee-97bf-6305ec26768a,0,2026-05-24T12:05:40.924Z,756b2fbd-4453-4614-bdb8-356825576b3e,cd36b01c-87a1-47c9-b877-a65940b24b12,-7,0,6,True,0dc8f7fb-a44a-46de-9375-4155d07b9641,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,607.0,6.0,13.0,False,False,True,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - maj 2026,49753671-d7bf-4a8f-9853-c42d84cfffcf,Koszyk 1,7b9ade6f-7f27-4610-92f6-ae438f9c7991,FINISHED,d097381e-9faf-4deb-a59e-5082bd5f69e2,1,2026-05-24T12:05:40.924Z,7a602b9e-1ed1-45c5-95e7-22c56a88d58a,02e912fd-a2c2-4725-a3a6-e9d4fea52a31,-6,0,6,,1a0c12d2-744c-4837-bd1e-d787b72eb506,f48752fd-e96a-49e3-bb78-8c12475d82ae,606.0,6.0,12.0,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - maj 2026,49753671-d7bf-4a8f-9853-c42d84cfffcf,Koszyk 1,7b9ade6f-7f27-4610-92f6-ae438f9c7991,FINISHED,2c546e3c-cb49-495f-bdae-a81be3fe887d,2,2026-05-24T12:05:40.924Z,37c506b8-0e78-4b01-b199-547c94480876,b6f0e023-257d-472b-af43-78e56d559cae,95,1,7,,716e1845-c48e-4f27-980b-93ed9e816530,ea7e3e0d-3a78-4a90-8ca4-a55e6505cf5a,505.0,5.0,12.0,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - maj 2026,49753671-d7bf-4a8f-9853-c42d84cfffcf,Koszyk 1,7b9ade6f-7f27-4610-92f6-ae438f9c7991,FINISHED,57940ec1-df3b-44b9-b5a8-97d6e9c18f1e,3,2026-05-24T12:05:40.924Z,de97d674-d713-490f-b3cc-14f91befa999,1cd9909c-5aa9-41e1-adef-adc288fad817,600,0,0,,,,,,,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - maj 2026,49753671-d7bf-4a8f-9853-c42d84cfffcf,Koszyk 4,48e079bf-e4d4-4636-b8e0-beaf25e558b2,FINISHED,4b6a982c-3778-4eef-8423-a92c346deebd,0,2026-05-24T09:53:21.557Z,aca95dc1-a7fd-4c8e-a4ac-e1e5731eb635,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,620,6,20,True,fa447485-db15-4c96-9d28-9ca3d117874c,02e912fd-a2c2-4725-a3a6-e9d4fea52a31,-20.0,0.0,0.0,,True,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - maj 2026,49753671-d7bf-4a8f-9853-c42d84cfffcf,Koszyk 4,48e079bf-e4d4-4636-b8e0-beaf25e558b2,FINISHED,95bd994a-315e-4ebb-8262-717e9b7f328b,1,2026-05-24T09:53:21.557Z,74ec9aec-a53e-462f-92a7-9a7758ff3e3d,cd36b01c-87a1-47c9-b877-a65940b24b12,608,6,13,True,0a4435d2-9967-421f-b55f-cea926a747f2,ea7e3e0d-3a78-4a90-8ca4-a55e6505cf5a,-8.0,0.0,5.0,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - maj 2026,49753671-d7bf-4a8f-9853-c42d84cfffcf,Koszyk 4,48e079bf-e4d4-4636-b8e0-beaf25e558b2,FINISHED,dde155ba-6cf8-45f7-b32e-be2f5ff37a86,2,2026-05-24T09:55:30.971Z,47ada1e5-14b4-479b-ade8-e803e7a2bde6,b6f0e023-257d-472b-af43-78e56d559cae,620,6,20,,4c404b02-834f-45f4-8321-f1ed2361454a,1cd9909c-5aa9-41e1-adef-adc288fad817,-20.0,0.0,0.0,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - maj 2026,49753671-d7bf-4a8f-9853-c42d84cfffcf,Koszyk 4,48e079bf-e4d4-4636-b8e0-beaf25e558b2,FINISHED,57656ad7-56da-40cf-bb03-24f12a3ad3d0,3,2026-05-24T09:55:30.971Z,79e128c8-8899-4150-b2ff-e1c04f2d5269,f48752fd-e96a-49e3-bb78-8c12475d82ae,620,6,20,,1b30313d-05e1-4997-8bab-c176c80e02ed,519239b5-ff05-408c-9e2a-8d8cc2d666c1,-20.0,0.0,0.0,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - maj 2026,49753671-d7bf-4a8f-9853-c42d84cfffcf,Koszyk 5,9e1fc453-2f8a-4545-8695-2cf37d559a3d,FINISHED,d144a714-7c74-4456-ae62-aa36b51f2a6a,0,2026-05-22T17:46:49.806Z,d91cbc31-65e8-4841-9d4a-3a27af861430,cd36b01c-87a1-47c9-b877-a65940b24b12,618,6,18,True,c73d64e4-c648-4e1c-a525-279d4a74a259,1cd9909c-5aa9-41e1-adef-adc288fad817,-18.0,0.0,0.0,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - maj 2026,49753671-d7bf-4a8f-9853-c42d84cfffcf,Koszyk 5,9e1fc453-2f8a-4545-8695-2cf37d559a3d,FINISHED,938cf1e1-6abf-432f-8ace-4c587f727ab2,1,2026-05-22T17:46:49.806Z,8fca9796-82bc-4b64-a2bd-af96bdd04e72,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,620,6,20,False,0626d214-57dc-4662-a13b-7621db4515a2,b6f0e023-257d-472b-af43-78e56d559cae,-20.0,0.0,0.0,,True,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
