Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej Middle Earth SBG Kielce - marzec 2026,7e6fd6f0-66ee-47eb-9716-25d527b4c27f,Runda 3,897215c5-df09-476d-a6c2-6c4457258c61,FINISHED,c4ca935a-7e5b-46d2-9172-e262daa2a579,0,2026-03-22T14:11:55.356Z,b4662f3b-3ab7-4977-9a38-065e6b4125ad,de531847-5760-46e8-b02d-193569efdd23,99,1,4.0,,9bdb026f-1ed0-4c9c-8d2b-64b42ac8db07,a32b1ece-37a7-4a61-a7b1-bdc43dde0456,501,5,5,,True,False,de531847-5760-46e8-b02d-193569efdd23
Turniej Middle Earth SBG Kielce - marzec 2026,7e6fd6f0-66ee-47eb-9716-25d527b4c27f,Runda 3,897215c5-df09-476d-a6c2-6c4457258c61,FINISHED,17e4cd2f-07e3-4d4f-8121-a5f105f290c4,1,2026-03-22T14:11:55.356Z,8ae8a8b3-f5ee-42e3-96c8-2f595c94e7a9,cbfbcd40-cbf7-4546-885f-4d061496fe8c,-10,0,1.0,,dab4a0fe-617c-4f43-af97-3a19039e1d48,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,610,6,11,True,False,True,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - marzec 2026,7e6fd6f0-66ee-47eb-9716-25d527b4c27f,Runda 3,897215c5-df09-476d-a6c2-6c4457258c61,FINISHED,2730e5ac-8758-4f14-898e-c557eb26b5dd,2,2026-03-22T14:11:55.356Z,0f838812-35eb-4d5a-b7f5-d9306bc986d4,1cd9909c-5aa9-41e1-adef-adc288fad817,620,6,20.0,,04657b90-8c22-4e9a-a595-a9f678efba68,386d0c33-6dc8-433e-a8bf-897cb624352d,-20,0,0,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - marzec 2026,7e6fd6f0-66ee-47eb-9716-25d527b4c27f,Runda 3,897215c5-df09-476d-a6c2-6c4457258c61,FINISHED,f2b25d8b-ef04-4c85-a2de-f60e442c6814,3,2026-03-22T14:11:55.356Z,2746231c-40ca-4cfb-bc32-07274f8b4672,b9991a3f-21db-4617-833e-e0341de18725,611,6,14.0,,24b90c78-b394-4463-9421-8b963cb882cd,4190b8db-c681-4013-8495-4b3853c39ccc,-11,0,3,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - marzec 2026,7e6fd6f0-66ee-47eb-9716-25d527b4c27f,Runda 3,897215c5-df09-476d-a6c2-6c4457258c61,FINISHED,9f05501f-9250-4462-a59f-104ce44e8b23,4,2026-03-22T14:11:55.356Z,f6ffe102-e840-4c0b-834b-719762a88ae8,fc60a35f-b85a-4f89-a673-8bd5a653504b,501,5,9.0,True,b8ece738-82fc-4880-aae7-d99d86722ce3,e193927e-381f-4695-ac85-685e297bb182,99,1,8,,True,False,fc60a35f-b85a-4f89-a673-8bd5a653504b
Turniej Middle Earth SBG Kielce - marzec 2026,7e6fd6f0-66ee-47eb-9716-25d527b4c27f,Koszyk 1,c3ff54ea-f962-40a6-bdc4-1c13cb67fa95,FINISHED,ad32ff63-065e-4756-ace7-ae01e1f85340,0,2026-03-22T11:15:43.759Z,9679ef43-eb50-4b63-841f-743a90e6d6aa,de531847-5760-46e8-b02d-193569efdd23,606,6,10.0,,b95ea638-264c-469a-bd7b-e9a29cc08c4c,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,-6,0,4,True,False,True,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - marzec 2026,7e6fd6f0-66ee-47eb-9716-25d527b4c27f,Koszyk 1,c3ff54ea-f962-40a6-bdc4-1c13cb67fa95,FINISHED,80c77069-adb8-4659-b507-2b733334f28f,1,2026-03-22T11:15:43.759Z,fb0df400-66f9-44fb-89aa-df3d3b168802,1cd9909c-5aa9-41e1-adef-adc288fad817,98,1,4.0,,d91e2799-f0f5-4595-bf02-2afb59cdeea7,cbfbcd40-cbf7-4546-885f-4d061496fe8c,502,5,6,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - marzec 2026,7e6fd6f0-66ee-47eb-9716-25d527b4c27f,Koszyk 1,c3ff54ea-f962-40a6-bdc4-1c13cb67fa95,FINISHED,7344af03-db48-4737-b280-3a9874084fe5,2,2026-03-22T11:15:43.759Z,29d3c85b-1b82-4d8c-abfc-1a35f4bb5570,a32b1ece-37a7-4a61-a7b1-bdc43dde0456,605,6,10.0,,8641afc0-f6d3-4744-8ba9-cebb2d8913ca,4190b8db-c681-4013-8495-4b3853c39ccc,-5,0,5,,False,False,de531847-5760-46e8-b02d-193569efdd23
Turniej Middle Earth SBG Kielce - marzec 2026,7e6fd6f0-66ee-47eb-9716-25d527b4c27f,Koszyk 1,c3ff54ea-f962-40a6-bdc4-1c13cb67fa95,FINISHED,5a693a2e-2449-4a2c-864b-6b38b04a0733,3,2026-03-22T11:15:43.759Z,e587cb99-661f-4173-957b-dbc02c6c11c4,fc60a35f-b85a-4f89-a673-8bd5a653504b,97,1,6.0,True,526a2f5b-9ec5-402a-9bdd-5166371bbab8,b9991a3f-21db-4617-833e-e0341de18725,503,5,9,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - marzec 2026,7e6fd6f0-66ee-47eb-9716-25d527b4c27f,Koszyk 1,c3ff54ea-f962-40a6-bdc4-1c13cb67fa95,FINISHED,1f35aba5-3df0-4847-aded-0a68218587a4,4,2026-03-22T11:15:43.759Z,5c335834-f527-4669-8a7d-cd27b83711f2,e193927e-381f-4695-ac85-685e297bb182,-11,0,3.0,,bc3bd170-a477-4952-b3be-8a09d0c4212f,386d0c33-6dc8-433e-a8bf-897cb624352d,611,6,14,,False,False,de531847-5760-46e8-b02d-193569efdd23
Turniej Middle Earth SBG Kielce - marzec 2026,7e6fd6f0-66ee-47eb-9716-25d527b4c27f,Koszyk 2,d7919d6c-fef2-402a-be57-3ced2c2c0447,FINISHED,917f0ebf-a719-4731-8248-8f9124cbd7d9,0,2026-03-19T17:02:32.193Z,86824f3b-42c7-4b08-b37b-c467626571d0,cbfbcd40-cbf7-4546-885f-4d061496fe8c,607,6,8.0,,aa9ddd89-c894-4eaf-a1c9-e5688866c95a,4190b8db-c681-4013-8495-4b3853c39ccc,-7,0,1,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - marzec 2026,7e6fd6f0-66ee-47eb-9716-25d527b4c27f,Koszyk 2,d7919d6c-fef2-402a-be57-3ced2c2c0447,FINISHED,82d6935f-c2c8-4cad-b4ee-8a6e13854286,1,2026-03-19T17:02:32.193Z,b2e6a936-08ba-42ff-8d9d-07f67984bcf8,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,618,6,18.0,False,0af36312-895f-4852-bfc2-0dc0a3967016,e193927e-381f-4695-ac85-685e297bb182,-18,0,0,,True,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - marzec 2026,7e6fd6f0-66ee-47eb-9716-25d527b4c27f,Koszyk 2,d7919d6c-fef2-402a-be57-3ced2c2c0447,FINISHED,73f2a0aa-3e8d-4a76-b1d0-a69a87862cfd,2,2026-03-19T17:02:32.193Z,db453665-724d-4be1-a5cd-ccff84cadbbb,b9991a3f-21db-4617-833e-e0341de18725,-15,0,,,6383f2e3-56b6-4d4f-84c7-703b26c573ef,1cd9909c-5aa9-41e1-adef-adc288fad817,615,6,15,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - marzec 2026,7e6fd6f0-66ee-47eb-9716-25d527b4c27f,Koszyk 2,d7919d6c-fef2-402a-be57-3ced2c2c0447,FINISHED,03e38e83-9e29-45d2-b51e-30125bafe699,3,2026-03-19T17:02:32.193Z,b6af809f-5cee-44b6-ac87-95465d1538d2,de531847-5760-46e8-b02d-193569efdd23,620,6,20.0,,904e29a2-57f8-4eee-abdd-d72b2c7387ab,386d0c33-6dc8-433e-a8bf-897cb624352d,-20,0,0,,True,False,de531847-5760-46e8-b02d-193569efdd23
Turniej Middle Earth SBG Kielce - marzec 2026,7e6fd6f0-66ee-47eb-9716-25d527b4c27f,Koszyk 2,d7919d6c-fef2-402a-be57-3ced2c2c0447,FINISHED,3fb4a171-615a-45bd-9a2b-e28fc1f58d75,4,2026-03-19T17:02:32.193Z,e0cc231b-ab18-44c6-9e7b-82142ac29b67,fc60a35f-b85a-4f89-a673-8bd5a653504b,-6,0,1.0,True,96727a15-b046-42dd-82bb-c33168e26d1d,a32b1ece-37a7-4a61-a7b1-bdc43dde0456,606,6,7,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
